"model_name","equation","variable","coefficient","std_error","statistic","p_value"
"ols",NA,"(Intercept)",-0.129068938621044,3.54962470717514,-0.036361291479673,0.971009026581871
"ols",NA,"wage",0.219277195281073,0.133633696687817,1.6408825073015,0.101460890285863
"ols",NA,"education",0.719640958367533,0.179851266870148,4.00131158868684,7.26884948251752e-05
"ols",NA,"experience",1.14875220083844,0.210743484287755,5.45095002448523,7.93837160453611e-08
"ols",NA,"experience_sq",-0.020355704861012,0.00431889039836012,-4.71317930844947,3.17930861280956e-06
"ols",NA,"children",-2.20852762853348,0.607797108757226,-3.63365931938915,0.000308805279943243
"ols",NA,"married",0.0135353093589221,1.06711427128974,0.0126840299329545,0.989885021289375
"ols",NA,"non_labor_income",-0.185052527183117,0.0400562794872289,-4.6198131616821,4.91128367107012e-06
"tobit_aer",NA,"(Intercept)",-1.97226002474773,3.78580569890951,-0.520961766557602,0.60239340590458
"tobit_aer",NA,"wage",0.219369143453335,0.142172989540056,1.54297341684251,0.122837225934039
"tobit_aer",NA,"education",0.741046158931218,0.191149907521059,3.87678010699313,0.000105847938529688
"tobit_aer",NA,"experience",1.31798367537915,0.228088558209288,5.77838575387811,7.54207296531817e-09
"tobit_aer",NA,"experience_sq",-0.0238101968560466,0.0046865004977315,-5.08059198277518,3.76260490901787e-07
"tobit_aer",NA,"children",-2.53229100499744,0.649534219428165,-3.89862601423342,9.6740052672637e-05
"tobit_aer",NA,"married",-0.0822282302947221,1.13482669334473,-0.0724588439600119,0.942236757099898
"tobit_aer",NA,"non_labor_income",-0.198001027405825,0.042636381153196,-4.64394542994611,3.41817881811626e-06
"tobit_aer",NA,"Log(scale)",2.51752803831684,0.0334455908262588,75.2723446087334,0
"tobit_censreg",NA,"(Intercept)",-1.97226002475789,3.78580570011023,-0.520961766395054,0.602393406017817
"tobit_censreg",NA,"wage",0.219369143453268,0.142172989552999,1.54297341670158,0.122837225968235
"tobit_censreg",NA,"education",0.741046158931534,0.191149907642768,3.87678010452636,0.000105847939602367
"tobit_censreg",NA,"experience",1.31798367537967,0.228088558169035,5.77838575490017,7.54207291951182e-09
"tobit_censreg",NA,"experience_sq",-0.0238101968560558,0.00468650049773165,-5.08059198277699,3.76260490898196e-07
"tobit_censreg",NA,"children",-2.5322910049984,0.649534219519909,-3.89862601368424,9.6740052892006e-05
"tobit_censreg",NA,"married",-0.0822282302949313,1.13482669295367,-0.0724588439851657,0.94223675707988
"tobit_censreg",NA,"non_labor_income",-0.198001027405805,0.0426363811608156,-4.64394542911572,3.41817883186228e-06
"tobit_censreg",NA,"logSigma",2.51752803831672,0.0334455908252617,75.2723446109739,0
"tobit_aer",NA,"_sigma",12.3979115906374,NA,NA,NA
"tobit_aer",NA,"_log_likelihood",-1864.27894919502,NA,NA,NA
"tobit_aer",NA,"_n_censored",37,NA,NA,NA
"tobit_aer",NA,"_n_uncensored",463,NA,NA,NA
"tobit_censreg",NA,"_sigma",12.3979115906359,NA,NA,NA
"tobit_censreg",NA,"_log_likelihood",-1864.27894919503,NA,NA,NA
"tobit_censreg",NA,"_n_censored",37,NA,NA,NA
"tobit_censreg",NA,"_n_uncensored",463,NA,NA,NA
"ols",NA,"_r_squared",0.182410394784133,NA,NA,NA
"ols",NA,"_r_squared_adj",0.1707780223522,NA,NA,NA
"ols_working_only","outcome","(Intercept)",-6.6092098761327,2.16617160210322,-3.05110170852372,0.00316450691100365
"ols_working_only","outcome","education",0.806613389295095,0.122395622786452,6.59021434698217,5.65216173007483e-09
"ols_working_only","outcome","experience",0.588891170175757,0.137859901156075,4.27166395186268,5.69270423432957e-05
"ols_working_only","outcome","experience_sq",-0.0123873270166719,0.00338134374572491,-3.66343322305913,0.000464883999481317
"heckman_2step","selection","(Intercept)",-0.2800636848794,0.499390646560233,-0.560810833780046,0.575096261132945
"heckman_2step","selection","education",0.0939726317374254,0.0337578896601802,2.78372352902951,0.00551101338676752
"heckman_2step","selection","experience",0.00861922296933792,0.0221012588055267,0.389987875585736,0.696657734121545
"heckman_2step","selection","age",-0.0374665353591081,0.0234666070185651,-1.59658937184516,0.11078419325073
"heckman_2step","selection","children_lt6",-0.861743913717485,0.197203886351509,-4.36981202379275,1.42129300310223e-05
"heckman_2step","selection","children_6_18",-0.171673908666429,0.0856446144141572,-2.00449158234578,0.0453813184692967
"heckman_2step","selection","husband_income",-0.0230279594819079,0.00514066900110546,-4.47956471754083,8.66190149594663e-06
"heckman_2step","outcome","(Intercept)",-7.53857816331596,2.77044666845551,-2.72106958388722,0.00665999619449839
"heckman_2step","outcome","education",0.827527186960763,0.126096779579644,6.56263537989954,9.93934932424095e-11
"heckman_2step","outcome","experience",0.582239095834965,0.134691558137754,4.32275863376298,1.75175564407944e-05
"heckman_2step","outcome","experience_sq",-0.0124218733267532,0.00328798936981512,-3.77795422357209,0.000170827804577654
"heckman_2step","error_terms","invMillsRatio",0.523606031556515,1.00873176661889,0.519073602005776,0.603864614923974
"heckman_2step","error_terms","sigma",2.67223029593656,NA,NA,NA
"heckman_2step","error_terms","rho",0.195943453059685,NA,NA,NA
"heckman_mle","selection","(Intercept)",-0.272548709346793,0.499333117738014,-0.545825421276767,0.585350446087524
"heckman_mle","selection","education",0.0953933702354556,0.0337545050648086,2.8260929926924,0.0048389985551231
"heckman_mle","selection","experience",0.00990776585478109,0.0220546412631727,0.449237225695676,0.653392074267521
"heckman_mle","selection","age",-0.0388169174021147,0.023391351380595,-1.65945595748335,0.0974476484834839
"heckman_mle","selection","children_lt6",-0.850540825322024,0.197564610263946,-4.30512744253995,1.89353791906384e-05
"heckman_mle","selection","children_6_18",-0.182038408036521,0.0874207227031964,-2.08232559063327,0.0376557084151289
"heckman_mle","selection","husband_income",-0.0228120315141899,0.00517558454473024,-4.4076241663209,1.19979997787062e-05
"heckman_mle","outcome","(Intercept)",-7.60870388542452,2.85250503398668,-2.66737614649905,0.00781175272998505
"heckman_mle","outcome","education",0.829040673300897,0.126906718497759,6.5326775691197,1.20136834577335e-10
"heckman_mle","outcome","experience",0.58160888832134,0.134840580121798,4.31330752059943,1.82644652440211e-05
"heckman_mle","outcome","experience_sq",-0.012423007556952,0.00328698137357189,-3.77945785054821,0.000169819120454418
"heckman_mle","error_terms","sigma",2.678001179641,0.272146398782305,9.84029622153182,1.48186038168753e-21
"heckman_mle","error_terms","rho",0.210930072032719,0.393322563760031,0.536277578423923,0.591927889948938
"heckman_2step","model_stat","_rho",0.195943453059685,NA,NA,NA
"heckman_2step","model_stat","_sigma",2.67223029593656,NA,NA,NA
"heckman_2step","model_stat","_lambda",0.523606031556515,NA,NA,NA
