"model_name","variable","coefficient","std_error","z_statistic","p_value","log_likelihood","aic","bic","deviance","n_obs","alpha","n_groups","equation","vuong_statistic","vuong_pvalue"
"poisson_healthcare","(Intercept)",0.516845847698385,0.0412936833130801,12.5163416346216,6.07722644149875e-36,-4665.64578737151,9341.29157474302,9369.29608704073,2459.6339547502,2000,NA,NA,NA,NA,NA
"poisson_healthcare","age",0.0152794910211007,0.000572392778395343,26.6940667279827,5.5158690127775e-157,-4665.64578737151,9341.29157474302,9369.29608704073,2459.6339547502,2000,NA,NA,NA,NA,NA
"poisson_healthcare","income",-0.00215088240089241,0.00035098088562894,-6.12820381098002,8.88766922135692e-10,-4665.64578737151,9341.29157474302,9369.29608704073,2459.6339547502,2000,NA,NA,NA,NA,NA
"poisson_healthcare","insurance",0.467348291188761,0.0269076167834212,17.3686244660922,1.42603620532559e-67,-4665.64578737151,9341.29157474302,9369.29608704073,2459.6339547502,2000,NA,NA,NA,NA,NA
"poisson_healthcare","chronic",0.819744102329967,0.019689153338045,41.63429926395,0,-4665.64578737151,9341.29157474302,9369.29608704073,2459.6339547502,2000,NA,NA,NA,NA,NA
"poisson_patents_cluster","(Intercept)",0.541098206799613,0.130222772896282,4.1551734367581,3.2504088761823e-05,-45582.7483743198,91179.4967486396,91227.9553567363,73616.1193303043,7500,NA,NA,NA,NA,NA
"poisson_patents_cluster","log_rd",0.345105865974809,0.0293166207594678,11.7716795808861,5.4625967632665e-32,-45582.7483743198,91179.4967486396,91227.9553567363,73616.1193303043,7500,NA,NA,NA,NA,NA
"poisson_patents_cluster","log_emp",0.171165847278396,0.0336956967094361,5.07975391499956,3.77924092737062e-07,-45582.7483743198,91179.4967486396,91227.9553567363,73616.1193303043,7500,NA,NA,NA,NA,NA
"poisson_patents_cluster","firm_age",-0.0072940069755095,0.00195364764883117,-3.73353249234752,0.00018881282277557,-45582.7483743198,91179.4967486396,91227.9553567363,73616.1193303043,7500,NA,NA,NA,NA,NA
"poisson_patents_cluster","tech_sector",0.526920891462255,0.0500182775828887,10.5345669008506,5.98581719671799e-26,-45582.7483743198,91179.4967486396,91227.9553567363,73616.1193303043,7500,NA,NA,NA,NA,NA
"poisson_patents_cluster","public_funding",0.231106579458598,0.05637860407271,4.09918945776923,4.14599551975677e-05,-45582.7483743198,91179.4967486396,91227.9553567363,73616.1193303043,7500,NA,NA,NA,NA,NA
"poisson_patents_cluster","international",0.14120214640424,0.0523010990754826,2.69979309995861,0.00693826099442156,-45582.7483743198,91179.4967486396,91227.9553567363,73616.1193303043,7500,NA,NA,NA,NA,NA
"negbin_patents","(Intercept)",0.559893702667042,0.0934993800072531,5.98820765039948,2.12166081951969e-09,-19706.9368264164,39429.8736528328,39485.254919229,8111.43374084619,7500,2.09876064323658,NA,NA,NA,NA
"negbin_patents","log_rd",0.354098612031723,0.0217455247480981,16.2837464781205,1.28740118450867e-59,-19706.9368264164,39429.8736528328,39485.254919229,8111.43374084619,7500,2.09876064323658,NA,NA,NA,NA
"negbin_patents","log_emp",0.168240609921377,0.0243330366758209,6.91408196037256,4.70902873435274e-12,-19706.9368264164,39429.8736528328,39485.254919229,8111.43374084619,7500,2.09876064323658,NA,NA,NA,NA
"negbin_patents","firm_age",-0.00831431805820307,0.00136407777935048,-6.09519353226473,1.09305130369169e-09,-19706.9368264164,39429.8736528328,39485.254919229,8111.43374084619,7500,2.09876064323658,NA,NA,NA,NA
"negbin_patents","tech_sector",0.520234952882,0.0367952885894817,14.1386295046131,2.1951789206519e-45,-19706.9368264164,39429.8736528328,39485.254919229,8111.43374084619,7500,2.09876064323658,NA,NA,NA,NA
