firm_id,year,patents,rd_spending,employees,firm_age,tech_sector,public_funding,international
1,2018,1,7.78,60.8,6.8,1,0,0
1,2019,0,8.1,56.3,7.8,1,0,0
1,2020,6,8.23,58.6,8.8,1,0,0
1,2021,18,8.92,59.0,9.8,1,0,0
1,2022,0,8.52,59.1,10.8,1,0,0
2,2018,7,2.48,51.4,39.3,1,1,0
2,2019,7,3.03,52.0,40.3,1,1,0
2,2020,26,2.42,51.0,41.3,1,1,0
2,2021,1,3.21,50.5,42.3,1,1,0
2,2022,7,2.74,50.5,43.3,1,1,0
3,2018,0,2.3,33.7,33.9,0,1,0
3,2019,7,2.73,35.8,34.9,0,1,0
3,2020,0,1.94,33.6,35.9,0,1,0
3,2021,8,1.91,35.9,36.9,0,1,0
3,2022,9,2.15,34.6,37.9,0,1,0
4,2018,7,4.78,20.4,48.4,0,0,0
4,2019,10,4.01,22.1,49.4,0,0,0
4,2020,2,3.62,20.1,50.4,0,0,0
4,2021,0,4.33,22.1,51.4,0,0,0
4,2022,7,4.64,21.5,52.4,0,0,0
5,2018,4,4.27,19.5,31.4,0,0,0
5,2019,3,3.77,21.2,32.4,0,0,0
5,2020,4,3.79,21.2,33.4,0,0,0
5,2021,0,4.26,22.1,34.4,0,0,0
5,2022,3,3.35,21.9,35.4,0,0,0
6,2018,9,3.0,35.0,18.7,1,0,1
6,2019,10,3.18,32.6,19.7,1,0,1
6,2020,0,3.25,38.0,20.7,1,0,1
6,2021,15,2.97,32.2,21.7,1,0,1
6,2022,3,3.13,35.7,22.7,1,0,1
7,2018,0,7.08,15.9,22.2,1,1,0
7,2019,11,7.63,13.5,23.2,1,1,0
7,2020,0,7.96,15.1,24.2,1,1,0
7,2021,4,7.53,15.2,25.2,1,1,0
7,2022,18,7.84,17.2,26.2,1,1,0
8,2018,2,9.76,4.3,12.9,1,1,0
8,2019,0,9.52,5.0,13.9,1,1,0
8,2020,0,9.67,1.9,14.9,1,1,0
