region_id,country,year,gdp_per_capita,log_gdp_pc,fdi,rd_expenditure,infrastructure
EU_001,DE,2005,68749.48,11.1382,0.0134,0.0,0.7852
EU_002,DE,2005,174937.69,12.0722,0.0188,0.009,0.9819
EU_003,DE,2005,1096339.62,13.9075,0.0449,0.0151,0.3203
EU_004,DE,2005,1195281.56,13.9939,0.0422,0.0155,0.7126
EU_005,DE,2005,254671.51,12.4477,0.0296,0.0105,0.4699
EU_006,DE,2005,841030.28,13.6424,0.0323,0.0212,0.5026
EU_007,FR,2005,648535.07,13.3825,0.0556,0.0043,0.4815
EU_008,FR,2005,192042.32,12.1655,0.0182,0.0136,0.4272
EU_009,FR,2005,756438.84,13.5364,0.0409,0.0162,0.6097
EU_010,FR,2005,1040636.29,13.8553,0.026,0.0201,0.4338
EU_011,FR,2005,730112.69,13.501,0.0256,0.0221,0.6541
EU_012,FR,2005,635922.24,13.3628,0.052,0.0038,0.59
EU_013,IT,2005,359444.0,12.7923,0.0465,0.0,0.5522
EU_014,IT,2005,2698580.05,14.8082,0.0463,0.0278,0.4185
EU_015,IT,2005,2550264.92,14.7517,0.0561,0.0183,0.4846
EU_016,IT,2005,297116.08,12.6019,0.0304,0.0075,0.7511
EU_017,IT,2005,2744581.36,14.8251,0.0436,0.0305,0.7002
EU_018,IT,2005,334101.57,12.7192,0.0238,0.0162,0.4045
EU_019,ES,2005,1511699.06,14.2287,0.0365,0.0268,0.6199
EU_020,ES,2005,439253.16,12.9928,0.0274,0.0157,0.7503
EU_021,ES,2005,2979695.08,14.9073,0.0319,0.0356,0.2661
EU_022,ES,2005,2663631.0,14.7952,0.0419,0.0326,0.7087
EU_023,ES,2005,205606.13,12.2337,0.0136,0.0125,0.4675
EU_024,ES,2005,7297342.57,15.803,0.0718,0.0247,0.7141
EU_025,NL,2005,278168.04,12.536,0.0099,0.0215,0.4473
EU_026,NL,2005,389047.49,12.8715,0.0057,0.0287,0.239
EU_027,NL,2005,525965.91,13.173,0.0532,0.0054,0.2745
EU_028,NL,2005,1388729.05,14.1439,0.0458,0.0219,0.6096
EU_029,NL,2005,1725072.09,14.3608,0.0425,0.0256,0.6519
EU_030,NL,2005,282288.88,12.5507,0.0426,0.0,0.4191
EU_031,BE,2005,134469.41,11.8091,0.0298,0.0032,0.7277
EU_032,BE,2005,58748.81,10.981,0.0121,0.0,0.2677
EU_033,BE,2005,383086.23,12.856,0.0315,0.0123,0.5868
EU_034,BE,2005,319462.49,12.6744,0.0165,0.0222,0.3578
EU_035,BE,2005,4541975.32,15.3289,0.0495,0.03,0.4696
EU_036,BE,2005,363408.11,12.8033,0.0271,0.0157,0.6095
EU_037,AT,2005,512833.24,13.1477,0.0135,0.0313,0.4279
EU_038,AT,2005,102621.94,11.5388,0.0236,0.0012,0.5231
EU_039,AT,2005,166090.83,12.0203,0.0383,0.0,0.8013
EU_040,AT,2005,227098.33,12.3331,0.0187,0.0144,0.4846
EU_041,AT,2005,244107.21,12.4054,0.0136,0.0188,0.7671
EU_042,AT,2005,594454.84,13.2954,0.0349,0.0147,0.3741
EU_043,PT,2005,182333.31,12.1136,0.0349,0.0,0.706
EU_044,PT,2005,258287.24,12.4618,0.0199,0.0141,0.8883
EU_045,PT,2005,65576.89,11.091,0.0206,0.002,0.1057
EU_046,PT,2005,809361.44,13.604,0.0346,0.0217,0.4406
EU_047,PT,2005,99199.43,11.5049,0.001,0.0187,0.7154
EU_048,PT,2005,43587.78,10.6825,0.0019,0.0056,0.5594
EU_049,GR,2005,179784.7,12.0995,0.0156,0.0099,0.6742
EU_050,GR,2005,160918.14,11.9887,0.0257,0.0044,0.4792
EU_051,GR,2005,573217.65,13.259,0.0362,0.0144,0.6173
EU_052,GR,2005,5236370.42,15.4711,0.0595,0.0246,0.5689
EU_053,GR,2005,662265.81,13.4034,0.0472,0.0051,0.8336
EU_054,GR,2005,580848.42,13.2722,0.0268,0.02,0.6509
EU_055,SE,2005,284827.19,12.5596,0.0296,0.0097,0.6675
EU_056,SE,2005,75989.4,11.2383,0.0099,0.0071,0.5176
EU_057,SE,2005,453441.45,13.0246,0.0296,0.0139,0.5025
EU_058,SE,2005,121300.64,11.706,0.0242,0.0046,0.5135
EU_059,SE,2005,428347.37,12.9677,0.0365,0.0095,0.6789
EU_060,SE,2005,77904.63,11.2632,0.0135,0.003,0.5158
EU_061,DK,2005,2969227.76,14.9038,0.0404,0.0346,0.658
EU_062,DK,2005,2188328.57,14.5986,0.0607,0.0154,1.0
EU_063,DK,2005,139928.1,11.8489,0.0278,0.008,0.7742
EU_064,DK,2005,602438.02,13.3087,0.038,0.0171,0.5348
EU_065,DK,2005,750234.47,13.5281,0.0438,0.0139,0.8402
EU_066,DK,2005,196399.3,12.1879,0.022,0.0128,0.5184
EU_067,FI,2005,980571.27,13.7959,0.0345,0.0211,0.1924
EU_068,FI,2005,707687.78,13.4698,0.0303,0.0226,0.3984
EU_069,FI,2005,207503.25,12.2429,0.032,0.0097,0.2258
EU_070,FI,2005,140902.1,11.8558,0.0145,0.0092,0.5297
EU_071,FI,2005,486684.84,13.0954,0.0305,0.0122,0.6037
EU_072,FI,2005,153854.15,11.9438,0.04,0.0,0.9353
EU_073,IE,2005,634237.67,13.3602,0.059,0.0,0.6654
EU_074,IE,2005,3123056.54,14.9543,0.0492,0.0287,0.5562
EU_075,IE,2005,10760813.34,16.1914,0.0731,0.0314,0.7659
EU_076,IE,2005,139783.11,11.8478,0.0147,0.0125,0.1578
EU_077,IE,2005,1552983.54,14.2557,0.0474,0.0208,0.6471
EU_078,IE,2005,760109.55,13.5412,0.0337,0.0181,0.7542
EU_079,PL,2005,47338348.49,17.6728,0.0738,0.0458,0.3043
EU_080,PL,2005,550910.19,13.2193,0.0138,0.0262,0.8288
EU_081,PL,2005,185742.24,12.1321,0.0132,0.0137,0.6677
EU_082,PL,2005,105314.31,11.5647,0.018,0.0054,0.5169
EU_083,PL,2005,35665.02,10.4819,0.0,0.0,0.7266
EU_084,PL,2005,289144.57,12.5747,0.0195,0.017,1.0
EU_085,CZ,2005,135219.78,11.8147,0.0148,0.0074,0.6364
EU_086,CZ,2005,128240.72,11.7617,0.033,0.0008,0.6496
EU_087,CZ,2005,335494.72,12.7234,0.0368,0.0085,0.5081
EU_088,CZ,2005,1206991.03,14.0036,0.0675,0.0042,0.43
EU_089,CZ,2005,5218987.18,15.4678,0.049,0.0319,0.7661
EU_090,CZ,2005,463094.92,13.0457,0.0185,0.0238,0.4288
EU_091,CZ,2005,165276.39,12.0154,0.012,0.0149,0.6143
EU_092,CZ,2005,2294935.65,14.6462,0.0398,0.0298,0.5045
EU_093,CZ,2005,103839.86,11.5506,0.0036,0.0158,0.6958
EU_094,CZ,2005,1643549.42,14.3124,0.0666,0.0064,0.6667
EU_095,CZ,2005,5659144.25,15.5488,0.0536,0.0302,0.8075
EU_096,CZ,2005,352644.35,12.7732,0.0206,0.0204,0.498
EU_097,CZ,2005,48492.25,10.7892,0.0,0.0046,0.546
EU_098,CZ,2005,1272473.34,14.0565,0.0571,0.0131,0.4042
EU_099,CZ,2005,232663.76,12.3573,0.0277,0.0062,0.5111
EU_100,CZ,2005,566265.26,13.2468,0.0548,0.0012,0.6755
EU_001,DE,2006,710133.26,13.4732,0.0195,0.0244,0.6737
EU_002,DE,2006,1008250.74,13.8237,0.051,0.0098,0.5213
EU_003,DE,2006,283420.66,12.5547,0.0159,0.016,0.6057
EU_004,DE,2006,90776.81,11.4162,0.0018,0.0104,0.8557
EU_005,DE,2006,61760.61,11.031,0.0,0.0107,0.6382
EU_006,DE,2006,581182.18,13.2728,0.0421,0.0119,0.6093
EU_007,FR,2006,158195.5,11.9716,0.0044,0.0172,0.328
EU_008,FR,2006,2073444.97,14.5447,0.0651,0.0102,0.7493
EU_009,FR,2006,329999.82,12.7068,0.0,0.0276,0.7291
EU_010,FR,2006,2239326.63,14.6217,0.0639,0.0061,1.0
EU_011,FR,2006,581522.62,13.2734,0.0342,0.0131,0.5384
EU_012,FR,2006,353302.55,12.7751,0.0281,0.0106,0.6438
EU_013,IT,2006,1179513.58,13.9806,0.0191,0.0295,0.6499
EU_014,IT,2006,901594.37,13.7119,0.038,0.017,0.9155
EU_015,IT,2006,1115116.84,13.9245,0.0292,0.0253,0.5809
EU_016,IT,2006,479583.54,13.0807,0.0521,0.0001,0.6558
EU_017,IT,2006,529494.98,13.1797,0.0323,0.0177,0.7216
EU_018,IT,2006,967182.29,13.7821,0.033,0.0239,0.6373
EU_019,ES,2006,283957.6,12.5566,0.0227,0.0158,0.5107
EU_020,ES,2006,1027995.04,13.8431,0.0289,0.0257,0.6388
EU_021,ES,2006,620595.52,13.3384,0.0362,0.0098,0.8147
EU_022,ES,2006,204543.86,12.2285,0.0,0.0291,0.3947
EU_023,ES,2006,809229.35,13.6038,0.003,0.038,0.6266
EU_024,ES,2006,662398.26,13.4036,0.0449,0.0114,0.46
EU_025,NL,2006,446843.38,13.01,0.0334,0.0105,0.839
EU_026,NL,2006,1327008.97,14.0984,0.0263,0.0295,0.2954
EU_027,NL,2006,1527753.58,14.2393,0.0304,0.0308,0.4882
EU_028,NL,2006,350806.65,12.768,0.037,0.0098,0.6754
EU_029,NL,2006,188660.09,12.1477,0.0192,0.0108,0.9131
EU_030,NL,2006,161265.6,11.9908,0.0144,0.0122,0.5868
EU_031,BE,2006,151681.42,11.9295,0.0339,0.0016,0.489
EU_032,BE,2006,77607.23,11.2594,0.0104,0.0058,0.9762
EU_033,BE,2006,284383.72,12.5581,0.0382,0.005,0.3104
EU_034,BE,2006,45869.0,10.7335,0.0,0.0073,0.1602
EU_035,BE,2006,1665797.57,14.3258,0.0506,0.0147,0.688
EU_036,BE,2006,1063803.66,13.8774,0.0395,0.0173,0.4996
EU_037,AT,2006,1194592.69,13.9933,0.0351,0.0305,0.3958
EU_038,AT,2006,484019.08,13.0899,0.0497,0.005,0.7417
EU_039,AT,2006,4769002.04,15.3776,0.0633,0.0248,0.6488
EU_040,AT,2006,1262330.11,14.0485,0.0503,0.0129,0.4872
EU_041,AT,2006,88748.58,11.3936,0.0,0.0145,0.3439
EU_042,AT,2006,206249.92,12.2368,0.0044,0.0217,0.7745
EU_043,PT,2006,118567.14,11.6832,0.0175,0.0038,0.73
EU_044,PT,2006,689818.88,13.4442,0.0305,0.0188,0.5802
EU_045,PT,2006,771250.99,13.5558,0.0404,0.0167,0.9693
EU_046,PT,2006,302331.12,12.6193,0.0155,0.0199,0.386
EU_047,PT,2006,593898.74,13.2945,0.0337,0.0179,0.2949
EU_048,PT,2006,1088695.05,13.9005,0.0149,0.0396,0.4616
EU_049,GR,2006,215300.17,12.2798,0.0178,0.0086,0.5909
EU_050,GR,2006,88752.49,11.3936,0.0019,0.0097,0.6487
EU_051,GR,2006,79737.21,11.2865,0.0115,0.0088,0.5518
EU_052,GR,2006,88030.49,11.3854,0.003,0.0094,0.6704
EU_053,GR,2006,130126.12,11.7763,0.0105,0.0086,0.3497
EU_054,GR,2006,4194145.15,15.2492,0.0511,0.0269,0.8888
EU_055,SE,2006,385334.06,12.8619,0.011,0.0292,0.5836
EU_056,SE,2006,3501848.52,15.0688,0.0826,0.0093,0.8235
EU_057,SE,2006,446468.78,13.0091,0.0399,0.0067,0.6685
EU_058,SE,2006,794317.24,13.5852,0.0337,0.0197,0.6914
EU_059,SE,2006,141209.8,11.858,0.0128,0.0095,0.714
EU_060,SE,2006,1670529.63,14.3287,0.044,0.0213,0.6895
EU_061,DK,2006,273748.6,12.52,0.0185,0.017,0.7285
EU_062,DK,2006,120106.29,11.6961,0.0324,0.0,0.8658
EU_063,DK,2006,13212825.89,16.3967,0.0812,0.0305,0.6393
EU_064,DK,2006,1245037.69,14.0347,0.0281,0.033,0.7418
EU_065,DK,2006,753758.73,13.5328,0.053,0.0089,0.5821
EU_066,DK,2006,124103.76,11.7289,0.0159,0.0111,0.888
EU_067,FI,2006,560128.44,13.2359,0.0293,0.0179,0.4647
EU_068,FI,2006,3360392.47,15.0276,0.0654,0.0183,0.9602
EU_069,FI,2006,360236.72,12.7945,0.0175,0.0216,0.592
EU_070,FI,2006,13187723.22,16.3948,0.0662,0.0351,0.3138
EU_071,FI,2006,931427.78,13.7445,0.0442,0.0132,0.6256
EU_072,FI,2006,104562.65,11.5575,0.0188,0.007,0.4638
EU_073,IE,2006,336918.75,12.7276,0.0426,0.0012,0.7681
EU_074,IE,2006,546556.64,13.2114,0.0495,0.0077,0.4695
EU_075,IE,2006,721741.69,13.4894,0.0424,0.0147,0.5108
EU_076,IE,2006,366210.58,12.811,0.0,0.0329,0.2221
EU_077,IE,2006,118229.29,11.6804,0.0155,0.0098,0.5095
EU_078,IE,2006,307299.51,12.6356,0.025,0.0172,0.1152
EU_079,PL,2006,429185.34,12.9696,0.0285,0.0148,0.2832
EU_080,PL,2006,2281114.11,14.6402,0.0424,0.0269,0.7521
EU_081,PL,2006,4011509.07,15.2047,0.0336,0.0403,0.7572
EU_082,PL,2006,81658.61,11.3103,0.0033,0.0097,0.6851
EU_083,PL,2006,502467.25,13.1273,0.0376,0.0101,0.4066
EU_084,PL,2006,1898471.22,14.4566,0.0422,0.0254,0.5905
EU_085,CZ,2006,1905278.19,14.4601,0.0412,0.0218,0.5993
EU_086,CZ,2006,4095887.3,15.2255,0.0516,0.0335,0.3683
EU_087,CZ,2006,1855714.56,14.4338,0.0467,0.0208,0.9007
EU_088,CZ,2006,605076.05,13.3131,0.0392,0.0114,0.7755
EU_089,CZ,2006,656726.45,13.395,0.0286,0.0209,0.5558
EU_090,CZ,2006,216502.09,12.2854,0.0,0.0261,0.6054
EU_091,CZ,2006,1238751.71,14.0296,0.0386,0.0232,0.6417
EU_092,CZ,2006,654383.89,13.3914,0.0342,0.0201,0.1917
EU_093,CZ,2006,1316304.24,14.0903,0.0354,0.0257,0.5506
EU_094,CZ,2006,350121.85,12.766,0.0045,0.0267,0.4636
EU_095,CZ,2006,489847.03,13.1018,0.0084,0.0288,0.3997
EU_096,CZ,2006,1880946.39,14.4473,0.0511,0.0215,0.5438
EU_097,CZ,2006,468025.39,13.0563,0.0292,0.0133,0.9595
EU_098,CZ,2006,871367.11,13.6778,0.0436,0.0165,0.7282
EU_099,CZ,2006,1387064.96,14.1427,0.0306,0.0271,0.4858
EU_100,CZ,2006,276431.69,12.5297,0.0306,0.0068,0.7145
EU_001,DE,2007,1242343.55,14.0325,0.05,0.0163,0.4664
EU_002,DE,2007,86610.4,11.3692,0.0,0.0107,0.7984
EU_003,DE,2007,5310312.98,15.4852,0.0718,0.0162,0.565
EU_004,DE,2007,731602.36,13.503,0.0272,0.0204,0.4489
EU_005,DE,2007,1297256.66,14.0758,0.0522,0.0155,0.7073
EU_006,DE,2007,121109.57,11.7045,0.0092,0.0154,0.4203
EU_007,FR,2007,435934.73,12.9852,0.0423,0.008,0.6056
EU_008,FR,2007,112449.02,11.6303,0.0089,0.0084,0.5982
EU_009,FR,2007,87478.56,11.3791,0.0175,0.001,0.8172
EU_010,FR,2007,21984031.24,16.9058,0.0683,0.0325,0.6949
EU_011,FR,2007,169454.26,12.0403,0.0262,0.0026,0.595
EU_012,FR,2007,421758.01,12.9522,0.0343,0.0081,0.7636
EU_013,IT,2007,794047.12,13.5849,0.0474,0.0078,0.878
EU_014,IT,2007,2086558.8,14.551,0.0399,0.0239,0.7116
EU_015,IT,2007,357937.01,12.7881,0.033,0.0121,0.6021
EU_016,IT,2007,1904799.56,14.4599,0.0373,0.0275,0.3376
