county_id,state,year,unemployment,log_income,log_population,manufacturing_share,education_pct
1,AL,2010,0.01,10.5787,10.8963,0.1763,0.3899
2,AL,2010,0.01,10.7202,8.5268,0.089,0.3425
3,AL,2010,0.01,10.4922,11.3052,0.1258,0.256
4,AL,2010,0.01,10.4557,12.0405,0.0923,0.1853
5,AL,2010,0.01,10.5277,10.5526,0.0939,0.3198
6,AL,2010,0.01,10.4715,12.9086,0.1014,0.2893
7,AL,2010,0.01,10.5941,8.6792,0.1333,0.3395
8,AZ,2010,0.01,10.7365,8.1117,0.0913,0.3135
9,AZ,2010,0.01,10.6188,7.35,0.1953,0.355
10,AZ,2010,0.01,10.5137,12.3212,0.0663,0.1965
11,AZ,2010,0.01,10.5653,11.0883,0.1088,0.3817
12,AZ,2010,0.01,10.4046,9.7479,0.0936,0.2698
13,AZ,2010,0.01,10.7056,10.1898,0.2068,0.4575
14,AZ,2010,0.1532,10.2402,8.5034,0.1318,0.1811
15,AR,2010,0.01,10.589,13.7185,0.1819,0.4236
16,AR,2010,0.01,10.8802,10.0816,0.0309,0.2698
17,AR,2010,0.113,10.3593,10.3968,0.136,0.1849
18,AR,2010,0.01,10.4653,11.106,0.1734,0.2016
19,AR,2010,0.127,10.2688,10.8984,0.1249,0.218
20,AR,2010,0.01,10.6826,10.346,0.1839,0.2924
21,AR,2010,0.2,10.202,9.1234,0.089,0.3023
22,CA,2010,0.2,10.014,10.9705,0.2046,0.1926
23,CA,2010,0.01,10.6462,12.7857,0.2579,0.2476
24,CA,2010,0.01,10.5525,12.1639,0.0982,0.4642
25,CA,2010,0.01,10.7942,12.4866,0.0933,0.4228
26,CA,2010,0.1494,10.3973,9.4385,0.2072,0.2936
27,CA,2010,0.01,10.5114,8.3709,0.2148,0.2538
28,CA,2010,0.01,10.6867,9.9142,0.0886,0.262
29,CO,2010,0.01,10.5802,10.2424,0.0948,0.3114
30,CO,2010,0.01,10.6096,11.3775,0.1031,0.1477
31,CO,2010,0.01,10.5958,7.2838,0.0393,0.2243
32,CO,2010,0.01,10.4203,11.9884,0.0649,0.0831
33,CO,2010,0.01,10.5026,9.7226,0.0598,0.2899
34,CO,2010,0.01,10.6774,9.4673,0.0739,0.3147
35,CO,2010,0.2,10.127,8.7072,0.1179,0.2017
36,CT,2010,0.01,10.5619,7.5288,0.1341,0.4074
37,CT,2010,0.2,10.0427,11.479,0.213,0.1274
38,CT,2010,0.01,10.5534,9.903,0.0601,0.1036
39,CT,2010,0.01,10.768,7.8096,0.1791,0.2724
40,CT,2010,0.01,10.4797,8.049,0.1072,0.3547
41,CT,2010,0.01,10.6079,9.5539,0.117,0.4184
42,CT,2010,0.01,10.6825,12.4986,0.1605,0.2041
43,FL,2010,0.01,10.5794,9.3005,0.0526,0.3579
44,FL,2010,0.01,10.5991,7.7319,0.1429,0.2461
45,FL,2010,0.01,10.4436,9.4357,0.13,0.2327
46,FL,2010,0.01,10.6243,9.6914,0.1495,0.3384
47,FL,2010,0.01,10.5559,6.0097,0.1374,0.3152
48,FL,2010,0.01,10.6063,9.7776,0.2673,0.0924
49,FL,2010,0.01,10.718,9.5765,0.0817,0.3977
50,GA,2010,0.01,10.8554,10.8854,0.0881,0.388
51,GA,2010,0.01,10.5942,12.764,0.0826,0.1874
52,GA,2010,0.0225,10.5745,11.8331,0.0867,0.2896
53,GA,2010,0.01,10.5893,9.4488,0.0818,0.2994
54,GA,2010,0.01,10.5275,8.4158,0.1913,0.2761
55,GA,2010,0.01,10.5723,13.7805,0.2052,0.195
56,GA,2010,0.01,10.5053,9.9699,0.0858,0.1828
57,ID,2010,0.01,10.5711,10.0048,0.0701,0.2474
58,ID,2010,0.01,10.7219,9.8085,0.1483,0.3673
59,ID,2010,0.01,10.4707,10.2141,0.0869,0.3044
60,ID,2010,0.01,10.6579,9.6038,0.158,0.2129
61,ID,2010,0.2,10.3299,9.4342,0.1322,0.3272
62,ID,2010,0.01,10.4832,9.185,0.0291,0.05
63,ID,2010,0.01,10.3773,9.8459,0.2129,0.3649
64,IL,2010,0.01,10.442,9.217,0.2278,0.076
65,IL,2010,0.01,10.6738,8.9139,0.0832,0.2138
66,IL,2010,0.01,10.5191,10.1265,0.0967,0.138
67,IL,2010,0.01,10.4162,9.7097,0.1372,0.1205
68,IL,2010,0.01,10.5393,12.3696,0.1401,0.3661
69,IL,2010,0.01,10.625,5.944,0.1595,0.2032
70,IL,2010,0.01,10.6201,11.5509,0.2406,0.2847
71,IN,2010,0.01,10.5297,11.8279,0.1094,0.2453
72,IN,2010,0.01,10.5326,6.5446,0.0721,0.2977
73,IN,2010,0.01,10.5181,9.2587,0.0372,0.2577
74,IN,2010,0.1432,10.1578,9.6479,0.0761,0.1217
75,IN,2010,0.2,10.3664,8.1355,0.118,0.3496
76,IN,2010,0.01,10.508,8.7959,0.2277,0.2006
77,IN,2010,0.0406,10.5687,8.4206,0.0889,0.0943
78,IA,2010,0.01,10.6943,12.6751,0.1334,0.2072
79,IA,2010,0.2,10.3199,11.8653,0.119,0.4001
80,IA,2010,0.0957,10.366,12.0753,0.1913,0.335
81,IA,2010,0.01,10.5849,11.0633,0.2716,0.2151
82,IA,2010,0.01,10.5421,8.1631,0.0881,0.2151
83,IA,2010,0.01,10.455,8.9723,0.0906,0.2178
84,IA,2010,0.01,10.6497,10.7646,0.1826,0.4577
85,KS,2010,0.01,10.4486,8.0534,0.1609,0.2882
86,KS,2010,0.01,10.6867,10.8562,0.2308,0.293
87,KS,2010,0.01,10.5394,9.5425,0.155,0.353
88,KS,2010,0.01,10.5823,9.2755,0.0984,0.2739
89,KS,2010,0.2,10.1956,11.3195,0.1554,0.2241
90,KS,2010,0.1041,10.3351,10.7986,0.1865,0.2304
91,KS,2010,0.01,10.6115,9.4574,0.1692,0.2428
92,KY,2010,0.2,10.1264,11.961,0.1504,0.2463
93,KY,2010,0.01,10.664,8.39,0.184,0.3228
94,KY,2010,0.01,10.422,10.7947,0.1902,0.2552
95,KY,2010,0.2,10.2096,11.1181,0.2029,0.3233
96,KY,2010,0.01,10.7465,9.6165,0.1589,0.2419
97,KY,2010,0.01,10.4573,10.3336,0.11,0.2579
98,KY,2010,0.01,10.4273,8.0948,0.1288,0.0502
99,LA,2010,0.01,10.6339,11.2547,0.1924,0.3416
100,LA,2010,0.01,10.5834,9.5152,0.071,0.2846
101,LA,2010,0.01,10.62,9.3548,0.1421,0.3498
102,LA,2010,0.2,10.1639,11.8599,0.0964,0.05
103,LA,2010,0.01,10.6811,8.7337,0.1217,0.4588
104,LA,2010,0.01,10.6618,7.9718,0.1967,0.236
105,LA,2010,0.01,10.6292,7.5675,0.1315,0.3608
106,ME,2010,0.01,10.4997,10.8359,0.1228,0.146
107,ME,2010,0.01,10.6406,7.9905,0.0384,0.3113
108,ME,2010,0.01,10.7134,12.5026,0.1648,0.1447
109,ME,2010,0.01,10.523,6.8844,0.1587,0.1876
110,ME,2010,0.01,10.515,12.42,0.2498,0.4414
111,ME,2010,0.01,10.66,10.3571,0.1015,0.2309
112,ME,2010,0.01,10.5495,9.8474,0.1331,0.2717
113,MD,2010,0.01,10.3638,9.1468,0.135,0.337
114,MD,2010,0.01,10.6546,10.4626,0.2146,0.2996
115,MD,2010,0.01,10.506,9.857,0.1143,0.265
116,MD,2010,0.01,10.5569,11.7683,0.1367,0.2865
117,MD,2010,0.01,10.6603,10.2465,0.1565,0.4903
118,MD,2010,0.01,10.5723,10.0788,0.1312,0.2442
119,MD,2010,0.01,10.632,9.4695,0.0932,0.2701
120,MA,2010,0.01,10.543,10.0273,0.1316,0.3551
121,MA,2010,0.01,10.6395,10.2113,0.1844,0.3606
122,MA,2010,0.01,10.5647,7.5163,0.0584,0.3687
123,MA,2010,0.01,10.648,7.8783,0.128,0.3139
124,MA,2010,0.01,10.5822,11.2005,0.078,0.1357
125,MA,2010,0.01,10.5105,10.1418,0.1917,0.4133
126,MA,2010,0.01,10.6292,9.4533,0.0286,0.1354
127,MI,2010,0.01,10.5105,9.7835,0.0865,0.2803
128,MI,2010,0.01,10.6132,10.5286,0.1426,0.1746
129,MI,2010,0.01,10.5898,9.2293,0.2139,0.2436
130,MI,2010,0.01,10.7487,8.6969,0.1161,0.2829
131,MI,2010,0.01,10.5423,10.3896,0.0867,0.2821
132,MI,2010,0.01,10.5327,8.2832,0.2329,0.2922
133,MI,2010,0.01,10.6015,10.6025,0.0331,0.4114
134,MN,2010,0.01,10.5383,7.2645,0.01,0.2954
135,MN,2010,0.01,10.6277,11.446,0.1464,0.2256
136,MN,2010,0.01,10.4223,10.716,0.0899,0.3464
137,MN,2010,0.01,10.4853,10.255,0.0587,0.3689
138,MN,2010,0.01,10.4114,11.4164,0.1625,0.1272
139,MN,2010,0.01,10.668,12.6492,0.1346,0.3097
140,MN,2010,0.01,10.7471,11.435,0.0862,0.3201
141,MS,2010,0.01,10.5356,7.364,0.0432,0.2202
142,MS,2010,0.01,10.5794,7.9112,0.1723,0.3876
143,MS,2010,0.01,10.5575,9.1422,0.159,0.235
144,MS,2010,0.131,10.433,10.2554,0.114,0.2626
145,MS,2010,0.01,10.4571,10.4057,0.2308,0.2327
146,MS,2010,0.01,10.5793,8.7918,0.0558,0.2516
147,MS,2010,0.01,10.6196,10.3667,0.0285,0.1404
148,MO,2010,0.01,10.5619,8.8365,0.0785,0.106
149,MO,2010,0.01,10.6218,9.1384,0.1173,0.4095
150,MO,2010,0.01,10.6297,7.7994,0.1346,0.1653
151,MO,2010,0.01,10.2549,8.6281,0.1055,0.1509
152,MO,2010,0.01,10.5628,7.9491,0.1411,0.05
153,MO,2010,0.0306,10.4291,8.7114,0.0449,0.1861
154,MO,2010,0.01,10.3322,11.6186,0.2066,0.1177
155,MT,2010,0.01,10.6554,8.6265,0.1151,0.4142
156,MT,2010,0.01,10.7227,13.8868,0.187,0.351
157,MT,2010,0.01,10.5206,10.6668,0.1406,0.1812
158,MT,2010,0.01,10.7179,10.2124,0.1474,0.4752
159,MT,2010,0.01,10.7457,8.7716,0.1542,0.3482
160,MT,2010,0.01,10.6767,10.9873,0.1469,0.2175
161,MT,2010,0.01,10.659,9.18,0.1586,0.05
162,NE,2010,0.2,10.3179,10.4943,0.1997,0.4791
