firm_id,year,log_output,log_capital,log_labor,log_materials,rd_intensity,sector,exporter
1,2000,7.7875,9.4733,5.4547,8.4448,0.0409,Technology,1
1,2001,7.5257,8.1265,5.734,8.2053,0.0489,Technology,1
1,2002,6.992,8.2066,4.3109,7.1075,0.0433,Technology,1
1,2003,7.644,9.1293,5.0171,8.2934,0.0261,Technology,1
1,2004,7.5776,9.3361,4.7801,7.9506,0.0383,Technology,1
1,2005,7.6535,8.2833,5.4582,8.922,0.0506,Technology,1
1,2006,7.1401,7.7267,4.9991,8.0632,0.0222,Technology,1
1,2007,7.7618,10.4356,4.2761,7.859,0.0145,Technology,1
1,2008,7.9343,10.0973,5.0602,7.8543,0.0176,Technology,1
1,2009,7.5101,9.752,5.0651,7.0111,0.0377,Technology,1
1,2010,8.4042,10.1654,5.9212,8.1795,0.0287,Technology,1
1,2011,7.2915,8.9915,5.2532,7.3325,0.0362,Technology,1
1,2012,7.404,8.2121,5.0887,7.9142,0.033,Technology,1
1,2013,7.4298,7.3092,5.3675,8.7558,0.0513,Technology,1
1,2014,7.4885,10.4482,4.5354,6.739,0.0295,Technology,1
1,2015,7.4374,9.6584,4.5474,7.5158,0.055,Technology,1
1,2016,7.0651,7.8955,4.3716,8.5351,0.0653,Technology,1
1,2017,7.8544,10.3709,5.485,6.6144,0.0458,Technology,1
1,2018,7.7084,9.2441,4.9776,7.9537,0.0202,Technology,1
1,2019,7.6102,9.5385,4.9734,7.6689,0.0558,Technology,1
2,2000,6.6755,8.8779,5.4886,6.8306,0.0446,Manufacturing,0
2,2001,7.3777,10.1713,4.7782,8.8991,0.0532,Manufacturing,0
2,2002,7.5097,9.2969,5.8785,9.2643,0.0221,Manufacturing,0
2,2003,6.24,10.3416,3.8614,5.5182,0.0142,Manufacturing,0
2,2004,6.1072,7.9749,4.4365,7.2127,0.0569,Manufacturing,0
2,2005,7.4983,10.2176,5.1278,8.8559,0.0249,Manufacturing,0
2,2006,7.0488,9.3573,5.0194,8.2769,0.0436,Manufacturing,0
2,2007,5.8643,7.2415,4.5129,6.9129,0.0346,Manufacturing,0
2,2008,6.3614,8.4323,4.6992,8.2226,0.0154,Manufacturing,0
2,2009,6.9316,9.3586,4.8489,8.2899,0.0148,Manufacturing,0
2,2010,6.3915,9.496,4.0307,7.2119,0.0142,Manufacturing,0
2,2011,6.8135,8.711,5.1327,7.8506,0.0421,Manufacturing,0
2,2012,7.6512,10.4338,5.6271,8.8281,0.0541,Manufacturing,0
2,2013,7.0793,8.9582,5.0372,8.6729,0.025,Manufacturing,0
2,2014,6.3786,7.4108,4.124,8.8014,0.0402,Manufacturing,0
2,2015,6.2416,7.8095,5.278,6.6034,0.0483,Manufacturing,0
2,2016,6.927,9.2482,5.6425,7.7388,0.028,Manufacturing,0
2,2017,7.6444,10.7399,5.2722,8.2508,0.0032,Manufacturing,0
2,2018,7.6088,9.5706,6.0816,8.636,0.0,Manufacturing,0
2,2019,7.4205,10.3305,5.5414,8.0052,0.026,Manufacturing,0
3,2000,8.1963,10.6635,5.5354,8.3914,0.0254,Energy,0
3,2001,8.0036,10.4534,5.1915,8.6823,0.0,Energy,0
3,2002,7.4473,8.8437,5.6418,7.5307,0.0196,Energy,0
3,2003,7.5989,9.7114,4.8722,8.2155,0.0367,Energy,0
3,2004,8.3231,10.3905,5.7594,8.4948,0.0183,Energy,0
3,2005,7.5272,10.2331,4.4775,7.3071,0.0593,Energy,0
3,2006,7.3206,8.7263,4.5161,8.63,0.0456,Energy,0
3,2007,7.1219,8.4697,5.4299,6.7763,0.0163,Energy,0
3,2008,7.5685,10.281,5.1513,7.3301,0.0521,Energy,0
3,2009,6.9917,8.3608,5.6333,6.6894,0.0,Energy,0
3,2010,7.4852,10.419,5.5467,6.4791,0.018,Energy,0
3,2011,7.5399,9.988,4.4984,8.0256,0.0302,Energy,0
3,2012,7.4622,7.6938,5.5662,8.9172,0.064,Energy,0
3,2013,6.7145,7.3426,4.9488,7.9098,0.0371,Energy,0
3,2014,7.8563,10.1227,5.5255,8.3289,0.02,Energy,0
3,2015,7.2698,8.9426,5.7395,6.9504,0.017,Energy,0
3,2016,7.7024,9.0314,5.3675,8.2817,0.0091,Energy,0
3,2017,7.6137,10.6243,5.0271,6.6457,0.0595,Energy,0
3,2018,7.997,11.3952,4.4604,8.003,0.0637,Energy,0
3,2019,6.9517,7.3264,4.1459,9.223,0.0221,Energy,0
4,2000,6.31,8.6696,4.5598,7.938,0.0348,Manufacturing,0
4,2001,6.6927,10.3845,5.0069,6.3485,0.0216,Manufacturing,0
4,2002,6.1201,7.0387,4.973,7.9904,0.0791,Manufacturing,0
4,2003,6.2586,9.0756,5.2904,6.0268,0.0051,Manufacturing,0
4,2004,6.5818,9.1241,5.1844,7.5873,0.026,Manufacturing,0
4,2005,5.9868,7.9269,4.9355,6.5797,0.0137,Manufacturing,0
4,2006,6.4608,8.8222,5.3579,7.6822,0.0184,Manufacturing,0
4,2007,6.5998,8.6229,5.1616,8.0691,0.0285,Manufacturing,0
4,2008,6.0489,7.5228,5.5133,6.7174,0.0458,Manufacturing,0
4,2009,6.2348,7.1928,5.4585,8.4311,0.0513,Manufacturing,0
4,2010,6.8294,9.2624,5.4472,8.2391,0.0343,Manufacturing,0
4,2011,6.9174,10.0909,5.6069,7.5416,0.0104,Manufacturing,0
4,2012,6.9648,10.4878,5.5953,7.664,0.0221,Manufacturing,0
4,2013,6.2969,9.0586,4.5344,7.8222,0.0498,Manufacturing,0
4,2014,6.8844,9.4016,5.6389,7.8862,0.0156,Manufacturing,0
4,2015,7.0071,10.1402,5.2813,7.7223,0.0492,Manufacturing,0
4,2016,6.3251,8.0001,5.4757,8.4996,0.0014,Manufacturing,0
4,2017,6.5561,8.181,5.1188,8.5628,0.0083,Manufacturing,0
4,2018,5.5656,6.3506,5.2702,7.4446,0.0681,Manufacturing,0
4,2019,6.4352,9.2485,4.2409,7.3452,0.0,Manufacturing,0
5,2000,6.8485,8.757,5.2138,8.6351,0.0,Services,0
5,2001,6.3621,8.8853,5.1916,6.1904,0.0277,Services,0
5,2002,6.7037,7.7147,4.9333,8.0995,0.0659,Services,0
5,2003,7.1876,10.2727,5.1917,7.4584,0.0319,Services,0
5,2004,7.2517,10.1671,5.8399,6.6283,0.023,Services,0
5,2005,6.9717,8.9412,4.8436,8.5023,0.0188,Services,0
5,2006,7.3701,8.7702,6.1684,8.5912,0.0223,Services,0
5,2007,6.8635,9.6948,4.8606,7.3527,0.0457,Services,0
5,2008,6.6187,7.7227,5.3623,8.3914,0.0224,Services,0
5,2009,7.3967,10.4765,5.1671,7.5712,0.0273,Services,0
5,2010,6.949,9.43,5.3214,7.5251,0.0292,Services,0
5,2011,6.8131,9.6775,4.5546,7.852,0.0216,Services,0
5,2012,6.8288,9.6542,5.1203,6.8854,0.0112,Services,0
5,2013,6.4874,8.4454,4.3014,8.354,0.0042,Services,0
5,2014,6.508,8.3317,4.6686,7.9821,0.0158,Services,0
5,2015,6.898,7.4562,6.0249,8.0115,0.0569,Services,0
5,2016,7.2561,10.4756,5.0362,7.7767,0.009,Services,0
5,2017,6.9518,8.0637,5.8763,8.4724,0.0414,Services,0
5,2018,7.1788,10.4961,4.3896,7.6855,0.032,Services,0
5,2019,7.0097,8.0521,5.8679,8.711,0.0532,Services,0
6,2000,7.0007,8.7255,4.6783,8.4367,0.0173,Energy,0
6,2001,6.4288,6.9697,4.6664,8.0229,0.0408,Energy,0
6,2002,7.4517,9.0517,5.1459,8.6848,0.0129,Energy,0
6,2003,6.5243,8.2188,5.1813,6.8598,0.0483,Energy,0
6,2004,6.5431,8.1157,4.9838,6.9297,0.0171,Energy,0
6,2005,6.7834,7.8894,5.114,7.8695,0.0,Energy,0
6,2006,7.2661,9.3636,5.2784,7.6826,0.0384,Energy,0
6,2007,7.5292,9.4259,5.2562,8.8379,0.0575,Energy,0
6,2008,7.6362,8.5766,5.7152,9.4507,0.0308,Energy,0
6,2009,6.7728,8.8948,5.3555,6.0491,0.0209,Energy,0
6,2010,7.0138,8.3655,5.3773,8.0661,0.0429,Energy,0
6,2011,7.5646,10.0257,6.0342,7.2724,0.018,Energy,0
6,2012,7.0862,9.5556,4.6049,7.3165,0.0605,Energy,0
6,2013,7.1108,8.3097,6.063,7.3511,0.0381,Energy,0
6,2014,7.0285,10.2391,4.5683,7.2883,0.013,Energy,0
6,2015,6.9163,8.5975,4.7321,8.2381,0.0236,Energy,0
6,2016,6.6134,7.5253,5.6541,6.37,0.0333,Energy,0
6,2017,7.3634,10.9178,4.4783,7.6117,0.0468,Energy,0
6,2018,7.1142,10.4813,4.1612,7.8917,0.0403,Energy,0
6,2019,7.6059,10.2213,4.6778,9.0838,0.0249,Energy,0
7,2000,6.3086,8.5569,5.3851,6.8334,0.0737,Manufacturing,0
7,2001,6.4299,7.3093,5.8568,8.1383,0.036,Manufacturing,0
7,2002,6.6411,9.0114,4.9412,8.2443,0.015,Manufacturing,0
7,2003,7.0223,9.689,5.6944,7.235,0.0398,Manufacturing,0
7,2004,5.9315,8.0686,4.901,6.1883,0.0681,Manufacturing,0
7,2005,6.6531,9.9182,4.8521,7.1785,0.0248,Manufacturing,0
7,2006,7.503,11.3932,5.2586,8.1317,0.0273,Manufacturing,0
7,2007,7.1849,9.7272,5.0525,8.7266,0.0104,Manufacturing,0
7,2008,6.9171,10.2357,6.1218,6.2241,0.0485,Manufacturing,0
7,2009,6.8461,9.9823,5.5341,6.9508,0.0412,Manufacturing,0
7,2010,6.2727,8.4156,4.1598,8.7785,0.0251,Manufacturing,0
7,2011,6.6775,9.4439,5.1631,6.9287,0.0089,Manufacturing,0
7,2012,6.3621,9.3585,4.7965,7.3751,0.0196,Manufacturing,0
7,2013,6.9906,10.1088,4.9474,7.5717,0.0381,Manufacturing,0
7,2014,6.3221,9.3885,4.5948,7.5109,0.0255,Manufacturing,0
7,2015,6.9885,9.683,5.4789,7.7991,0.0102,Manufacturing,0
7,2016,6.9563,10.2517,5.0514,8.3776,0.0355,Manufacturing,0
7,2017,6.7222,8.7313,5.4314,7.8615,0.0457,Manufacturing,0
7,2018,7.019,9.917,5.0127,8.0374,0.0065,Manufacturing,0
7,2019,6.5811,9.5586,4.5822,7.6022,0.0769,Manufacturing,0
8,2000,6.9901,8.7953,5.7905,7.8808,0.0213,Energy,1
8,2001,6.9973,9.2741,5.593,7.6257,0.0264,Energy,1
8,2002,6.9691,9.3863,5.1793,6.9506,0.0496,Energy,1
8,2003,6.6788,9.0812,5.1811,6.6611,0.0438,Energy,1
8,2004,6.8453,8.7261,4.6683,9.0381,0.0367,Energy,1
8,2005,6.862,9.9278,5.1648,7.6221,0.0486,Energy,1
8,2006,6.3536,7.2852,5.7496,7.4869,0.0205,Energy,1
8,2007,7.2067,9.3061,5.2286,8.7577,0.0365,Energy,1
8,2008,7.3724,9.5379,5.6347,8.333,0.0415,Energy,1
8,2009,6.3183,8.5709,4.5736,6.6822,0.037,Energy,1
8,2010,7.5837,10.2665,5.3809,8.4907,0.0265,Energy,1
8,2011,6.3299,8.1908,5.0799,6.1998,0.0297,Energy,1
8,2012,7.0753,9.2824,5.4809,7.8985,0.0177,Energy,1
8,2013,7.2735,10.4119,5.4883,7.2009,0.0013,Energy,1
8,2014,6.4284,8.6704,5.0513,6.5465,0.0499,Energy,1
8,2015,6.6924,9.3269,4.7335,7.5031,0.0315,Energy,1
8,2016,6.7018,9.0764,5.8531,6.34,0.0328,Energy,1
8,2017,7.1566,10.6487,5.0796,6.9173,0.0248,Energy,1
8,2018,7.0629,12.1079,4.1251,6.8107,0.0552,Energy,1
8,2019,6.7456,9.3619,4.9483,7.2727,0.0256,Energy,1
9,2000,7.7161,10.4234,4.4642,8.115,0.0479,Manufacturing,0
9,2001,7.2995,9.6626,4.0902,8.4262,0.0967,Manufacturing,0
9,2002,6.7504,9.1361,4.7758,6.2221,0.0405,Manufacturing,0
9,2003,7.6423,9.4887,5.212,9.0642,0.0251,Manufacturing,0
9,2004,7.6777,9.4594,4.991,9.0571,0.0498,Manufacturing,0
9,2005,7.7932,10.2163,5.6076,6.822,0.0422,Manufacturing,0
9,2006,6.6865,7.7289,4.6841,7.4278,0.0435,Manufacturing,0
9,2007,7.5554,9.4433,4.9705,7.8555,0.0615,Manufacturing,0
9,2008,7.7305,10.3392,5.687,7.6898,0.0855,Manufacturing,0
9,2009,7.5257,9.5298,5.4685,7.6945,0.0555,Manufacturing,0
9,2010,7.6769,10.5858,5.1632,7.3456,0.0231,Manufacturing,0
9,2011,6.2414,8.7244,3.6819,6.1633,0.0234,Manufacturing,0
9,2012,8.0906,10.5905,5.2969,7.7891,0.0185,Manufacturing,0
9,2013,7.3988,9.3727,5.6017,7.7159,0.0449,Manufacturing,0
9,2014,7.3837,9.7674,5.1903,7.8031,0.0551,Manufacturing,0
9,2015,6.9408,8.9254,4.1165,7.5148,0.0551,Manufacturing,0
9,2016,7.4085,9.1958,5.2642,7.448,0.0341,Manufacturing,0
9,2017,8.1155,11.1494,5.5295,7.7017,0.0682,Manufacturing,0
9,2018,7.276,9.1883,5.1125,7.4298,0.048,Manufacturing,0
9,2019,7.9124,9.6913,4.9006,9.3682,0.0304,Manufacturing,0
10,2000,6.8698,9.5852,5.3339,7.7882,0.0111,Technology,1
10,2001,6.7775,10.3375,4.2514,7.7219,0.0226,Technology,1
10,2002,6.3052,9.085,4.2694,8.0008,0.0075,Technology,1
10,2003,6.2573,9.0206,4.8244,6.9064,0.0192,Technology,1
10,2004,7.0401,10.5366,5.1969,7.4333,0.0422,Technology,1
10,2005,6.5793,8.7502,5.5166,7.0198,0.0065,Technology,1
10,2006,6.4656,9.1937,5.1373,7.3096,0.0389,Technology,1
10,2007,6.1464,7.1128,4.8715,8.1086,0.0519,Technology,1
10,2008,6.4864,8.1473,4.6227,8.5884,0.0451,Technology,1
10,2009,6.9565,10.0105,5.1744,7.4685,0.0238,Technology,1
10,2010,6.5857,9.347,4.1173,8.3561,0.0387,Technology,1
10,2011,6.6544,10.5391,4.7062,6.8121,0.037,Technology,1
10,2012,6.8713,10.8164,4.7734,7.1051,0.0189,Technology,1
10,2013,6.4912,8.8013,4.9984,7.4052,0.0,Technology,1
10,2014,6.2734,8.7542,5.0635,6.7387,0.0,Technology,1
10,2015,7.2703,10.7646,5.9103,6.9981,0.0122,Technology,1
10,2016,5.673,6.5638,4.867,7.9181,0.0224,Technology,1
10,2017,6.0691,7.4212,4.4544,7.693,0.0103,Technology,1
10,2018,6.4143,7.9334,5.794,6.8076,0.0773,Technology,1
10,2019,6.2264,7.0728,5.7985,7.4153,0.0456,Technology,1
11,2000,6.9939,8.7143,4.6471,8.7601,0.0462,Energy,0
11,2001,6.9388,8.2471,5.5462,8.5052,0.0587,Energy,0
11,2002,6.5386,8.5288,4.9761,7.6035,0.0028,Energy,0
11,2003,7.1433,10.1409,4.7512,7.6037,0.0385,Energy,0
11,2004,7.2973,9.652,5.5058,7.9062,0.0347,Energy,0
