idcode,year,ln_wage,experience,tenure,education,union,married,hours,industry
1,1968,1.5218,3.56,1.38,12,0,1,42.0,11
1,1970,2.4459,6.08,5.6,12,1,0,47.3,11
1,1972,1.597,5.56,0.5,12,0,1,41.1,11
1,1974,1.8724,9.13,1.34,12,0,0,38.5,11
1,1976,1.7113,10.59,1.41,12,1,1,43.9,11
1,1978,2.4344,12.92,0.67,12,0,1,37.8,11
1,1980,1.9342,13.77,0.1,12,0,1,43.5,11
1,1982,2.198,14.29,2.38,12,0,0,42.4,11
1,1984,2.0328,18.39,7.35,12,0,1,35.8,11
1,1986,1.8108,17.98,0.97,12,0,1,43.2,11
1,1988,2.5156,19.9,5.97,12,0,0,39.2,11
1,1990,1.6487,20.82,1.92,12,0,1,42.3,11
1,1992,2.3217,22.78,3.84,12,0,1,36.9,11
1,1994,2.3613,22.91,4.48,12,0,1,36.1,11
1,1996,2.3667,26.21,1.7,12,0,1,43.5,11
2,1968,1.2193,2.89,4.42,12,0,0,38.5,5
2,1970,0.9245,4.61,0.64,12,0,0,40.0,5
2,1972,0.4916,5.18,0.1,12,1,0,41.1,5
2,1974,1.1696,7.06,7.54,12,0,1,30.4,5
2,1976,1.0696,9.36,1.04,12,1,0,37.1,5
2,1978,0.8459,11.08,0.26,12,0,0,44.0,5
2,1980,1.4841,13.43,1.01,12,0,1,37.5,5
2,1982,1.3715,15.18,0.18,12,0,1,34.7,5
2,1984,1.5716,14.58,6.0,12,1,1,38.2,5
2,1986,1.5346,17.65,1.59,12,0,1,41.3,5
2,1988,1.6293,17.32,1.64,12,0,0,43.1,5
2,1990,1.5375,19.99,0.15,12,1,0,49.3,5
2,1992,1.8488,20.36,2.53,12,1,1,43.8,5
2,1994,1.2694,23.15,1.86,12,1,1,35.6,5
2,1996,1.4713,24.25,4.33,12,0,0,53.7,5
3,1968,0.99,2.15,0.47,10,0,0,39.4,3
3,1970,0.9558,5.36,8.35,10,1,1,37.0,3
3,1972,1.3293,3.31,0.59,10,0,0,34.3,3
3,1974,1.5222,5.98,0.1,10,0,1,42.2,3
3,1976,0.9832,7.63,0.1,10,0,1,37.2,3
3,1978,1.3586,8.41,2.95,10,1,1,37.9,3
3,1980,1.1352,9.57,3.45,10,1,0,46.1,3
3,1982,1.091,12.36,1.48,10,1,1,39.5,3
3,1984,1.0745,15.44,0.1,10,1,1,48.9,3
3,1986,1.9009,14.42,0.1,10,1,0,41.4,3
3,1988,1.2686,16.53,3.3,10,1,1,36.6,3
3,1990,1.6241,18.44,7.19,10,1,1,43.5,3
3,1992,1.5019,19.78,0.77,10,1,0,38.4,3
3,1994,1.5121,24.21,2.06,10,0,0,45.9,3
3,1996,1.4602,23.76,0.9,10,0,0,45.7,3
4,1968,1.3265,0.5,0.64,12,0,1,37.1,12
4,1970,1.3516,2.27,1.41,12,0,0,36.9,12
4,1972,0.9937,3.93,2.7,12,0,1,46.4,12
4,1974,1.2627,5.42,3.58,12,0,0,38.0,12
4,1976,1.169,6.5,3.74,12,0,0,41.6,12
4,1978,0.8853,8.06,2.07,12,0,1,46.0,12
4,1980,1.1993,10.1,3.22,12,1,1,40.4,12
4,1982,1.8032,11.77,0.56,12,1,1,43.1,12
4,1984,0.9224,12.14,3.32,12,0,1,32.8,12
4,1986,1.3589,13.41,2.67,12,0,1,38.5,12
4,1988,1.8822,14.94,0.1,12,1,0,42.6,12
4,1990,1.6947,16.9,0.64,12,0,1,40.3,12
4,1992,1.1883,18.87,1.28,12,0,0,50.8,12
4,1994,1.8301,20.69,0.1,12,1,0,39.4,12
4,1996,1.5123,20.32,0.58,12,0,1,36.2,12
5,1968,1.4021,1.71,0.69,16,1,0,48.4,1
5,1970,1.8774,4.53,0.95,16,0,0,41.7,1
5,1972,1.7826,7.02,0.73,16,0,0,41.1,1
5,1974,2.4341,8.73,5.07,16,0,0,36.8,1
5,1976,2.1264,8.33,0.32,16,0,1,41.7,1
5,1978,2.794,10.42,1.15,16,0,1,37.2,1
5,1980,2.081,13.04,1.91,16,0,0,41.0,1
5,1982,2.7941,14.71,2.32,16,1,0,29.9,1
5,1984,2.0549,14.71,1.82,16,0,0,46.1,1
5,1986,1.6286,16.52,0.68,16,1,1,42.4,1
5,1988,2.7128,19.79,0.54,16,0,1,36.2,1
5,1990,2.6269,19.45,7.84,16,0,1,37.5,1
5,1992,1.8975,20.73,1.62,16,0,1,33.9,1
5,1994,2.2943,22.38,1.95,16,0,1,40.9,1
5,1996,2.3457,24.56,0.64,16,0,1,38.7,1
6,1968,1.975,3.72,1.22,13,0,1,39.1,11
6,1970,2.3303,4.47,0.64,13,1,0,48.4,11
6,1972,2.4941,6.82,1.1,13,0,0,37.8,11
6,1974,2.207,8.01,0.74,13,0,0,33.0,11
6,1976,2.2933,9.3,0.34,13,0,1,27.5,11
6,1978,1.8983,11.63,4.14,13,0,1,42.5,11
6,1980,1.8578,12.9,2.24,13,0,0,37.2,11
6,1982,1.7607,14.55,0.1,13,1,0,43.2,11
6,1984,2.5565,15.77,1.09,13,1,1,37.0,11
6,1986,2.2355,18.21,2.37,13,0,1,42.9,11
6,1988,2.9348,19.12,5.44,13,1,1,42.4,11
6,1990,2.226,20.23,3.4,13,0,1,42.0,11
6,1992,2.7596,22.05,2.1,13,0,1,38.7,11
6,1994,2.2881,22.78,0.1,13,0,1,41.6,11
6,1996,2.6342,25.49,3.81,13,0,1,40.8,11
7,1968,1.2564,2.58,0.28,10,0,1,47.5,1
7,1970,0.9848,3.66,3.68,10,1,0,38.7,1
7,1972,1.4622,5.08,0.53,10,0,0,46.9,1
7,1974,1.7237,5.63,0.81,10,1,0,31.1,1
7,1976,1.2453,8.96,0.13,10,0,0,39.0,1
7,1978,1.7894,11.36,5.24,10,0,1,49.4,1
7,1980,1.5667,12.71,5.02,10,0,1,52.7,1
7,1982,0.8415,12.46,0.57,10,0,1,34.9,1
7,1984,1.2844,15.09,0.71,10,0,0,32.5,1
7,1986,1.5917,15.03,0.14,10,0,1,38.8,1
7,1988,1.4152,18.91,0.41,10,0,1,36.0,1
7,1990,1.5112,18.93,1.71,10,1,0,41.0,1
7,1992,0.6833,19.98,0.1,10,0,1,46.9,1
7,1994,1.3648,20.27,0.85,10,1,1,33.0,1
7,1996,1.6213,22.55,0.75,10,1,0,39.6,1
8,1968,1.3178,1.09,2.05,9,0,0,44.3,11
8,1970,0.888,3.97,3.18,9,0,0,38.6,11
8,1972,1.4913,4.98,1.74,9,0,0,46.8,11
8,1974,1.0658,7.14,1.05,9,0,1,45.9,11
8,1976,0.9724,9.22,0.17,9,0,0,40.8,11
8,1978,1.6006,9.94,0.43,9,0,0,44.3,11
8,1980,1.5279,10.37,1.7,9,0,1,41.5,11
8,1982,1.2034,13.72,1.64,9,0,1,39.3,11
8,1984,1.2529,15.91,0.1,9,1,1,44.6,11
8,1986,1.2685,16.53,0.56,9,0,0,47.0,11
8,1988,1.976,15.97,5.73,9,1,1,38.9,11
8,1990,1.4833,19.14,1.96,9,0,1,31.2,11
8,1992,1.2073,19.47,3.62,9,0,0,41.9,11
8,1994,2.1826,20.26,0.55,9,0,0,35.3,11
8,1996,1.6682,24.25,6.11,9,0,0,35.7,11
9,1968,2.2536,4.43,1.92,14,0,0,42.1,5
9,1970,2.3085,6.51,4.56,14,1,0,42.2,5
9,1972,2.1682,8.7,3.94,14,0,0,40.5,5
9,1974,2.3272,8.95,0.26,14,0,1,38.7,5
9,1976,2.5995,11.13,2.42,14,0,0,41.3,5
9,1978,2.2118,12.36,6.39,14,0,0,46.1,5
9,1980,2.7925,13.39,0.99,14,0,0,37.8,5
9,1982,2.2279,16.56,0.54,14,1,1,35.0,5
9,1984,2.3436,15.25,1.93,14,0,0,44.9,5
9,1986,3.0627,18.26,2.5,14,1,0,45.8,5
9,1988,2.8416,18.54,0.68,14,0,1,36.8,5
9,1990,2.4467,22.43,2.35,14,1,0,36.5,5
9,1992,2.5881,24.68,2.46,14,1,0,36.9,5
9,1994,2.2554,24.53,2.55,14,0,1,31.3,5
9,1996,2.8183,26.5,1.15,14,1,1,37.4,5
10,1968,2.0094,5.34,1.1,14,0,0,43.0,3
10,1970,1.8661,6.44,2.64,14,0,0,36.8,3
10,1972,2.2113,6.99,2.3,14,1,0,40.1,3
10,1974,1.8266,8.94,2.02,14,0,0,47.5,3
10,1976,1.8697,10.5,1.35,14,0,1,43.0,3
10,1978,2.1137,11.43,0.81,14,0,1,31.0,3
10,1980,1.9871,12.9,4.16,14,0,0,37.2,3
10,1982,1.8848,16.04,2.26,14,0,1,33.9,3
10,1984,2.2661,16.8,0.99,14,1,0,33.6,3
10,1986,1.9031,18.31,1.04,14,0,1,44.5,3
10,1988,2.2945,18.72,0.1,14,0,1,39.6,3
10,1990,2.1192,21.06,3.17,14,0,0,35.3,3
10,1992,2.7128,23.28,1.56,14,1,1,36.6,3
10,1994,2.3587,23.75,0.1,14,0,1,36.8,3
10,1996,2.3149,25.06,0.13,14,0,1,32.1,3
11,1968,1.953,6.01,0.9,13,1,0,39.9,6
11,1970,2.0559,6.27,2.57,13,0,1,45.1,6
11,1972,2.225,7.15,7.19,13,1,0,41.8,6
11,1974,2.2546,11.12,2.75,13,0,0,40.7,6
11,1976,2.2391,11.67,2.14,13,0,0,46.8,6
11,1978,2.4103,12.3,0.5,13,0,0,48.7,6
11,1980,2.4814,16.15,0.74,13,0,0,39.1,6
11,1982,1.8718,16.16,0.52,13,1,1,37.9,6
11,1984,2.5316,17.65,0.33,13,0,1,41.9,6
11,1986,2.3057,19.46,1.95,13,0,1,38.0,6
11,1988,1.8181,21.51,1.21,13,0,0,33.6,6
11,1990,2.7116,22.76,0.63,13,0,1,48.3,6
11,1992,2.1805,23.44,0.1,13,1,1,39.0,6
11,1994,2.0448,25.99,3.23,13,1,1,35.6,6
11,1996,2.7447,27.63,1.94,13,0,1,39.2,6
12,1968,1.556,2.6,1.59,8,0,1,44.2,12
12,1970,1.1976,6.31,3.11,8,0,0,38.7,12
12,1972,0.9594,6.79,1.38,8,0,1,39.3,12
12,1974,1.5041,8.19,1.52,8,1,1,44.6,12
12,1976,1.5211,10.64,0.1,8,0,1,35.3,12
12,1978,1.5044,11.56,0.73,8,0,1,44.4,12
12,1980,1.3846,12.96,1.44,8,0,0,37.8,12
12,1982,1.165,14.5,2.36,8,1,0,48.2,12
12,1984,1.6453,16.08,14.39,8,1,0,45.0,12
12,1986,1.1467,17.61,3.28,8,0,1,45.9,12
12,1988,1.2127,19.32,3.43,8,0,0,40.6,12
12,1990,1.1245,19.32,1.44,8,0,1,36.8,12
12,1992,1.9492,23.16,2.32,8,0,1,40.3,12
12,1994,2.3156,22.98,0.71,8,0,1,45.1,12
12,1996,1.7729,25.95,3.52,8,0,0,38.7,12
13,1968,1.5415,1.88,3.35,12,0,0,35.9,2
13,1970,1.7313,2.44,8.26,12,0,0,37.3,2
13,1972,0.8583,5.27,0.1,12,0,1,42.4,2
13,1974,1.2476,6.21,2.89,12,0,0,37.7,2
13,1976,1.8506,7.66,1.72,12,1,1,43.5,2
13,1978,1.6027,9.84,3.16,12,1,1,37.8,2
13,1980,1.5812,10.45,2.04,12,1,1,36.5,2
13,1982,1.3237,10.95,2.34,12,1,1,43.3,2
13,1984,1.5702,13.02,2.09,12,0,1,45.2,2
13,1986,2.3011,13.69,5.2,12,0,1,45.7,2
13,1988,2.03,15.16,0.18,12,0,1,42.5,2
13,1990,1.3109,18.17,0.29,12,0,0,38.8,2
13,1992,2.0006,18.31,10.1,12,0,1,35.9,2
13,1994,1.9109,21.1,2.96,12,1,1,46.2,2
13,1996,2.208,22.5,1.12,12,1,0,36.2,2
14,1968,0.8844,0.5,3.55,12,0,0,36.1,6
14,1970,1.2643,0.87,1.14,12,0,0,44.2,6
14,1972,1.4269,4.04,3.68,12,1,0,40.4,6
14,1974,1.3277,6.07,3.78,12,0,0,37.5,6
14,1976,1.5117,5.89,2.07,12,0,0,45.4,6
14,1978,1.4682,8.32,2.14,12,0,1,27.4,6
14,1980,1.7017,9.54,0.1,12,1,1,40.3,6
14,1982,1.2511,11.28,0.86,12,0,1,41.4,6
14,1984,2.0831,13.27,1.33,12,1,1,38.9,6
14,1986,1.5466,14.46,7.93,12,1,1,38.2,6
14,1988,1.9008,16.08,0.1,12,0,0,42.2,6
14,1990,1.9187,18.1,0.63,12,0,1,39.4,6
14,1992,0.8172,18.43,0.35,12,0,0,37.1,6
14,1994,1.7632,19.9,1.6,12,1,1,35.0,6
14,1996,1.5598,20.27,4.62,12,1,1,37.8,6
15,1968,1.8733,3.07,6.74,15,1,1,42.3,9
15,1970,1.6102,5.08,0.47,15,0,0,27.8,9
15,1972,1.6738,5.11,4.23,15,0,0,37.0,9
15,1974,1.1302,8.69,0.48,15,1,0,36.2,9
15,1976,1.6966,8.46,0.67,15,0,1,36.0,9
15,1978,1.6437,11.58,3.03,15,1,0,35.7,9
15,1980,1.6288,13.09,0.72,15,1,1,39.8,9
15,1982,1.6998,13.85,2.3,15,1,1,41.1,9
15,1984,1.831,15.13,1.17,15,0,1,41.6,9
15,1986,1.7736,16.78,1.01,15,0,0,43.7,9
15,1988,2.4991,18.56,1.16,15,1,0,41.9,9
15,1990,1.7434,20.72,0.19,15,0,0,41.6,9
15,1992,2.3804,20.36,0.78,15,0,0,43.3,9
15,1994,2.1499,22.95,3.73,15,0,1,46.6,9
15,1996,2.461,24.75,0.79,15,1,0,33.5,9
16,1968,1.6801,3.32,1.46,13,1,0,32.8,11
16,1970,1.8626,3.5,3.93,13,0,1,48.6,11
16,1972,1.7867,5.54,1.61,13,0,0,45.8,11
16,1974,2.6113,7.0,1.05,13,0,1,47.7,11
16,1976,2.4928,10.01,3.01,13,0,1,40.0,11
16,1978,2.0149,10.75,2.29,13,0,0,34.3,11
16,1980,2.2139,10.79,0.1,13,0,0,40.9,11
16,1982,2.6077,14.35,2.69,13,1,1,38.1,11
16,1984,2.4224,15.87,1.33,13,0,1,37.4,11
16,1986,2.069,14.34,5.89,13,0,1,42.6,11
16,1988,2.2054,16.42,0.1,13,1,0,25.6,11
16,1990,2.6267,19.58,0.89,13,0,1,43.8,11
16,1992,1.9623,20.28,0.66,13,0,0,35.8,11
16,1994,2.7102,21.62,3.93,13,1,1,27.9,11
16,1996,2.3332,23.95,0.1,13,0,0,43.5,11
17,1968,1.368,2.22,1.11,10,0,0,35.9,9
17,1970,1.7766,4.77,8.81,10,1,1,47.2,9
17,1972,1.288,7.63,0.96,10,0,1,42.0,9
17,1974,1.352,7.23,3.87,10,0,0,44.7,9
17,1976,1.5285,8.65,7.21,10,0,0,44.2,9
17,1978,1.901,11.66,2.92,10,1,1,35.1,9
17,1980,1.3998,13.16,1.8,10,0,1,33.6,9
17,1982,1.4212,14.4,0.68,10,0,1,39.4,9
17,1984,1.3099,14.47,0.1,10,0,0,35.3,9
17,1986,1.8314,15.48,4.79,10,0,1,33.9,9
17,1988,1.9235,16.64,5.18,10,1,1,37.9,9
17,1990,1.6482,20.48,3.01,10,0,0,41.7,9
17,1992,1.5635,20.04,2.54,10,0,0,41.9,9
17,1994,1.7735,21.99,1.21,10,0,1,42.4,9
17,1996,1.7459,24.12,8.62,10,0,1,34.5,9
18,1968,2.2837,1.61,5.56,12,0,1,34.3,10
18,1970,1.5115,4.85,3.57,12,0,1,38.4,10
18,1972,1.7962,5.46,9.12,12,1,1,44.3,10
18,1974,1.7534,6.11,0.1,12,0,1,41.7,10
18,1976,1.3662,8.63,0.1,12,0,0,38.1,10
18,1978,2.2683,8.53,0.7,12,1,1,39.5,10
18,1980,2.0515,11.05,0.1,12,0,1,42.7,10
18,1982,1.7683,13.39,3.03,12,0,0,32.6,10
18,1984,2.4331,12.72,3.77,12,1,1,43.3,10
18,1986,1.8929,15.3,1.26,12,0,0,46.2,10
18,1988,2.1338,16.64,0.1,12,0,1,33.9,10
18,1990,2.0358,18.53,1.94,12,0,1,37.4,10
18,1992,1.8941,20.02,0.76,12,0,1,47.2,10
18,1994,1.5758,22.71,0.86,12,1,0,39.0,10
18,1996,2.2328,23.81,0.1,12,1,1,39.0,10
19,1968,0.4174,0.5,0.1,8,0,0,41.5,1
19,1970,0.7617,2.74,0.1,8,1,1,37.1,1
19,1972,0.5412,4.59,4.4,8,0,1,38.5,1
19,1974,0.7834,6.6,0.1,8,1,0,41.7,1
19,1976,0.6099,8.16,0.1,8,0,0,43.4,1
19,1978,0.2771,8.69,1.98,8,0,0,41.0,1
19,1980,0.3331,11.22,0.59,8,1,0,48.9,1
19,1982,0.3017,12.64,1.48,8,0,1,42.3,1
19,1984,1.2208,13.66,3.88,8,0,0,41.6,1
19,1986,0.1672,14.32,0.47,8,0,0,39.1,1
19,1988,1.1167,17.33,0.37,8,1,1,41.3,1
19,1990,0.5679,17.54,0.1,8,0,0,39.6,1
19,1992,0.1477,20.61,1.41,8,0,1,41.1,1
19,1994,0.9087,22.01,1.06,8,1,0,46.1,1
19,1996,0.9337,23.7,0.74,8,1,0,34.4,1
20,1968,1.5599,2.25,1.46,11,0,1,39.5,11
20,1970,1.7007,4.15,3.93,11,0,1,39.5,11
20,1972,1.6681,4.2,0.97,11,1,0,47.9,11
20,1974,1.438,6.79,1.31,11,0,1,39.2,11
20,1976,2.3934,6.88,2.09,11,1,1,39.0,11
20,1978,1.6281,10.19,2.11,11,0,1,37.7,11
20,1980,2.198,13.58,0.1,11,0,0,41.3,11
20,1982,1.6881,12.67,3.28,11,0,0,41.9,11
20,1984,1.5399,15.36,1.73,11,0,1,43.2,11
20,1986,1.8049,16.15,0.12,11,0,0,39.7,11
20,1988,1.7506,17.88,2.0,11,0,1,45.8,11
20,1990,1.6834,18.85,1.91,11,0,0,39.9,11
20,1992,1.8342,21.36,2.81,11,1,1,45.7,11
20,1994,2.1623,21.25,5.95,11,1,0,44.8,11
20,1996,2.3738,24.04,2.93,11,1,0,43.5,11
21,1968,1.2958,3.12,0.43,13,0,1,42.4,2
21,1970,2.2587,4.26,3.45,13,1,1,42.0,2
21,1972,1.7491,4.78,0.1,13,0,0,42.1,2
21,1974,1.9715,5.11,0.1,13,0,1,45.8,2
21,1976,2.1977,6.7,0.31,13,1,1,36.5,2
21,1978,2.6409,9.93,1.53,13,0,0,42.1,2
21,1980,2.4246,9.63,0.73,13,0,0,36.5,2
21,1982,1.8731,12.83,1.16,13,0,1,42.8,2
21,1984,2.102,14.44,5.44,13,0,1,42.4,2
21,1986,1.7599,15.25,1.86,13,0,1,30.6,2
21,1988,2.3565,17.03,0.59,13,1,1,35.8,2
21,1990,2.2127,18.83,0.34,13,0,1,42.0,2
21,1992,2.1884,19.74,1.26,13,0,1,27.9,2
21,1994,1.7961,21.33,0.91,13,0,0,41.1,2
21,1996,2.4204,24.18,0.73,13,0,0,45.7,2
22,1968,2.074,5.35,0.46,12,0,1,38.4,4
22,1970,1.5545,5.56,0.29,12,0,1,32.4,4
22,1972,1.8182,7.32,0.1,12,0,0,39.9,4
22,1974,2.4337,9.01,2.67,12,0,0,40.6,4
22,1976,2.5626,10.3,0.85,12,1,1,40.5,4
22,1978,2.1738,11.0,0.1,12,0,0,43.4,4
22,1980,1.6255,11.67,0.39,12,1,1,39.5,4
22,1982,2.0779,14.85,1.08,12,0,0,42.7,4
22,1984,2.3778,16.33,0.32,12,1,1,46.4,4
22,1986,2.4297,17.1,3.59,12,0,1,34.1,4
22,1988,2.2053,20.0,0.7,12,0,0,38.4,4
22,1990,1.7198,20.32,1.47,12,0,1,40.0,4
22,1992,2.6939,22.07,0.89,12,0,1,28.9,4
22,1994,2.3191,22.85,0.1,12,0,0,42.2,4
22,1996,2.1047,25.53,0.9,12,0,1,40.9,4
23,1968,1.8567,3.24,1.09,12,0,0,42.8,7
23,1970,1.9473,5.32,3.33,12,0,0,37.6,7
23,1972,1.3923,7.02,0.7,12,0,1,57.5,7
23,1974,1.8398,9.22,0.12,12,1,1,31.5,7
23,1976,2.0754,9.91,0.2,12,0,0,36.0,7
23,1978,1.6363,9.54,1.57,12,0,0,30.9,7
23,1980,1.7447,11.77,1.3,12,0,0,47.1,7
23,1982,1.8126,12.28,0.78,12,0,0,40.5,7
23,1984,2.2373,13.79,3.85,12,0,1,44.5,7
23,1986,1.9911,17.26,1.29,12,0,1,41.8,7
23,1988,1.8081,18.67,0.5,12,0,1,46.8,7
23,1990,1.7586,18.95,0.1,12,0,0,45.5,7
23,1992,2.3291,20.04,3.84,12,0,0,37.1,7
23,1994,1.9042,21.92,0.72,12,0,1,43.5,7
23,1996,2.1665,22.97,1.11,12,0,0,31.3,7
24,1968,1.7712,3.99,2.28,16,1,0,28.5,1
24,1970,1.7719,5.51,1.67,16,0,0,43.3,1
24,1972,1.9592,6.82,0.1,16,0,1,45.3,1
24,1974,1.9781,8.15,1.35,16,0,1,43.5,1
24,1976,1.978,8.91,3.55,16,1,0,39.7,1
24,1978,1.5798,11.27,2.83,16,0,0,40.0,1
24,1980,1.6883,12.71,0.54,16,0,0,35.0,1
24,1982,1.4083,12.75,3.53,16,0,0,43.4,1
24,1984,1.8124,16.12,4.8,16,1,0,40.3,1
24,1986,2.3209,15.84,0.25,16,0,1,36.9,1
