region,year,price_index,log_price,inflation
Region_01,1990,100.0,4.60517,0.0
Region_01,1991,103.42,4.638755,0.033584
Region_01,1992,107.79,4.680199,0.041444
Region_01,1993,113.34,4.730396,0.050197
Region_01,1994,117.1,4.763022,0.032626
Region_01,1995,120.98,4.795648,0.032626
Region_01,1996,127.28,4.846407,0.050759
Region_01,1997,132.83,4.889048,0.042641
Region_01,1998,136.91,4.919321,0.030272
Region_01,1999,142.55,4.959713,0.040393
Region_01,2000,146.94,4.990046,0.030333
Region_01,2001,151.47,5.020356,0.03031
Region_01,2002,157.24,5.057743,0.037387
Region_01,2003,159.74,5.073577,0.015834
Region_01,2004,162.6,5.091295,0.017718
Region_01,2005,167.44,5.12064,0.029344
Region_01,2006,171.65,5.145478,0.024839
Region_01,2007,178.32,5.183588,0.03811
Region_01,2008,183.0,5.209475,0.025887
Region_01,2009,186.85,5.230319,0.020844
Region_01,2010,196.36,5.279943,0.049624
Region_01,2011,202.89,5.312652,0.032709
Region_01,2012,210.25,5.348294,0.035642
Region_01,2013,214.65,5.369014,0.02072
Region_01,2014,221.08,5.398537,0.029523
Region_01,2015,229.2,5.434614,0.036076
Region_01,2016,234.64,5.458071,0.023457
Region_01,2017,243.91,5.496795,0.038724
Region_01,2018,251.08,5.525756,0.028961
Region_01,2019,259.25,5.557806,0.03205
Region_02,1990,100.0,4.60517,0.0
Region_02,1991,104.34,4.647676,0.042506
Region_02,1992,106.86,4.671524,0.023848
Region_02,1993,108.3,4.68493,0.013406
Region_02,1994,111.85,4.717138,0.032208
Region_02,1995,113.17,4.728913,0.011774
Region_02,1996,116.16,4.754984,0.026072
Region_02,1997,116.67,4.75937,0.004386
Region_02,1998,117.93,4.770071,0.010701
Region_02,1999,121.03,4.796023,0.025952
Region_02,2000,124.88,4.827391,0.031368
Region_02,2001,128.14,4.853087,0.025697
Region_02,2002,131.09,4.875914,0.022826
Region_02,2003,133.87,4.896886,0.020972
Region_02,2004,135.11,4.906083,0.009198
Region_02,2005,137.4,4.922868,0.016784
Region_02,2006,140.08,4.942244,0.019377
Region_02,2007,145.01,4.976798,0.034554
Region_02,2008,149.04,5.004218,0.027419
Region_02,2009,149.99,5.01057,0.006353
Region_02,2010,154.13,5.037794,0.027224
Region_02,2011,157.26,5.057926,0.020132
Region_02,2012,159.99,5.07514,0.017214
Region_02,2013,164.88,5.105239,0.0301
Region_02,2014,170.64,5.139532,0.034293
Region_02,2015,176.41,5.172828,0.033296
Region_02,2016,179.19,5.188419,0.015591
Region_02,2017,182.97,5.20931,0.020891
Region_02,2018,188.03,5.236605,0.027296
Region_02,2019,194.48,5.270344,0.033738
Region_03,1990,100.0,4.60517,0.0
Region_03,1991,102.36,4.628522,0.023352
Region_03,1992,103.82,4.642667,0.014145
Region_03,1993,105.21,4.655913,0.013246
Region_03,1994,108.77,4.689246,0.033334
Region_03,1995,113.07,4.728017,0.038771
Region_03,1996,115.87,4.752505,0.024488
Region_03,1997,120.03,4.787749,0.035244
Region_03,1998,123.54,4.816573,0.028825
Region_03,1999,125.88,4.835331,0.018757
Region_03,2000,129.56,4.864153,0.028822
Region_03,2001,134.93,4.904741,0.040589
Region_03,2002,138.32,4.929591,0.02485
Region_03,2003,144.09,4.970446,0.040855
Region_03,2004,143.95,4.969457,-0.000989
Region_03,2005,148.84,5.002884,0.033427
Region_03,2006,152.77,5.028963,0.026079
Region_03,2007,156.21,5.051181,0.022218
Region_03,2008,160.34,5.077307,0.026126
Region_03,2009,161.2,5.08264,0.005333
Region_03,2010,164.95,5.105651,0.023012
Region_03,2011,169.77,5.13443,0.028779
Region_03,2012,176.69,5.174418,0.039987
Region_03,2013,180.27,5.194443,0.020026
Region_03,2014,183.38,5.211567,0.017123
Region_03,2015,187.12,5.231757,0.020191
Region_03,2016,193.66,5.266119,0.034362
Region_03,2017,199.26,5.294615,0.028496
Region_03,2018,203.27,5.314526,0.019911
Region_03,2019,209.53,5.344867,0.030341
Region_04,1990,100.0,4.60517,0.0
Region_04,1991,104.15,4.645827,0.040657
Region_04,1992,106.67,4.669778,0.02395
Region_04,1993,109.67,4.697472,0.027694
Region_04,1994,112.68,4.724522,0.02705
Region_04,1995,114.53,4.740857,0.016336
Region_04,1996,118.49,4.774789,0.033932
Region_04,1997,122.53,4.80837,0.033581
Region_04,1998,126.39,4.839392,0.031022
Region_04,1999,130.06,4.868017,0.028625
Region_04,2000,132.27,4.884834,0.016817
Region_04,2001,135.86,4.911599,0.026764
Region_04,2002,139.65,4.939142,0.027544
Region_04,2003,142.89,4.96209,0.022948
Region_04,2004,147.15,4.991448,0.029358
Region_04,2005,152.39,5.026459,0.035011
Region_04,2006,160.18,5.076292,0.049833
Region_04,2007,165.51,5.109009,0.032717
Region_04,2008,171.15,5.142555,0.033546
Region_04,2009,176.4,5.172781,0.030226
Region_04,2010,178.5,5.184564,0.011783
Region_04,2011,184.06,5.21527,0.030706
Region_04,2012,189.97,5.246843,0.031573
Region_04,2013,200.83,5.302446,0.055603
Region_04,2014,206.75,5.331493,0.029047
Region_04,2015,213.89,5.36548,0.033986
Region_04,2016,220.55,5.396103,0.030624
Region_04,2017,224.84,5.415387,0.019284
Region_04,2018,234.58,5.457786,0.042399
Region_04,2019,243.78,5.496276,0.03849
Region_05,1990,100.0,4.60517,0.0
Region_05,1991,102.92,4.633987,0.028816
Region_05,1992,108.41,4.685925,0.051938
Region_05,1993,111.03,4.709817,0.023892
Region_05,1994,116.0,4.753596,0.043779
Region_05,1995,123.15,4.81341,0.059815
Region_05,1996,126.65,4.841415,0.028005
Region_05,1997,130.8,4.873663,0.032247
Region_05,1998,135.99,4.91257,0.038907
Region_05,1999,140.53,4.945445,0.032876
Region_05,2000,143.72,4.967849,0.022404
Region_05,2001,149.37,5.006445,0.038596
Region_05,2002,153.5,5.033732,0.027287
Region_05,2003,160.19,5.076378,0.042646
Region_05,2004,164.86,5.105094,0.028716
Region_05,2005,173.9,5.158504,0.05341
Region_05,2006,179.21,5.188582,0.030078
Region_05,2007,185.54,5.223272,0.03469
Region_05,2008,194.28,5.269317,0.046045
Region_05,2009,199.32,5.294919,0.025602
Region_05,2010,207.49,5.335104,0.040185
Region_05,2011,218.35,5.386085,0.050982
Region_05,2012,223.17,5.407921,0.021835
Region_05,2013,232.22,5.447678,0.039757
Region_05,2014,241.82,5.488187,0.040509
Region_05,2015,253.13,5.533915,0.045729
Region_05,2016,259.68,5.559456,0.025541
Region_05,2017,266.18,5.584162,0.024706
Region_05,2018,277.91,5.627292,0.04313
Region_05,2019,289.5,5.668172,0.04088
Region_06,1990,100.0,4.60517,0.0
Region_06,1991,103.66,4.64114,0.035969
Region_06,1992,106.36,4.666844,0.025705
Region_06,1993,110.13,4.701672,0.034827
Region_06,1994,114.1,4.737107,0.035436
Region_06,1995,117.03,4.762469,0.025361
Region_06,1996,123.18,4.813631,0.051163
Region_06,1997,127.85,4.850875,0.037243
Region_06,1998,130.51,4.871467,0.020592
Region_06,1999,135.71,4.910537,0.03907
Region_06,2000,138.84,4.933295,0.022758
Region_06,2001,144.56,4.973671,0.040376
Region_06,2002,151.07,5.017762,0.044091
Region_06,2003,154.79,5.04206,0.024298
Region_06,2004,161.45,5.084199,0.042139
Region_06,2005,167.47,5.120831,0.036633
Region_06,2006,174.44,5.161557,0.040726
Region_06,2007,183.65,5.21303,0.051473
Region_06,2008,189.25,5.243081,0.030051
Region_06,2009,194.04,5.268048,0.024968
Region_06,2010,198.67,5.291658,0.02361
Region_06,2011,203.57,5.316005,0.024347
Region_06,2012,210.13,5.347739,0.031734
Region_06,2013,217.82,5.383655,0.035916
Region_06,2014,225.64,5.418927,0.035272
Region_06,2015,235.03,5.459704,0.040777
Region_06,2016,242.82,5.492339,0.032635
Region_06,2017,254.52,5.539379,0.04704
Region_06,2018,262.23,5.569238,0.029858
Region_06,2019,278.37,5.628944,0.059707
Region_07,1990,100.0,4.60517,0.0
Region_07,1991,102.81,4.632855,0.027685
Region_07,1992,105.47,4.658403,0.025548
Region_07,1993,109.89,4.699484,0.041081
Region_07,1994,113.69,4.733506,0.034022
Region_07,1995,118.74,4.776903,0.043397
Region_07,1996,123.7,4.817892,0.040989
Region_07,1997,128.18,4.853421,0.035528
Region_07,1998,131.79,4.881209,0.027789
Region_07,1999,134.6,4.902318,0.021108
Region_07,2000,138.95,4.934109,0.031792
Region_07,2001,145.32,4.97893,0.044821
Region_07,2002,151.01,5.017327,0.038398
Region_07,2003,154.64,5.041127,0.023799
Region_07,2004,160.63,5.079115,0.037988
Region_07,2005,167.21,5.119225,0.04011
Region_07,2006,171.85,5.146643,0.027418
Region_07,2007,178.47,5.184437,0.037794
Region_07,2008,185.17,5.221276,0.036839
Region_07,2009,189.83,5.246103,0.024827
Region_07,2010,197.54,5.285937,0.039835
Region_07,2011,205.98,5.327802,0.041865
Region_07,2012,215.92,5.374889,0.047087
Region_07,2013,226.26,5.421684,0.046795
Region_07,2014,231.4,5.444164,0.02248
Region_07,2015,237.71,5.471042,0.026878
Region_07,2016,247.76,5.512449,0.041407
Region_07,2017,258.23,5.553844,0.041395
Region_07,2018,269.15,5.595251,0.041407
Region_07,2019,290.04,5.670035,0.074784
Region_08,1990,100.0,4.60517,0.0
Region_08,1991,104.82,4.652235,0.047065
Region_08,1992,109.67,4.697484,0.045249
Region_08,1993,114.4,4.739706,0.042223
Region_08,1994,118.19,4.772263,0.032556
Region_08,1995,123.42,4.815561,0.043299
Region_08,1996,126.92,4.843542,0.027981
Region_08,1997,131.22,4.876883,0.033341
Region_08,1998,135.33,4.907738,0.030855
Region_08,1999,140.37,4.944266,0.036528
Region_08,2000,148.88,5.003121,0.058855
Region_08,2001,151.44,5.020157,0.017036
Region_08,2002,158.02,5.062729,0.042572
Region_08,2003,161.15,5.082311,0.019582
Region_08,2004,166.22,5.1133,0.03099
Region_08,2005,174.15,5.159899,0.046598
Region_08,2006,180.59,5.19625,0.036352
Region_08,2007,185.15,5.221182,0.024931
Region_08,2008,190.52,5.249738,0.028556
Region_08,2009,198.79,5.292242,0.042505
Region_08,2010,204.52,5.320648,0.028405
Region_08,2011,212.41,5.358521,0.037873
Region_08,2012,220.23,5.394686,0.036165
Region_08,2013,226.76,5.423879,0.029193
Region_08,2014,240.09,5.481027,0.057148
Region_08,2015,250.4,5.523075,0.042048
Region_08,2016,254.3,5.538533,0.015457
Region_08,2017,264.04,5.576106,0.037573
Region_08,2018,271.84,5.605197,0.029091
Region_08,2019,284.13,5.64943,0.044233
Region_09,1990,100.0,4.60517,0.0
Region_09,1991,102.11,4.626098,0.020927
Region_09,1992,104.92,4.653222,0.027125
Region_09,1993,108.2,4.683955,0.030732
Region_09,1994,109.29,4.694026,0.010072
Region_09,1995,111.36,4.712756,0.01873
Region_09,1996,113.3,4.730082,0.017325
Region_09,1997,115.08,4.745623,0.015542
Region_09,1998,119.74,4.785352,0.039729
Region_09,1999,122.91,4.811477,0.026125
Region_09,2000,124.08,4.820943,0.009466
Region_09,2001,128.02,4.852196,0.031253
Region_09,2002,133.69,4.895493,0.043296
Region_09,2003,138.09,4.927892,0.032399
Region_09,2004,139.04,4.934773,0.006881
Region_09,2005,141.46,4.952006,0.017232
Region_09,2006,146.46,4.98675,0.034744
Region_09,2007,148.67,5.001748,0.014998
Region_09,2008,152.67,5.028261,0.026513
Region_09,2009,157.29,5.058082,0.029821
Region_09,2010,159.32,5.070887,0.012805
Region_09,2011,162.77,5.092367,0.02148
Region_09,2012,161.1,5.082029,-0.010338
Region_09,2013,163.02,5.09386,0.011831
Region_09,2014,166.24,5.113409,0.019549
Region_09,2015,167.84,5.123006,0.009597
Region_09,2016,174.41,5.161405,0.038399
Region_09,2017,175.77,5.169178,0.007773
Region_09,2018,178.9,5.186853,0.017674
Region_09,2019,183.14,5.210235,0.023382
Region_10,1990,100.0,4.60517,0.0
Region_10,1991,103.05,4.635224,0.030054
Region_10,1992,108.99,4.691269,0.056044
Region_10,1993,113.95,4.735784,0.044515
Region_10,1994,117.96,4.770381,0.034598
Region_10,1995,123.89,4.819415,0.049034
Region_10,1996,129.78,4.865818,0.046403
Region_10,1997,134.86,4.904229,0.038411
Region_10,1998,141.08,4.94934,0.045111
Region_10,1999,146.92,4.989899,0.04056
Region_10,2000,153.77,5.035447,0.045548
Region_10,2001,161.82,5.086481,0.051034
Region_10,2002,171.87,5.146754,0.060273
Region_10,2003,177.47,5.178789,0.032035
Region_10,2004,189.53,5.244532,0.065743
Region_10,2005,194.3,5.269424,0.024892
Region_10,2006,202.82,5.312319,0.042895
Region_10,2007,213.28,5.362615,0.050296
Region_10,2008,223.6,5.409837,0.047223
Region_10,2009,232.3,5.448023,0.038186
Region_10,2010,242.34,5.490354,0.042332
Region_10,2011,252.1,5.529837,0.039483
Region_10,2012,262.0,5.568356,0.038519
Region_10,2013,276.24,5.621265,0.052909
Region_10,2014,289.82,5.669248,0.047983
Region_10,2015,300.89,5.706732,0.037484
Region_10,2016,317.39,5.76014,0.053409
Region_10,2017,332.83,5.807626,0.047486
Region_10,2018,350.78,5.860167,0.052541
Region_10,2019,369.03,5.910876,0.050709
Region_11,1990,100.0,4.60517,0.0
Region_11,1991,101.62,4.621278,0.016108
Region_11,1992,104.63,4.650461,0.029183
Region_11,1993,107.58,4.678275,0.027814
Region_11,1994,109.92,4.699776,0.021501
Region_11,1995,112.47,4.72266,0.022883
Region_11,1996,116.41,4.757146,0.034487
Region_11,1997,118.27,4.772941,0.015794
Region_11,1998,121.53,4.800122,0.027181
Region_11,1999,123.94,4.81981,0.019688
Region_11,2000,126.39,4.839343,0.019533
Region_11,2001,130.59,4.872041,0.032698
Region_11,2002,134.56,4.902005,0.029964
Region_11,2003,138.64,4.93185,0.029845
Region_11,2004,143.54,4.966615,0.034765
Region_11,2005,146.72,4.988535,0.02192
Region_11,2006,150.97,5.017065,0.02853
Region_11,2007,153.8,5.035672,0.018607
Region_11,2008,157.69,5.060624,0.024952
Region_11,2009,160.94,5.081032,0.020409
Region_11,2010,164.63,5.103712,0.02268
Region_11,2011,169.25,5.131374,0.027662
Region_11,2012,171.55,5.144902,0.013528
Region_11,2013,179.03,5.187536,0.042634
Region_11,2014,181.12,5.199186,0.01165
Region_11,2015,182.87,5.208754,0.009568
Region_11,2016,189.06,5.242045,0.033291
Region_11,2017,194.74,5.271672,0.029627
Region_11,2018,200.26,5.299623,0.027951
Region_11,2019,205.95,5.327616,0.027994
Region_12,1990,100.0,4.60517,0.0
Region_12,1991,102.11,4.626075,0.020905
Region_12,1992,105.29,4.656711,0.030636
Region_12,1993,107.75,4.679817,0.023106
Region_12,1994,112.11,4.719445,0.039629
Region_12,1995,115.34,4.747852,0.028407
Region_12,1996,117.86,4.769475,0.021623
Region_12,1997,121.04,4.796139,0.026664
Region_12,1998,125.23,4.830145,0.034007
Region_12,1999,128.3,4.854386,0.02424
Region_12,2000,131.11,4.876041,0.021655
Region_12,2001,135.42,4.908355,0.032314
Region_12,2002,139.87,4.940683,0.032327
Region_12,2003,143.38,4.965491,0.024808
Region_12,2004,147.03,4.990658,0.025167
Region_12,2005,151.84,5.022856,0.032198
Region_12,2006,154.2,5.038253,0.015397
Region_12,2007,156.66,5.054056,0.015803
Region_12,2008,160.25,5.076749,0.022693
Region_12,2009,164.76,5.104492,0.027743
Region_12,2010,170.29,5.137478,0.032987
Region_12,2011,178.06,5.182109,0.044631
Region_12,2012,185.04,5.220564,0.038454
Region_12,2013,190.35,5.248842,0.028278
Region_12,2014,196.08,5.278529,0.029687
Region_12,2015,200.01,5.298381,0.019852
Region_12,2016,206.04,5.328074,0.029692
Region_12,2017,211.68,5.355065,0.026991
Region_12,2018,218.8,5.388169,0.033105
Region_12,2019,223.58,5.409775,0.021605
Region_13,1990,100.0,4.60517,0.0
Region_13,1991,105.18,4.655691,0.050521
Region_13,1992,108.83,4.689797,0.034106
Region_13,1993,113.18,4.729007,0.039211
Region_13,1994,118.05,4.771102,0.042095
Region_13,1995,121.79,4.802284,0.031181
Region_13,1996,126.43,4.839718,0.037434
Region_13,1997,130.98,4.875037,0.035319
Region_13,1998,135.8,4.911208,0.03617
Region_13,1999,139.58,4.938671,0.027463
Region_13,2000,144.62,4.97411,0.035439
Region_13,2001,150.55,5.014283,0.040173
Region_13,2002,158.22,5.063988,0.049705
Region_13,2003,165.47,5.108774,0.044786
Region_13,2004,175.12,5.165499,0.056725
Region_13,2005,180.01,5.193019,0.02752
Region_13,2006,188.09,5.236936,0.043917
Region_13,2007,195.19,5.273963,0.037027
Region_13,2008,206.66,5.331054,0.057091
Region_13,2009,212.33,5.358165,0.02711
Region_13,2010,218.1,5.384961,0.026796
Region_13,2011,224.56,5.414161,0.0292
Region_13,2012,227.72,5.428115,0.013955
Region_13,2013,234.64,5.458051,0.029936
Region_13,2014,241.21,5.485653,0.027602
Region_13,2015,250.22,5.522351,0.036697
Region_13,2016,260.07,5.560962,0.038611
Region_13,2017,274.49,5.614917,0.053955
Region_13,2018,287.04,5.659615,0.044698
Region_13,2019,295.61,5.689039,0.029424
Region_14,1990,100.0,4.60517,0.0
Region_14,1991,102.63,4.631105,0.025935
Region_14,1992,103.43,4.638919,0.007814
Region_14,1993,107.58,4.678249,0.03933
Region_14,1994,111.17,4.711059,0.03281
Region_14,1995,113.0,4.727384,0.016324
Region_14,1996,113.44,4.731268,0.003885
Region_14,1997,117.43,4.765823,0.034555
Region_14,1998,119.78,4.785693,0.01987
Region_14,1999,123.85,4.819087,0.033394
Region_14,2000,124.48,4.824159,0.005072
Region_14,2001,126.37,4.839181,0.015022
Region_14,2002,129.06,4.860249,0.021068
Region_14,2003,131.86,4.881735,0.021486
Region_14,2004,134.05,4.89825,0.016515
Region_14,2005,137.76,4.925494,0.027244
Region_14,2006,139.19,4.935834,0.01034
Region_14,2007,141.94,4.955426,0.019592
Region_14,2008,145.13,4.977645,0.022219
Region_14,2009,148.98,5.003805,0.02616
Region_14,2010,153.23,5.031937,0.028132
Region_14,2011,154.73,5.041706,0.009769
Region_14,2012,155.61,5.047381,0.005675
Region_14,2013,160.96,5.081174,0.033793
Region_14,2014,164.93,5.105513,0.024339
Region_14,2015,167.18,5.119044,0.013531
Region_14,2016,173.39,5.155571,0.036527
Region_14,2017,177.28,5.177744,0.022173
Region_14,2018,183.2,5.210553,0.032809
Region_14,2019,187.21,5.232244,0.021691
Region_15,1990,100.0,4.60517,0.0
Region_15,1991,107.05,4.673331,0.068161
Region_15,1992,112.33,4.721449,0.048118
Region_15,1993,119.32,4.781772,0.060323
Region_15,1994,126.32,4.838833,0.057061
Region_15,1995,134.71,4.903127,0.064294
Region_15,1996,140.34,4.944085,0.040958
Region_15,1997,148.64,5.001553,0.057468
Region_15,1998,158.02,5.062745,0.061192
Region_15,1999,163.33,5.095765,0.03302
Region_15,2000,169.79,5.13454,0.038775
Region_15,2001,174.99,5.164755,0.030215
Region_15,2002,183.58,5.212669,0.047913
Region_15,2003,194.5,5.270452,0.057783
Region_15,2004,207.7,5.336083,0.065631
Region_15,2005,218.64,5.387431,0.051348
Region_15,2006,233.77,5.454325,0.066894
Region_15,2007,242.53,5.491131,0.036806
Region_15,2008,250.81,5.524705,0.033574
Region_15,2009,263.69,5.574757,0.050052
Region_15,2010,278.44,5.629205,0.054448
Region_15,2011,292.8,5.679485,0.050281
Region_15,2012,301.7,5.709419,0.029933
Region_15,2013,317.07,5.759135,0.049716
Region_15,2014,329.21,5.796698,0.037563
Region_15,2015,348.63,5.854002,0.057304
Region_15,2016,368.07,5.908275,0.054273
Region_15,2017,383.56,5.949484,0.041209
Region_15,2018,401.4,5.994953,0.045469
Region_15,2019,417.79,6.034968,0.040015
Region_16,1990,100.0,4.60517,0.0
Region_16,1991,103.97,4.644095,0.038925
Region_16,1992,106.02,4.663611,0.019516
Region_16,1993,109.73,4.698024,0.034414
Region_16,1994,112.4,4.722095,0.024071
Region_16,1995,114.84,4.74354,0.021444
Region_16,1996,118.14,4.771842,0.028303
Region_16,1997,120.41,4.790863,0.019021
Region_16,1998,123.31,4.8147,0.023837
Region_16,1999,125.47,4.832094,0.017394
Region_16,2000,131.78,4.881115,0.04902
Region_16,2001,135.75,4.910841,0.029726
Region_16,2002,138.83,4.933217,0.022376
Region_16,2003,143.27,4.96473,0.031513
Region_16,2004,147.37,4.99298,0.02825
Region_16,2005,151.43,5.020143,0.027164
Region_16,2006,156.91,5.055658,0.035515
Region_16,2007,162.81,5.092606,0.036948
Region_16,2008,166.78,5.116674,0.024068
Region_16,2009,170.77,5.140289,0.023615
Region_16,2010,175.37,5.166912,0.026623
Region_16,2011,176.49,5.173266,0.006354
Region_16,2012,179.02,5.187487,0.014221
Region_16,2013,186.89,5.230529,0.043042
Region_16,2014,195.65,5.276352,0.045823
Region_16,2015,200.99,5.303235,0.026883
Region_16,2016,208.17,5.338374,0.035139
Region_16,2017,215.05,5.37086,0.032486
Region_16,2018,228.38,5.431022,0.060162
Region_16,2019,237.84,5.471591,0.040569
Region_17,1990,100.0,4.60517,0.0
Region_17,1991,101.94,4.624336,0.019165
Region_17,1992,103.23,4.636992,0.012656
Region_17,1993,106.46,4.667747,0.030755
Region_17,1994,108.73,4.688905,0.021157
Region_17,1995,110.32,4.703403,0.014498
Region_17,1996,112.8,4.725658,0.022255
Region_17,1997,114.84,4.743563,0.017905
Region_17,1998,120.2,4.789156,0.045592
Region_17,1999,124.8,4.826693,0.037537
