"model_name","variable","coefficient","std_error","z_statistic","p_value","log_likelihood","aic","bic","n_obs","source","n_switchers","n_dropped","sigma_u","rho","category","base_category","t_statistic","is_cutpoint"
"pooled_logit","(Intercept)",-1.80472337915803,0.25207399177482,-7.15949855219576,8.09727002024174e-13,-3244.09831334506,6498.19662669012,6530.7825926472,5000,"binary_choice",NA,NA,NA,NA,NA,NA,NA,NA
"pooled_logit","age",0.029625058035417,0.00510056455998856,5.80819195345768,6.31510904822899e-09,-3244.09831334506,6498.19662669012,6530.7825926472,5000,"binary_choice",NA,NA,NA,NA,NA,NA,NA,NA
"pooled_logit","educ",0.0936301258596096,0.0128391690334234,7.2925378282557,3.04170123471003e-13,-3244.09831334506,6498.19662669012,6530.7825926472,5000,"binary_choice",NA,NA,NA,NA,NA,NA,NA,NA
"pooled_logit","kids",-0.378381294003203,0.0340854193562584,-11.1009722382579,1.2408663792631e-28,-3244.09831334506,6498.19662669012,6530.7825926472,5000,"binary_choice",NA,NA,NA,NA,NA,NA,NA,NA
"pooled_logit","married",0.241670367532874,0.059347310330693,4.07213681944889,4.65838009534991e-05,-3244.09831334506,6498.19662669012,6530.7825926472,5000,"binary_choice",NA,NA,NA,NA,NA,NA,NA,NA
"pooled_probit","(Intercept)",-1.10672849751386,0.154692544466171,-7.15437515966311,8.40549008617977e-13,-3244.18454232562,6498.36908465124,6530.95505060833,5000,"binary_choice",NA,NA,NA,NA,NA,NA,NA,NA
"pooled_probit","age",0.0182128564038287,0.00313301367276625,5.81320680536574,6.12872691074435e-09,-3244.18454232562,6498.36908465124,6530.95505060833,5000,"binary_choice",NA,NA,NA,NA,NA,NA,NA,NA
"pooled_probit","educ",0.057585823616023,0.00787864714557901,7.30910047778145,2.68936618450748e-13,-3244.18454232562,6498.36908465124,6530.95505060833,5000,"binary_choice",NA,NA,NA,NA,NA,NA,NA,NA
"pooled_probit","kids",-0.233714675372749,0.020903350829066,-11.1807277830198,5.06727125673809e-29,-3244.18454232562,6498.36908465124,6530.95505060833,5000,"binary_choice",NA,NA,NA,NA,NA,NA,NA,NA
"pooled_probit","married",0.148246426113797,0.0365177578591896,4.059570871942,4.9162984610432e-05,-3244.18454232562,6498.36908465124,6530.95505060833,5000,"binary_choice",NA,NA,NA,NA,NA,NA,NA,NA
"full_logit","(Intercept)",-3.91488101273259,1.19106925288933,-3.28686262636345,0.00101310242346217,-3242.11999719543,6498.23999439085,6543.86034673077,5000,"binary_choice",NA,NA,NA,NA,NA,NA,NA,NA
"full_logit","age",0.139574073572846,0.0683100762682481,2.04324283030735,0.0410284058139752,-3242.11999719543,6498.23999439085,6543.86034673077,5000,"binary_choice",NA,NA,NA,NA,NA,NA,NA,NA
"full_logit","I(age^2)",-0.00167580976026459,0.000883708672363084,-1.89633734812558,0.0579154506630075,-3242.11999719543,6498.23999439085,6543.86034673077,5000,"binary_choice",NA,NA,NA,NA,NA,NA,NA,NA
"full_logit","educ",0.106647644729985,0.0243448159576775,4.38071271170781,1.18291750916794e-05,-3242.11999719543,6498.23999439085,6543.86034673077,5000,"binary_choice",NA,NA,NA,NA,NA,NA,NA,NA
"full_logit","kids",-0.378717088144056,0.0340645534624209,-11.1176296076168,1.02971499574497e-28,-3242.11999719543,6498.23999439085,6543.86034673077,5000,"binary_choice",NA,NA,NA,NA,NA,NA,NA,NA
"full_logit","married",0.241859042842503,0.059380005478693,4.07307208702243,4.63970560297838e-05,-3242.11999719543,6498.23999439085,6543.86034673077,5000,"binary_choice",NA,NA,NA,NA,NA,NA,NA,NA
"full_logit","exper",0.0124510955547566,0.0210569199103304,0.59130659221666,0.554315013394046,-3242.11999719543,6498.23999439085,6543.86034673077,5000,"binary_choice",NA,NA,NA,NA,NA,NA,NA,NA
"fe_logit_job_training","training",0.495717627668416,0.192203309462799,2.5791315927594,0.00990490468652207,-596.116091351123,NA,NA,4800,"fe_re_logit",201,599,NA,NA,NA,NA,NA,NA
"fe_logit_job_training","age",0.130932386745216,0.046624090102687,2.8082561280412,0.00498105931136026,-596.116091351123,NA,NA,4800,"fe_re_logit",201,599,NA,NA,NA,NA,NA,NA
"fe_logit_job_training","prior_wage",0.133383258287058,0.0398787532439483,3.34471986802394,0.000823657161921455,-596.116091351123,NA,NA,4800,"fe_re_logit",201,599,NA,NA,NA,NA,NA,NA
"fe_logit_labor","age",0.068611550144012,0.0299924055437627,2.2876307818624,0.0221590317368939,-2286.73826977427,NA,NA,5000,"fe_re_logit",794,206,NA,NA,NA,NA,NA,NA
"fe_logit_labor","educ",-31863528984912.7,24324423337551.4,-1.30993974832376,0.190216219146638,-2286.73826977427,NA,NA,5000,"fe_re_logit",794,206,NA,NA,NA,NA,NA,NA
"fe_logit_labor","kids",-0.546883350308532,0.0541204147628336,-10.1049364219599,5.25296314552664e-24,-2286.73826977427,NA,NA,5000,"fe_re_logit",794,206,NA,NA,NA,NA,NA,NA
"fe_logit_labor","married",0.371380493476518,0.0806055121649615,4.60738333522994,4.07767851234871e-06,-2286.73826977427,NA,NA,5000,"fe_re_logit",794,206,NA,NA,NA,NA,NA,NA
"re_probit_labor","(Intercept)",-1.28820574814167,0.218193123502555,-5.90397042520261,3.54855803497229e-09,-3164.16592840347,NA,NA,5000,"fe_re_logit",NA,NA,0.548269311036411,0.231123645758579,NA,NA,NA,NA
"re_probit_labor","age",0.0213610844370147,0.00439584766813609,4.8593777695832,1.17755255175905e-06,-3164.16592840347,NA,NA,5000,"fe_re_logit",NA,NA,0.548269311036411,0.231123645758579,NA,NA,NA,NA
"re_probit_labor","educ",0.0657288297662497,0.0112687749330201,5.83282833821175,5.44956260970853e-09,-3164.16592840347,NA,NA,5000,"fe_re_logit",NA,NA,0.548269311036411,0.231123645758579,NA,NA,NA,NA
"re_probit_labor","kids",-0.260816323321995,0.0232118345658802,-11.2363511200178,2.70326290678867e-29,-3164.16592840347,NA,NA,5000,"fe_re_logit",NA,NA,0.548269311036411,0.231123645758579,NA,NA,NA,NA
"re_probit_labor","married",0.169302999058792,0.0403621711095318,4.19459593983064,2.73358433918724e-05,-3164.16592840347,NA,NA,5000,"fe_re_logit",NA,NA,0.548269311036411,0.231123645758579,NA,NA,NA,NA
"re_logit_labor","(Intercept)",-2.1429181520799,0.364336601153411,-5.88169880625742,4.06076802059046e-09,-3164.3188329019,NA,NA,5000,"fe_re_logit",NA,NA,0.910009471015174,0.201097663717399,NA,NA,NA,NA
"re_logit_labor","age",0.0354134186952986,0.00733307735430904,4.82927112101021,1.3703372316833e-06,-3164.3188329019,NA,NA,5000,"fe_re_logit",NA,NA,0.910009471015174,0.201097663717399,NA,NA,NA,NA
"re_logit_labor","educ",0.109467418266245,0.0188048607956,5.82122991795074,5.84161436668755e-09,-3164.3188329019,NA,NA,5000,"fe_re_logit",NA,NA,0.910009471015174,0.201097663717399,NA,NA,NA,NA
