id,year,rating,income,debt_ratio,age,size,profitability,sector
1,2015,1,11.2372,0.3165,42.7,9.1547,0.1198,4
1,2016,3,11.284,0.263,43.7,9.0181,0.0702,4
1,2017,2,11.2669,0.383,44.7,9.0357,0.0539,4
1,2018,3,11.2262,0.3423,45.7,9.1113,0.0545,4
1,2019,3,11.0501,0.4002,46.7,9.1999,0.0833,4
2,2015,0,10.4427,0.5176,7.9,7.1462,-0.0027,4
2,2016,0,10.4554,0.5083,8.9,7.1449,0.0372,4
2,2017,0,10.7855,0.4987,9.9,7.2276,0.0801,4
2,2018,3,10.5771,0.6278,10.9,7.0936,0.0651,4
2,2019,0,10.6901,0.5997,11.9,7.247,0.0409,4
3,2015,3,10.5168,0.6819,41.4,9.3768,0.0638,5
3,2016,2,10.4798,0.7388,42.4,9.3823,0.0817,5
3,2017,1,10.9137,0.7198,43.4,9.4889,0.0567,5
3,2018,3,10.5992,0.7824,44.4,9.4764,0.0435,5
3,2019,3,10.6221,0.6766,45.4,9.6226,0.0085,5
4,2015,3,9.036,0.5876,37.1,10.845,0.0824,2
4,2016,2,9.0184,0.54,38.1,10.944,0.0344,2
4,2017,2,9.0597,0.5724,39.1,10.9855,-0.0435,2
4,2018,1,8.8249,0.5625,40.1,11.0645,0.0375,2
4,2019,3,8.824,0.5304,41.1,11.1587,0.0521,2
5,2015,0,8.7106,0.6122,6.5,7.5486,0.062,3
5,2016,2,9.0912,0.6079,7.5,7.7237,0.0378,3
5,2017,0,9.1386,0.5442,8.5,7.6353,0.0383,3
5,2018,3,9.0114,0.5606,9.5,7.5527,0.011,3
5,2019,1,9.0359,0.623,10.5,7.4316,0.0496,3
6,2015,2,8.3055,0.6308,34.3,12.598,0.038,3
6,2016,1,8.4144,0.6985,35.3,12.617,0.0384,3
6,2017,1,8.6049,0.6923,36.3,12.5453,-0.0029,3
6,2018,2,8.3433,0.7206,37.3,12.4663,0.0198,3
6,2019,1,8.7211,0.6681,38.3,12.492,0.0627,3
7,2015,3,11.521,0.1552,38.8,8.8565,0.0443,3
7,2016,3,11.4341,0.1423,39.8,9.0202,0.0781,3
7,2017,3,11.8332,0.1956,40.8,8.9759,0.1561,3
7,2018,3,11.6158,0.2173,41.8,8.9975,0.0847,3
7,2019,3,11.4185,0.3011,42.8,8.7304,0.1523,3
8,2015,2,11.0669,0.352,36.8,8.8351,0.0701,4
8,2016,3,11.3456,0.351,37.8,8.8115,0.0878,4
8,2017,1,11.0715,0.4075,38.8,8.9773,0.0636,4
8,2018,1,11.0946,0.5589,39.8,8.9483,0.0697,4
8,2019,3,11.021,0.4756,40.8,8.9473,0.083,4
9,2015,3,9.8157,0.2557,32.8,8.0292,0.1179,4
9,2016,1,9.8997,0.3732,33.8,8.1807,0.0393,4
9,2017,2,9.9168,0.3121,34.8,8.2403,0.0719,4
9,2018,3,10.3144,0.382,35.8,8.0018,0.042,4
9,2019,2,9.9732,0.368,36.8,8.1226,0.0569,4
10,2015,3,8.8425,0.2492,21.4,8.5655,0.0394,2
10,2016,0,9.0285,0.0941,22.4,8.3582,0.0825,2
10,2017,0,8.9158,0.1528,23.4,8.3202,0.0248,2
10,2018,2,8.9092,0.1642,24.4,8.435,0.0819,2
10,2019,2,9.0927,0.1056,25.4,8.525,0.0769,2
11,2015,0,11.2758,0.2774,37.3,10.8277,0.0365,3
11,2016,3,11.4525,0.3447,38.3,10.8991,0.0409,3
11,2017,2,11.0712,0.3496,39.3,10.9082,0.0775,3
11,2018,3,11.1426,0.2726,40.3,10.9723,0.0886,3
11,2019,0,11.3812,0.2697,41.3,11.0555,0.0404,3
12,2015,1,10.5863,0.4757,17.4,9.146,0.0591,3
12,2016,1,10.6925,0.4562,18.4,9.1321,0.057,3
12,2017,2,10.7077,0.493,19.4,8.9923,0.0622,3
12,2018,2,10.6134,0.6248,20.4,9.1119,0.0459,3
12,2019,1,10.6687,0.4583,21.4,8.971,0.0546,3
13,2015,0,10.8263,0.7154,23.3,8.141,0.0891,5
13,2016,0,10.9245,0.6207,24.3,8.0847,0.0459,5
13,2017,2,10.9557,0.6394,25.3,8.0707,0.0627,5
13,2018,1,10.8376,0.6938,26.3,8.2022,0.1223,5
13,2019,3,10.8827,0.6203,27.3,8.0985,0.0038,5
14,2015,0,11.2967,0.5709,3.5,9.1825,0.0699,4
14,2016,2,11.2495,0.5568,4.5,9.1502,0.1265,4
14,2017,1,11.4145,0.6426,5.5,9.07,0.0355,4
14,2018,2,11.0932,0.6311,6.5,9.1288,-0.0089,4
14,2019,0,11.3583,0.6545,7.5,9.2873,0.1156,4
15,2015,1,10.4165,0.4554,32.9,9.3067,0.0411,3
15,2016,0,10.3973,0.4543,33.9,9.401,0.0476,3
15,2017,1,10.2496,0.5125,34.9,9.3049,0.0372,3
15,2018,2,10.4039,0.4766,35.9,9.3684,0.039,3
15,2019,0,10.6411,0.4013,36.9,9.3463,0.1114,3
16,2015,2,10.9204,0.5952,39.4,6.7571,0.0818,2
16,2016,1,10.8902,0.4733,40.4,6.5851,0.0339,2
16,2017,0,10.5262,0.5326,41.4,6.6895,0.0441,2
16,2018,3,10.7915,0.5761,42.4,6.6723,0.0849,2
16,2019,2,10.7737,0.5046,43.4,6.7353,0.0989,2
17,2015,1,10.2623,0.4017,11.3,8.9974,0.0774,2
17,2016,2,10.4885,0.6164,12.3,9.0284,0.071,2
17,2017,1,10.1358,0.5413,13.3,9.0472,0.0356,2
17,2018,1,10.4917,0.4638,14.3,9.0034,0.0443,2
17,2019,2,10.5282,0.5886,15.3,9.1063,0.0404,2
18,2015,3,9.487,0.4039,38.8,7.654,0.041,3
18,2016,1,9.2867,0.4493,39.8,7.9817,0.0571,3
18,2017,0,9.5697,0.4417,40.8,7.9871,0.0886,3
18,2018,2,9.3638,0.6172,41.8,7.7738,0.0259,3
18,2019,3,9.4975,0.5936,42.8,8.0251,0.0942,3
19,2015,0,11.3885,0.3361,26.4,9.2623,-0.0061,4
19,2016,2,11.5966,0.2187,27.4,9.1059,0.0826,4
19,2017,3,11.4782,0.3508,28.4,9.2065,0.1331,4
19,2018,2,11.3549,0.284,29.4,9.1749,0.0682,4
19,2019,0,11.6998,0.3594,30.4,9.0822,0.0367,4
20,2015,1,9.0863,0.1773,17.0,8.1744,0.0562,2
20,2016,2,9.5541,0.2558,18.0,8.2186,0.1126,2
20,2017,2,9.297,0.1223,19.0,8.2668,0.0787,2
20,2018,3,9.2995,0.177,20.0,8.2313,0.0378,2
20,2019,2,9.2815,0.1511,21.0,8.1673,0.0561,2
21,2015,0,12.2007,0.5909,4.6,7.9927,0.0935,5
21,2016,1,12.1026,0.57,5.6,7.8217,0.0964,5
21,2017,2,11.92,0.7272,6.6,7.8546,0.0652,5
21,2018,3,12.1803,0.576,7.6,7.9245,0.079,5
21,2019,1,12.3204,0.6341,8.6,7.9784,0.0829,5
22,2015,3,12.4044,0.3339,10.8,6.5975,0.0655,2
22,2016,1,12.2344,0.3114,11.8,6.3959,0.1048,2
22,2017,1,12.2791,0.359,12.8,6.3165,0.1336,2
22,2018,3,12.3174,0.3787,13.8,6.4729,0.0833,2
22,2019,0,12.524,0.3638,14.8,6.424,0.1828,2
23,2015,3,11.8194,0.5427,20.9,8.8661,0.1095,1
23,2016,1,11.3755,0.6242,21.9,8.7799,0.0822,1
23,2017,2,11.5282,0.5373,22.9,8.7378,0.0811,1
23,2018,2,11.488,0.6046,23.9,8.8085,0.0719,1
23,2019,3,11.6064,0.552,24.9,8.8434,0.0813,1
24,2015,2,9.3401,0.3025,3.6,7.5818,0.0494,1
24,2016,2,9.6022,0.2804,4.6,7.6622,0.0033,1
24,2017,0,9.0327,0.3704,5.6,7.5763,0.0511,1
24,2018,0,9.4529,0.2873,6.6,7.5631,0.0478,1
24,2019,0,9.6333,0.3864,7.6,7.6249,0.1027,1
25,2015,1,10.3273,0.2253,49.0,9.8578,0.0642,4
25,2016,2,10.3406,0.29,50.0,9.9255,0.0993,4
25,2017,3,10.2869,0.2569,51.0,9.7899,0.0754,4
25,2018,3,10.5655,0.1806,52.0,9.9344,0.1017,4
25,2019,2,10.5779,0.2445,53.0,10.0677,0.0443,4
26,2015,3,10.7472,0.322,20.9,9.6073,0.0636,3
26,2016,0,10.7941,0.3394,21.9,9.6082,0.0594,3
26,2017,0,10.7359,0.3052,22.9,9.8547,0.0616,3
26,2018,2,10.418,0.2461,23.9,9.6513,0.0953,3
26,2019,3,10.8634,0.3312,24.9,9.862,0.067,3
27,2015,3,10.444,0.3154,49.8,7.3232,0.0837,4
27,2016,2,10.7011,0.1861,50.8,7.5781,0.0571,4
27,2017,2,10.6998,0.2798,51.8,7.4567,0.1016,4
27,2018,2,10.8264,0.2459,52.8,7.5043,0.0995,4
27,2019,3,10.6262,0.4152,53.8,7.255,0.0602,4
28,2015,3,11.8873,0.2366,26.8,8.913,0.0663,4
28,2016,2,11.966,0.2906,27.8,8.7199,0.0479,4
28,2017,3,12.0314,0.2626,28.8,8.791,0.0646,4
28,2018,2,12.1111,0.3069,29.8,9.2198,0.0804,4
28,2019,3,12.0911,0.2821,30.8,8.8815,0.0629,4
29,2015,3,10.5215,0.3637,36.0,9.6651,0.0939,4
29,2016,1,10.5232,0.4173,37.0,9.5627,0.0747,4
29,2017,2,10.1987,0.4522,38.0,9.5623,0.0298,4
29,2018,1,10.6182,0.534,39.0,9.6274,0.0942,4
29,2019,2,10.5467,0.5181,40.0,9.6561,0.0666,4
30,2015,0,10.8623,0.1693,8.7,8.7667,0.0829,4
30,2016,3,10.6076,0.2495,9.7,9.0382,0.1122,4
30,2017,2,10.8246,0.157,10.7,9.1524,0.108,4
30,2018,3,10.9017,0.2531,11.7,9.1282,0.091,4
30,2019,1,10.9414,0.2764,12.7,9.076,0.0231,4
31,2015,2,12.0394,0.3117,35.4,9.2473,0.1267,5
31,2016,3,12.0831,0.3117,36.4,9.108,0.0497,5
31,2017,3,11.9405,0.2649,37.4,9.1301,0.0946,5
31,2018,3,12.1388,0.2765,38.4,9.0847,0.0733,5
31,2019,1,12.1002,0.2818,39.4,9.1984,0.0758,5
32,2015,2,8.6801,0.421,45.3,7.5123,0.0119,5
32,2016,3,8.7437,0.5882,46.3,7.3595,0.0455,5
32,2017,0,8.4661,0.4801,47.3,7.4333,0.022,5
32,2018,2,8.567,0.5326,48.3,7.411,0.0539,5
32,2019,2,8.6153,0.6432,49.3,7.5314,0.0064,5
33,2015,3,11.1885,0.174,29.8,9.1989,0.0972,2
33,2016,3,10.7576,0.1381,30.8,9.3872,0.1069,2
