firm_id,year,size,log_size,profit_margin,age,industry,adopted
0,2015,54.0,3.99,4.54,10,3,0
0,2016,56.0,4.025,2.83,11,3,0
0,2017,66.2,4.193,3.65,12,3,0
0,2018,68.4,4.226,1.92,13,3,0
0,2019,65.6,4.183,5.38,14,3,0
0,2020,67.9,4.218,2.94,15,3,1
0,2021,75.7,4.327,3.49,16,3,1
1,2015,28.4,3.347,6.82,10,4,0
1,2016,32.9,3.495,3.96,11,4,1
1,2017,29.2,3.375,5.26,12,4,1
1,2018,32.5,3.481,5.15,13,4,1
1,2019,35.8,3.578,3.5,14,4,1
1,2020,31.0,3.435,3.96,15,4,1
1,2021,44.1,3.787,3.0,16,4,1
2,2015,123.5,4.816,4.19,10,1,1
2,2016,116.1,4.755,4.3,11,1,1
2,2017,127.4,4.848,5.02,12,1,1
2,2018,172.7,5.151,6.58,13,1,1
2,2019,148.2,4.999,4.68,14,1,1
2,2020,122.2,4.805,5.89,15,1,1
2,2021,161.5,5.084,7.12,16,1,1
3,2015,44.8,3.803,10.73,10,4,1
3,2016,48.4,3.88,7.29,11,4,1
3,2017,46.1,3.83,5.02,12,4,1
3,2018,46.4,3.837,4.87,13,4,1
3,2019,60.1,4.096,5.89,14,4,1
3,2020,50.7,3.925,7.06,15,4,1
3,2021,39.6,3.679,4.83,16,4,1
4,2015,27.7,3.321,4.38,10,5,1
4,2016,38.8,3.659,0.9,11,5,1
4,2017,42.2,3.742,3.56,12,5,1
4,2018,36.3,3.591,-1.16,13,5,1
4,2019,33.9,3.524,2.59,14,5,1
4,2020,40.2,3.693,1.51,15,5,1
4,2021,45.4,3.815,3.22,16,5,1
5,2015,49.0,3.891,4.99,10,4,0
5,2016,46.1,3.83,1.17,11,4,1
5,2017,66.6,4.199,3.93,12,4,1
5,2018,60.4,4.101,2.48,13,4,1
5,2019,67.0,4.204,5.63,14,4,1
5,2020,64.1,4.16,4.55,15,4,1
5,2021,58.6,4.07,7.12,16,4,1
