id,year,age,experience,prior_wage,training,employed,education
0,2010,25,4,21.91,1,1,16
0,2011,26,4,14.94,1,1,16
0,2012,27,6,19.48,1,1,16
0,2013,28,7,18.16,1,1,16
0,2014,29,7,21.24,1,1,16
0,2015,30,8,20.5,1,1,16
1,2010,25,3,15.03,1,1,14
1,2011,26,4,19.47,1,1,14
1,2012,27,5,18.27,1,1,14
1,2013,28,6,19.01,1,1,14
1,2014,29,7,19.41,1,1,14
1,2015,30,8,12.84,1,1,14
2,2010,25,3,20.0,1,1,12
2,2011,26,5,20.7,1,1,12
2,2012,27,7,20.82,1,1,12
2,2013,28,7,20.96,1,1,12
2,2014,29,7,20.69,1,1,12
2,2015,30,8,19.91,1,1,12
3,2010,25,4,20.11,1,1,14
3,2011,26,4,21.26,1,1,14
3,2012,27,5,20.22,1,1,14
3,2013,28,6,19.63,1,1,14
3,2014,29,7,20.99,1,1,14
3,2015,30,10,24.31,1,1,14
4,2010,25,3,16.4,1,0,16
4,2011,26,5,18.72,1,1,16
4,2012,27,5,18.15,0,1,16
4,2013,28,6,13.87,0,1,16
4,2014,29,7,17.98,1,1,16
4,2015,30,8,17.28,0,1,16
5,2010,25,3,17.68,1,1,14
5,2011,26,4,14.8,1,1,14
5,2012,27,5,17.56,1,1,14
5,2013,28,6,17.92,1,1,14
5,2014,29,8,21.67,1,0,14
5,2015,30,8,15.88,1,1,14
6,2010,25,3,20.05,1,1,14
6,2011,26,5,21.47,1,1,14
6,2012,27,5,20.41,1,1,14
6,2013,28,6,23.63,1,1,14
6,2014,29,8,21.52,1,1,14
6,2015,30,9,21.17,1,1,14
7,2010,25,3,15.66,1,1,10
7,2011,26,5,22.32,1,1,10
7,2012,27,5,15.55,1,0,10
7,2013,28,6,19.77,1,0,10
7,2014,29,7,19.6,1,1,10
7,2015,30,8,15.26,0,1,10
8,2010,25,4,17.16,1,1,16
8,2011,26,4,15.59,1,0,16
8,2012,27,5,16.95,1,1,16
8,2013,28,6,19.04,1,1,16
8,2014,29,7,14.86,1,1,16
8,2015,30,9,15.36,0,1,16
9,2010,25,3,20.93,1,1,16
9,2011,26,8,19.87,1,1,16
9,2012,27,5,17.26,1,1,16
9,2013,28,7,18.39,1,1,16
9,2014,29,8,17.75,1,1,16
9,2015,30,8,21.78,1,1,16
10,2010,25,3,15.88,0,1,14
10,2011,26,4,12.86,1,1,14
10,2012,27,5,16.94,1,1,14
10,2013,28,6,12.65,0,0,14
10,2014,29,7,20.64,1,1,14
10,2015,30,11,19.67,1,1,14
11,2010,25,3,15.95,1,1,10
11,2011,26,8,16.74,1,1,10
11,2012,27,5,20.18,1,1,10
11,2013,28,7,17.19,1,1,10
11,2014,29,7,18.81,1,1,10
11,2015,30,8,17.65,1,1,10
12,2010,25,3,17.52,0,1,16
12,2011,26,5,16.47,1,1,16
12,2012,27,5,14.85,1,1,16
12,2013,28,6,18.98,1,1,16
12,2014,29,7,19.28,1,1,16
12,2015,30,8,22.24,1,1,16
13,2010,25,4,10.12,0,0,12
13,2011,26,4,13.24,1,1,12
13,2012,27,6,18.13,1,1,12
13,2013,28,6,11.04,0,1,12
13,2014,29,9,15.42,0,0,12
13,2015,30,8,18.2,0,1,12
14,2010,25,3,13.94,0,1,14
14,2011,26,4,16.08,1,1,14
14,2012,27,6,13.81,1,1,14
14,2013,28,7,13.9,0,0,14
14,2014,29,8,12.22,0,1,14
14,2015,30,8,13.38,0,0,14
15,2010,25,5,18.81,1,1,16
15,2011,26,4,17.52,1,1,16
15,2012,27,6,18.44,1,1,16
15,2013,28,7,16.87,1,1,16
15,2014,29,7,20.98,1,1,16
15,2015,30,8,18.64,1,0,16
16,2010,25,3,11.47,1,1,12
16,2011,26,4,18.97,1,1,12
16,2012,27,6,22.19,1,1,12
16,2013,28,8,16.13,1,1,12
16,2014,29,7,17.83,1,1,12
16,2015,30,9,18.39,1,1,12
17,2010,25,3,18.04,1,1,16
17,2011,26,4,16.56,1,1,16
17,2012,27,7,20.68,1,1,16
17,2013,28,7,17.13,1,1,16
17,2014,29,8,20.12,1,1,16
17,2015,30,9,22.9,1,1,16
18,2010,25,4,16.8,1,1,12
18,2011,26,6,15.45,1,1,12
18,2012,27,5,15.97,1,1,12
18,2013,28,6,14.93,0,1,12
18,2014,29,7,19.75,1,1,12
18,2015,30,8,16.87,1,1,12
19,2010,25,4,13.46,1,0,14
19,2011,26,4,11.52,0,1,14
19,2012,27,6,12.52,1,1,14
19,2013,28,6,15.33,1,1,14
19,2014,29,7,13.46,0,1,14
19,2015,30,8,12.85,0,1,14
20,2010,25,3,19.57,1,1,16
20,2011,26,5,20.83,1,1,16
20,2012,27,5,18.81,0,1,16
20,2013,28,6,23.31,1,1,16
20,2014,29,7,23.46,1,1,16
20,2015,30,9,23.53,1,1,16
21,2010,25,4,16.09,1,1,16
21,2011,26,4,16.46,1,1,16
21,2012,27,6,15.82,1,1,16
21,2013,28,6,17.27,1,1,16
21,2014,29,8,22.05,1,1,16
21,2015,30,9,21.81,1,1,16
22,2010,25,3,15.25,1,1,10
22,2011,26,4,18.5,1,1,10
22,2012,27,8,22.11,1,1,10
22,2013,28,6,20.97,1,1,10
22,2014,29,7,20.0,1,1,10
22,2015,30,8,15.7,1,1,10
23,2010,25,4,18.43,0,1,14
23,2011,26,4,12.65,0,1,14
23,2012,27,6,14.05,0,0,14
23,2013,28,6,16.87,1,0,14
23,2014,29,7,14.66,1,1,14
23,2015,30,8,19.04,1,1,14
24,2010,25,5,14.33,0,1,12
24,2011,26,4,16.11,1,1,12
24,2012,27,5,13.09,1,1,12
24,2013,28,6,14.62,1,1,12
24,2014,29,8,15.18,1,1,12
24,2015,30,8,18.65,1,1,12
25,2010,25,5,15.52,1,1,16
25,2011,26,5,18.44,1,1,16
25,2012,27,5,19.67,1,1,16
25,2013,28,6,20.06,0,1,16
25,2014,29,8,17.66,1,1,16
25,2015,30,9,19.15,1,1,16
26,2010,25,4,13.3,1,1,16
26,2011,26,4,18.44,1,1,16
26,2012,27,5,15.98,1,1,16
26,2013,28,7,16.7,0,1,16
26,2014,29,7,14.36,1,1,16
26,2015,30,8,16.43,1,1,16
27,2010,25,3,22.49,1,1,12
27,2011,26,4,15.53,0,1,12
27,2012,27,5,19.0,1,1,12
27,2013,28,6,19.53,1,1,12
27,2014,29,7,17.65,1,1,12
27,2015,30,9,20.12,1,1,12
28,2010,25,4,11.3,1,1,14
28,2011,26,4,15.21,1,1,14
28,2012,27,5,18.99,1,1,14
28,2013,28,6,16.43,1,1,14
28,2014,29,8,16.56,0,1,14
28,2015,30,9,18.84,0,1,14
29,2010,25,3,17.33,1,1,10
29,2011,26,4,17.99,1,1,10
29,2012,27,6,17.72,1,1,10
29,2013,28,7,17.68,1,1,10
29,2014,29,7,15.85,1,1,10
29,2015,30,8,19.21,1,1,10
30,2010,25,3,13.92,1,1,10
30,2011,26,4,16.24,1,1,10
30,2012,27,6,15.84,1,1,10
30,2013,28,6,17.14,1,1,10
30,2014,29,7,18.4,1,1,10
30,2015,30,8,19.49,1,1,10
31,2010,25,4,21.23,1,1,16
31,2011,26,4,19.63,1,1,16
31,2012,27,6,20.63,1,1,16
31,2013,28,8,22.84,1,1,16
31,2014,29,9,21.79,1,1,16
31,2015,30,8,22.96,1,1,16
32,2010,25,3,15.98,1,1,12
32,2011,26,4,19.14,1,0,12
32,2012,27,6,15.35,1,0,12
32,2013,28,7,22.5,1,1,12
32,2014,29,7,20.52,1,1,12
32,2015,30,8,17.34,1,1,12
33,2010,25,5,12.44,1,1,16
33,2011,26,5,15.67,1,1,16
33,2012,27,5,19.29,1,1,16
33,2013,28,7,15.37,1,1,16
33,2014,29,8,15.4,1,1,16
33,2015,30,8,15.91,1,1,16
34,2010,25,3,19.09,0,1,12
34,2011,26,5,19.97,1,1,12
34,2012,27,5,20.07,1,1,12
34,2013,28,6,20.42,1,1,12
34,2014,29,7,19.74,1,1,12
34,2015,30,8,21.04,1,1,12
35,2010,25,4,15.82,0,1,10
35,2011,26,5,13.45,1,1,10
35,2012,27,6,14.53,1,1,10
35,2013,28,8,16.17,1,0,10
35,2014,29,7,15.7,1,1,10
35,2015,30,8,13.46,0,1,10
36,2010,25,4,16.49,1,1,14
36,2011,26,4,15.88,1,1,14
36,2012,27,5,15.33,1,1,14
36,2013,28,6,18.35,1,1,14
36,2014,29,8,17.72,1,1,14
36,2015,30,8,16.56,1,1,14
37,2010,25,3,14.41,0,1,12
37,2011,26,4,11.98,1,1,12
37,2012,27,6,13.25,1,1,12
37,2013,28,8,16.69,0,1,12
37,2014,29,8,17.57,0,1,12
37,2015,30,8,14.96,0,1,12
38,2010,25,3,14.53,1,1,10
38,2011,26,4,13.64,1,1,10
38,2012,27,5,20.21,1,1,10
38,2013,28,6,12.76,0,1,10
38,2014,29,7,16.43,1,1,10
38,2015,30,10,16.64,1,1,10
39,2010,25,3,19.25,1,1,16
39,2011,26,5,18.28,1,1,16
39,2012,27,5,18.49,1,1,16
39,2013,28,6,19.14,1,1,16
39,2014,29,7,20.55,0,1,16
39,2015,30,8,19.34,1,1,16
40,2010,25,4,14.24,1,1,12
40,2011,26,4,20.82,1,0,12
40,2012,27,5,18.25,1,1,12
40,2013,28,7,20.99,1,0,12
40,2014,29,7,27.83,1,1,12
40,2015,30,8,20.39,1,0,12
41,2010,25,4,14.31,0,1,14
41,2011,26,5,19.34,1,1,14
41,2012,27,6,19.71,1,1,14
41,2013,28,6,22.04,0,1,14
41,2014,29,7,17.41,1,1,14
41,2015,30,10,21.83,1,1,14
42,2010,25,6,20.06,1,1,16
42,2011,26,5,19.25,1,1,16
42,2012,27,5,19.35,1,0,16
42,2013,28,6,16.13,1,1,16
42,2014,29,7,15.77,1,1,16
42,2015,30,8,16.58,1,1,16
