worker_id,year,mode,prod_remote,commute,kids,age,educ,income,sector,firm_size,tech_job
1,2019,1,7.4,16.6,1,48.0,17.5,12444.76,5,2,0
1,2020,1,7.33,19.4,1,49.0,17.5,12243.49,5,2,0
1,2021,1,7.19,22.7,1,50.0,17.5,14717.83,5,2,0
1,2022,2,7.7,14.9,1,51.0,17.5,13714.83,5,2,0
1,2023,0,7.85,12.9,1,52.0,17.5,15564.57,5,2,0
2,2019,0,6.16,46.0,0,29.0,13.3,9538.0,2,1,0
2,2020,1,6.5,40.1,0,30.0,13.3,8110.22,2,1,0
2,2021,0,6.75,34.3,0,31.0,13.3,9440.4,2,1,0
2,2022,2,6.6,44.4,0,32.0,13.3,8531.51,2,1,0
2,2023,2,6.35,37.3,0,33.0,13.3,10112.56,2,1,0
3,2019,0,8.41,30.9,0,40.0,15.2,19583.78,2,2,1
3,2020,2,8.2,31.4,0,41.0,15.2,18952.07,2,2,1
3,2021,2,8.55,34.4,0,42.0,15.2,20941.33,2,2,1
3,2022,2,8.04,25.6,0,43.0,15.2,19903.67,2,2,1
3,2023,2,8.31,28.1,0,44.0,15.2,22433.73,2,2,1
4,2019,1,6.74,15.9,0,33.0,14.7,9532.9,4,2,0
4,2020,2,7.35,25.6,0,34.0,14.7,10033.28,4,2,0
4,2021,2,7.9,20.5,0,35.0,14.7,9422.83,4,2,0
4,2022,2,7.33,17.7,0,36.0,14.7,9443.51,4,2,0
4,2023,2,7.79,24.3,0,37.0,14.7,11822.74,4,2,0
5,2019,2,6.46,19.0,1,45.0,17.0,9428.49,2,2,0
5,2020,2,6.59,19.6,1,46.0,17.0,9823.78,2,2,0
5,2021,2,6.58,20.3,1,47.0,17.0,11485.53,2,2,0
5,2022,2,6.98,19.6,1,48.0,17.0,11348.57,2,2,0
5,2023,0,6.36,23.3,1,49.0,17.0,11351.21,2,2,0
6,2019,1,6.98,5.0,0,50.0,21.9,31884.97,3,2,0
6,2020,0,7.27,5.0,0,51.0,21.9,35548.83,3,2,0
6,2021,0,6.89,9.4,0,52.0,21.9,35263.87,3,2,0
6,2022,2,8.01,8.2,0,53.0,21.9,36877.3,3,2,0
6,2023,0,8.43,15.4,0,54.0,21.9,36995.35,3,2,0
7,2019,2,6.24,15.2,0,36.0,12.4,13678.98,5,2,0
7,2020,2,5.95,26.5,0,37.0,12.4,14972.35,5,2,0
7,2021,0,6.43,24.1,0,38.0,12.4,13570.61,5,2,0
7,2022,0,6.0,29.3,0,39.0,12.4,16333.56,5,2,0
7,2023,2,6.04,23.9,0,40.0,12.4,16333.16,5,2,0
8,2019,1,6.5,36.2,1,35.0,13.1,9405.08,4,1,0
8,2020,2,6.8,18.2,2,36.0,13.1,8909.2,4,1,0
8,2021,2,6.76,31.0,2,37.0,13.1,8808.71,4,1,0
8,2022,2,6.32,28.4,2,38.0,13.1,9748.97,4,1,0
8,2023,2,6.63,24.4,2,39.0,13.1,10241.41,4,1,0
9,2019,2,5.67,21.9,0,29.0,13.4,9557.6,4,2,0
9,2020,0,5.72,20.6,0,30.0,13.4,9755.39,4,2,0
9,2021,2,4.8,14.8,0,31.0,13.4,10795.96,4,2,0
9,2022,0,5.26,20.1,0,32.0,13.4,10532.57,4,2,0
9,2023,2,5.6,19.2,0,33.0,13.4,11114.91,4,2,0
10,2019,1,7.44,21.3,1,40.0,13.4,8783.1,1,2,1
10,2020,2,7.41,24.4,1,41.0,13.4,9084.85,1,2,1
10,2021,2,7.23,14.8,1,42.0,13.4,9466.24,1,2,1
10,2022,2,7.14,33.2,1,43.0,13.4,9845.44,1,2,1
10,2023,1,7.89,23.9,1,44.0,13.4,10780.86,1,2,1
11,2019,1,6.03,16.7,0,39.0,11.9,11437.16,4,2,0
11,2020,2,6.73,17.4,0,40.0,11.9,13100.69,4,2,0
11,2021,2,6.85,17.3,0,41.0,11.9,13006.97,4,2,0
11,2022,2,6.63,11.4,0,42.0,11.9,12517.04,4,2,0
11,2023,1,6.33,5.0,0,43.0,11.9,12772.78,4,2,0
12,2019,1,7.55,44.9,0,41.0,17.1,12225.71,3,2,0
12,2020,1,7.49,37.5,1,42.0,17.1,10987.39,3,2,0
12,2021,0,7.19,50.2,1,43.0,17.1,12809.13,3,2,0
12,2022,2,7.4,54.6,1,44.0,17.1,12607.59,3,2,0
12,2023,1,7.82,46.2,2,45.0,17.1,13190.24,3,2,0
13,2019,2,7.35,27.4,2,30.0,8.7,9007.44,3,1,0
13,2020,2,7.92,30.7,2,31.0,8.7,9307.63,3,1,0
13,2021,2,7.59,32.9,2,32.0,8.7,9752.98,3,1,0
13,2022,2,7.7,24.9,2,33.0,8.7,10238.38,3,1,0
13,2023,0,7.16,26.2,2,34.0,8.7,10813.38,3,1,0
14,2019,1,4.83,19.6,0,39.0,16.0,13313.29,2,2,0
14,2020,1,4.9,23.8,0,40.0,16.0,14660.63,2,2,0
14,2021,0,4.62,24.6,0,41.0,16.0,14829.0,2,2,0
14,2022,1,4.56,30.2,0,42.0,16.0,14475.27,2,2,0
14,2023,0,5.14,32.7,0,43.0,16.0,16658.08,2,2,0
15,2019,1,5.31,13.9,1,43.0,15.5,13150.64,3,2,0
15,2020,2,5.42,11.4,1,44.0,15.5,14103.52,3,2,0
15,2021,0,5.54,27.3,1,45.0,15.5,13281.81,3,2,0
15,2022,1,4.82,13.9,1,46.0,15.5,13325.36,3,2,0
15,2023,1,5.33,16.8,2,47.0,15.5,14311.8,3,2,0
16,2019,0,4.01,23.4,1,26.0,11.8,7512.87,4,2,0
16,2020,2,4.2,26.8,1,27.0,11.8,7903.58,4,2,0
16,2021,1,3.8,24.6,2,28.0,11.8,7572.34,4,2,0
16,2022,1,4.37,25.5,2,29.0,11.8,7731.81,4,2,0
16,2023,1,4.34,28.4,2,30.0,11.8,8562.24,4,2,0
17,2019,1,5.09,19.6,3,44.0,11.8,7478.56,5,2,0
17,2020,0,5.96,15.3,3,45.0,11.8,8877.14,5,2,0
17,2021,0,5.35,13.9,3,46.0,11.8,7893.04,5,2,0
17,2022,1,4.56,14.2,3,47.0,11.8,8925.73,5,2,0
17,2023,1,5.96,5.0,3,48.0,11.8,7827.1,5,2,0
18,2019,1,6.73,16.3,2,47.0,12.8,18849.16,5,1,0
18,2020,2,7.18,22.5,2,48.0,12.8,19124.7,5,1,0
18,2021,0,6.53,22.0,2,49.0,12.8,18637.12,5,1,0
18,2022,2,6.83,22.9,2,50.0,12.8,20162.51,5,1,0
18,2023,2,7.12,20.8,2,51.0,12.8,19698.07,5,1,0
19,2019,1,5.69,26.2,2,43.0,16.9,18123.32,2,2,0
19,2020,2,4.88,33.0,2,44.0,16.9,19661.85,2,2,0
