airline_id,year,log_pass_km,log_aircraft,log_employees,log_fuel,region,deregulated
1,2005,6.553669,3.789851,6.63449,5.205367,Europe,0
1,2006,6.577542,3.763807,6.594511,5.226465,Europe,0
1,2007,6.654138,3.789984,6.495503,5.092443,Europe,0
1,2008,6.726043,3.887079,6.594249,5.264425,Europe,0
1,2009,6.685401,3.807011,6.644922,5.31984,Europe,0
1,2010,6.686424,3.937499,6.422431,5.28771,Europe,0
1,2011,6.632877,3.864317,6.655351,5.109047,Europe,0
1,2012,6.714826,3.917123,6.782242,5.229898,Europe,1
1,2013,6.751157,3.894179,6.753242,5.30719,Europe,1
1,2014,6.770363,3.964931,6.703776,5.369982,Europe,1
1,2015,6.811533,3.942884,6.680642,5.217731,Europe,1
1,2016,6.704908,3.99232,6.728419,5.321756,Europe,1
1,2017,6.816771,3.978235,6.716593,5.300018,Europe,1
1,2018,6.959176,4.03947,6.910905,5.386398,Europe,1
1,2019,6.868457,4.035545,6.622508,5.390321,Europe,1
2,2005,8.450513,5.468858,7.603261,7.714675,Europe,0
2,2006,8.280238,5.530145,7.640004,7.750873,Europe,0
2,2007,8.389379,5.539937,7.903992,7.60134,Europe,0
2,2008,8.395402,5.535576,7.704477,7.580131,Europe,0
2,2009,8.571009,5.497479,7.798643,7.642318,Europe,0
2,2010,8.336891,5.531431,7.75099,7.781623,Europe,0
2,2011,8.49829,5.601967,7.897327,7.630153,Europe,0
2,2012,8.387442,5.623588,7.871301,7.674091,Europe,1
2,2013,8.598313,5.656691,7.848514,7.796212,Europe,1
2,2014,8.485193,5.616592,7.859336,7.817192,Europe,1
2,2015,8.66426,5.763882,7.894662,7.731286,Europe,1
2,2016,8.53274,5.64186,7.935722,7.913779,Europe,1
2,2017,8.846095,5.758762,7.921778,7.908221,Europe,1
2,2018,8.508786,5.718324,7.844457,7.806411,Europe,1
2,2019,8.740239,5.746739,7.948048,7.906046,Europe,1
3,2005,7.196594,3.64641,9.235555,5.549255,Europe,0
3,2006,7.34221,3.554525,9.183625,5.677236,Europe,0
3,2007,7.199751,3.54676,9.149758,5.539216,Europe,0
3,2008,7.32702,3.613221,9.250629,5.576054,Europe,0
3,2009,7.333328,3.609667,9.178793,5.692016,Europe,0
3,2010,7.458377,3.553253,9.294125,5.738511,Europe,0
3,2011,7.399034,3.683092,9.171288,5.651608,Europe,0
3,2012,7.601933,3.676091,9.338706,6.004947,Europe,1
3,2013,7.486916,3.72718,9.389822,5.798853,Europe,1
3,2014,7.428755,3.72835,9.267676,5.754678,Europe,1
3,2015,7.579412,3.714495,9.530675,5.658547,Europe,1
3,2016,7.509155,3.649766,9.323747,5.883482,Europe,1
3,2017,7.446369,3.696514,9.320278,5.872828,Europe,1
3,2018,7.766348,3.781224,9.397148,5.797644,Europe,1
3,2019,7.489672,3.822097,9.24749,5.874307,Europe,1
4,2005,6.748429,4.207196,6.221453,6.153043,Europe,0
4,2006,6.858063,4.178199,6.115926,6.378645,Europe,0
4,2007,6.967275,4.158902,6.257621,6.421614,Europe,0
4,2008,6.76524,4.165978,6.161454,6.379747,Europe,0
4,2009,6.871462,4.284138,6.278163,6.244178,Europe,0
4,2010,6.680041,4.119883,6.150241,6.309384,Europe,0
4,2011,6.92613,4.383567,6.133781,6.31426,Europe,0
4,2012,7.016518,4.39401,6.149323,6.444485,Europe,1
4,2013,6.947334,4.292871,6.317161,6.394998,Europe,1
4,2014,7.098351,4.365437,6.265367,6.40701,Europe,1
4,2015,6.915013,4.461248,6.213167,6.566376,Europe,1
4,2016,7.033126,4.394357,6.375258,6.454733,Europe,1
4,2017,7.161529,4.411541,6.304752,6.411808,Europe,1
4,2018,7.16798,4.459797,6.304759,6.534035,Europe,1
4,2019,7.102514,4.50259,6.426563,6.431034,Europe,1
5,2005,7.614671,4.103701,8.316686,6.285939,Europe,0
5,2006,7.660023,4.107725,8.213058,6.422263,Europe,0
5,2007,7.692123,4.17851,8.350911,6.364819,Europe,0
5,2008,7.606635,4.142322,8.288406,6.372239,Europe,0
5,2009,7.556535,4.207593,8.213015,6.545816,Europe,0
5,2010,7.713822,4.137125,8.387122,6.472765,Europe,0
5,2011,7.6552,4.249252,8.309493,6.372541,Europe,0
5,2012,7.633078,4.203977,8.404482,6.443055,Europe,1
5,2013,7.637927,4.241766,8.375507,6.431888,Europe,1
5,2014,7.69958,4.290019,8.37807,6.453863,Europe,1
5,2015,7.639235,4.309437,8.258626,6.408826,Europe,1
5,2016,7.901054,4.307163,8.415345,6.628623,Europe,1
5,2017,7.773273,4.329838,8.404952,6.473171,Europe,1
5,2018,7.852401,4.343402,8.44829,6.503442,Europe,1
5,2019,7.940487,4.454472,8.429772,6.607468,Europe,1
6,2005,6.803752,3.183907,7.11381,5.828018,Europe,0
6,2006,6.801954,3.271581,7.268392,5.995026,Europe,0
6,2007,6.789835,3.26264,7.222318,6.015589,Europe,0
6,2008,6.69589,3.197038,7.175699,5.73163,Europe,0
6,2009,7.022736,3.221067,7.251682,5.922226,Europe,0
6,2010,6.896162,3.326545,7.209498,5.853414,Europe,0
6,2011,6.864674,3.233012,7.418167,6.016864,Europe,0
6,2012,7.049404,3.233367,7.39596,5.944285,Europe,1
6,2013,6.913545,3.259302,7.255701,5.97067,Europe,1
6,2014,6.936811,3.33652,7.369479,5.913569,Europe,1
6,2015,6.902587,3.385038,7.376806,6.056116,Europe,1
6,2016,6.931814,3.322318,7.453865,6.047565,Europe,1
6,2017,7.087067,3.496581,7.376905,6.124854,Europe,1
6,2018,7.207864,3.542061,7.524078,6.042875,Europe,1
6,2019,7.145635,3.491292,7.509141,6.010758,Europe,1
7,2005,6.160664,4.244778,4.763708,4.783384,Europe,0
7,2006,5.899872,4.370444,4.93155,4.654549,Europe,0
7,2007,5.887761,4.383962,4.847986,4.766867,Europe,0
7,2008,6.134836,4.402284,4.728903,4.834033,Europe,0
7,2009,6.077643,4.379746,4.808151,4.731011,Europe,0
7,2010,6.115306,4.494497,4.786402,4.858439,Europe,0
7,2011,6.086271,4.427096,4.872698,4.768689,Europe,0
7,2012,6.200384,4.426846,5.054439,4.861624,Europe,1
7,2013,6.335883,4.517439,4.904274,4.861688,Europe,1
7,2014,6.264706,4.564615,4.88682,4.854849,Europe,1
7,2015,6.439206,4.431644,4.824045,5.008837,Europe,1
7,2016,6.665803,4.554288,5.007385,4.952943,Europe,1
7,2017,6.206331,4.642718,4.967027,4.882268,Europe,1
7,2018,6.283908,4.616913,4.932753,4.867598,Europe,1
7,2019,6.441505,4.572662,5.144232,5.046871,Europe,1
8,2005,7.274236,4.760112,7.751143,5.34584,Europe,0
8,2006,7.45945,4.660174,7.613406,5.501279,Europe,0
8,2007,7.235496,4.654027,7.785068,5.408902,Europe,0
8,2008,7.223678,4.714336,7.686911,5.475843,Europe,0
8,2009,7.263752,4.777478,7.768011,5.473721,Europe,0
8,2010,7.291642,4.755117,7.848461,5.543511,Europe,0
8,2011,7.431728,4.808922,7.864141,5.409589,Europe,0
8,2012,7.267153,4.790824,7.865678,5.491019,Europe,1
8,2013,7.368965,4.762578,7.839877,5.580627,Europe,1
8,2014,7.362554,4.895885,7.719109,5.575821,Europe,1
8,2015,7.456808,4.851364,7.871822,5.538218,Europe,1
