bank_id,year,log_loans,log_labor,log_capital,log_deposits,log_assets,public_ownership,npl_ratio
1,2010,7.965292,5.346143,7.020278,7.676855,8.902532,0,4.3857
1,2011,8.809835,5.63456,7.82768,9.18013,10.429635,0,3.8974
1,2012,7.828064,5.78457,7.577425,7.142288,8.479098,0,3.7681
1,2013,8.303707,5.682267,7.082071,8.457483,9.453181,0,4.3011
1,2014,7.456454,5.969707,7.059217,6.31334,9.112413,0,4.3017
1,2015,8.570758,6.340127,8.017609,7.930958,8.598835,0,3.9258
1,2016,8.130429,6.052741,6.856871,7.602122,8.328134,0,3.9437
1,2017,8.733522,4.937119,7.516013,9.940434,9.353468,0,4.2953
1,2018,7.27435,4.158106,6.431799,7.397867,8.057745,0,3.4552
1,2019,7.826232,6.232657,7.858125,6.35509,7.858517,0,3.4755
2,2010,6.696516,4.480114,6.470571,5.619448,7.40707,0,2.6513
2,2011,7.744106,5.076833,6.420852,7.672358,9.675283,0,2.9038
2,2012,7.714137,4.674819,5.95954,8.371537,8.136468,0,3.166
2,2013,7.473868,4.271406,6.077941,7.810627,8.667837,0,3.7482
2,2014,8.080712,5.704128,6.929063,7.996726,8.718564,0,3.4394
2,2015,8.466846,5.649791,6.624482,9.047948,10.09089,0,2.9306
2,2016,7.453593,5.126182,6.354362,6.929878,9.384302,0,3.001
2,2017,7.505797,3.842393,6.043285,8.393025,9.484208,0,2.5093
2,2018,7.270447,5.026219,6.565615,6.365375,8.393836,0,3.0013
2,2019,7.173555,5.660315,5.881218,6.381168,7.789153,0,2.8662
3,2010,6.960226,4.517614,6.941218,5.965371,7.39696,0,3.469
3,2011,7.772201,5.753466,6.869281,7.509877,9.871582,0,2.894
3,2012,7.849782,5.510462,6.665353,7.876251,8.459826,0,3.5673
3,2013,7.886987,5.854893,6.476319,7.964739,9.252679,0,4.074
3,2014,7.713128,5.582097,6.434703,7.727976,9.224976,0,3.2532
3,2015,7.365593,5.210012,6.553135,6.917335,8.056116,0,3.5085
3,2016,8.272755,6.357601,7.09153,7.99455,9.735841,0,3.6527
3,2017,8.035952,5.78084,8.195194,7.278885,9.563806,0,3.107
3,2018,8.643128,5.672622,6.897895,9.287543,10.578028,0,3.4197
3,2019,7.51616,5.031888,6.978857,7.455655,8.532603,0,3.3139
4,2010,5.880624,3.333566,4.238802,6.048427,6.782136,0,3.0189
4,2011,6.763941,3.323888,4.216739,8.15463,7.947184,0,2.5836
4,2012,5.679861,3.631831,4.059964,5.261841,7.109436,0,2.9823
4,2013,6.161388,4.743384,4.177063,5.444159,7.074134,0,3.2191
4,2014,5.663291,2.984049,4.47721,5.754274,7.133771,0,3.6956
4,2015,6.282991,2.893229,4.706135,6.912639,6.487307,0,3.4497
4,2016,6.512245,4.82563,4.169064,6.998996,8.014179,0,4.0467
4,2017,6.545612,3.870444,4.015598,7.357323,9.010431,0,2.5864
4,2018,7.0717,3.433767,3.836848,9.026185,8.603632,0,3.4062
4,2019,5.749683,4.382526,4.383833,4.448935,7.067379,0,3.0617
5,2010,7.727612,4.897579,6.771274,8.585027,9.589826,1,3.9219
5,2011,7.71113,6.443929,6.788941,7.344565,8.935808,1,2.4228
5,2012,8.024839,5.652675,7.723133,7.980933,9.778491,1,2.4071
5,2013,7.303826,4.973833,7.0637,7.268237,8.994264,1,2.5273
5,2014,7.704008,6.711059,7.283096,7.181261,8.57909,1,1.765
5,2015,8.355402,5.034001,7.024515,9.68413,9.327699,1,2.5641
5,2016,8.263871,5.870832,7.310274,9.04138,9.372593,1,2.4474
5,2017,7.734024,5.546021,6.532721,7.916353,8.869014,1,2.9022
5,2018,8.347055,6.2203,6.673333,9.185243,9.34946,1,2.9979
5,2019,7.45474,6.326779,6.99903,6.344763,8.563251,1,3.7651
6,2010,7.799718,5.929624,7.8882,7.197646,9.150083,1,5.4057
6,2011,7.209677,5.492876,7.468417,6.131737,8.767787,1,4.6421
6,2012,7.559864,5.952766,6.958909,7.085854,9.431283,1,4.4813
6,2013,7.88549,5.381821,7.070704,8.19667,9.134966,1,5.1765
6,2014,8.609093,6.959781,7.94387,8.415779,8.822221,1,4.2704
6,2015,8.238083,5.93832,7.448902,8.307328,9.015948,1,5.8463
