firm_id,year,log_output,log_labor,log_capital,log_materials,sector,region,exporter,foreign_owned,firm_age,r_and_d
1,2010,3.2617,6.018,8.1313,7.5249,electronics,S,0,0,9.6,1.63
2,2010,0.5718,3.2404,7.5481,6.1086,chemicals,CO,0,1,38.6,3.74
3,2010,2.3922,3.4645,8.0,7.9423,automotive,CO,0,0,7.0,0.94
4,2010,1.4242,5.0236,7.347,7.3522,machinery,SE,0,0,20.7,0.45
5,2010,2.8594,4.514,5.6135,10.4592,food,SE,0,0,16.2,0.89
6,2010,1.7044,3.9413,10.4094,5.7797,pharma,S,0,0,27.5,0.26
7,2010,1.7266,4.9388,4.189,6.583,electronics,SE,1,0,15.4,9.51
8,2010,1.0633,3.6721,3.9152,9.361,electronics,S,0,0,20.9,0.84
9,2010,2.6645,3.3312,10.039,8.7085,food,SE,1,0,21.5,0.74
10,2010,1.6119,5.4247,6.4983,7.2149,metals,NE,0,0,14.0,0.68
11,2010,2.9197,4.6545,8.9339,8.9775,chemicals,N,0,0,32.3,0.72
12,2010,0.9073,2.0193,5.0661,8.2261,pharma,S,0,0,28.6,1.06
13,2010,1.1351,6.0088,4.5552,7.0147,machinery,N,0,0,23.7,1.07
14,2010,3.9952,6.6694,8.8483,8.0489,automotive,SE,1,0,18.5,0.8
15,2010,1.5982,4.5119,7.7655,5.8819,chemicals,SE,0,1,36.9,1.95
16,2010,2.7111,5.5168,9.089,7.9674,textiles,NE,0,0,21.5,6.13
17,2010,0.1145,5.4029,7.1206,2.7178,metals,SE,0,0,20.4,0.2
18,2010,2.9145,3.3295,9.0713,6.3502,food,S,1,1,26.6,0.74
19,2010,4.0538,7.1961,10.2816,8.1769,automotive,N,0,0,50.4,5.39
20,2010,1.8105,2.5954,8.2615,6.1557,machinery,S,0,0,4.9,2.59
21,2010,0.6899,5.225,7.1987,1.9364,electronics,S,1,0,36.5,7.65
22,2010,3.149,5.0663,6.6512,10.3328,chemicals,SE,1,0,1.0,2.8
23,2010,1.7822,6.0063,7.6406,5.811,pharma,NE,1,1,28.3,7.2
24,2010,2.1904,5.5948,6.2285,8.8861,automotive,SE,0,0,48.6,0.14
25,2010,2.1752,3.9729,7.8172,8.3094,electronics,NE,0,0,32.3,2.99
26,2010,3.787,3.8454,8.7432,10.3222,food,SE,0,0,27.6,1.25
27,2010,3.0677,5.7254,8.8631,6.9603,metals,CO,1,0,16.6,4.88
28,2010,3.758,7.2676,8.3899,7.4977,food,CO,0,0,25.5,1.42
29,2010,1.5386,4.3477,7.409,5.6213,food,S,1,0,21.2,0.02
30,2010,3.489,3.7743,7.0866,10.9907,machinery,SE,0,0,13.2,0.58
31,2010,0.9041,3.6509,10.2858,2.4103,electronics,S,0,0,20.7,0.35
32,2010,2.0802,5.3345,4.7155,7.3624,pharma,S,1,0,28.0,3.11
33,2010,2.7222,7.3044,7.8403,6.5826,chemicals,SE,0,0,13.5,1.66
34,2010,-0.0225,2.8991,3.4089,4.6217,chemicals,SE,1,0,12.9,0.82
35,2010,-1.4212,5.0457,4.7074,1.9325,metals,N,0,0,4.6,0.81
36,2010,2.2417,3.5734,10.0132,6.3735,food,NE,0,0,30.9,0.37
37,2010,2.06,4.3878,5.261,7.3357,food,SE,0,0,33.2,0.34
38,2010,1.239,4.0516,4.9791,9.1726,metals,NE,0,0,28.5,0.16
39,2010,1.7287,4.7372,6.8589,5.9611,textiles,NE,0,0,39.5,1.12
40,2010,0.6698,3.1497,3.8485,6.9351,machinery,S,0,0,26.3,0.48
41,2010,5.6389,8.3016,8.8001,9.8724,chemicals,CO,0,0,30.9,0.92
42,2010,-0.4607,3.4874,2.1136,6.8985,automotive,SE,0,0,29.6,1.28
43,2010,3.7254,5.0204,9.7919,8.3164,electronics,S,0,0,23.6,1.34
44,2010,1.5645,2.8338,10.1959,7.6539,textiles,CO,0,0,17.0,0.36
45,2010,-0.1984,3.5025,5.5487,5.1617,automotive,NE,0,0,58.2,0.54
46,2010,3.0186,3.6458,9.2636,8.0698,electronics,SE,0,0,18.2,0.02
47,2010,2.6351,4.2556,7.634,8.7137,chemicals,SE,0,0,15.0,0.81
