hospital_id,log_cases,log_doctors,log_nurses,log_beds,teaching,urban,region
1,6.7468,4.6987,5.9431,4.6622,0,1,3
2,6.5887,4.4447,6.0243,5.0602,1,1,3
3,7.233,4.7591,6.2332,5.3021,1,1,2
4,6.9581,5.1092,6.2215,5.3188,0,1,1
5,6.514,4.4063,5.2489,5.12,0,1,2
6,6.746,4.4063,5.4249,5.5491,0,0,4
7,6.7155,5.1317,6.006,4.873,0,1,4
8,6.8575,4.807,6.0055,5.243,0,1,5
9,6.8526,4.3122,6.006,5.3481,0,0,5
10,7.4455,4.717,7.3411,5.5058,1,1,4
11,7.1055,4.3146,6.0284,5.5846,0,0,4
12,6.7947,4.3137,6.2542,4.8501,0,1,4
13,6.9199,4.5968,6.1816,4.6864,0,1,2
14,6.7626,3.7347,6.0606,5.8111,1,0,4
15,6.5509,3.81,5.6739,5.4329,0,0,3
16,6.7323,4.2751,6.1036,5.0006,0,0,1
17,6.9467,4.0949,5.4909,5.9205,0,1,4
18,6.6913,4.6257,5.7053,5.3463,0,1,1
19,7.0037,4.1368,5.6059,5.7717,0,1,2
20,6.7098,3.9351,5.8327,5.327,1,1,1
21,7.5731,5.0863,6.7259,6.1243,1,0,2
22,6.8045,4.4097,5.0531,6.0021,0,1,3
23,6.7173,4.527,6.0745,5.2004,0,0,2
24,6.6786,3.9301,5.1549,5.6886,1,1,2
25,6.6904,4.2822,5.6112,5.5582,1,1,5
26,6.9968,4.5444,6.2356,5.8475,0,1,4
27,6.3823,4.0396,5.8257,4.914,0,0,4
28,6.965,4.6503,5.3689,5.5744,0,0,3
29,6.8107,4.2597,5.5139,5.7234,0,0,3
30,6.7392,4.3833,6.0718,4.5965,1,0,4
31,6.6345,4.2593,5.5079,4.8267,1,0,5
32,6.6993,5.2409,5.8866,4.4843,1,0,4
33,6.9403,4.4946,5.8182,5.1922,0,1,5
34,6.4828,4.0769,5.5394,5.587,0,1,3
35,7.4761,4.829,6.6576,5.9009,1,1,1
36,6.545,4.0117,6.0536,5.3296,1,0,3
37,6.7405,4.5835,4.9899,5.9514,0,0,3
38,6.5479,3.7161,5.8746,4.748,1,1,2
39,6.3281,3.9687,5.5353,4.6186,1,0,2
40,6.8774,4.5787,6.141,5.2778,0,0,2
41,6.821,4.7954,5.483,5.4536,0,1,2
42,6.8976,4.5685,5.7541,5.2869,0,1,5
43,6.5451,4.4537,6.002,4.473,0,0,4
44,6.8103,4.3796,6.1463,5.2644,0,1,1
45,6.3651,3.9086,5.3199,4.7782,1,0,3
46,6.8038,4.2121,5.6662,5.5679,0,1,5
47,6.324,4.3157,5.61,5.4466,0,0,1
48,6.76,4.9228,5.5387,4.924,0,0,5
49,7.2246,4.6374,6.5062,5.0945,0,0,5
50,6.6983,3.7948,5.962,4.8763,1,1,3
51,6.7366,4.6296,5.2956,5.2749,0,0,4
52,7.0181,4.346,6.1671,5.6821,0,0,2
53,6.8882,4.2292,6.6489,4.9057,1,1,4
54,7.2392,4.7447,6.213,5.5016,0,0,3
55,6.7537,4.9124,5.1923,5.0879,0,1,3
56,6.7554,4.8725,5.6063,4.9829,0,1,3
57,6.7843,4.1643,6.3068,5.2572,0,1,1
58,6.6302,4.3763,5.5169,4.8859,0,1,4
59,6.7768,4.6325,5.9775,5.0785,0,1,4
60,6.6482,4.8902,6.1099,4.8208,0,0,5
61,6.977,4.3083,5.4292,6.0859,1,1,5
62,6.4984,4.4257,5.7762,5.3141,0,0,5
63,6.379,4.0575,4.5035,5.0201,0,1,3
64,6.5497,4.0215,5.3902,5.3856,0,1,4
65,7.066,4.825,5.699,5.2551,0,1,3
66,6.8957,5.0425,5.3009,5.2116,0,0,1
67,7.0645,4.4712,6.453,5.5457,0,1,5
68,6.7714,4.9014,5.2279,5.603,1,0,3
69,6.8907,4.6447,5.624,5.0878,0,0,3
70,6.7477,4.242,5.8523,5.0697,0,0,1
71,7.1251,4.6446,6.3765,5.19,0,1,2
72,6.3134,5.1152,5.2257,4.3792,1,1,4
73,7.0403,4.4857,6.2653,4.6939,0,0,2
74,7.192,5.1259,5.8041,5.8467,0,1,5
75,6.6482,3.4521,5.4074,5.958,0,0,3
76,6.8869,4.8288,5.9848,5.2004,1,1,1
77,7.0673,4.5348,5.8796,5.5306,0,0,1
