firm_id,year,log_output,log_labor,log_capital,log_materials,sector,exporter
1,2010,6.2607,3.168,4.8372,9.3414,metals,1
2,2010,4.8851,3.7142,2.5773,6.8141,textiles,1
3,2010,6.8085,4.8683,7.7533,5.5185,electronics,0
4,2010,7.5674,5.3438,8.1122,7.8846,metals,1
5,2010,7.7921,6.5639,9.4245,6.2226,food,1
6,2010,7.7594,5.2851,9.1264,6.9424,electronics,1
7,2010,8.1294,5.8714,9.4332,7.1035,metals,0
8,2010,6.9688,6.0133,4.61,8.2933,metals,0
9,2010,4.1906,2.666,5.8749,5.3545,food,0
10,2010,6.7753,5.265,6.592,7.2691,chemicals,1
11,2010,7.3988,6.3394,7.9817,7.99,textiles,0
12,2010,7.5314,8.0043,6.9565,7.1754,electronics,0
13,2010,5.4896,3.8572,5.4575,7.2287,chemicals,0
14,2010,7.0641,4.4841,8.2141,8.3446,metals,0
15,2010,6.7476,6.0469,7.1263,5.484,textiles,0
16,2010,5.5964,4.2453,7.0397,5.3987,food,1
17,2010,6.1541,5.1461,7.474,4.3061,chemicals,1
18,2010,7.4982,4.2696,8.1503,10.1639,food,1
19,2010,6.9459,5.7612,9.3868,5.8853,metals,0
20,2010,5.9967,3.5327,5.0992,6.9671,chemicals,0
21,2010,6.8888,5.8717,4.4519,8.2681,metals,0
22,2010,6.9842,4.8465,6.1845,8.323,textiles,0
23,2010,6.3921,3.4721,7.7998,6.1492,electronics,0
24,2010,6.1336,6.1371,5.9322,5.9544,electronics,0
25,2010,7.3677,4.7701,9.1864,6.9354,metals,0
26,2010,6.9832,4.6936,7.6188,6.7311,food,0
27,2010,5.8912,4.2067,3.3184,9.5407,chemicals,0
28,2010,5.8533,3.0648,6.3788,6.9947,food,0
29,2010,6.3846,6.1289,7.6935,5.4773,food,0
30,2010,6.7535,5.6795,6.4564,7.2832,metals,0
31,2010,8.307,5.7575,6.4987,9.9745,metals,0
32,2010,7.9566,4.3046,8.0616,8.0701,electronics,1
33,2010,6.0094,6.8514,6.3692,5.1761,textiles,0
34,2010,5.9999,5.1187,6.9189,5.318,textiles,0
35,2010,4.9374,4.7947,3.0436,8.4266,chemicals,0
36,2010,6.803,3.9554,8.3036,7.9969,food,0
37,2010,8.0227,5.9554,6.7358,8.55,food,1
38,2010,6.7268,4.7371,6.1546,6.7124,chemicals,0
39,2010,6.6554,5.019,6.4603,7.9918,food,1
40,2010,4.8479,2.7525,5.6964,6.4284,metals,0
41,2010,5.5501,4.3618,6.6423,8.8988,textiles,0
42,2010,6.9277,5.3514,8.4614,6.135,metals,0
43,2010,6.5897,5.1851,7.9025,7.4234,metals,1
44,2010,6.25,5.5176,6.7289,5.9579,textiles,0
45,2010,5.3022,5.0647,5.4467,7.3579,metals,0
46,2010,6.4916,3.7287,5.6502,9.4291,metals,0
47,2010,5.6739,4.159,5.3587,8.1147,textiles,0
48,2010,6.6971,5.3738,7.5559,7.8244,textiles,0
49,2010,6.3668,3.5304,3.5931,8.7714,metals,0
50,2010,5.7216,3.1574,6.9935,8.5772,food,0
51,2010,6.516,5.134,5.7724,7.6109,food,1
52,2010,9.7194,7.9336,9.6429,8.947,food,1
53,2010,8.7517,6.3511,7.7809,9.2249,metals,0
54,2010,6.2061,6.293,7.5514,5.2158,metals,0
55,2010,7.9008,3.9544,9.509,9.7359,metals,0
56,2010,8.1994,7.1469,7.0547,7.795,metals,1
57,2010,7.2894,5.7188,5.2509,7.609,chemicals,0
58,2010,7.1697,6.7288,7.2353,8.0104,chemicals,1
59,2010,6.1731,4.2063,6.7807,6.5363,food,1
60,2010,6.5751,5.9815,4.3368,7.3549,food,1
61,2010,7.6227,6.8117,7.1714,6.4983,metals,0
62,2010,8.107,5.8917,8.8422,8.8539,chemicals,1
63,2010,6.791,5.1421,7.3608,7.2673,chemicals,0
64,2010,6.2691,4.8933,6.0552,7.9026,metals,0
65,2010,6.6563,5.8514,5.3238,6.9026,chemicals,0
66,2010,5.4665,2.8975,4.1197,7.4628,chemicals,0
67,2010,6.6729,6.8378,2.8238,7.8717,chemicals,1
68,2010,5.8458,4.8888,5.653,6.1508,textiles,1
69,2010,8.3654,7.6211,6.3788,9.876,food,0
70,2010,7.1114,5.3536,7.1484,7.9338,textiles,1
71,2010,7.5082,4.6293,8.4227,7.0032,food,0
72,2010,7.1987,5.6826,7.6213,7.6925,textiles,0
73,2010,6.6988,3.2586,8.116,6.3229,electronics,0
74,2010,6.8607,5.5286,5.8587,8.4938,food,1
75,2010,6.5905,4.8242,6.9666,7.8938,food,0
76,2010,5.0619,5.5451,4.1193,4.9172,textiles,0
77,2010,6.9513,5.3546,6.9282,7.7676,textiles,0
78,2010,7.0789,4.1075,5.3795,7.8923,metals,1
79,2010,6.0039,2.5444,4.509,6.4728,chemicals,1
80,2010,7.1321,5.5209,6.4968,8.8336,metals,1
81,2010,6.4812,6.1544,4.8082,8.1023,metals,1
82,2010,7.5261,7.3203,5.9468,10.0756,textiles,1
83,2010,6.3104,5.5844,5.3863,6.5233,metals,0
84,2010,8.0964,4.9482,8.7539,9.2386,food,0
85,2010,7.2412,7.1528,4.2022,7.1068,food,1
86,2010,6.754,4.9218,6.9013,10.0758,food,1
87,2010,7.1057,5.2281,7.1232,7.5161,metals,0
88,2010,8.2244,7.5204,7.5254,8.3187,chemicals,0
89,2010,7.2212,6.6241,8.293,7.77,food,1
90,2010,7.5927,6.9276,7.4161,7.0223,chemicals,0
91,2010,4.5238,5.901,1.4455,5.1893,food,1
92,2010,6.9808,4.1374,5.977,9.3204,metals,0
93,2010,7.2396,5.4338,7.5226,9.5253,textiles,0
94,2010,6.2158,5.4182,7.0165,5.7857,textiles,1
95,2010,6.6992,6.6906,7.1659,7.23,textiles,0
96,2010,6.8845,6.2677,5.5389,6.1789,chemicals,0
97,2010,7.5717,3.7783,7.6357,8.0766,textiles,0
98,2010,6.6859,6.4167,7.6092,8.3624,food,1
99,2010,6.6865,5.1137,6.2434,8.6039,food,0
100,2010,8.1789,7.1479,6.9336,8.0427,electronics,0
1,2011,8.1522,5.7239,8.3354,7.5063,metals,1
2,2011,7.2632,6.2879,7.0486,7.9779,textiles,1
3,2011,7.1738,6.4573,7.6439,5.9574,electronics,0
4,2011,5.7753,3.471,5.3784,6.1242,metals,1
5,2011,7.3303,5.0923,7.9307,7.9407,food,1
6,2011,6.9783,6.2641,3.8787,7.0589,electronics,1
7,2011,7.7953,5.566,8.6745,9.1328,metals,0
8,2011,7.401,6.0627,6.1868,7.4778,metals,0
9,2011,6.8887,6.5159,8.0908,6.3207,food,0
10,2011,6.6163,5.6124,5.8486,6.3741,chemicals,1
11,2011,5.9546,4.3544,7.6639,5.8901,textiles,0
12,2011,7.7409,8.5064,5.0411,9.5033,electronics,0
13,2011,6.9391,5.5025,7.4778,7.1358,chemicals,0
14,2011,6.9716,6.7714,5.9173,7.32,metals,0
15,2011,7.393,7.133,6.7483,7.1257,textiles,0
16,2011,5.3049,3.4236,5.4057,7.5998,food,1
17,2011,7.193,4.7552,9.1017,7.7708,chemicals,1
18,2011,6.9216,5.6405,7.2643,7.0516,food,1
19,2011,6.3338,6.2725,6.575,6.7144,metals,0
20,2011,7.8927,5.7413,6.0567,9.127,chemicals,0
21,2011,9.2424,6.7601,8.9973,9.0822,metals,0
22,2011,7.6925,6.2332,5.5134,8.5454,textiles,0
23,2011,8.3366,7.0691,8.2731,9.4424,electronics,0
24,2011,6.7719,5.323,7.3152,7.7395,electronics,0
25,2011,7.083,5.9394,5.5467,8.1087,metals,0
26,2011,6.8536,5.1642,6.6558,7.0884,food,0
27,2011,6.0655,5.1727,3.8114,6.299,chemicals,0
28,2011,7.3908,7.057,6.6171,9.0567,food,0
29,2011,7.4209,5.3368,6.9324,9.6695,food,0
30,2011,6.4386,4.8313,7.0042,8.3799,metals,0
31,2011,8.9469,6.7931,8.6497,7.8266,metals,0
32,2011,8.6756,4.9653,8.2474,7.8137,electronics,1
33,2011,4.0505,2.4653,4.7483,5.8474,textiles,0
34,2011,5.5324,3.7307,5.5835,6.4313,textiles,0
