"variable","model_name","ame","ame_std_error","ame_z_statistic","ame_p_value","ame_lower","ame_upper","mem","mem_std_error","mem_z_statistic","mem_p_value","mem_lower","mem_upper"
"capital","ols_pooled",0.29403174196698,0.0327440103027586,8.97971076994832,2.71479461364946e-19,0.229854661064165,0.358208822869796,0.294031741967006,0.0327440107076737,8.97971065890529,2.71479735345136e-19,0.229854660270572,0.358208823663441
"value","ols_pooled",0.0951057823331984,0.00716581577563599,13.2721500679045,3.35805593156627e-40,0.0810610414931029,0.109150523173294,0.0951057823331983,0.00716583234336879,13.2721193820853,3.3594315145785e-40,0.0810610090209432,0.109150555645453
"age","logit",0.000184227243727121,0.00116136275249605,0.158630232742674,0.873960208099104,-0.00209200192415145,0.00246045641160569,0.000119482074701498,0.000753421380456076,0.158585988931148,0.873995068303033,-0.00135719669617486,0.00159616084557786
"educ","logit",0.00564962081874565,0.00313165866670052,1.80403467300542,0.0712258715644771,-0.000488317379860083,0.0117875590173514,0.00366410746197529,0.00206246583330026,1.77656638127778,0.0756396110747261,-0.000378251290637596,0.00770646621458818
"kidsge6","logit",-0.00291312990725376,0.00909603341190035,-0.320263765021192,0.748768389004285,-0.0207410277967514,0.0149147679822439,-0.00188933405355809,0.00589986551131295,-0.320233410394746,0.748791397833258,-0.0134528579693615,0.00967418986224529
"kidslt6","logit",-0.0631051077375119,0.0109438268180643,-5.76627433772507,8.1043099399966e-09,-0.0845546141539616,-0.0416556013210622,-0.0409273297326528,0.00674195253130029,-6.07054551966111,1.27476476311569e-09,-0.0541413138794801,-0.0277133455858256
"nwifeinc","logit",-0.00281578778914028,0.000880790678765955,-3.19688645330056,0.00138919599544543,-0.00454210579744014,-0.00108946978084042,-0.00182620157998129,0.000495850674222457,-3.6829668182764,0.000230535176986634,-0.00279805104316721,-0.000854352116795371
"age","probit",0.00028928997309762,0.00115399790243695,0.250685007734167,0.802057652731467,-0.00197250435391357,0.00255108430010881,0.000227913101402533,0.000909186026834709,0.250678183205259,0.802062929486492,-0.00155405876644056,0.00200988496924563
"educ","probit",0.00593709506685357,0.00310554934546807,1.91176967627888,0.055905742838441,-0.000149669802475774,0.0120238599361829,0.0046774581832096,0.00246537816477956,1.89725789334548,0.0577939093466995,-0.000154594228029788,0.00950951059444899
"kidsge6","probit",-0.00304151466126769,0.00900988801977174,-0.3375751901237,0.735683341136969,-0.0207005706847592,0.0146175413622238,-0.00239621522971014,0.00710028157344466,-0.337481718847896,0.735753790915639,-0.0163125113937551,0.0115200809343348
"kidslt6","probit",-0.0583434561605929,0.0098370115271547,-5.93101431258243,3.01068965277342e-09,-0.0776236444693214,-0.0390632678518643,-0.0459650842571703,0.007511546743703,-6.11925690214246,9.40127328473965e-10,-0.0606874453430173,-0.0312427231713233
"nwifeinc","probit",-0.00257097263112998,0.000811329344930856,-3.16883969154238,0.00153048785415898,-0.00416114892679493,-0.000980796335465024,-0.00202550494097554,0.000561800013846214,-3.60538428454008,0.000311691354539816,-0.00312661273462822,-0.000924397147322857
"log_capital","poisson",-0.776456815538901,0.419358492037929,-1.85153473765514,0.0640926620529693,-1.59838435654427,0.0454707254664662,-0.528116019927753,0.285614029241469,-1.84905489877482,0.0644498859260269,-1.0879092307204,0.031677190864895
"log_rnd","poisson",3.49206064587436,0.292294405372989,11.9470663197205,6.72577186834569e-33,2.91917413846075,4.06494715328797,2.37516469890695,0.191189707490605,12.4230782612796,1.95876959199576e-35,2.00043975801061,2.74988963980328
"log_sales","poisson",1.62693189144766,0.493802559617033,3.29470121157214,0.000985263793272534,0.659096659124583,2.59476712377074,1.10657636136177,0.335789969522937,3.29544197801353,0.00098266993655788,0.448440114727014,1.76471260799653
