patents,log_rnd,log_sales,log_capital,industry,year
12.0,3.365660495705318,4.570108783109765,3.784492687167798,1,1979
2.0,1.7520190725114053,3.5474722339080826,3.723005421093797,5,1978
3.0,3.9005414349677485,4.609744235240777,4.357755749315846,5,1977
10.0,4.1286776596694565,6.36665218369621,6.101377083884644,5,1976
1.0,0.6587577736153962,2.3429360799657255,2.539042883681569,2,1979
1.0,1.4373845917652184,3.3606765846869204,3.149768117997562,2,1979
4.0,3.1534084838007423,4.367936653039845,4.142483487793623,5,1975
3.0,2.6205088891877013,4.527390734170806,4.087722130526456,3,1979
5.0,2.9798386109948534,5.014074388989373,4.180184621491294,4,1978
4.0,1.976347286911704,3.592786296980288,3.166304492337499,3,1975
9.0,4.055277569835394,5.672478016184742,5.481722132266088,3,1978
3.0,3.933350322514738,5.568521942155601,5.08560830451966,4,1975
5.0,3.0792368370734593,4.147564204703769,3.332812118271364,5,1975
13.0,4.352689448361639,5.778925108241463,5.571712753075935,2,1975
10.0,3.5610112107024547,4.984749944476276,4.757922409652711,5,1977
2.0,1.9688490445401141,3.660545976716862,2.992981288934595,2,1978
14.0,3.4425009408989986,5.442413064354146,5.008873899073386,3,1977
2.0,1.8493408790052013,2.8200728380159967,2.125827430803154,5,1975
7.0,4.054140361568727,5.491635846408938,4.9957298839475275,5,1975
5.0,2.9400889068164964,5.180816680645982,4.470317586219112,5,1979
1.0,2.7781651637456872,3.906371049339405,3.7168944835515974,2,1979
2.0,2.1828845467152704,3.2717595380701106,2.775384933306591,5,1978
4.0,4.467049606408836,6.068202702324433,5.63140970663338,5,1975
0.0,2.8145646215174374,4.736757216760097,4.601524493991336,5,1979
2.0,2.486006613404271,3.9917196411846008,3.9607630255452073,1,1978
2.0,2.5774397394141246,4.741920034632619,4.036195324050221,4,1977
6.0,3.6387710226640184,5.567168013947282,5.172453728612676,5,1975
8.0,3.438532877236894,5.359442910681925,5.166126995176124,4,1979
4.0,3.495279133915186,5.2723373845772326,4.8011910656542325,2,1977
9.0,3.516985203609459,6.180811753782502,5.342406096577711,4,1975
15.0,5.569977121044554,6.967396276611532,7.151617630223109,1,1976
2.0,2.5123019803384614,3.0105408343052042,2.959532441276202,3,1977
5.0,2.385308725114155,4.687435905872725,4.464301838441306,4,1975
1.0,2.023472726102547,3.294623010624134,2.356269350608035,3,1976
10.0,3.7391753070905946,5.293115529262112,4.708339434386323,4,1977
23.0,4.354766751265069,6.509542093695333,5.779346921556965,2,1979
3.0,2.86326305081415,3.5621332802846872,3.4041815560225563,4,1975
4.0,1.9918122276449663,2.8659886205918967,2.701849383173055,4,1977
4.0,2.0106225411705125,2.709983572611086,2.075639457594273,4,1979
10.0,3.7807113453896415,4.8836432003769294,4.366160901096295,2,1979
8.0,3.891905005444131,5.6117233084526275,4.94710166279339,2,1979
10.0,3.651785121966234,5.413879043372619,4.970180340651154,2,1975
2.0,2.201388351253567,3.8395254409178436,3.2560823229814555,3,1979
2.0,3.2785935876800636,4.072210645733881,3.524774920262348,3,1979
4.0,3.140022970968874,3.484971252652552,2.7516410359270744,2,1976
2.0,3.2624263160748157,4.789603108770007,4.047500624186665,3,1977
3.0,4.0457145335378275,5.30982651671866,5.295788115036191,2,1977
7.0,3.2683146585296186,4.998007544387924,5.172188110990181,2,1977
10.0,3.814696275686274,5.665673088796909,4.865149469501457,4,1976
4.0,3.08109488338667,4.650215599416011,3.79389807143743,5,1979
9.0,3.346943278427981,5.227009821115908,5.033196726969909,2,1979
3.0,3.7575458710062484,5.372151558063782,5.430102180027471,5,1976
1.0,1.2514130161732002,3.0164453689739332,2.486734922671773,3,1979
3.0,2.6163945403712385,3.764057908936297,2.9848064410311386,1,1976
0.0,2.4355528148486454,3.845747107932916,2.8064687512026216,2,1978
0.0,2.23334658210799,3.8317346304364683,3.176845358806033,1,1977
3.0,2.6698292985279797,4.580093536236689,4.1916085452123975,1,1977
11.0,4.793929573481275,6.097058987368989,5.864998173844448,2,1975
2.0,1.9610026611681082,3.7215862890341644,3.218150901532968,3,1978
8.0,4.161934025509777,5.529014629552087,5.118794040717664,4,1976
1.0,0.9805562740610343,2.421785190396969,2.226305562115614,1,1976
2.0,2.59813796401707,4.512897485029106,3.3982707897701205,5,1975
3.0,3.195303678126007,3.698773492598929,2.6632229719772895,2,1979
5.0,3.7034667976311337,4.555230633593753,3.7144160285271246,1,1975
6.0,3.853471895751426,4.612379197030015,4.3886343163727535,4,1978
9.0,3.9520166822399103,4.285208622315758,3.528702825026574,4,1979
3.0,2.5815299133018748,3.7423976932242864,3.0505097703749158,4,1975
3.0,2.4451778488025195,4.31989479866639,3.687131111405174,1,1977
7.0,4.029571057508584,5.3871290243172965,4.512229444204163,1,1977
1.0,2.770434810142062,4.3693298511129885,3.6787185082546054,2,1976
1.0,1.469176411994494,3.51378516034989,2.7917808894585896,3,1978
1.0,1.6400553431958234,3.803898409329669,3.112826524318006,5,1977
1.0,1.8966572567980664,3.362088289434997,2.7598508670343653,2,1977
2.0,3.5965928928645168,5.773385837649215,5.80846917656347,1,1977
10.0,3.1709108832846784,4.716974212501733,4.191887889278566,5,1979
13.0,3.828582424881322,4.909883312967591,4.576740900622329,1,1978
1.0,2.487296824396159,3.6900966482967914,3.5740489355887974,1,1976
7.0,3.190247629292057,3.949979373009549,2.9454343872193016,3,1979
8.0,3.750708472760804,4.806641545893978,3.787942943628267,3,1979
4.0,2.628784152335714,3.949775808298499,3.0420096282098155,4,1979
11.0,3.548130285068894,5.449922794758194,4.873358769701432,5,1978
4.0,2.2056888707200186,4.5660737863030105,3.6608862500172137,5,1976
2.0,2.5643353841219136,3.3732446264333937,2.869628672252846,2,1978
2.0,2.541914527202005,4.238328261331964,3.6774890782626306,5,1976
1.0,1.5649924252931524,2.544720455714385,2.37276186685298,4,1976
9.0,3.584366976942698,5.3217155211742995,4.702618129824647,1,1977
2.0,2.436717191756731,3.871173866412868,3.3530580878855427,5,1979
3.0,3.014992942473225,3.59954002954946,3.490335664599799,1,1977
4.0,3.576895990687091,5.541044486471333,5.056403620016312,3,1976
4.0,3.5358374112359328,4.733337054831567,4.25725592398861,4,1977
2.0,3.7984621307673434,5.031512011580566,3.992243661587174,2,1976
3.0,2.8818174185886916,3.8469412129438467,3.078677214389824,2,1978
5.0,2.4920420255470157,3.6649003872032377,3.161466755475798,3,1976
2.0,2.904338146912321,4.61828336725978,4.043647174319455,5,1977
0.0,0.9751986792503642,2.3805765087821613,1.8673127953509019,2,1976
0.0,1.2634650330922954,2.927796034233536,2.4886702296722003,4,1976
1.0,1.4127604651747172,3.0937213921391393,2.9184495513556254,3,1979
3.0,1.803303806878222,3.9636346346423057,3.5089501979243845,1,1976
8.0,3.4797290720681238,4.808335996635934,4.5321654736316885,4,1975
3.0,1.913425133567927,2.674996225145061,2.5500908868220047,5,1976
4.0,2.5462049351527325,4.579816143438724,3.9264495990744637,3,1977
15.0,4.559073957343278,5.89332987129465,5.27595047331468,1,1975
4.0,2.5724832347262887,4.629779457014977,4.665791710425401,1,1976
8.0,3.8850186821605037,5.576707238751739,5.113512630000277,3,1975
3.0,1.8796587839881476,3.314090018886475,2.515379603116498,3,1977
5.0,2.753474930558844,4.427862877581991,3.610095755913095,3,1978
1.0,1.8599735341073025,4.335479814170452,3.5277287613048807,2,1979
0.0,2.593160308919325,5.131650573446201,4.619976611375764,3,1976
8.0,4.008369764948874,5.543060332515264,5.29657393090601,2,1979
3.0,0.9272154921691818,2.5073107888277195,2.332420437035138,4,1976
5.0,3.521308372255029,5.5594284509882215,4.956046979563114,4,1978
2.0,3.2852827227987333,4.3624522064150595,3.748668196105511,4,1977
0.0,2.2870200531638467,3.9535552394729745,3.067355905991455,1,1978
1.0,1.2647305747338546,2.751799150756926,1.921805255654301,5,1978
3.0,3.0865554092566434,4.74350951498542,4.283178111944772,1,1977
3.0,2.364608749123437,3.447924346148734,3.321186109806995,5,1976
3.0,3.2792114536256447,3.98442770697116,3.5801596860744294,1,1977
3.0,3.0262225746281315,3.4897308566324856,2.924561498189328,3,1979
8.0,4.922134669585098,5.863442613090294,5.424067586707116,1,1979
1.0,2.712773247032371,3.9834356045627044,3.656803836986001,1,1979
1.0,1.7718030088537622,3.1252072155293815,2.549341771038412,4,1975
6.0,3.2151307619475795,5.683746343162338,5.334933665585521,4,1977
5.0,3.2639960207661183,5.316992705719768,5.00541253083738,1,1975
14.0,4.6310250902885235,5.64997953211771,5.056543681826678,5,1978
9.0,4.002133495097494,5.675987721322973,5.296585495361734,2,1979
4.0,3.4282452709794113,4.724706152804249,4.151474836110743,2,1975
19.0,4.755963469463474,6.113781550443426,5.531820343587789,2,1978
0.0,1.5734843348125789,3.16614715952027,3.0079758598477424,3,1979
3.0,2.232298160700303,4.041883719188,3.6862560563476237,1,1979
3.0,1.8881088703133702,3.2184796283713624,2.2871465463964236,3,1976
5.0,2.5322282362130784,4.564154002580258,4.412777856400544,2,1975
1.0,1.3479766229324295,2.2770075098612272,2.4120038445523866,1,1979
8.0,3.762181136177285,5.265350667358419,5.323904213331172,2,1979
4.0,2.733332763481472,5.532169626779389,5.023436642806388,4,1977
2.0,1.2350324465968106,2.846572317909448,2.3372971344996385,4,1979
3.0,1.78130510255095,3.9979123558540364,3.5331956124815727,2,1975
10.0,3.3762166169402343,4.921976706026839,4.057719757348288,2,1978
5.0,4.005751881473257,5.7961404291381555,6.097990759069037,4,1975
33.0,5.3960770700301435,6.867685472833798,6.248905310504551,4,1979
45.0,6.496634959208795,7.911431168626693,6.942999708085622,5,1978
5.0,3.4972913199311955,4.607550121568486,4.445884351036,5,1979
0.0,1.8125542559617631,3.5277049354405396,3.141646888977508,5,1977
0.0,0.44154446312242923,1.5157758685295453,1.2416434436981314,5,1975
5.0,3.321253754812603,5.154046372969318,4.922350186792577,3,1975
3.0,2.024470685627609,4.067114187850564,3.6649927893574756,2,1976
4.0,2.501571287784378,4.184836991402992,3.256591406297641,2,1978
1.0,2.2654838411282303,3.622359474350384,2.5711434717041284,2,1975
5.0,2.8310509363003376,4.558033725954686,4.15881549346673,4,1979
9.0,4.279176276945172,5.624839749171966,4.553321684952625,4,1976
4.0,3.1884582809344137,5.156231843666989,4.645558900571602,5,1977
