country,quarter,gdp_growth,inflation,interest_rate
Country_01,1,2.3213,3.0097,3.4527
Country_01,2,2.1589,2.6509,2.6821
Country_01,3,2.4248,2.7139,3.1322
Country_01,4,2.2229,2.1177,3.098
Country_01,5,2.0504,2.1025,3.1572
Country_01,6,2.3676,3.1575,3.3946
Country_01,7,2.4831,2.8389,2.3997
Country_01,8,2.3936,2.7271,4.4779
Country_01,9,2.1687,2.8739,4.0059
Country_01,10,1.6514,3.223,4.2752
Country_01,11,2.4975,2.5035,4.8786
Country_01,12,1.5528,2.929,5.5027
Country_01,13,1.4864,2.5746,4.6713
Country_01,14,1.7161,1.9909,4.1871
Country_01,15,1.4714,2.5659,3.2532
Country_01,16,2.8084,2.222,3.2431
Country_01,17,2.8073,2.0386,3.4493
Country_01,18,3.0252,1.8248,3.4993
Country_01,19,2.543,2.7193,2.6284
Country_01,20,1.7412,2.8814,3.2716
Country_01,21,2.2702,2.828,3.0713
Country_01,22,2.4244,2.8282,2.9162
Country_01,23,3.2953,2.9082,2.5447
Country_01,24,2.9785,2.4293,3.5145
Country_01,25,3.0381,2.3162,4.0492
Country_01,26,2.645,2.9607,4.8566
Country_01,27,2.2221,2.5893,3.7049
Country_01,28,1.8304,2.6115,3.8329
Country_01,29,2.255,2.9493,3.7229
Country_01,30,3.0101,2.6846,5.3216
Country_01,31,2.7163,2.4972,3.7689
Country_01,32,2.6154,2.5687,4.0501
Country_01,33,2.5736,2.6616,3.2699
Country_01,34,1.6154,2.506,3.9178
Country_01,35,2.1444,2.0607,3.8564
Country_01,36,2.3473,2.0771,3.7207
Country_01,37,2.253,1.9936,3.7677
Country_01,38,2.4653,2.8435,4.2009
Country_01,39,1.6231,2.418,4.2112
Country_01,40,2.2731,2.7452,6.1972
Country_02,1,2.2102,5.2435,5.2204
Country_02,2,2.3691,4.8795,5.3942
Country_02,3,1.6596,4.7898,4.6719
Country_02,4,1.9012,5.6675,3.5036
Country_02,5,2.4221,4.4134,3.8762
Country_02,6,2.6357,4.6532,3.4849
Country_02,7,1.8412,4.9971,3.523
Country_02,8,2.1012,4.8035,3.6805
Country_02,9,3.1157,4.9952,2.8932
Country_02,10,2.4998,4.6157,4.2041
Country_02,11,1.7221,4.6867,4.6249
Country_02,12,2.304,4.2242,4.3812
Country_02,13,1.7741,4.3039,5.4208
Country_02,14,2.0111,4.0918,5.4705
Country_02,15,2.9171,4.9505,3.9894
Country_02,16,2.0456,5.4043,3.8193
Country_02,17,2.3021,5.2932,3.7144
Country_02,18,2.1215,3.6629,3.574
Country_02,19,1.8148,3.783,4.8623
Country_02,20,1.0816,4.1879,4.6388
Country_02,21,2.349,3.8671,5.244
Country_02,22,1.9514,4.0775,5.0144
Country_02,23,1.959,4.2629,4.7157
Country_02,24,1.7026,4.6084,4.9491
Country_02,25,2.6342,4.1921,6.013
Country_02,26,1.0498,4.6063,5.5091
Country_02,27,1.7577,4.4,4.9207
Country_02,28,1.5918,4.3722,5.1948
Country_02,29,1.9506,4.3168,5.3659
Country_02,30,2.0192,4.9413,5.2632
Country_02,31,1.5393,4.6437,5.3728
Country_02,32,2.0797,4.6978,5.0289
Country_02,33,2.5981,4.5281,5.0959
Country_02,34,1.9934,4.6649,5.4091
Country_02,35,2.3238,5.0873,5.7404
Country_02,36,2.0464,5.2532,4.9835
Country_02,37,2.1692,4.9292,4.8881
Country_02,38,2.3139,4.5319,5.9829
Country_02,39,1.4622,4.2837,5.903
Country_02,40,2.0848,4.8307,5.5505
Country_03,1,2.5084,2.7607,3.2005
Country_03,2,2.1186,3.3985,2.9699
Country_03,3,2.0028,3.0844,3.3057
Country_03,4,2.0507,2.7637,3.3308
Country_03,5,2.4362,2.7676,2.864
Country_03,6,2.569,2.4079,2.05
Country_03,7,2.1384,2.7304,2.6134
Country_03,8,3.1102,3.273,2.6826
Country_03,9,2.7053,2.8466,2.8348
Country_03,10,2.3988,3.1732,2.382
Country_03,11,2.7662,3.7346,2.6509
Country_03,12,2.8602,3.6723,2.6758
Country_03,13,2.7922,3.387,2.9735
Country_03,14,2.2298,3.2858,3.3232
Country_03,15,3.1455,3.5804,4.504
Country_03,16,2.2814,3.8141,3.911
Country_03,17,3.5538,3.1193,3.0789
Country_03,18,2.513,2.4007,2.6834
Country_03,19,2.0689,2.8992,2.9504
Country_03,20,3.2898,3.3875,2.6296
Country_03,21,2.3336,3.5055,2.0355
Country_03,22,3.4532,3.7024,2.3146
Country_03,23,2.0225,3.9768,2.6404
Country_03,24,3.0799,2.7805,2.6252
Country_03,25,2.662,3.0635,2.4748
Country_03,26,2.8812,2.6815,2.6476
Country_03,27,2.6489,3.1921,3.1781
Country_03,28,1.9813,2.5803,3.8712
Country_03,29,2.4136,2.6176,4.3234
Country_03,30,2.4161,3.4696,3.6434
Country_03,31,3.5086,4.007,3.2411
Country_03,32,3.3656,3.8671,4.0365
Country_03,33,2.3007,3.8529,4.2343
Country_03,34,1.573,3.0029,2.5257
Country_03,35,2.0998,3.265,3.7052
Country_03,36,2.3968,3.8459,2.5785
Country_03,37,1.7116,3.378,3.1459
Country_03,38,2.2663,2.3459,3.1098
Country_03,39,1.6954,3.0816,3.1826
Country_03,40,1.7763,2.849,2.5024
Country_04,1,3.1733,2.6427,2.2486
Country_04,2,3.4697,2.2459,2.0083
Country_04,3,3.2254,1.9028,1.9574
Country_04,4,2.5749,2.9386,2.246
Country_04,5,2.718,2.6019,2.4896
Country_04,6,2.9544,2.6539,3.0757
Country_04,7,2.8465,2.2516,2.7452
Country_04,8,1.9047,1.6876,3.5101
Country_04,9,3.501,1.9126,3.3809
Country_04,10,3.3419,3.4869,3.596
Country_04,11,3.2213,2.4977,2.3121
Country_04,12,3.3161,2.1054,1.6383
Country_04,13,2.914,1.7942,3.1034
Country_04,14,3.4531,2.1322,3.6851
Country_04,15,3.2174,2.0091,4.0256
Country_04,16,3.3481,1.8829,3.1611
Country_04,17,2.7107,1.664,3.3733
Country_04,18,3.8795,1.5171,3.2605
Country_04,19,2.941,1.9341,2.4304
Country_04,20,2.636,2.1798,1.9817
Country_04,21,3.1587,2.1857,2.1646
Country_04,22,2.718,2.0388,2.8275
Country_04,23,3.2422,1.8088,2.7652
Country_04,24,3.5048,1.4894,2.9398
Country_04,25,2.8359,2.2926,2.1821
Country_04,26,2.1823,1.6299,2.444
Country_04,27,2.9392,1.6018,2.8625
Country_04,28,2.1819,2.0225,1.9199
Country_04,29,2.5487,2.1133,1.76
Country_04,30,2.8095,2.5618,1.8454
Country_04,31,3.5384,1.9172,2.6064
Country_04,32,3.9575,1.2335,2.0577
Country_04,33,3.6101,1.882,2.3607
Country_04,34,2.965,2.2376,2.3107
Country_04,35,3.6954,2.38,2.6673
Country_04,36,3.1211,2.231,2.3683
Country_04,37,3.3521,2.1257,2.6586
Country_04,38,4.2368,2.638,2.4069
Country_04,39,4.1289,2.4071,1.2864
Country_04,40,3.0248,1.6629,1.7089
Country_05,1,1.6698,4.5984,5.9672
Country_05,2,1.6124,4.5477,4.4398
Country_05,3,1.8938,4.4219,4.1109
Country_05,4,2.4362,4.2104,4.5514
Country_05,5,2.3002,4.9749,5.0712
Country_05,6,2.1176,4.2011,4.8335
Country_05,7,2.2884,3.7027,5.1605
Country_05,8,1.6194,4.0708,5.398
Country_05,9,2.2013,3.7674,5.2433
Country_05,10,1.3451,3.7228,5.4797
Country_05,11,1.9398,3.44,5.9293
Country_05,12,2.3668,3.9431,6.6863
Country_05,13,1.4427,3.5617,4.9256
Country_05,14,2.3502,3.9882,5.0682
Country_05,15,2.05,3.5448,6.6588
Country_05,16,1.7606,3.9109,6.3707
Country_05,17,1.9008,4.0598,5.3862
Country_05,18,2.0021,4.7474,6.1909
Country_05,19,2.6219,4.1155,5.2902
Country_05,20,1.9302,4.1065,5.9644
Country_05,21,0.9048,4.6569,5.5835
Country_05,22,1.304,3.7389,4.6287
Country_05,23,2.0047,3.798,4.2126
Country_05,24,1.1826,3.7073,5.7537
Country_05,25,1.3675,3.1989,5.403
Country_05,26,1.3831,2.519,5.2569
Country_05,27,1.348,3.5985,6.2231
Country_05,28,2.0759,3.6891,5.0966
Country_05,29,3.083,3.873,5.1828
Country_05,30,2.1005,4.1072,5.1082
Country_05,31,1.5581,3.8008,5.222
Country_05,32,1.3742,3.5634,5.3437
Country_05,33,1.4334,4.3428,3.7236
Country_05,34,2.2834,4.4764,3.3741
Country_05,35,1.8521,3.9503,3.5764
Country_05,36,1.4424,3.4112,5.5161
Country_05,37,2.0254,4.2044,5.8072
Country_05,38,1.2327,3.8761,5.9032
Country_05,39,0.9107,4.1654,5.5038
Country_05,40,1.2867,4.2281,5.7743
Country_06,1,1.235,2.5933,5.5091
Country_06,2,1.7219,2.5631,5.3581
Country_06,3,1.7275,1.8545,5.9939
Country_06,4,1.3711,1.8947,6.2802
Country_06,5,0.9941,1.5352,4.8838
Country_06,6,1.5701,1.3351,6.1374
Country_06,7,0.3162,2.5661,5.7791
Country_06,8,1.0737,2.0186,5.9601
Country_06,9,1.2667,2.5437,5.7597
Country_06,10,1.4811,2.1763,5.626
Country_06,11,1.5941,1.5054,4.7185
Country_06,12,1.824,1.9554,4.857
Country_06,13,1.5686,2.236,4.7688
Country_06,14,1.1261,2.2576,4.5164
Country_06,15,1.6014,1.45,5.62
Country_06,16,1.6402,2.0131,5.9991
Country_06,17,2.2857,2.5646,4.577
Country_06,18,1.133,2.1229,5.0366
Country_06,19,1.6187,1.8136,5.3542
Country_06,20,1.0811,1.8,4.4862
Country_06,21,0.8779,1.4013,4.3355
Country_06,22,1.7731,1.3749,6.3755
Country_06,23,1.6568,2.0096,5.2524
Country_06,24,1.8451,1.8914,5.38
Country_06,25,2.8132,2.0612,6.0331
Country_06,26,1.4564,2.2831,6.7096
Country_06,27,1.0758,3.0089,6.5111
Country_06,28,1.0764,2.7792,6.6987
Country_06,29,1.6363,1.8157,5.7381
Country_06,30,1.3213,2.0366,5.894
Country_06,31,1.4537,1.5969,5.8766
Country_06,32,1.6668,2.1915,6.2156
Country_06,33,1.8849,2.4273,5.7731
Country_06,34,0.7486,2.5095,5.7431
Country_06,35,1.3837,1.7447,5.0239
Country_06,36,1.9245,1.9612,5.5754
Country_06,37,1.5684,2.1572,6.0107
Country_06,38,1.1872,2.2483,5.4351
Country_06,39,1.1515,2.0557,5.5908
Country_06,40,1.0916,2.6088,4.9714
Country_07,1,3.2041,3.3146,5.3287
Country_07,2,3.2721,3.9299,3.8222
Country_07,3,3.4645,4.0505,4.0985
Country_07,4,3.9198,3.5691,5.0414
Country_07,5,4.5777,3.531,4.305
Country_07,6,4.3854,4.3217,3.8517
Country_07,7,3.4926,3.8515,3.2604
Country_07,8,2.9581,3.2557,3.2848
Country_07,9,3.1789,3.4604,4.6253
Country_07,10,2.7168,3.9315,4.2566
Country_07,11,3.1182,3.9315,3.6207
Country_07,12,3.4863,3.7365,4.2518
Country_07,13,3.4991,4.6424,3.8416
Country_07,14,3.2039,3.7541,3.8211
Country_07,15,2.9744,4.0931,4.878
Country_07,16,2.9199,3.4501,4.8993
Country_07,17,2.8474,3.7746,4.6551
Country_07,18,2.3886,4.2508,5.5411
Country_07,19,2.7057,3.6656,5.1724
Country_07,20,3.2344,3.8633,5.9191
Country_07,21,3.1197,3.4498,4.2619
Country_07,22,2.8499,3.4962,5.2814
Country_07,23,2.8292,3.6415,4.725
Country_07,24,3.7184,4.591,4.1609
Country_07,25,3.2694,4.4384,4.7045
Country_07,26,4.2603,4.1755,4.3512
Country_07,27,3.9209,4.3617,4.7934
Country_07,28,3.7739,4.4075,5.2687
Country_07,29,4.1481,4.2678,4.7187
Country_07,30,3.6562,4.4449,4.0141
Country_07,31,3.6725,3.7914,4.2204
Country_07,32,4.0566,3.7757,4.2354
Country_07,33,2.8504,4.0306,4.5807
Country_07,34,4.2583,3.6076,4.5961
Country_07,35,3.6807,4.3341,4.2813
Country_07,36,3.6106,4.1634,4.4309
Country_07,37,3.2023,3.93,5.0158
Country_07,38,2.7372,3.8006,4.2294
Country_07,39,3.7348,3.0006,3.9248
Country_07,40,3.5604,4.0006,3.8985
Country_08,1,1.9919,2.2908,4.6784
Country_08,2,1.1538,2.0456,4.5588
Country_08,3,1.4726,1.9651,4.9517
Country_08,4,1.7691,1.1889,5.4973
Country_08,5,2.3603,1.4078,6.2234
Country_08,6,1.6631,1.0203,5.0666
Country_08,7,1.9853,1.4453,4.7353
Country_08,8,2.3398,1.0329,5.6283
Country_08,9,2.1432,1.8957,5.3346
Country_08,10,2.4546,1.9874,5.39
