firm_id,year,investment,value,capital,sales,sector
1,2020,3.899,5.3412,5.9679,4.5735,Healthcare
1,2021,5.5346,6.9607,5.7411,5.7935,Healthcare
1,2022,2.6688,2.5888,5.6263,6.909,Healthcare
1,2023,5.3614,5.277,5.5521,7.5584,Healthcare
1,2024,3.8071,5.3898,5.0811,3.8395,Healthcare
2,2020,3.3007,6.1727,4.0314,5.3979,Manufacturing
2,2021,2.0362,3.1446,4.1351,5.1451,Manufacturing
2,2022,2.3889,3.0193,4.7422,4.824,Manufacturing
2,2023,4.4737,5.7829,4.4568,9.1778,Manufacturing
2,2024,3.5865,5.4455,3.6142,6.729,Manufacturing
3,2020,3.8897,5.3757,4.6837,3.7304,Energy
3,2021,4.2625,5.5197,4.4,7.6522,Energy
3,2022,3.3352,3.98,4.2833,9.8199,Energy
3,2023,3.8553,5.3484,4.7987,7.8584,Energy
3,2024,3.4777,5.4396,4.9664,3.2651,Energy
4,2020,3.7997,3.9285,3.7327,5.1284,Energy
4,2021,5.0979,7.7987,3.0245,8.2804,Energy
4,2022,4.4377,5.7107,3.2365,4.7262,Energy
4,2023,3.7956,3.213,3.4927,6.7989,Energy
4,2024,4.5583,5.9848,3.7504,7.3943,Energy
5,2020,3.3056,3.538,3.8728,4.3315,Technology
5,2021,3.4213,6.1806,3.9902,5.8929,Technology
5,2022,2.2367,6.7379,3.622,0.1657,Technology
5,2023,3.0833,3.769,3.586,4.1561,Technology
5,2024,3.9255,6.4451,4.3895,5.5454,Technology
6,2020,4.0225,5.6192,5.1312,3.754,Manufacturing
6,2021,3.9065,6.2331,4.5599,8.9383,Manufacturing
6,2022,4.1929,7.8452,4.9902,3.4257,Manufacturing
6,2023,2.2303,4.6319,4.7334,5.2079,Manufacturing
6,2024,3.1936,3.8694,4.3307,6.2353,Manufacturing
7,2020,4.0419,3.6657,3.7238,8.5943,Technology
7,2021,2.7937,3.7763,4.1944,3.4154,Technology
7,2022,4.8958,4.8843,3.5649,8.0937,Technology
7,2023,3.4794,5.5117,4.2051,6.0184,Technology
7,2024,2.7965,5.415,2.5313,4.2333,Technology
8,2020,4.8082,6.2408,5.1293,6.8318,Finance
8,2021,4.4165,5.0195,4.8354,6.3583,Finance
8,2022,5.0176,7.1803,4.681,4.9196,Finance
8,2023,4.3423,4.603,4.8373,6.1256,Finance
8,2024,5.7636,9.0803,4.0055,5.3064,Finance
9,2020,3.3289,5.9385,3.9316,6.2043,Technology
9,2021,2.4396,3.7143,4.1623,7.1918,Technology
9,2022,2.7119,3.3937,4.6106,8.8548,Technology
9,2023,2.3845,5.7237,3.8122,3.7719,Technology
9,2024,3.2426,4.6648,3.6961,9.8395,Technology
10,2020,2.8228,6.071,4.0659,2.4862,Technology
10,2021,4.033,5.7099,4.6328,5.7268,Technology
10,2022,3.7265,4.8908,4.3981,7.059,Technology
10,2023,3.4076,3.7298,4.0547,6.5058,Technology
10,2024,2.948,2.7277,4.472,4.8791,Technology
101,2020,1.2131,4.3302,4.0575,5.6254,Energy
101,2021,2.5677,6.2846,4.4061,5.1126,Energy
101,2022,2.5153,5.3211,3.7378,4.9391,Energy
101,2023,2.3034,3.1314,3.8876,7.5293,Energy
101,2024,2.9612,5.2598,3.8618,6.6426,Energy
102,2020,3.6887,5.578,5.3964,4.7528,Energy
102,2021,4.2953,3.6742,6.1003,7.6193,Energy
102,2022,3.9976,5.2306,6.0862,6.5531,Energy
102,2023,3.7579,5.0873,5.9839,7.4632,Energy
102,2024,2.5057,3.2855,5.888,7.1333,Energy
103,2020,2.6278,5.5367,3.9231,4.5078,Energy
103,2021,3.8234,5.8412,4.3209,4.9917,Energy
103,2022,4.6801,6.6246,4.3521,7.3451,Energy
103,2023,4.8337,6.5807,4.1683,7.0987,Energy
103,2024,2.4357,2.9335,4.4247,5.9624,Energy
104,2020,0.8363,3.5933,3.8155,6.2112,Finance
104,2021,2.1951,5.7726,4.4083,8.2998,Finance
104,2022,2.4554,5.7707,3.7237,4.9352,Finance
104,2023,1.8038,5.7726,3.7569,6.9848,Finance
104,2024,3.7951,10.7791,3.6241,5.6361,Finance
105,2020,2.3787,5.8563,4.3905,5.6082,Energy
105,2021,3.6313,6.7033,5.1474,7.9778,Energy
105,2022,3.4194,6.431,5.1821,7.4857,Energy
105,2023,3.042,5.9771,6.1433,7.4643,Energy
105,2024,1.9341,4.5271,5.0811,8.3499,Energy
106,2020,2.5986,6.1385,3.6439,6.0378,Manufacturing
106,2021,2.9399,3.8408,3.5094,7.2275,Manufacturing
106,2022,2.5169,4.6448,3.0559,5.4415,Manufacturing
106,2023,2.1055,4.272,3.9805,6.5835,Manufacturing
106,2024,2.2525,5.1228,3.8241,5.7657,Manufacturing
107,2020,2.8389,8.472,4.9835,6.1746,Healthcare
107,2021,2.5431,2.1991,4.3033,7.0713,Healthcare
107,2022,3.2164,6.0294,5.2282,4.5272,Healthcare
107,2023,2.2318,2.5809,4.1064,9.7663,Healthcare
107,2024,2.2363,4.2921,4.9018,4.1892,Healthcare
108,2020,2.0195,6.6334,3.8084,3.8145,Manufacturing
108,2021,2.7865,5.0964,2.536,8.0846,Manufacturing
108,2022,3.1182,3.3834,2.7057,7.425,Manufacturing
108,2023,3.1129,3.927,2.9721,7.1234,Manufacturing
108,2024,3.3681,6.0194,2.7309,7.131,Manufacturing
109,2020,1.5789,3.9045,2.8172,5.978,Manufacturing
109,2021,2.3011,5.3247,3.4649,4.3849,Manufacturing
109,2022,1.8576,5.0684,3.0125,6.1364,Manufacturing
109,2023,0.7718,4.0226,3.6269,4.7811,Manufacturing
109,2024,3.1937,8.2159,3.0697,7.7552,Manufacturing
110,2020,2.82,5.9509,5.2775,5.7353,Energy
110,2021,1.6134,1.9623,4.3442,4.5141,Energy
110,2022,1.4997,5.2797,4.5287,5.4215,Energy
110,2023,2.0662,4.0073,4.9829,6.7433,Energy
110,2024,2.3442,6.2787,4.1651,4.9853,Energy
