"model_name","quantile","variable","coefficient","std_error","t_statistic","p_value","n_obs"
"pooled_qr_tau0.10",0.1,"(Intercept)",-0.234166370975893,0.491743679909786,-0.476195995073799,0.633969475803966,3000
"pooled_qr_tau0.10",0.1,"educ",-0.0416354351125953,0.0295000533463491,-1.41136812953418,0.158239932050886,3000
"pooled_qr_tau0.10",0.1,"exper",0.0672195114621275,0.0365882095859823,1.83719051089837,0.0662807653851112,3000
"pooled_qr_tau0.10",0.1,"exper_sq",-0.00146774439473027,0.00116460149065469,-1.26029754083963,0.207660196683078,3000
"pooled_qr_tau0.25",0.25,"(Intercept)",0.30151409020586,0.317729175215306,0.948965703264556,0.34271459440206,3000
"pooled_qr_tau0.25",0.25,"educ",0.0352987875726193,0.0190607993584434,1.85190489175277,0.0641377973955382,3000
"pooled_qr_tau0.25",0.25,"exper",0.0225659067946451,0.0236406529037478,0.954538222210764,0.339888279599716,3000
"pooled_qr_tau0.25",0.25,"exper_sq",-5.69746148017181e-05,0.000752481193348766,-0.0757156661260384,0.939650367266976,3000
"pooled_qr_tau0.50",0.5,"(Intercept)",0.597269686369351,0.182922013601805,3.2651602429302,0.00110633462719312,3000
"pooled_qr_tau0.50",0.5,"educ",0.08302718879739,0.0109736217869944,7.56606983628605,5.08482145278322e-14,3000
"pooled_qr_tau0.50",0.5,"exper",0.0259145256250228,0.0136103202643714,1.90403496182679,0.0570013420452469,3000
"pooled_qr_tau0.50",0.5,"exper_sq",-0.000210769485591509,0.000433216040017638,-0.486522811073494,0.626632122660029,3000
"pooled_qr_tau0.75",0.75,"(Intercept)",0.674645330459815,0.249960404475788,2.69900879651186,0.00699367477682689,3000
"pooled_qr_tau0.75",0.75,"educ",0.14213844853889,0.0149953025687357,9.47886499037643,0,3000
"pooled_qr_tau0.75",0.75,"exper",0.0291889525729644,0.0185983146114554,1.56944073604314,0.116650878953449,3000
"pooled_qr_tau0.75",0.75,"exper_sq",-0.000230417100045076,0.000591983733701582,-0.389228769183089,0.697134585738264,3000
"pooled_qr_tau0.90",0.9,"(Intercept)",1.76330006952337,0.552270146625545,3.1928216295909,0.00142349335347181,3000
"pooled_qr_tau0.90",0.9,"educ",0.18607651787173,0.0331310791631089,5.61637358552824,2.12864135207269e-08,3000
"pooled_qr_tau0.90",0.9,"exper",-0.0151167445853685,0.0410916839368909,-0.367878440041176,0.71298986415579,3000
"pooled_qr_tau0.90",0.9,"exper_sq",0.000635183480448289,0.00130794692902243,0.485633985870537,0.627262207763584,3000
"ols",NA,"(Intercept)",0.722032087179101,0.245127106189415,2.94554159433176,0.00324873256386876,3000
"ols",NA,"educ",0.0782731928311381,0.0147053495645344,5.3227699544058,1.09741098068619e-07,3000
"ols",NA,"exper",0.0223909864787361,0.0182386928452421,1.22766399262967,0.219669574859695,3000
"ols",NA,"exper_sq",-0.000274088917791493,0.00058053698487886,-0.472129984704913,0.636868396114864,3000
