"model_name","quantile","variable","coefficient","std_error","t_statistic","p_value","n_obs"
"qr_process_tau0.05",0.05,"(Intercept)",0.244448722298417,0.574081736309622,0.425808220045128,0.670278193054937,3000
"qr_process_tau0.05",0.05,"female",-0.270653326194103,0.153738409539106,-1.76047955098207,0.0784285847663095,3000
"qr_process_tau0.05",0.05,"educ",-0.115671103993618,0.0340550089038421,-3.39659591105166,0.000691193703108439,3000
"qr_process_tau0.05",0.05,"exper",0.0310948933684136,0.0422472266106663,0.736022121758946,0.461774874494142,3000
"qr_process_tau0.05",0.05,"exper_sq",-0.000474698242762216,0.00134516882560008,-0.352891201259033,0.724194840682152,3000
"qr_process_tau0.10",0.1,"(Intercept)",0.268142538120037,0.39504390218123,0.678766427324891,0.497338313615126,3000
"qr_process_tau0.10",0.1,"female",-0.373862273682493,0.105792289456686,-3.53392743084137,0.000415626906463462,3000
"qr_process_tau0.10",0.1,"educ",-0.0652955712222727,0.0234343347911952,-2.78632066171581,0.0053645847142989,3000
"qr_process_tau0.10",0.1,"exper",0.065663531890163,0.0290716603595469,2.25867842008548,0.0239750372541132,3000
"qr_process_tau0.10",0.1,"exper_sq",-0.00144993262112541,0.000925653453763587,-1.56638817176145,0.117363413622967,3000
"qr_process_tau0.15",0.15,"(Intercept)",0.131935455591607,0.377143210272953,0.349828531968322,0.726491982058062,3000
"qr_process_tau0.15",0.15,"female",-0.255357330528802,0.100998505349707,-2.52832781677936,0.0115117064422017,3000
"qr_process_tau0.15",0.15,"educ",-0.0155097451384477,0.0223724507705676,-0.693251950691596,0.488205206710091,3000
"qr_process_tau0.15",0.15,"exper",0.0594834754628027,0.0277543312412264,2.14321415082219,0.0321762427633061,3000
"qr_process_tau0.15",0.15,"exper_sq",-0.00134032435164558,0.000883709160488425,-1.51670301901678,0.129447217186624,3000
"qr_process_tau0.20",0.2,"(Intercept)",0.257062119570025,0.363588073919897,0.707014718053319,0.479612335186142,3000
"qr_process_tau0.20",0.2,"female",-0.263939276440655,0.0973684558773081,-2.71072673446973,0.00675188481095956,3000
"qr_process_tau0.20",0.2,"educ",0.00182617995630388,0.0215683487411884,0.0846694375270594,0.932529852979916,3000
