"model_name","quantile","variable","coefficient","std_error","t_statistic","p_value","n_obs"
"canay_fe_qr_tau0.10",0.1,"(Intercept)",-0.377041467346294,0.0493388888909962,-7.64187187472518,2.48689957516035e-14,6000
"canay_fe_qr_tau0.10",0.1,"log_capital",0.345155464432107,0.00401494895621062,85.9675846932489,0,6000
"canay_fe_qr_tau0.10",0.1,"log_labor",0.373311902020134,0.0046565571625797,80.1690796410887,0,6000
"canay_fe_qr_tau0.10",0.1,"log_materials",0.260171839089161,0.00437703270708083,59.4402318877525,0,6000
"canay_fe_qr_tau0.25",0.25,"(Intercept)",-0.155767999961089,0.0442343249916804,-3.52142821192334,0.000432421601909816,6000
"canay_fe_qr_tau0.25",0.25,"log_capital",0.341666297637446,0.00359956539245127,94.9187639024316,0,6000
"canay_fe_qr_tau0.25",0.25,"log_labor",0.375226447060664,0.00417479330203313,89.8790478747603,0,6000
"canay_fe_qr_tau0.25",0.25,"log_materials",0.254473763545357,0.00392418823399082,64.8474916012278,0,6000
"canay_fe_qr_tau0.50",0.5,"(Intercept)",0.0088457693129437,0.0401646147157253,0.220237872952392,0.825693400194406,6000
"canay_fe_qr_tau0.50",0.5,"log_capital",0.342986766647295,0.00326839297669979,104.940491884676,0,6000
"canay_fe_qr_tau0.50",0.5,"log_labor",0.37607656249628,0.00379069793707688,99.2103746431147,0,6000
"canay_fe_qr_tau0.50",0.5,"log_materials",0.256374813995882,0.00356314939856928,71.9517441785698,0,6000
"canay_fe_qr_tau0.75",0.75,"(Intercept)",0.178819692675577,0.0413024122716213,4.32952176012352,1.51866637021492e-05,6000
"canay_fe_qr_tau0.75",0.75,"log_capital",0.34199990595734,0.0033609811806927,101.755971715037,0,6000
"canay_fe_qr_tau0.75",0.75,"log_labor",0.37785042586636,0.00389808218259928,96.9323908954647,0,6000
"canay_fe_qr_tau0.75",0.75,"log_materials",0.259240462102332,0.00366408756779307,70.7517102978179,0,6000
"canay_fe_qr_tau0.90",0.9,"(Intercept)",0.371119859328412,0.0641286908622575,5.78711110952729,7.52291917649472e-09,6000
"canay_fe_qr_tau0.90",0.9,"log_capital",0.342388703661838,0.00521846815418578,65.6109596811864,0,6000
"canay_fe_qr_tau0.90",0.9,"log_labor",0.376576769377043,0.00605240453268495,62.2193654345817,0,6000
"canay_fe_qr_tau0.90",0.9,"log_materials",0.256718632973437,0.00568908995876475,45.1247272998259,0,6000
"pooled_qr_tau0.10",0.1,"(Intercept)",-0.615130385870522,0.125298591496466,-4.90931604676394,9.38141272666115e-07,6000
"pooled_qr_tau0.10",0.1,"log_capital",0.319849931684833,0.0101961649411039,31.369630986982,0,6000
"pooled_qr_tau0.10",0.1,"log_labor",0.310476058781475,0.0118255612724285,26.2546573163808,0,6000
"pooled_qr_tau0.10",0.1,"log_materials",0.236555002435606,0.0111156948496113,21.2811709601651,0,6000
"pooled_qr_tau0.25",0.25,"(Intercept)",-0.114785780390777,0.0782436448142142,-1.4670300784598,0.142420319321531,6000
"pooled_qr_tau0.25",0.25,"log_capital",0.312776648953841,0.00636707163736456,49.1240976649832,0,6000
"pooled_qr_tau0.25",0.25,"log_labor",0.304752591233516,0.00738456039192363,41.2688873892641,0,6000
"pooled_qr_tau0.25",0.25,"log_materials",0.22683806721623,0.00694127898237953,32.6795778979724,0,6000
"pooled_qr_tau0.50",0.5,"(Intercept)",0.324839127751866,0.0799254519932789,4.06427639319677,4.87976842369342e-05,6000
"pooled_qr_tau0.50",0.5,"log_capital",0.301686034401657,0.00650392858996136,46.3852009179962,0,6000
"pooled_qr_tau0.50",0.5,"log_labor",0.323103355843275,0.00754328774557469,42.8332269351419,0,6000
"pooled_qr_tau0.50",0.5,"log_materials",0.220452997600737,0.00709047822855698,31.0914144990757,0,6000
"pooled_qr_tau0.75",0.75,"(Intercept)",0.677038617931302,0.0742467255555638,9.11876736469178,0,6000
"pooled_qr_tau0.75",0.75,"log_capital",0.301662663403127,0.00604182258603246,49.9290833366264,0,6000
"pooled_qr_tau0.75",0.75,"log_labor",0.321081486468228,0.007007334973588,45.8207703325795,0,6000
"pooled_qr_tau0.75",0.75,"log_materials",0.225986560784478,0.00658669770347548,34.3095388551438,0,6000
"pooled_qr_tau0.90",0.9,"(Intercept)",0.986822009689859,0.10437908769806,9.45421186803682,0,6000
"pooled_qr_tau0.90",0.9,"log_capital",0.306957497760902,0.00849384164546967,36.1388298220303,0,6000
"pooled_qr_tau0.90",0.9,"log_labor",0.336432671382965,0.00985119850424188,34.1514457594271,0,6000
"pooled_qr_tau0.90",0.9,"log_materials",0.219807705337828,0.00925984940193986,23.7377192432287,0,6000
"fe_ols",NA,"log_capital",0.343106186459476,0.0196221307616302,17.4856742434108,1.14222768044931e-66,6000
"fe_ols",NA,"log_labor",0.37642829925858,0.0264866645807417,14.2119932885879,4.8082629796171e-45,6000
"fe_ols",NA,"log_materials",0.257481997358273,0.0197257814015535,13.053069590338,2.25952164778007e-38,6000
