"model_name","quantile","variable","coefficient","std_error","t_statistic","p_value","n_obs","source"
"pooled_qr_tau0.10",0.1,"(Intercept)",-0.234166370975893,0.491743679909786,-0.476195995073799,0.633969475803966,3000,"notebook_01_pooled"
"pooled_qr_tau0.10",0.1,"educ",-0.0416354351125953,0.0295000533463491,-1.41136812953418,0.158239932050886,3000,"notebook_01_pooled"
"pooled_qr_tau0.10",0.1,"exper",0.0672195114621275,0.0365882095859823,1.83719051089837,0.0662807653851112,3000,"notebook_01_pooled"
"pooled_qr_tau0.10",0.1,"exper_sq",-0.00146774439473027,0.00116460149065469,-1.26029754083963,0.207660196683078,3000,"notebook_01_pooled"
"pooled_qr_tau0.25",0.25,"(Intercept)",0.30151409020586,0.317729175215306,0.948965703264556,0.34271459440206,3000,"notebook_01_pooled"
"pooled_qr_tau0.25",0.25,"educ",0.0352987875726193,0.0190607993584434,1.85190489175277,0.0641377973955382,3000,"notebook_01_pooled"
"pooled_qr_tau0.25",0.25,"exper",0.0225659067946451,0.0236406529037478,0.954538222210764,0.339888279599716,3000,"notebook_01_pooled"
"pooled_qr_tau0.25",0.25,"exper_sq",-5.69746148017181e-05,0.000752481193348766,-0.0757156661260384,0.939650367266976,3000,"notebook_01_pooled"
"pooled_qr_tau0.50",0.5,"(Intercept)",0.597269686369351,0.182922013601805,3.2651602429302,0.00110633462719312,3000,"notebook_01_pooled"
"pooled_qr_tau0.50",0.5,"educ",0.08302718879739,0.0109736217869944,7.56606983628605,5.08482145278322e-14,3000,"notebook_01_pooled"
"pooled_qr_tau0.50",0.5,"exper",0.0259145256250228,0.0136103202643714,1.90403496182679,0.0570013420452469,3000,"notebook_01_pooled"
"pooled_qr_tau0.50",0.5,"exper_sq",-0.000210769485591509,0.000433216040017638,-0.486522811073494,0.626632122660029,3000,"notebook_01_pooled"
"pooled_qr_tau0.75",0.75,"(Intercept)",0.674645330459815,0.249960404475788,2.69900879651186,0.00699367477682689,3000,"notebook_01_pooled"
"pooled_qr_tau0.75",0.75,"educ",0.14213844853889,0.0149953025687357,9.47886499037643,0,3000,"notebook_01_pooled"
"pooled_qr_tau0.75",0.75,"exper",0.0291889525729644,0.0185983146114554,1.56944073604314,0.116650878953449,3000,"notebook_01_pooled"
