id,period,treatment,earnings,education,age,experience,female
1,0,1,6051.39,13.5,41.2,4.6,1
1,1,1,5830.0,13.5,41.2,4.6,1
2,0,0,3946.79,11.6,37.4,7.3,1
2,1,0,4078.68,11.6,37.4,7.3,1
3,0,1,4744.79,13.9,30.5,4.0,0
3,1,1,5506.91,13.9,30.5,4.0,0
4,0,1,4599.69,16.6,24.8,6.5,1
4,1,1,5720.67,16.6,24.8,6.5,1
5,0,0,4733.45,11.3,35.6,0.0,0
5,1,0,4911.85,11.3,35.6,0.0,0
6,0,1,5477.87,11.3,33.1,9.1,0
6,1,1,5258.9,11.3,33.1,9.1,0
7,0,0,4675.85,16.7,37.2,8.0,0
7,1,0,4834.06,16.7,37.2,8.0,0
8,0,1,5327.78,14.3,35.1,3.9,0
8,1,1,6022.54,14.3,35.1,3.9,0
9,0,0,5296.45,10.6,38.4,11.3,1
9,1,0,5363.27,10.6,38.4,11.3,1
10,0,1,4063.94,13.6,25.7,12.7,0
10,1,1,4919.1,13.6,25.7,12.7,0
11,0,0,4925.35,10.6,40.5,0.0,0
11,1,0,4801.44,10.6,40.5,0.0,0
12,0,1,5348.73,10.6,31.6,4.2,1
12,1,1,5214.24,10.6,31.6,4.2,1
13,0,1,5764.33,12.7,46.6,4.2,0
13,1,1,5073.81,12.7,46.6,4.2,0
14,0,1,4196.47,6.3,24.5,3.3,1
14,1,1,4742.02,6.3,24.5,3.3,1
15,0,1,5173.88,6.8,43.9,12.1,0
15,1,1,6198.96,6.8,43.9,12.1,0
16,0,1,4928.66,10.3,31.6,7.0,1
16,1,1,4969.41,10.3,31.6,7.0,1
17,0,1,4296.9,9.0,24.8,6.7,1
17,1,1,4822.96,9.0,24.8,6.7,1
18,0,0,3635.59,12.9,26.1,0.0,0
18,1,0,4037.43,12.9,26.1,0.0,0
19,0,0,3209.91,9.3,27.4,11.2,0
19,1,0,3637.11,9.3,27.4,11.2,0
20,0,0,3972.28,7.8,33.4,1.8,0
20,1,0,4738.32,7.8,33.4,1.8,0
21,0,0,5475.91,16.4,34.2,8.3,1
21,1,0,5021.62,16.4,34.2,8.3,1
22,0,0,3515.01,11.3,25.4,9.4,0
22,1,0,2972.83,11.3,25.4,9.4,0
