id,t,y,x1,x2
1,1,2.0266,-0.3824,-0.5061
1,2,0.0209,-1.2604,0.1018
1,3,1.5582,0.3141,0.1047
1,4,0.2408,-1.7557,-1.0693
1,5,1.5905,0.1773,0.6626
1,6,1.6731,0.6228,0.2062
1,7,3.3053,0.6392,-1.0721
1,8,4.3356,1.7943,1.2914
2,1,3.3523,0.7654,1.0464
2,2,3.6298,1.4438,0.1806
2,3,1.4182,-1.2099,-1.4119
2,4,2.135,0.5768,-0.6976
2,5,2.643,0.4373,0.5365
2,6,1.7245,0.8615,1.1975
2,7,2.8913,0.6677,0.4068
2,8,0.3692,-0.2902,1.3665
3,1,3.9488,0.4851,-0.461
3,2,2.3533,-0.1897,-1.2817
3,3,4.3286,0.6896,-1.0632
3,4,2.3971,1.0999,1.276
3,5,1.3172,-0.7371,-0.5839
3,6,2.2771,0.2381,-0.0312
3,7,2.8261,1.6444,1.0005
3,8,1.1943,-0.0608,0.8848
4,1,3.5579,0.4811,-1.0958
4,2,2.3053,-0.1177,-0.4621
4,3,1.8453,0.3319,0.879
4,4,0.4751,-1.3386,-0.5057
4,5,3.5515,0.8889,0.6123
4,6,0.4947,-0.7326,0.14
4,7,3.0587,0.5116,0.3456
4,8,2.7873,1.5245,0.4546
5,1,0.1551,-1.3333,-0.1202
5,2,1.2513,-0.3844,0.5132
5,3,1.5015,-0.035,-0.612
5,4,0.21,-1.0111,0.3646
5,5,0.2726,-0.6677,0.7318
5,6,1.9657,1.9756,2.7107
5,7,2.9511,0.0559,-0.2116
5,8,3.5019,0.8068,-0.9709
6,1,1.3581,0.0368,0.3562
6,2,1.6209,-1.0901,-1.5536
6,3,3.56,0.9475,0.4987
6,4,1.0589,-0.9658,-0.6717
6,5,2.4724,0.2443,0.7034
6,6,1.1255,-0.52,0.3464
6,7,1.1814,0.7745,0.4814
6,8,3.3265,1.0052,-0.3038
7,1,1.3295,-0.3816,-0.1481
7,2,2.4922,0.1003,-0.1095
7,3,0.8614,1.4541,1.0778
7,4,4.8231,0.6653,-0.0523
7,5,1.9451,-0.0364,0.325
7,6,0.6351,-1.7651,-1.609
7,7,2.4363,-0.1971,-0.2637
7,8,5.6154,1.7281,1.7043
8,1,-0.4378,-1.1555,1.0477
8,2,2.2953,0.0372,0.3069
8,3,3.3109,0.5537,-0.4916
8,4,0.498,-1.3584,-0.6859
8,5,2.2452,-0.3008,-1.1142
8,6,2.3062,-0.6278,-1.8816
8,7,-0.6539,-1.5045,0.4547
8,8,2.0658,1.1392,0.6327
9,1,2.4144,0.136,-0.3143
9,2,1.3725,1.3563,1.4176
9,3,2.3157,0.7384,1.162
9,4,0.9618,0.1292,1.5155
9,5,2.9324,0.8446,0.5565
9,6,2.5234,-0.1772,-1.2781
9,7,1.3241,-0.788,0.3811
9,8,4.0496,1.3552,1.5203
10,1,0.6282,-0.5821,0.1172
10,2,4.3676,1.6969,0.5158
10,3,1.1731,-0.5997,-0.334
10,4,1.0949,-0.379,-0.0691
10,5,1.3141,0.5044,0.7121
10,6,2.7748,0.0573,-0.5816
10,7,0.3882,-1.8807,-1.4569
10,8,2.7786,0.7719,1.3592
11,1,2.4525,0.5198,1.2238
11,2,2.5299,-0.6693,-1.4033
11,3,0.8136,-1.0463,-0.6771
11,4,-0.4539,-1.5835,0.113
11,5,3.3508,0.5566,-0.1176
11,6,2.9939,1.1604,0.4308
11,7,1.3308,-0.0836,0.2215
11,8,1.4826,-0.6174,0.1224
12,1,0.5654,-0.6617,0.6384
12,2,-0.5012,-0.9798,1.4532
12,3,2.1224,-0.1763,-0.9429
12,4,1.2931,0.7421,1.1736
12,5,1.1412,-0.1194,0.5192
12,6,1.7311,-0.3907,-0.4558
12,7,3.0981,1.4349,0.0799
12,8,1.3937,0.0164,0.7824
13,1,2.1179,0.3656,-0.7486
13,2,1.0452,-0.3272,0.0174
13,3,2.876,0.7218,0.8593
13,4,3.5243,0.4591,-0.5632
13,5,1.0703,-0.5708,-0.0692
13,6,0.1688,-1.44,-0.4974
13,7,2.8044,1.6516,0.8128
13,8,1.0397,-0.6904,-0.2309
14,1,-2.3853,-2.1837,1.2623
14,2,0.655,-1.0185,-0.0028
14,3,0.6549,-1.1446,-0.562
14,4,0.8599,-0.0574,0.6214
14,5,2.9254,0.7971,0.5853
14,6,1.7097,0.3975,0.4707
14,7,2.4044,-1.2352,-2.9054
14,8,3.9345,0.1074,-1.335
15,1,1.5728,-0.0649,0.9091
15,2,3.1674,0.4245,-0.5395
15,3,0.9847,0.3359,0.9437
15,4,2.3756,0.5565,0.7501
15,5,3.2529,0.2506,-0.3322
15,6,0.0659,-2.2011,-1.6341
15,7,4.4521,1.728,1.8947
15,8,2.2656,0.2107,0.9731
16,1,3.8255,0.7602,0.6575
16,2,0.8691,-0.8389,-0.0645
16,3,3.6048,1.2232,0.924
16,4,3.9806,0.717,0.1326
16,5,0.4655,-1.7602,-1.398
16,6,1.4869,0.7173,1.5382
16,7,-0.2974,-2.3598,-1.4364
16,8,3.6814,1.5755,1.1424
17,1,1.6056,-0.8167,-1.4496
17,2,0.8857,-0.7434,-0.0505
17,3,3.4713,0.8557,0.8025
17,4,1.7805,3.3572,2.441
17,5,4.5697,0.7839,-0.3321
17,6,2.7339,-0.8205,-2.0997
17,7,1.8649,0.3351,0.4521
17,8,2.7408,-0.647,-1.9313
18,1,1.2618,-1.0449,-1.0358
18,2,3.0019,0.6712,1.0845
18,3,3.0107,0.0904,-0.4465
18,4,1.6064,0.1099,-0.2348
18,5,1.4714,-0.3976,0.1946
18,6,2.2307,-0.865,-1.9721
18,7,2.6881,-1.0348,-2.7808
18,8,1.1536,-0.1273,0.3989
19,1,3.3529,0.0272,-0.5298
19,2,3.2843,0.4066,-0.0343
19,3,1.0926,0.1472,0.9071
19,4,1.8257,-0.0094,-0.6292
19,5,1.0368,-0.9421,-0.6672
19,6,0.9292,-1.0086,-0.4455
19,7,3.2868,0.992,0.491
19,8,1.177,-0.9414,-0.3954
20,1,2.2794,-0.0338,0.0712
20,2,2.0379,-0.8782,-1.4073
20,3,1.9897,-0.3989,-0.5798
20,4,0.4351,-0.2967,0.6861
20,5,0.6133,-1.1021,-0.3745
20,6,1.3167,-1.177,-1.1583
20,7,1.8737,-0.4712,-0.7487
20,8,2.1475,-0.2317,-0.3481
21,1,1.2015,-0.3529,0.1794
21,2,-0.0918,-0.2039,1.6676
21,3,3.7637,1.4428,0.3568
21,4,0.4863,-1.3899,-0.6818
21,5,0.8002,-0.8392,-0.2772
21,6,2.7836,0.4122,-0.3903
21,7,2.1131,0.235,-0.3706
21,8,1.8296,-0.8064,-0.9379
22,1,2.6223,0.8821,0.5946
22,2,2.9966,-0.1172,-0.6214
22,3,3.3158,0.6264,0.8444
22,4,2.3274,0.0076,-0.4458
22,5,1.4559,0.3175,0.5251
22,6,2.107,1.9246,0.6658
22,7,1.6074,0.7381,0.5471
22,8,-0.0126,-0.9379,0.3817
23,1,2.0291,-0.6956,-0.8386
23,2,3.1172,0.4654,-0.4313
23,3,2.5203,0.1457,-0.1125
23,4,1.4845,0.0813,-0.6586
23,5,-0.0874,-1.15,0.2209
23,6,2.0765,-0.0824,0.2769
23,7,2.0863,-0.4379,-0.7967
23,8,1.7822,-0.2061,-0.1948
24,1,3.0602,0.2583,-0.4331
24,2,2.1703,-0.2446,0.2008
24,3,0.1087,-1.7269,-0.8689
24,4,1.4429,-1.5827,-2.269
24,5,1.3117,-0.8622,-0.6982
24,6,1.5103,-1.5971,-2.3201
24,7,1.4507,1.0191,0.483
24,8,4.6497,2.1348,1.6645
25,1,2.2421,0.6117,0.7462
25,2,-0.055,-1.1447,0.5334
25,3,1.7864,-0.5921,-1.1081
25,4,2.0235,0.5836,1.0236
25,5,1.3757,0.3618,1.9999
25,6,2.5114,-0.8451,-1.2647
25,7,2.3087,0.9268,2.1377
25,8,0.4892,-0.4511,0.656
26,1,3.1875,1.6941,1.1581
26,2,1.7252,-0.0257,0.0163
26,3,0.6765,0.124,0.6811
