id,t,y,x1,x2,x3
1,1,2.9688,0.4967,-0.8635,-0.033
1,2,-1.294,-0.1383,-0.0312,-0.5037
1,3,0.8448,0.6477,0.018,-0.1724
1,4,1.8302,1.523,0.4726,0.7147
1,5,0.4967,-0.2342,-1.3669,1.2779
1,6,1.2432,-0.2341,0.5926,0.5705
1,7,3.0349,1.5792,-2.7044,0.1017
1,8,1.133,0.7674,-0.6299,1.498
2,1,0.1882,-0.4695,-0.4883,-0.3128
2,2,0.9451,0.5426,0.6333,1.0309
2,3,0.1281,-0.4634,0.0226,-0.2881
2,4,1.4535,-0.4657,-1.4056,0.431
2,5,-0.2085,0.242,-0.985,-0.1136
2,6,0.6628,-1.9133,0.1987,-0.0559
2,7,0.1279,-1.7249,-0.0791,-0.3774
2,8,-0.0588,-0.5623,-0.5791,1.3449
3,1,0.963,-1.0128,-0.4808,-0.7329
3,2,0.5165,0.3142,0.6962,-0.7402
3,3,1.049,-0.908,-0.5177,2.121
3,4,0.4405,-1.4123,-0.0881,0.9778
3,5,1.6513,1.4656,2.1699,-2.3851
3,6,1.2622,-0.2258,-1.4237,-0.5653
3,7,1.4649,0.0675,-1.8518,-1.812
3,8,1.311,-1.4247,0.7836,-0.9507
4,1,1.6722,-0.5444,-0.6786,-3.1385
4,2,1.6211,0.1109,-0.3182,-0.137
4,3,-0.9498,-1.151,-0.7812,-1.1419
4,4,4.636,0.3757,-0.2598,0.0599
4,5,0.1393,-0.6006,1.5985,-1.6251
4,6,1.9996,-0.2917,0.8021,0.0829
4,7,1.3279,-0.6017,0.8622,-0.4149
4,8,-1.8171,1.8523,-1.4162,1.502
5,1,0.4576,-0.0135,-1.1512,1.4114
5,2,-0.5042,-1.0577,-2.8391,0.7853
5,3,3.568,0.8225,-0.8094,-0.3266
5,4,0.1777,-1.2208,0.9567,1.9854
5,5,0.9523,0.2089,0.5169,-1.553
5,6,-1.7031,-1.9597,-0.2215,-1.4036
5,7,1.7581,-1.3282,-0.0223,-0.0838
5,8,-0.7001,0.1969,-0.6889,2.254
6,1,1.909,0.7385,0.2048,-0.2023
6,2,1.2036,0.1714,0.7659,-0.1832
6,3,0.2977,-0.1156,-1.6159,-1.4419
6,4,1.7905,-0.3011,0.2996,0.9459
6,5,1.6276,-1.4785,0.9324,0.9532
6,6,0.7845,-0.7198,-0.4151,0.7891
6,7,1.5856,-0.4606,0.7007,-0.6292
6,8,2.6871,1.0571,2.8147,-0.7067
7,1,2.5473,0.3436,-0.1043,-1.2931
7,2,-0.0715,-1.763,0.3933,0.0839
7,3,2.6185,0.3241,-0.7381,-1.0804
7,4,2.0272,-0.3851,0.1813,-1.1774
7,5,1.7839,-0.6769,0.4603,-0.4237
7,6,0.4326,0.6117,0.1948,-0.4892
7,7,0.8661,1.031,-1.0197,-0.538
7,8,1.8987,0.9313,0.2064,0.4664
8,1,0.0474,-0.8392,1.4622,0.079
8,2,2.6031,-0.3092,0.4486,-0.2882
8,3,1.4406,0.3313,0.962,0.183
8,4,1.9039,0.9755,-0.237,-0.9915
8,5,0.46,-0.4792,0.7499,0.1053
8,6,-0.4586,-0.1857,0.2793,0.1506
8,7,-0.4787,-1.1063,-0.9509,-1.503
8,8,0.6729,-1.1962,0.3185,0.9957
9,1,2.3886,0.8125,-0.9917,-0.8814
9,2,1.8251,1.3562,-0.6329,0.0903
9,3,1.4198,-0.072,0.1893,1.1644
9,4,1.0668,1.0035,0.2972,0.9257
9,5,1.681,0.3616,-1.1892,0.0343
9,6,2.2024,-0.6451,1.054,-0.3625
9,7,2.208,0.3614,0.572,0.9475
9,8,3.3635,1.538,-0.7047,0.6747
10,1,1.004,-0.0358,-1.5376,-0.6184
10,2,-1.2832,1.5646,-0.1449,-0.7949
10,3,-1.0794,-2.6197,-0.4459,-2.0724
10,4,2.1399,0.8219,0.1131,0.154
10,5,0.9198,0.087,-0.3631,-0.0827
10,6,0.982,-0.299,-2.0075,1.1362
10,7,3.2041,0.0918,-0.3883,0.3591
10,8,0.4338,-1.9876,-0.3056,1.3342
11,1,2.3485,-0.2197,0.6337,-0.6974
11,2,1.1171,0.3571,-0.6982,1.1382
11,3,1.1446,1.4779,1.6787,-0.5289
11,4,0.0787,-0.5183,-1.9116,0.7776
11,5,0.3958,-0.8085,1.3112,-1.4588
11,6,2.3943,-0.5018,-0.2243,0.2351
11,7,2.7854,0.9154,0.8596,-1.9847
11,8,1.8789,0.3288,0.0798,-0.2671
12,1,2.1023,-0.5298,1.1396,0.4404
12,2,-1.9694,0.5133,-0.3874,-0.521
12,3,1.6403,0.0971,-1.0986,-1.0504
12,4,0.2992,0.9686,1.4205,0.8461
12,5,0.6076,-0.7021,-0.1135,-0.1035
12,6,0.5725,-0.3277,0.2216,-0.4896
12,7,1.7357,-0.3921,1.2348,0.0419
12,8,0.1795,-1.4635,-1.032,2.6367
13,1,2.9207,0.2961,0.5955,1.1535
13,2,0.059,0.2611,-0.5899,1.1626
13,3,1.8536,0.0051,-0.1322,0.4355
13,4,1.0864,-0.2346,0.0723,0.1665
13,5,-1.9212,-1.4154,-1.5002,-2.3961
13,6,-0.5997,-0.4206,-0.7788,-0.679
13,7,1.1079,-0.3427,1.3511,-0.4806
13,8,1.7592,-0.8023,0.8862,-1.8749
14,1,1.447,-0.1613,-0.0626,-1.1574
14,2,-0.2584,0.4041,0.2431,-1.9808
14,3,1.5347,1.8862,-0.2942,-0.0383
14,4,3.4742,0.1746,1.3566,0.8188
14,5,1.2214,0.2576,-0.2004,1.1068
14,6,0.6591,-0.0744,0.2318,0.4148
14,7,0.653,-1.9188,1.146,-0.9634
14,8,1.8342,-0.0265,-0.7774,-1.9321
15,1,1.0824,0.0602,1.5588,-1.7569
15,2,3.518,2.4632,-1.5305,-1.269
15,3,1.119,-0.1924,1.6296,-0.8889
15,4,2.0752,0.3015,-0.3727,-0.1597
15,5,1.1252,-0.0347,-0.2427,-1.0142
15,6,0.4537,-1.1687,-1.89,0.339
15,7,0.0041,1.1428,-0.4548,-0.2323
15,8,-0.4835,0.7519,-1.0398,0.0105
16,1,2.8666,0.791,-0.6076,1.1403
16,2,0.4282,-0.9094,-0.1373,-1.1802
16,3,2.4266,1.4028,0.9578,0.4187
16,4,0.1256,-1.4019,0.2076,-0.014
16,5,2.6166,0.5869,0.3077,-0.3335
16,6,-0.0165,2.1905,-1.0955,0.8853
16,7,0.0938,-0.9905,-0.8808,0.879
16,8,1.8217,-0.5663,1.7987,-0.9465
17,1,2.5392,0.0997,-0.7352,-0.1822
17,2,0.8502,-0.5035,1.6562,0.2812
17,3,1.7298,-1.5507,-0.2431,-0.273
17,4,1.4253,0.0686,0.0023,0.585
17,5,0.0422,-1.0623,1.0704,0.2812
17,6,2.0212,0.4736,1.2719,1.8326
17,7,0.1441,-0.9194,-0.1108,-1.5303
17,8,2.5707,1.5499,-0.3882,-0.1224
18,1,0.5497,-0.7833,-0.0559,-0.9085
18,2,1.0173,-0.3221,0.338,0.6041
18,3,0.485,0.8135,0.8913,-1.6172
18,4,1.221,-1.2309,0.0042,0.3463
18,5,-0.0364,0.2275,0.6189,-0.63
18,6,0.7006,1.3071,1.6384,-0.7342
18,7,0.5673,-1.6075,0.3813,-1.4465
18,8,3.13,0.1846,0.3117,-0.4651
19,1,0.0434,0.2599,-1.5189,1.0845
19,2,2.4337,0.7818,-2.6307,-0.0252
19,3,1.335,-1.237,0.3884,0.6277
19,4,0.9937,-1.3205,-0.0948,1.6646
19,5,0.6138,0.5219,-0.5148,0.2638
19,6,-0.166,0.297,0.2435,-0.5588
19,7,-1.8349,0.2505,-0.0604,0.4673
19,8,1.2273,0.3464,1.1278,-0.5443
