id,t,y,x1,x2,group
1,1,9.3478,0.4967,-0.8635,shift
1,2,9.3421,-0.1383,-0.0312,shift
1,3,11.5805,0.6477,0.018,shift
1,4,12.4219,1.523,0.4726,shift
1,5,8.5905,-0.2342,-1.3669,shift
1,6,10.0978,-0.2341,0.5926,shift
1,7,8.6367,1.5792,-2.7044,shift
1,8,9.5922,0.7674,-0.6299,shift
1,9,9.2013,-0.4695,-0.4883,shift
1,10,9.4437,0.5426,0.6333,shift
2,1,9.8007,-0.4634,0.0226,shift
2,2,8.6529,-0.4657,-1.4056,shift
2,3,10.58,0.242,-0.985,shift
2,4,7.9363,-1.9133,0.1987,shift
2,5,9.0382,-1.7249,-0.0791,shift
2,6,8.5297,-0.5623,-0.5791,shift
2,7,8.2452,-1.0128,-0.4808,shift
2,8,11.9017,0.3142,0.6962,shift
2,9,8.4418,-0.908,-0.5177,shift
2,10,5.9188,-1.4123,-0.0881,shift
3,1,12.8862,1.4656,2.1699,shift
3,2,10.1172,-0.2258,-1.4237,shift
3,3,9.709,0.0675,-1.8518,shift
3,4,8.9202,-1.4247,0.7836,shift
3,5,9.3012,-0.5444,-0.6786,shift
3,6,12.0268,0.1109,-0.3182,shift
3,7,6.8632,-1.151,-0.7812,shift
3,8,10.4196,0.3757,-0.2598,shift
3,9,9.3673,-0.6006,1.5985,shift
3,10,10.2095,-0.2917,0.8021,shift
4,1,11.1746,-0.6017,0.8622,shift
4,2,11.1945,1.8523,-1.4162,shift
4,3,9.6653,-0.0135,-1.1512,shift
4,4,8.9046,-1.0577,-2.8391,shift
4,5,10.3552,0.8225,-0.8094,shift
4,6,9.7022,-1.2208,0.9567,shift
4,7,12.5145,0.2089,0.5169,shift
4,8,8.5537,-1.9597,-0.2215,shift
4,9,9.7028,-1.3282,-0.0223,shift
4,10,12.4889,0.1969,-0.6889,shift
5,1,12.0094,0.7385,0.2048,shift
5,2,12.1908,0.1714,0.7659,shift
5,3,11.2633,-0.1156,-1.6159,shift
5,4,12.4569,-0.3011,0.2996,shift
5,5,12.1955,-1.4785,0.9324,shift
5,6,12.3646,-0.7198,-0.4151,shift
5,7,12.5674,-0.4606,0.7007,shift
5,8,13.6369,1.0571,2.8147,shift
5,9,10.245,0.3436,-0.1043,shift
5,10,10.0548,-1.763,0.3933,shift
6,1,9.7374,0.3241,-0.7381,shift
6,2,11.1158,-0.3851,0.1813,shift
6,3,10.8245,-0.6769,0.4603,shift
6,4,9.8585,0.6117,0.1948,shift
6,5,12.3574,1.031,-1.0197,shift
6,6,11.2117,0.9313,0.2064,shift
6,7,10.5769,-0.8392,1.4622,shift
6,8,11.2051,-0.3092,0.4486,shift
6,9,11.4901,0.3313,0.962,shift
6,10,11.5651,0.9755,-0.237,shift
7,1,8.5392,-0.4792,0.7499,shift
7,2,9.8569,-0.1857,0.2793,shift
7,3,9.2928,-1.1063,-0.9509,shift
7,4,10.489,-1.1962,0.3185,shift
7,5,10.2507,0.8125,-0.9917,shift
7,6,10.9997,1.3562,-0.6329,shift
7,7,10.7072,-0.072,0.1893,shift
7,8,12.8832,1.0035,0.2972,shift
7,9,9.2979,0.3616,-1.1892,shift
7,10,9.8839,-0.6451,1.054,shift
8,1,13.7217,0.3614,0.572,shift
8,2,13.7112,1.538,-0.7047,shift
8,3,10.219,-0.0358,-1.5376,shift
8,4,14.0651,1.5646,-0.1449,shift
8,5,8.5144,-2.6197,-0.4459,shift
8,6,13.1511,0.8219,0.1131,shift
8,7,12.2255,0.087,-0.3631,shift
8,8,12.1005,-0.299,-2.0075,shift
8,9,12.0505,0.0918,-0.3883,shift
8,10,9.5221,-1.9876,-0.3056,shift
9,1,8.8922,-0.2197,0.6337,shift
9,2,10.6855,0.3571,-0.6982,shift
9,3,10.8978,1.4779,1.6787,shift
9,4,7.8698,-0.5183,-1.9116,shift
9,5,8.4895,-0.8085,1.3112,shift
9,6,9.6666,-0.5018,-0.2243,shift
9,7,10.8117,0.9154,0.8596,shift
9,8,9.5172,0.3288,0.0798,shift
9,9,9.2152,-0.5298,1.1396,shift
9,10,10.8963,0.5133,-0.3874,shift
10,1,11.2293,0.0971,-1.0986,shift
10,2,13.8018,0.9686,1.4205,shift
10,3,12.0524,-0.7021,-0.1135,shift
10,4,12.621,-0.3277,0.2216,shift
10,5,11.3276,-0.3921,1.2348,shift
10,6,11.236,-1.4635,-1.032,shift
10,7,10.1782,0.2961,0.5955,shift
10,8,11.1987,0.2611,-0.5899,shift
10,9,12.7434,0.0051,-0.1322,shift
10,10,10.7491,-0.2346,0.0723,shift
11,1,6.7989,-1.4154,-1.5002,shift
11,2,8.241,-0.4206,-0.7788,shift
11,3,10.1861,-0.3427,1.3511,shift
11,4,9.0535,-0.8023,0.8862,shift
11,5,9.9783,-0.1613,-0.0626,shift
11,6,11.3466,0.4041,0.2431,shift
11,7,11.7585,1.8862,-0.2942,shift
11,8,9.595,0.1746,1.3566,shift
11,9,11.2213,0.2576,-0.2004,shift
11,10,8.9798,-0.0744,0.2318,shift
12,1,8.2639,-1.9188,1.146,shift
12,2,8.8904,-0.0265,-0.7774,shift
12,3,11.6457,0.0602,1.5588,shift
12,4,11.1378,2.4632,-1.5305,shift
12,5,10.1832,-0.1924,1.6296,shift
12,6,10.2374,0.3015,-0.3727,shift
12,7,9.9125,-0.0347,-0.2427,shift
12,8,8.7972,-1.1687,-1.89,shift
12,9,12.465,1.1428,-0.4548,shift
12,10,11.5892,0.7519,-1.0398,shift
13,1,9.6812,0.791,-0.6076,shift
13,2,8.1623,-0.9094,-0.1373,shift
13,3,13.5336,1.4028,0.9578,shift
13,4,6.1333,-1.4019,0.2076,shift
13,5,11.7439,0.5869,0.3077,shift
13,6,10.6298,2.1905,-1.0955,shift
13,7,10.0178,-0.9905,-0.8808,shift
13,8,9.7565,-0.5663,1.7987,shift
13,9,9.4116,0.0997,-0.7352,shift
13,10,10.6993,-0.5035,1.6562,shift
14,1,8.4656,-1.5507,-0.2431,shift
14,2,9.5125,0.0686,0.0023,shift
14,3,9.5244,-1.0623,1.0704,shift
14,4,11.6407,0.4736,1.2719,shift
14,5,7.2172,-0.9194,-0.1108,shift
14,6,8.9885,1.5499,-0.3882,shift
14,7,8.9997,-0.7833,-0.0559,shift
14,8,8.6454,-0.3221,0.338,shift
14,9,11.5997,0.8135,0.8913,shift
14,10,7.895,-1.2309,0.0042,shift
15,1,9.8017,0.2275,0.6189,shift
15,2,10.7103,1.3071,1.6384,shift
15,3,8.1389,-1.6075,0.3813,shift
15,4,8.5794,0.1846,0.3117,shift
15,5,6.9409,0.2599,-1.5189,shift
15,6,7.2664,0.7818,-2.6307,shift
15,7,10.0788,-1.237,0.3884,shift
15,8,6.9959,-1.3205,-0.0948,shift
15,9,10.2474,0.5219,-0.5148,shift
15,10,8.3613,0.297,0.2435,shift
16,1,11.0012,0.2505,-0.0604,shift
16,2,12.9499,0.3464,1.1278,shift
16,3,11.2921,-0.68,0.0861,shift
16,4,13.5364,0.2323,-0.7469,shift
16,5,14.4022,0.2931,0.9902,shift
16,6,11.9652,-0.7144,-0.2171,shift
16,7,14.4051,1.8658,0.5265,shift
16,8,12.1393,0.4738,-0.4774,shift
16,9,10.1324,-1.1913,-0.6498,shift
16,10,14.3332,0.6566,0.0842,shift
17,1,8.1932,-0.9747,0.0128,shift
17,2,10.1271,0.7871,0.4798,shift
17,3,9.1923,1.1586,-0.2686,shift
17,4,5.484,-0.8207,-1.8364,shift
17,5,11.2475,0.9634,-0.4328,shift
17,6,9.225,0.4128,0.7938,shift
17,7,9.4296,0.8221,-0.2974,shift
17,8,9.472,1.8968,-0.2464,shift
17,9,10.1303,-0.2454,0.9864,shift
17,10,5.8741,-0.7537,-0.712,shift
18,1,8.1988,-0.8895,-1.5428,shift
18,2,6.9145,-0.8158,-0.1606,shift
18,3,9.7789,-0.0771,-0.4842,shift
18,4,9.3598,0.3412,-0.9662,shift
18,5,8.1032,0.2767,-0.1754,shift
18,6,10.1283,0.8272,0.4915,shift
18,7,8.4097,0.013,-0.0093,shift
18,8,9.5746,1.4535,0.307,shift
18,9,10.6084,-0.2647,1.8134,shift
18,10,11.1941,2.7202,-0.3429,shift
19,1,13.6892,0.6257,0.2783,shift
19,2,11.1151,-0.8572,-0.5092,shift
19,3,11.39,-1.0709,-0.8464,shift
19,4,14.5056,0.4825,-0.5849,shift
19,5,12.3685,-0.2235,-0.4788,shift
19,6,15.7358,0.714,0.3595,shift
19,7,16.4393,0.4732,2.3491,shift
19,8,11.6921,-0.0728,-0.716,shift
19,9,11.2007,-0.8468,-0.4166,shift
19,10,12.7275,-1.5148,-0.0631,shift
20,1,10.946,-0.4465,0.3958,shift
20,2,9.8332,0.8564,0.2636,shift
