id,approved,income,age,debt_ratio,credit_score,employment_length
1,1,104928.96,59,0.24,524,4.9
2,1,60675.36,58,0.508,617,16.9
3,1,19582.19,84,0.134,696,3.8
4,1,36853.91,78,0.442,571,4.3
5,1,12973.15,76,0.134,850,10.0
6,1,33090.59,43,0.311,604,5.0
7,1,17536.35,43,0.027,598,8.9
8,1,31746.77,38,0.357,667,6.5
9,1,10397.07,36,0.346,525,4.2
10,1,31615.68,54,0.142,589,8.6
11,1,76141.32,41,0.028,700,4.4
12,1,21373.62,60,0.428,630,3.7
13,0,27887.3,41,0.152,767,6.1
14,1,31524.78,88,0.177,626,3.9
15,1,120657.92,47,0.291,692,8.0
16,1,32584.02,59,0.231,726,7.5
17,1,59280.17,43,0.065,607,2.6
18,1,14783.43,73,0.431,642,5.3
19,1,55635.85,81,0.563,840,4.9
20,1,95916.93,61,0.432,713,6.5
21,1,29266.53,98,0.116,762,4.9
22,1,28950.79,54,0.187,763,5.1
23,1,52316.53,34,0.082,673,10.9
24,1,55272.35,39,0.129,628,9.2
25,1,48038.35,81,0.353,593,2.1
26,1,41140.82,59,0.065,738,1.7
27,1,38876.49,47,0.112,697,12.7
28,1,28630.74,45,0.381,778,2.8
29,1,18809.7,51,0.306,631,5.4
30,1,48406.28,54,0.279,583,4.0
31,1,23104.74,63,0.498,721,4.6
32,1,49020.85,44,0.283,593,2.9
33,1,17447.5,58,0.101,508,1.7
34,1,44177.77,45,0.289,783,6.8
35,1,40849.17,39,0.218,740,3.3
36,1,27683.34,69,0.396,655,7.9
37,1,54988.63,65,0.05,685,6.0
38,1,17786.01,75,0.289,791,6.5
39,1,27505.63,42,0.367,766,3.9
40,1,24301.17,59,0.33,519,9.1
41,1,62439.39,63,0.106,736,6.0
42,1,116638.64,61,0.261,688,5.8
43,1,11583.26,50,0.259,613,9.5
44,1,21830.63,58,0.213,556,1.0
45,1,31646.26,56,0.218,656,5.8
46,1,105034.53,52,0.265,727,9.4
47,1,64951.77,68,0.225,650,3.5
48,1,102233.48,49,0.244,704,3.3
49,1,8044.37,56,0.339,551,4.9
50,1,58617.18,68,0.404,606,5.9
51,1,23491.87,54,0.652,672,6.0
52,1,63020.32,67,0.419,656,4.5
53,1,27134.62,48,0.273,703,5.7
54,0,53261.43,54,0.433,555,4.3
55,1,117787.12,46,0.394,632,4.5
56,1,43923.49,84,0.498,680,9.3
57,1,31823.4,76,0.156,597,5.9
58,1,49453.54,35,0.216,783,5.6
59,1,23042.65,54,0.703,773,6.5
60,1,30088.45,74,0.26,713,4.7
61,1,27713.56,84,0.376,689,5.7
62,1,14999.63,51,0.109,681,5.6
63,1,20292.14,66,0.423,496,3.4
64,1,67358.37,65,0.363,615,2.6
65,1,42340.35,55,0.154,557,9.3
66,1,117673.9,54,0.564,716,2.7
67,1,62054.57,74,0.479,706,17.6
68,1,16286.06,69,0.299,817,3.9
69,1,61182.96,48,0.271,728,4.0
70,1,41178.26,94,0.264,850,5.1
71,1,33085.47,62,0.237,773,13.5
72,1,21953.77,38,0.151,714,4.1
73,1,26333.48,59,0.148,660,9.5
74,1,81177.07,52,0.274,743,1.9
75,1,55056.84,57,0.143,717,11.6
76,1,57371.35,67,0.535,766,3.7
77,1,24650.67,44,0.139,672,9.2
78,0,10431.42,47,0.647,674,8.0
79,1,63787.46,61,0.118,606,8.8
80,0,26355.03,57,0.038,541,2.1
81,1,116038.44,47,0.075,469,0.7
82,1,19755.84,48,0.243,620,1.7
83,1,11552.0,30,0.284,644,1.6
84,1,87292.37,51,0.147,726,1.4
85,1,149452.18,68,0.222,714,5.6
86,1,54218.57,61,0.407,562,4.8
87,1,17810.94,47,0.121,624,2.5
88,1,47871.19,63,0.337,802,11.5
89,1,36826.75,54,0.344,651,3.5
90,1,56225.45,49,0.254,633,1.7
91,1,26486.06,46,0.292,716,1.8
92,1,26322.0,50,0.162,742,6.0
93,1,9694.72,70,0.449,690,4.7
94,1,112754.1,119,0.281,755,2.6
95,1,25010.7,50,0.057,691,13.4
96,1,40305.01,68,0.284,506,6.5
97,1,19334.4,37,0.206,665,6.2
98,1,159739.43,75,0.073,572,8.0
99,1,39156.8,50,0.102,743,0.9
100,1,24424.17,54,0.324,675,4.6
101,1,40906.35,46,0.444,698,3.1
102,1,4502.96,68,0.055,558,7.7
103,1,34155.42,48,0.361,647,8.5
104,1,14706.95,65,0.509,769,4.8
105,1,30335.97,48,0.374,797,15.0
106,1,12791.24,59,0.331,618,1.4
107,1,21042.11,48,0.288,767,4.4
108,1,37882.3,43,0.249,669,5.8
109,1,15211.64,47,0.053,568,7.4
110,1,56997.79,91,0.074,674,16.3
111,1,35345.26,58,0.296,713,6.2
112,1,58110.97,85,0.505,665,2.2
113,1,8897.08,54,0.067,790,3.8
114,1,34343.44,62,0.172,643,6.9
115,1,32549.5,38,0.173,668,3.6
116,1,51429.38,44,0.51,704,10.3
117,1,31191.07,72,0.151,669,10.5
118,1,26981.29,56,0.043,675,2.5
119,1,8076.48,57,0.225,722,2.8
120,1,46455.77,58,0.486,650,7.9
121,1,50084.49,76,0.401,745,0.9
122,1,20164.75,63,0.122,729,6.9
123,1,56087.57,60,0.658,592,6.5
124,1,19900.29,51,0.147,648,4.9
125,1,7749.84,54,0.2,729,2.4
126,1,36622.34,37,0.486,751,7.1
127,1,11895.27,47,0.39,755,9.3
128,1,19050.94,43,0.144,741,4.0
129,1,15434.33,47,0.278,641,3.4
130,1,15375.87,45,0.255,674,1.9
131,1,96675.85,62,0.36,701,7.3
132,0,42563.33,53,0.835,691,3.1
133,1,18086.02,61,0.12,720,4.6
134,1,87064.67,42,0.107,579,7.5
135,0,20705.62,75,0.491,520,3.3
136,1,30534.07,62,0.202,519,3.9
137,1,38518.54,61,0.252,606,3.8
138,1,73558.47,41,0.298,646,6.9
139,1,55608.45,80,0.303,639,8.2
140,1,9229.02,57,0.055,697,10.1
141,1,30065.7,55,0.096,744,10.4
142,1,40634.77,60,0.122,627,1.5
143,1,57329.88,53,0.205,736,5.4
144,1,192617.52,81,0.128,622,4.2
145,1,27752.92,73,0.422,497,1.1
146,1,44329.86,45,0.08,604,13.8
147,1,101026.42,55,0.154,678,8.0
148,1,77659.65,62,0.333,635,2.4
149,1,30818.51,54,0.443,751,11.4
150,1,149520.49,56,0.463,632,2.7
151,1,25400.76,65,0.204,687,6.1
152,1,35104.16,71,0.088,664,13.2
153,1,46562.31,66,0.173,551,1.2
154,1,17379.55,41,0.242,605,11.8
155,1,69235.78,56,0.225,602,2.8
156,1,22801.33,42,0.399,727,3.3
157,1,46371.61,37,0.212,718,7.3
158,0,13216.96,51,0.681,739,3.7
159,1,59556.23,45,0.222,529,5.2
160,1,36015.3,42,0.232,647,4.5
161,1,18099.62,68,0.346,570,13.4
162,1,31993.57,47,0.015,669,7.2
163,1,18262.75,57,0.407,761,10.0
164,1,44840.97,98,0.472,655,7.7
165,1,32111.41,53,0.436,688,5.8
166,1,35970.82,64,0.369,691,4.5
167,1,115701.99,75,0.106,640,3.8
168,1,29325.61,52,0.249,736,4.0
169,1,45035.77,54,0.653,813,7.4
170,1,66050.9,44,0.483,603,4.1
171,1,65907.49,73,0.605,681,4.4
172,1,61940.34,69,0.421,631,5.3
173,1,32803.58,38,0.468,691,6.9
174,1,79310.61,63,0.39,713,5.9
175,1,33172.82,66,0.056,659,4.3
176,1,50762.69,50,0.068,673,5.7
177,1,24750.4,56,0.684,692,3.3
178,1,61423.23,61,0.316,754,4.8
179,1,25862.16,39,0.292,680,1.8
180,1,54290.0,42,0.133,672,7.6
181,1,72162.86,79,0.175,606,12.7
182,1,90759.97,51,0.191,679,2.0
183,1,29768.2,65,0.219,734,5.7
184,1,51270.3,69,0.037,710,2.2
185,1,119662.36,44,0.122,580,2.7
186,1,29305.11,48,0.382,785,9.0
187,1,63157.05,42,0.036,620,5.4
188,1,54459.91,50,0.604,691,5.0
189,1,104728.47,54,0.248,694,11.3
190,1,23739.46,78,0.396,604,4.2
191,0,9334.35,58,0.246,776,3.5
192,1,49921.06,44,0.57,766,13.8
193,1,14834.89,63,0.108,667,2.7
194,1,25277.59,41,0.342,791,9.7
195,0,26126.4,49,0.384,579,4.1
196,1,152934.2,59,0.155,581,1.6
197,1,58897.71,58,0.446,647,10.0
198,0,28600.08,53,0.637,712,2.8
199,1,59282.23,43,0.171,755,8.8
200,1,45311.9,55,0.384,664,5.1
201,1,24046.17,58,0.699,701,5.4
202,1,16138.91,96,0.046,713,7.9
203,1,34706.5,48,0.13,508,8.5
204,1,99941.59,52,0.184,645,4.1
205,1,37011.16,42,0.298,710,0.8
206,1,14541.96,42,0.416,624,2.5
207,1,12042.79,82,0.162,620,3.8
208,1,52692.45,63,0.311,555,4.4
209,1,83601.72,53,0.618,671,5.1
210,1,23365.05,76,0.279,686,2.0
211,1,8836.78,56,0.056,678,12.1
212,1,36978.25,50,0.371,735,10.0
213,1,92896.79,48,0.429,579,3.1
214,1,18505.73,59,0.081,663,12.9
215,1,176625.83,59,0.572,647,15.3
216,1,41661.03,50,0.339,738,6.9
217,1,39955.41,55,0.159,596,5.3
218,1,9722.12,46,0.094,537,3.3
219,1,41118.39,54,0.319,687,4.7
220,1,32275.65,65,0.282,811,6.9
221,1,50159.51,56,0.395,680,13.8
222,1,103745.29,47,0.307,832,9.2
223,1,30256.5,56,0.162,792,3.3
224,1,31644.31,51,0.455,588,2.9
225,1,55639.75,72,0.282,680,8.0
226,1,85324.7,64,0.23,651,9.6
227,1,28788.59,39,0.146,777,2.6
228,0,26281.52,54,0.504,554,5.5
229,1,37522.13,67,0.517,824,12.5
230,1,33690.83,47,0.149,657,7.2
231,1,35122.83,47,0.453,728,13.6
232,1,57492.59,60,0.401,670,3.7
233,1,24692.3,49,0.222,590,15.8
234,1,50064.5,59,0.067,828,11.9
235,1,80750.78,42,0.181,813,5.6
236,1,58439.95,87,0.111,850,3.4
237,1,27810.11,44,0.05,377,4.3
238,1,88562.2,58,0.19,609,5.1
239,1,10107.16,52,0.223,693,5.2
240,1,34259.58,48,0.254,627,5.2
241,1,24732.39,52,0.169,785,7.0
242,1,33892.01,55,0.382,624,2.3
243,1,131980.81,45,0.2,533,3.3
244,1,20666.36,56,0.194,681,4.5
245,1,67978.81,45,0.206,714,10.4
246,1,68876.77,87,0.147,578,4.9
247,1,28226.35,77,0.519,657,5.6
248,1,46749.82,37,0.33,818,6.3
249,1,54671.55,38,0.043,664,4.5
250,1,49552.65,55,0.168,664,3.4
251,1,224742.84,70,0.139,739,2.0
252,1,37891.71,43,0.227,586,7.0
253,1,59777.82,75,0.107,682,12.3
254,1,37155.01,34,0.168,655,8.8
255,1,65397.91,53,0.244,682,2.4
256,1,14540.62,44,0.394,725,1.3
257,1,40843.31,62,0.185,639,2.9
258,1,53955.35,96,0.203,638,4.4
259,1,67267.12,46,0.252,611,3.1
260,1,6666.88,95,0.082,622,6.6
261,1,51183.58,54,0.343,696,13.2
262,1,35117.24,58,0.401,766,3.4
263,1,52566.51,63,0.191,769,8.9
264,1,31655.2,48,0.138,716,3.2
265,1,74238.26,44,0.317,604,3.1
266,1,21264.94,45,0.148,553,2.9
267,1,46628.17,43,0.21,633,9.8
268,1,79708.65,38,0.175,701,12.1
269,1,24312.42,46,0.349,666,6.6
270,1,13496.61,65,0.043,680,1.7
271,1,12006.69,59,0.473,700,7.1
272,1,10309.25,53,0.243,776,3.3
273,1,22137.81,55,0.246,690,8.0
274,1,13555.17,74,0.172,671,8.2
275,1,108485.58,46,0.272,692,4.2
276,1,26409.64,45,0.161,630,9.9
277,1,47249.19,34,0.473,779,7.1
278,1,9245.47,54,0.408,578,16.1
279,1,55237.11,54,0.087,581,6.0
280,1,85280.06,47,0.629,503,4.5
281,1,19501.25,39,0.191,621,6.4
