firm_id,month,date,returns,market_ret,size,book_to_market
1,1,2015-01-01,0.77,7.91,18.37,0.564
1,2,2015-02-01,-8.51,2.54,18.37,0.388
1,3,2015-03-01,-1.19,5.64,18.37,0.677
1,4,2015-04-01,-6.23,2.75,18.37,0.683
1,5,2015-05-01,-7.52,3.56,18.37,0.578
1,6,2015-06-01,0.71,4.61,18.37,0.749
1,7,2015-07-01,-7.3,2.32,18.37,0.539
1,8,2015-08-01,-7.37,0.49,18.37,0.68
1,9,2015-09-01,-6.09,2.3,18.37,0.763
1,10,2015-10-01,-16.25,-7.87,18.37,0.727
1,11,2015-11-01,-6.18,2.21,18.37,0.686
1,12,2015-12-01,-4.24,3.25,18.37,0.722
1,13,2016-01-01,-13.2,1.41,18.37,0.768
1,14,2016-02-01,-11.93,-3.64,18.37,0.651
1,15,2016-03-01,-1.64,5.52,18.37,0.764
1,16,2016-04-01,-3.7,3.95,18.37,0.799
1,17,2016-05-01,-5.81,2.18,18.37,0.777
1,18,2016-06-01,-1.59,6.8,18.37,0.844
1,19,2016-07-01,-13.37,-2.03,18.37,0.941
1,20,2016-08-01,-16.5,-6.23,18.37,0.837
1,21,2016-09-01,-2.49,4.53,18.37,0.63
1,22,2016-10-01,-8.47,4.54,18.37,0.807
1,23,2016-11-01,-14.65,-5.64,18.37,0.814
1,24,2016-12-01,-5.96,3.15,18.37,0.775
1,25,2017-01-01,-18.32,-8.59,18.37,0.855
1,26,2017-02-01,-13.5,-1.65,18.37,0.654
1,27,2017-03-01,-0.69,6.52,18.37,0.828
1,28,2017-04-01,-4.11,0.59,18.37,0.56
1,29,2017-05-01,-6.99,2.55,18.37,0.731
1,30,2017-06-01,-17.74,-7.12,18.37,0.813
1,31,2017-07-01,-5.84,2.27,18.37,0.757
1,32,2017-08-01,-7.45,2.91,18.37,0.794
1,33,2017-09-01,-10.82,1.75,18.37,0.615
1,34,2017-10-01,-3.92,2.12,18.37,0.74
1,35,2017-11-01,2.48,8.44,18.37,0.414
1,36,2017-12-01,-7.22,2.38,18.37,0.727
1,37,2018-01-01,-8.5,-1.08,18.37,0.421
1,38,2018-02-01,-10.66,2.75,18.37,0.406
1,39,2018-03-01,-8.21,2.74,18.37,0.545
1,40,2018-04-01,-8.78,-3.68,18.37,0.533
1,41,2018-05-01,-9.96,-1.55,18.37,0.355
1,42,2018-06-01,-1.87,3.19,18.37,0.382
1,43,2018-07-01,-7.63,4.73,18.37,0.357
1,44,2018-08-01,-3.16,6.55,18.37,0.491
1,45,2018-09-01,-5.24,2.86,18.37,0.335
1,46,2018-10-01,-10.48,-3.01,18.37,0.212
1,47,2018-11-01,-6.48,4.25,18.37,0.26
1,48,2018-12-01,-3.38,5.82,18.37,0.219
1,49,2019-01-01,-7.78,1.1,18.37,0.126
1,50,2019-02-01,-7.53,1.29,18.37,0.293
1,51,2019-03-01,0.26,9.47,18.37,0.36
1,52,2019-04-01,-5.07,2.27,18.37,0.408
1,53,2019-05-01,-10.39,-3.89,18.37,0.316
1,54,2019-06-01,-3.44,6.88,18.37,0.173
1,55,2019-07-01,-9.9,-2.28,18.37,0.238
1,56,2019-08-01,-14.74,-1.48,18.37,0.188
1,57,2019-09-01,-2.03,6.69,18.37,0.044
1,58,2019-10-01,-6.67,2.42,18.37,0.205
1,59,2019-11-01,-10.19,-3.0,18.37,0.169
1,60,2019-12-01,-6.9,5.56,18.37,0.164
1,61,2020-01-01,-12.17,-1.76,18.37,0.398
1,62,2020-02-01,-9.87,0.24,18.37,0.362
1,63,2020-03-01,-5.51,0.16,18.37,0.31
1,64,2020-04-01,-11.31,-1.77,18.37,0.382
1,65,2020-05-01,-14.27,-2.92,18.37,0.281
1,66,2020-06-01,-4.32,2.4,18.37,0.586
1,67,2020-07-01,-10.28,0.62,18.37,0.394
1,68,2020-08-01,-11.06,-2.19,18.37,0.299
1,69,2020-09-01,-13.86,-4.59,18.37,0.296
1,70,2020-10-01,-5.59,6.51,18.37,0.218
1,71,2020-11-01,-5.74,2.15,18.37,0.485
1,72,2020-12-01,-5.52,2.23,18.37,0.364
1,73,2021-01-01,-6.7,4.33,18.37,0.39
1,74,2021-02-01,-14.47,-2.54,18.37,0.528
1,75,2021-03-01,-1.31,7.25,18.37,0.42
1,76,2021-04-01,-5.69,4.33,18.37,0.422
1,77,2021-05-01,-9.41,1.76,18.37,0.43
1,78,2021-06-01,-10.87,-2.94,18.37,0.661
1,79,2021-07-01,-12.89,-2.67,18.37,0.652
1,80,2021-08-01,-12.6,-7.27,18.37,0.658
1,81,2021-09-01,-6.8,2.31,18.37,0.424
1,82,2021-10-01,-10.56,-0.07,18.37,0.673
1,83,2021-11-01,-9.01,-0.54,18.37,0.515
1,84,2021-12-01,-14.92,-4.79,18.37,0.721
1,85,2022-01-01,-19.66,-12.24,18.37,0.776
1,86,2022-02-01,-5.38,4.99,18.37,0.506
1,87,2022-03-01,-9.85,1.83,18.37,0.789
1,88,2022-04-01,-9.85,2.71,18.37,0.69
1,89,2022-05-01,-14.2,-1.93,18.37,0.812
1,90,2022-06-01,-6.13,3.16,18.37,0.8
1,91,2022-07-01,-14.92,-5.43,18.37,0.626
1,92,2022-08-01,-11.05,-4.24,18.37,0.756
1,93,2022-09-01,-10.02,-0.72,18.37,0.765
1,94,2022-10-01,-3.09,4.78,18.37,0.928
1,95,2022-11-01,-4.04,1.82,18.37,0.823
1,96,2022-12-01,-6.6,2.89,18.37,0.952
1,97,2023-01-01,-14.02,-4.25,18.37,0.73
1,98,2023-02-01,-3.3,6.79,18.37,0.866
1,99,2023-03-01,-0.85,4.71,18.37,0.772
1,100,2023-04-01,-9.27,-0.06,18.37,0.623
1,101,2023-05-01,-8.18,-0.54,18.37,0.632
1,102,2023-06-01,-0.59,6.44,18.37,0.641
1,103,2023-07-01,-9.96,-0.98,18.37,0.737
1,104,2023-08-01,-10.18,0.6,18.37,0.771
1,105,2023-09-01,-1.18,6.03,18.37,0.757
1,106,2023-10-01,-8.18,-1.72,18.37,0.576
1,107,2023-11-01,-10.65,-4.0,18.37,0.682
1,108,2023-12-01,-9.37,-0.11,18.37,0.763
1,109,2024-01-01,-12.62,-4.32,18.37,0.661
1,110,2024-02-01,1.41,11.12,18.37,0.506
1,111,2024-03-01,-10.24,-1.01,18.37,0.562
1,112,2024-04-01,-12.0,-2.79,18.37,0.599
1,113,2024-05-01,0.51,5.9,18.37,0.463
1,114,2024-06-01,-6.17,2.49,18.37,0.63
1,115,2024-07-01,-13.77,-2.07,18.37,0.451
1,116,2024-08-01,-8.72,0.15,18.37,0.47
1,117,2024-09-01,-6.81,6.14,18.37,0.413
1,118,2024-10-01,8.07,15.59,18.37,0.335
1,119,2024-11-01,-14.17,-3.66,18.37,0.405
1,120,2024-12-01,-19.75,-10.86,18.37,0.33
2,1,2015-01-01,-5.76,1.08,14.46,0.517
2,2,2015-02-01,-5.36,0.22,14.46,0.436
2,3,2015-03-01,-5.96,-0.31,14.46,0.513
2,4,2015-04-01,-2.69,1.62,14.46,0.504
2,5,2015-05-01,-8.92,-3.8,14.46,0.495
2,6,2015-06-01,1.11,7.43,14.46,0.564
2,7,2015-07-01,-7.42,-3.23,14.46,0.551
2,8,2015-08-01,-2.5,1.94,14.46,0.782
2,9,2015-09-01,-12.99,-7.36,14.46,0.566
2,10,2015-10-01,-10.06,-6.72,14.46,0.599
2,11,2015-11-01,-8.44,-2.04,14.46,0.793
2,12,2015-12-01,-8.17,-2.12,14.46,0.572
2,13,2016-01-01,-0.44,6.41,14.46,0.687
2,14,2016-02-01,-10.2,-4.64,14.46,0.698
2,15,2016-03-01,-7.41,3.31,14.46,0.831
2,16,2016-04-01,-7.83,-0.7,14.46,0.688
2,17,2016-05-01,-5.53,0.29,14.46,0.898
2,18,2016-06-01,-3.29,6.5,14.46,0.726
2,19,2016-07-01,-1.13,7.27,14.46,0.843
2,20,2016-08-01,-3.1,3.28,14.46,0.884
2,21,2016-09-01,-7.59,-1.79,14.46,0.754
2,22,2016-10-01,-5.6,1.42,14.46,0.916
2,23,2016-11-01,-8.64,-2.91,14.46,1.047
2,24,2016-12-01,-2.48,3.85,14.46,0.834
2,25,2017-01-01,-8.59,0.27,14.46,0.492
2,26,2017-02-01,-4.57,2.14,14.46,0.49
2,27,2017-03-01,-1.83,3.66,14.46,0.832
2,28,2017-04-01,0.47,5.0,14.46,0.894
2,29,2017-05-01,-4.37,2.09,14.46,0.703
2,30,2017-06-01,-5.4,-0.09,14.46,0.811
2,31,2017-07-01,-7.73,-0.73,14.46,0.812
2,32,2017-08-01,-11.09,-3.06,14.46,0.658
2,33,2017-09-01,-2.94,4.24,14.46,0.553
2,34,2017-10-01,-1.2,4.98,14.46,0.543
2,35,2017-11-01,-7.91,-2.6,14.46,0.615
2,36,2017-12-01,-5.42,0.37,14.46,0.57
2,37,2018-01-01,-4.13,-0.28,14.46,0.631
2,38,2018-02-01,-9.9,-2.93,14.46,0.694
2,39,2018-03-01,2.6,8.48,14.46,0.463
2,40,2018-04-01,-2.46,4.46,14.46,0.429
