id,income,education,experience,female,region,urban
1,98.25,16,21.2,0,3,1
2,63.01,18,13.1,1,3,0
3,83.65,14,22.2,0,4,0
4,74.57,20,23.8,1,3,1
5,74.03,16,27.3,1,4,0
6,77.19,12,43.7,0,2,1
7,83.54,18,5.7,1,2,0
8,79.64,12,16.3,0,1,1
9,58.92,10,19.5,1,3,0
10,78.85,18,5.1,1,4,1
11,71.24,18,15.6,1,1,1
12,89.39,14,14.2,0,4,0
13,75.53,14,16.7,0,4,0
14,64.77,14,38.4,0,3,1
15,56.39,12,19.5,0,2,0
16,62.94,10,20.8,1,2,1
17,80.8,14,14.9,1,3,1
18,106.23,16,35.2,1,4,1
19,72.25,14,11.3,1,4,1
20,80.24,16,29.8,0,1,1
21,104.28,12,20.0,0,3,1
22,108.26,14,10.9,0,3,1
23,81.01,16,12.8,0,3,1
24,74.27,18,7.6,0,1,1
25,87.87,18,12.2,1,4,1
26,51.89,14,28.5,0,1,1
27,119.76,18,5.2,0,4,1
28,57.46,16,25.9,1,1,1
29,84.15,16,23.1,1,3,1
30,74.54,18,10.9,1,4,0
31,80.25,16,32.5,0,2,1
32,82.36,14,31.9,1,3,1
33,55.37,12,46.7,0,1,0
34,68.46,16,12.1,1,2,1
35,73.06,10,11.2,0,4,1
36,81.89,14,11.9,1,3,1
37,64.8,16,29.7,0,4,1
38,65.19,10,13.5,0,2,1
39,103.1,16,16.0,1,4,1
40,75.09,12,17.2,1,3,0
41,86.82,16,16.1,1,3,1
42,72.44,14,35.2,0,2,1
43,63.05,10,21.5,0,2,1
44,74.21,14,28.6,1,4,1
45,91.61,14,15.9,0,4,0
46,76.82,14,26.0,1,2,1
47,77.68,16,21.1,0,4,0
48,82.06,18,12.0,1,1,1
49,73.69,12,19.1,1,3,1
50,74.22,12,11.3,0,2,0
51,84.57,18,6.2,1,2,1
52,81.82,16,14.1,1,3,1
53,93.36,16,9.9,0,4,1
54,65.21,14,20.9,0,3,0
55,70.98,16,8.6,1,2,1
56,81.21,18,28.5,1,2,0
57,45.81,10,24.5,1,3,1
58,67.88,14,15.2,1,4,1
59,105.58,16,16.6,1,3,1
60,77.25,14,11.1,0,3,1
61,41.86,16,11.0,1,2,0
62,48.33,14,8.0,0,1,1
63,83.43,12,27.7,0,1,1
64,92.83,16,14.2,0,4,1
65,77.17,10,52.4,1,4,0
66,55.4,12,38.8,0,4,1
67,90.87,14,12.9,0,3,1
68,54.43,12,15.7,0,2,1
69,63.67,10,15.5,1,1,1
70,88.74,16,20.5,1,4,0
71,54.36,10,19.9,0,1,1
72,78.61,14,24.2,1,4,1
73,97.08,14,25.5,1,3,0
74,101.43,20,24.0,0,4,1
75,43.14,10,12.8,1,3,1
76,88.84,14,25.7,0,3,1
77,68.12,14,6.4,1,2,1
78,76.84,12,30.9,0,3,0
79,62.55,16,15.4,1,4,1
80,74.99,16,20.9,1,1,1
81,72.62,16,25.4,1,3,0
82,82.92,20,12.3,1,2,1
83,76.9,10,24.4,0,3,1
84,70.81,12,27.9,0,3,1
85,68.23,16,31.3,0,3,1
86,72.99,16,13.1,0,3,1
87,55.1,14,14.2,0,2,0
88,79.88,16,17.5,0,1,1
89,74.29,14,32.8,1,4,1
90,60.83,16,35.4,1,4,1
91,53.8,12,11.4,0,1,1
92,89.62,16,37.1,0,4,1
93,81.01,14,15.8,0,2,1
94,84.25,12,28.4,0,1,1
95,60.79,14,13.0,0,1,0
96,50.43,10,26.5,1,3,1
97,70.95,12,7.6,1,4,1
98,73.55,14,21.3,0,3,1
99,63.52,12,26.9,0,3,1
100,84.55,14,34.1,0,4,1
101,86.59,16,22.5,1,2,1
102,98.25,16,24.3,0,3,1
103,89.86,16,14.3,0,1,1
104,96.0,18,11.3,0,1,1
105,84.86,18,8.3,1,1,1
106,60.14,10,7.1,0,3,1
107,81.64,16,21.5,0,2,1
108,67.65,14,29.5,0,2,1
109,100.76,12,46.6,1,3,0
