property_id,year,price,sqft,bedrooms,age,distance_cbd,latitude,longitude
1,2015,526414.33,2809.0,3,20,2.35,40.722347,-74.00715
1,2016,571217.28,2809.0,3,21,2.35,40.722347,-74.00715
1,2017,575816.28,2809.0,3,22,2.35,40.722347,-74.00715
1,2018,560188.75,2809.0,3,23,2.35,40.722347,-74.00715
1,2019,561899.07,2809.0,3,24,2.35,40.722347,-74.00715
2,2015,510662.82,2901.0,1,25,6.58,40.646412,-74.038248
2,2016,514343.45,2901.0,1,26,6.58,40.646412,-74.038248
2,2017,502740.71,2901.0,1,27,6.58,40.646412,-74.038248
2,2018,511179.25,2901.0,1,28,6.58,40.646412,-74.038248
2,2019,500259.19,2901.0,1,29,6.58,40.646412,-74.038248
3,2015,691384.05,3941.0,2,41,0.85,40.704723,-73.992956
3,2016,721949.48,3941.0,2,42,0.85,40.704723,-73.992956
3,2017,723030.49,3941.0,2,43,0.85,40.704723,-73.992956
3,2018,717310.16,3941.0,2,44,0.85,40.704723,-73.992956
3,2019,661304.89,3941.0,2,45,0.85,40.704723,-73.992956
4,2015,692499.96,3792.0,2,22,0.3,40.701995,-74.00223
4,2016,691764.91,3792.0,2,23,0.3,40.701995,-74.00223
4,2017,688797.73,3792.0,2,24,0.3,40.701995,-74.00223
4,2018,728714.6,3792.0,2,25,0.3,40.701995,-74.00223
4,2019,705984.32,3792.0,2,26,0.3,40.701995,-74.00223
5,2015,677057.09,3809.0,3,1,4.6,40.688033,-74.044369
5,2016,723036.29,3809.0,3,2,4.6,40.688033,-74.044369
5,2017,711798.64,3809.0,3,3,4.6,40.688033,-74.044369
5,2018,737504.42,3809.0,3,4,4.6,40.688033,-74.044369
5,2019,701650.54,3809.0,3,5,4.6,40.688033,-74.044369
6,2015,420761.53,2187.0,4,46,0.1,40.701021,-74.000195
6,2016,456333.16,2187.0,4,47,0.1,40.701021,-74.000195
6,2017,470527.93,2187.0,4,48,0.1,40.701021,-74.000195
6,2018,482465.94,2187.0,4,49,0.1,40.701021,-74.000195
6,2019,437300.29,2187.0,4,50,0.1,40.701021,-74.000195
7,2015,281845.18,1366.0,3,36,8.93,40.720939,-73.913168
7,2016,289146.26,1366.0,3,37,8.93,40.720939,-73.913168
7,2017,296614.25,1366.0,3,38,8.93,40.720939,-73.913168
7,2018,325122.67,1366.0,3,39,8.93,40.720939,-73.913168
7,2019,276423.76,1366.0,3,40,8.93,40.720939,-73.913168
8,2015,687519.31,3746.0,2,12,1.0,40.704077,-73.990832
8,2016,690815.3,3746.0,2,13,1.0,40.704077,-73.990832
8,2017,682700.82,3746.0,2,14,1.0,40.704077,-73.990832
8,2018,688544.23,3746.0,2,15,1.0,40.704077,-73.990832
8,2019,712296.09,3746.0,2,16,1.0,40.704077,-73.990832
9,2015,537456.32,2513.0,4,5,1.81,40.682081,-74.00281
9,2016,559784.58,2513.0,4,6,1.81,40.682081,-74.00281
9,2017,575452.76,2513.0,4,7,1.81,40.682081,-74.00281
9,2018,555682.73,2513.0,4,8,1.81,40.682081,-74.00281
9,2019,526033.27,2513.0,4,9,1.81,40.682081,-74.00281
10,2015,658440.79,3307.0,2,17,2.83,40.692757,-73.972667
10,2016,594716.83,3307.0,2,18,2.83,40.692757,-73.972667
10,2017,622882.26,3307.0,2,19,2.83,40.692757,-73.972667
10,2018,604592.19,3307.0,2,20,2.83,40.692757,-73.972667
10,2019,630573.46,3307.0,2,21,2.83,40.692757,-73.972667
11,2015,501200.62,2835.0,3,33,4.73,40.730278,-73.963637
11,2016,488602.16,2835.0,3,34,4.73,40.730278,-73.963637
11,2017,518038.08,2835.0,3,35,4.73,40.730278,-73.963637
11,2018,534168.39,2835.0,3,36,4.73,40.730278,-73.963637
11,2019,504829.11,2835.0,3,37,4.73,40.730278,-73.963637
12,2015,505307.32,2568.0,3,33,1.73,40.688465,-73.987139
12,2016,476087.96,2568.0,3,34,1.73,40.688465,-73.987139
12,2017,488002.09,2568.0,3,35,1.73,40.688465,-73.987139
12,2018,533013.61,2568.0,3,36,1.73,40.688465,-73.987139
12,2019,498596.1,2568.0,3,37,1.73,40.688465,-73.987139
13,2015,433158.72,1940.0,3,4,3.04,40.706675,-74.029706
13,2016,436189.71,1940.0,3,5,3.04,40.706675,-74.029706
13,2017,458023.75,1940.0,3,6,3.04,40.706675,-74.029706
13,2018,442624.37,1940.0,3,7,3.04,40.706675,-74.029706
13,2019,459131.1,1940.0,3,8,3.04,40.706675,-74.029706
14,2015,658721.59,3206.0,3,23,1.11,40.688908,-74.000995
14,2016,632196.94,3206.0,3,24,1.11,40.688908,-74.000995
14,2017,644647.91,3206.0,3,25,1.11,40.688908,-74.000995
14,2018,641066.18,3206.0,3,26,1.11,40.688908,-74.000995
14,2019,637080.2,3206.0,3,27,1.11,40.688908,-74.000995
15,2015,735476.88,3856.0,3,6,4.49,40.742978,-73.987088
15,2016,734895.08,3856.0,3,7,4.49,40.742978,-73.987088
