"model_name","variable","coefficient","std_error","t_statistic","p_value","r_squared","n_obs","n_groups"
"fe_oneway","value",0.106585108362332,0.0113371775098726,9.40137951174495,1.88562403343436e-17,0.789934712937624,200,10
"fe_oneway","capital",0.34439952991265,0.0177549630775709,19.3973667198281,9.61808081522122e-47,0.789934712937624,200,10
"fe_twoway","value",0.109904634103979,0.0134687276783399,8.15998635719136,7.33510084231769e-14,0.747526272854463,200,10
"fe_twoway","capital",0.359774089264401,0.0210831117308792,17.0645630425352,1.32666954975163e-38,0.747526272854463,200,10
"fe_oneway_clustered","value",0.106585108362332,0.0135291217627337,7.87819861714327,2.59365831237798e-13,0.789934712937624,200,10
"fe_oneway_clustered","capital",0.34439952991265,0.0326778402622116,10.5392378183239,1.0544166280635e-20,0.789934712937624,200,10
"f_test_individual","F_statistic",58.2743728470093,NA,NA,1.06435673707703e-49,NA,200,10
"f_test_time","F_statistic",0.955691148196544,NA,NA,0.515844028650093,NA,200,10
"entity_fixed_effects","1",-77.2240481294589,NA,NA,NA,NA,200,10
"entity_fixed_effects","2",103.681862572348,NA,NA,NA,NA,200,10
"entity_fixed_effects","3",-242.44125138135,NA,NA,NA,NA,200,10
"entity_fixed_effects","4",-26.0036347490853,NA,NA,NA,NA,200,10
"entity_fixed_effects","5",3.10654776974738,NA,NA,NA,NA,200,10
"entity_fixed_effects","6",-21.0503675620427,NA,NA,NA,NA,200,10
"entity_fixed_effects","7",19.4017202537105,NA,NA,NA,NA,200,10
"entity_fixed_effects","8",-58.1118907930914,NA,NA,NA,NA,200,10
"entity_fixed_effects","9",-43.8365238557528,NA,NA,NA,NA,200,10
"entity_fixed_effects","10",24.0300263999924,NA,NA,NA,NA,200,10
