"cause_var","effect_var","test_type","f_statistic","df1","df2","p_value","dataset","model_name"
"e","prod,rw,U","Granger",6.27681122647917,6,292,3.20605606463076e-06,"Canada","VAR2_Canada"
"e","prod,rw,U","Instantaneous",26.0684720874943,3,NA,9.2276984779982e-06,"Canada","VAR2_Canada"
"prod","e,rw,U","Granger",2.78112343163658,6,292,0.0120514909423242,"Canada","VAR2_Canada"
"prod","e,rw,U","Instantaneous",1.65272218538214,3,NA,0.647495366298123,"Canada","VAR2_Canada"
"rw","e,prod,U","Granger",2.59399891658614,6,292,0.0182818421836138,"Canada","VAR2_Canada"
"rw","e,prod,U","Instantaneous",3.27057660534715,3,NA,0.351758873136072,"Canada","VAR2_Canada"
"U","e,prod,rw","Granger",2.81160036899613,6,292,0.0112550666103866,"Canada","VAR2_Canada"
"U","e,prod,rw","Instantaneous",26.1838380834754,3,NA,8.72840182641887e-06,"Canada","VAR2_Canada"
"e","prod","Pairwise_Granger",1.70249995422891,2,NA,0.18901456524926,"Canada","VAR2_Canada"
"e","rw","Pairwise_Granger",9.75870156798194,2,NA,0.000166946079662704,"Canada","VAR2_Canada"
"e","U","Pairwise_Granger",16.5797826601599,2,NA,1.0281055340684e-06,"Canada","VAR2_Canada"
"prod","e","Pairwise_Granger",7.64906836630065,2,NA,0.000933179023284658,"Canada","VAR2_Canada"
"prod","rw","Pairwise_Granger",1.67542050430541,2,NA,0.193982025168975,"Canada","VAR2_Canada"
"prod","U","Pairwise_Granger",5.0117775201031,2,NA,0.00899239374751318,"Canada","VAR2_Canada"
"rw","e","Pairwise_Granger",1.75950489355856,2,NA,0.178979604140222,"Canada","VAR2_Canada"
"rw","prod","Pairwise_Granger",2.06093296600995,2,NA,0.134302022762937,"Canada","VAR2_Canada"
"rw","U","Pairwise_Granger",0.69031774075955,2,NA,0.504492691700404,"Canada","VAR2_Canada"
"U","e","Pairwise_Granger",2.44136865570428,2,NA,0.0937534689877588,"Canada","VAR2_Canada"
"U","prod","Pairwise_Granger",5.62517966346068,2,NA,0.00524575916282588,"Canada","VAR2_Canada"
"U","rw","Pairwise_Granger",8.2613448155755,2,NA,0.000561809231260568,"Canada","VAR2_Canada"
"gdp_growth","inflation,interest_rate","Granger",0.101836104447342,4,93,0.981583116261178,"macro_panel_USA","VAR2_macro_USA"
"inflation","gdp_growth,interest_rate","Granger",1.63273837608418,4,93,0.172578491082099,"macro_panel_USA","VAR2_macro_USA"
"interest_rate","gdp_growth,inflation","Granger",4.54149976131858,4,93,0.00214384758115926,"macro_panel_USA","VAR2_macro_USA"
"gdp_growth","inflation","Pairwise_Granger",0.350572041543147,2,NA,0.706876222916078,"macro_panel_USA","VAR2_macro_USA"
"gdp_growth","interest_rate","Pairwise_Granger",0.0243834311929034,2,NA,0.975929008697826,"macro_panel_USA","VAR2_macro_USA"
"inflation","gdp_growth","Pairwise_Granger",1.07805493331584,2,NA,0.351938349654194,"macro_panel_USA","VAR2_macro_USA"
"inflation","interest_rate","Pairwise_Granger",3.28673591300379,2,NA,0.0499242422651424,"macro_panel_USA","VAR2_macro_USA"
"interest_rate","gdp_growth","Pairwise_Granger",9.91110387473966,2,NA,0.000425605224157537,"macro_panel_USA","VAR2_macro_USA"
"interest_rate","inflation","Pairwise_Granger",1.42574708667461,2,NA,0.254747665050425,"macro_panel_USA","VAR2_macro_USA"
