"impulse_var","response_var","horizon","irf_value","lower_ci","upper_ci","dataset","model_name"
"e","e",0,0.349181258314316,0.286713176769192,0.385337693470982,"Canada","VECM_Canada"
"e","e",1,0.546136746489426,0.389654710806246,0.625932386372416,"Canada","VECM_Canada"
"e","e",2,0.642584303147089,0.394438736912239,0.819000073317829,"Canada","VECM_Canada"
"e","e",3,0.668728531033692,0.326881299563699,0.914930871579457,"Canada","VECM_Canada"
"e","e",4,0.645496613639489,0.243246217241136,1.0126310236901,"Canada","VECM_Canada"
"e","e",5,0.591571667357277,0.130166505124166,1.05820229528946,"Canada","VECM_Canada"
"e","e",6,0.521972094544889,0.0107320478689739,1.12238021823533,"Canada","VECM_Canada"
"e","e",7,0.447799670165381,-0.124702163368184,1.12226891281302,"Canada","VECM_Canada"
"e","e",8,0.376676734451842,-0.225964098188329,1.16201268280017,"Canada","VECM_Canada"
"e","e",9,0.313320031391666,-0.337652089573692,1.19714205148431,"Canada","VECM_Canada"
"e","e",10,0.2601499390479,-0.428802615854323,1.22626998741064,"Canada","VECM_Canada"
"e","prod",0,-0.0434046719174329,-0.150832328557657,0.111807123291252,"Canada","VECM_Canada"
"e","prod",1,-0.0613812787090573,-0.204269144265295,0.135964956280808,"Canada","VECM_Canada"
"e","prod",2,-0.0799374442752142,-0.280411516626703,0.192119418948646,"Canada","VECM_Canada"
"e","prod",3,-0.134358295043667,-0.378447524687221,0.186800189727648,"Canada","VECM_Canada"
"e","prod",4,-0.204034429342373,-0.509817857958526,0.18775910040584,"Canada","VECM_Canada"
"e","prod",5,-0.276178917462769,-0.639509490274938,0.194456193291529,"Canada","VECM_Canada"
"e","prod",6,-0.343948487393296,-0.733412350119144,0.19770426141357,"Canada","VECM_Canada"
"e","prod",7,-0.403223814118235,-0.788785901629187,0.206752274296716,"Canada","VECM_Canada"
"e","prod",8,-0.451964197892871,-0.887416225023069,0.215161529367328,"Canada","VECM_Canada"
"e","prod",9,-0.489734009566515,-0.914568278505232,0.194773739435662,"Canada","VECM_Canada"
