exporter,importer,year,trade_value,distance,contiguous,common_language,gdp_exporter,gdp_importer,trade_agreement
C13,C40,2005,0.0,2023.68,0,0,213.51,31.04,0
C17,C44,2005,2.61,4816.75,0,0,600.58,149.71,0
C13,C07,2005,3.18,18531.71,0,0,213.51,445.17,0
C02,C35,2005,22.89,2571.49,0,0,138.06,1016.03,0
C31,C45,2005,1.99,3832.85,0,0,1014.75,16.75,0
C46,C21,2005,0.0,1311.5,0,1,2200.04,843.45,0
C07,C25,2005,676.61,460.03,1,0,445.17,2394.14,0
C35,C03,2005,41.26,2189.53,0,0,1016.03,897.06,0
C02,C48,2005,55.45,1754.07,0,0,138.06,6085.17,0
C24,C28,2005,25.96,5029.91,0,0,408.51,960.99,0
C49,C06,2005,2.81,26308.77,0,0,3829.11,92.47,0
C14,C35,2005,10.2,4994.9,0,0,247.45,1016.03,0
C48,C25,2005,942.56,2065.06,0,0,6085.17,2394.14,0
C25,C46,2005,0.0,1129.55,0,0,2394.14,2200.04,0
C39,C44,2005,173.83,1022.82,0,0,1591.96,149.71,0
C10,C41,2005,32.84,7434.7,0,1,1980.21,1021.18,0
C46,C47,2005,0.0,240.56,0,0,2200.04,357.31,0
C06,C05,2005,0.0,910.87,0,1,92.47,471.69,0
C24,C29,2005,101.97,731.65,1,1,408.51,245.1,0
C05,C13,2005,4.61,6798.37,0,0,471.69,213.51,0
C11,C22,2005,720.2,501.75,0,0,1374.79,767.88,0
C31,C43,2005,0.0,6060.65,0,0,1014.75,1181.97,0
C30,C33,2005,6.96,7895.78,0,0,267.19,1105.52,0
C47,C43,2005,430.65,585.68,0,0,357.31,1181.97,0
C24,C35,2005,17.15,2483.99,0,0,408.51,1016.03,0
C48,C04,2005,0.0,3404.56,0,0,6085.17,2613.38,0
C05,C10,2005,206.2,767.16,1,0,471.69,1980.21,0
C17,C18,2005,4.1,3764.96,0,1,600.58,85.61,0
C16,C46,2005,0.0,3446.18,0,0,29.0,2200.04,0
C44,C46,2005,8.32,2898.36,0,0,149.71,2200.04,0
C46,C26,2005,0.0,1631.89,0,1,2200.04,385.53,0
