region_id,latitude,longitude
EU_001,36.149,-10.0415
EU_002,36.1943,-5.5431
EU_003,35.9298,-2.0702
EU_004,36.4738,2.2302
EU_005,35.8592,6.1628
EU_006,35.861,9.8603
EU_007,36.0726,13.426
EU_008,35.4825,17.8313
EU_009,35.6962,22.0943
EU_010,35.7276,25.5763
EU_011,38.8397,-10.0677
EU_012,38.4203,-6.4274
EU_013,38.2367,-1.9667
EU_014,38.0547,2.1127
EU_015,38.2198,5.9125
EU_016,38.2195,10.5557
EU_017,38.396,13.6827
EU_018,38.6468,17.6337
EU_019,38.4627,21.4121
EU_020,38.0015,26.0591
EU_021,41.0215,-9.9486
EU_022,40.7653,-6.0903
EU_023,40.3564,-2.216
EU_024,40.6618,2.3171
EU_025,40.9031,5.4711
EU_026,40.8972,9.8845
EU_027,40.5969,14.1835
EU_028,41.1093,18.2794
EU_029,40.5482,21.9072
EU_030,40.8994,26.2927
EU_031,43.0562,-10.0557
EU_032,42.8681,-6.3589
EU_033,43.4438,-1.5931
EU_034,43.1784,2.3011
EU_035,43.3085,5.8065
EU_036,43.3084,10.4614
EU_037,43.1893,14.4694
EU_038,42.4141,18.2466
EU_039,43.2261,21.9103
EU_040,43.2275,25.4037
EU_041,45.5341,-9.8929
EU_042,46.0434,-6.1555
EU_043,45.3575,-2.1505
EU_044,45.8746,2.0986
EU_045,45.4411,6.154
EU_046,45.6291,10.2906
EU_047,45.3894,13.9017
EU_048,45.4824,17.5609
EU_049,45.6888,22.0783
EU_050,45.6015,25.9296
EU_051,47.5754,-10.1262
EU_052,47.8972,-6.2407
EU_053,47.9516,-1.8788
EU_054,48.5659,2.0524
EU_055,48.0773,5.9777
EU_056,47.4244,9.992
EU_057,48.0181,14.739
EU_058,47.9423,18.0905
EU_059,47.9896,21.6494
EU_060,48.3428,26.2256
EU_061,50.6373,-10.2728
EU_062,50.8208,-6.4206
EU_063,50.5761,-1.3429
EU_064,50.1028,1.8301
EU_065,50.4299,5.849
EU_066,49.9348,10.0206
EU_067,50.0813,14.1421
EU_068,50.1242,18.465
EU_069,50.165,21.9034
EU_070,50.6441,25.6307
EU_071,52.8682,-9.6079
EU_072,52.3178,-5.9446
EU_073,52.878,-1.7655
EU_074,52.4289,1.6039
EU_075,52.9566,6.0891
EU_076,52.8751,10.1039
EU_077,52.596,14.0697
EU_078,52.8879,17.7857
EU_079,53.3597,22.1421
EU_080,52.4426,26.197
EU_081,54.9076,-9.7639
EU_082,55.5476,-6.2462
EU_083,55.489,-1.8762
EU_084,55.4466,2.569
EU_085,55.1264,5.7739
EU_086,54.9331,9.7553
EU_087,55.1769,14.1023
EU_088,55.283,18.2482
EU_089,55.2039,22.4361
EU_090,55.1206,26.8161
EU_091,57.7877,-10.2571
EU_092,57.2787,-5.8553
EU_093,57.533,-1.7858
EU_094,57.742,1.9782
EU_095,57.346,5.5455
EU_096,57.466,10.2569
EU_097,57.6642,13.6263
EU_098,57.652,18.1156
EU_099,57.3348,22.0461
EU_100,57.6175,25.6571
