idcode,year,ln_wage,experience,tenure,education,union,married,hours,industry
1,1968,0.9482,0.5,3.02,9,0,1,42.8,4
1,1970,0.818,1.09,1.45,9,0,1,48.5,4
1,1972,1.0053,3.51,2.9,9,0,0,41.8,4
1,1974,0.8137,3.16,0.7,9,0,1,47.0,4
1,1976,1.0951,8.57,2.96,9,0,1,47.8,4
1,1978,1.2853,6.46,1.8,9,1,0,49.3,4
1,1980,1.1429,9.81,1.33,9,0,0,47.9,4
1,1982,1.1931,10.06,3.94,9,0,0,34.0,4
1,1984,1.3347,12.02,5.51,9,0,1,40.3,4
1,1986,1.3268,11.62,5.33,9,1,0,35.0,4
1,1988,1.4675,18.3,4.33,9,1,1,35.7,4
1,1990,1.5317,15.62,7.55,9,0,1,38.1,4
1,1992,1.4817,15.24,6.7,9,0,1,39.4,4
1,1994,1.1674,17.04,3.95,9,0,1,41.3,4
1,1996,1.2979,18.54,6.88,9,0,1,37.6,4
2,1968,1.1638,3.64,0.39,9,0,0,37.8,9
2,1970,1.3133,4.96,0.1,9,0,1,43.0,9
2,1972,1.3122,4.48,3.03,9,0,1,40.0,9
2,1974,1.1113,5.03,1.26,9,0,0,47.0,9
2,1976,1.2942,10.4,2.33,9,0,1,45.5,9
2,1978,1.1141,3.69,1.79,9,0,1,34.4,9
2,1980,1.0504,6.9,2.77,9,1,0,39.8,9
2,1982,1.3315,10.38,2.34,9,1,0,38.8,9
2,1984,1.5024,11.92,6.2,9,0,1,47.8,9
2,1986,1.2048,13.84,2.81,9,0,0,48.9,9
2,1988,1.6537,17.17,6.22,9,0,0,35.5,9
2,1990,1.2828,11.99,2.64,9,0,0,50.7,9
2,1992,1.5835,15.01,4.15,9,1,1,42.3,9
2,1994,1.7462,15.48,6.49,9,1,0,34.9,9
2,1996,1.5544,19.77,5.65,9,1,0,39.6,9
3,1968,-0.012,0.5,0.1,9,0,0,41.3,1
3,1970,-0.1166,0.85,0.1,9,0,1,32.4,1
3,1972,0.0625,3.43,1.55,9,0,0,42.9,1
3,1974,0.042,1.19,5.73,9,0,1,42.2,1
3,1976,0.1193,3.11,4.33,9,0,1,44.5,1
3,1978,-0.1572,4.8,3.94,9,0,0,39.3,1
3,1980,0.2669,8.4,1.44,9,1,0,37.4,1
3,1982,0.2431,7.61,1.98,9,0,1,49.9,1
3,1984,0.1462,9.87,3.69,9,1,1,45.0,1
3,1986,0.2875,8.69,3.32,9,0,1,42.9,1
3,1988,0.5449,10.87,8.16,9,0,1,43.9,1
3,1990,0.7576,13.88,5.8,9,1,1,35.5,1
3,1992,0.6288,13.49,6.87,9,0,0,44.4,1
3,1994,0.46,14.78,8.64,9,0,0,45.2,1
3,1996,0.793,16.13,7.39,9,0,1,41.4,1
4,1968,1.2408,1.83,2.1,9,0,1,39.8,9
4,1970,0.9936,2.4,1.55,9,1,0,37.1,9
4,1972,1.051,1.58,3.62,9,0,1,34.5,9
4,1974,0.9092,6.16,1.83,9,0,1,29.8,9
4,1976,1.02,6.43,0.1,9,0,1,47.6,9
4,1978,1.2338,7.02,0.1,9,0,0,34.5,9
4,1980,1.2945,10.28,2.06,9,0,1,47.7,9
4,1982,1.4409,9.05,5.35,9,0,1,52.0,9
4,1984,1.5429,10.97,4.25,9,0,0,34.8,9
4,1986,1.5368,14.74,2.71,9,0,1,40.8,9
4,1988,1.4695,13.3,5.15,9,0,0,42.4,9
4,1990,1.276,15.33,2.02,9,0,1,34.6,9
4,1992,1.586,17.76,7.3,9,1,0,35.4,9
4,1994,1.6413,16.3,7.68,9,0,1,33.6,9
4,1996,1.4592,18.03,4.42,9,0,1,31.9,9
5,1968,1.0439,1.71,1.77,9,0,0,35.6,1
