countrycode,year,rgdpna,rkna,emp,labsh,pop,hc
AUS,1970,300.96,710.88,14.91,0.5373,69.35,2.35
AUS,1971,303.65,714.17,14.88,0.5198,69.16,2.368
AUS,1972,337.08,738.64,14.97,0.5081,69.54,2.388
AUS,1973,348.07,744.1,14.9,0.5013,70.04,2.403
AUS,1974,353.51,769.5,14.78,0.5628,70.99,2.423
AUS,1975,364.25,805.84,14.71,0.5657,70.99,2.436
AUS,1976,357.04,806.72,14.61,0.5639,71.61,2.455
AUS,1977,375.99,842.09,14.66,0.5209,71.96,2.476
AUS,1978,382.65,853.21,14.91,0.5376,72.22,2.492
AUS,1979,378.9,871.9,15.13,0.5625,73.09,2.509
AUS,1980,432.02,871.97,15.14,0.5217,73.65,2.529
AUS,1981,455.25,893.23,15.14,0.5057,73.69,2.548
AUS,1982,462.97,904.64,15.29,0.5154,74.71,2.564
AUS,1983,495.32,930.42,15.32,0.5119,75.57,2.578
AUS,1984,528.32,945.56,14.99,0.5067,76.31,2.591
AUS,1985,548.98,964.05,15.1,0.4921,76.14,2.613
AUS,1986,561.97,945.73,15.01,0.5028,76.38,2.626
AUS,1987,563.65,968.42,15.16,0.4968,76.89,2.639
AUS,1988,583.74,991.37,15.35,0.4885,77.06,2.658
AUS,1989,582.94,1051.62,15.65,0.4806,78.22,2.673
AUS,1990,587.96,1102.45,16.0,0.4929,79.2,2.686
AUS,1991,615.14,1094.04,16.17,0.5137,79.47,2.701
AUS,1992,622.64,1095.1,16.19,0.5368,80.33,2.718
AUS,1993,666.59,1196.47,16.22,0.5032,80.89,2.739
AUS,1994,712.25,1198.19,16.4,0.5131,82.04,2.758
AUS,1995,734.23,1189.23,16.66,0.5301,83.25,2.769
AUS,1996,734.89,1182.95,16.87,0.5359,84.45,2.788
AUS,1997,732.88,1215.74,16.72,0.549,84.8,2.802
AUS,1998,781.12,1262.02,17.27,0.5124,85.52,2.817
AUS,1999,776.76,1324.86,17.37,0.5125,86.15,2.836
AUS,2000,785.21,1383.73,17.64,0.4965,86.7,2.848
AUS,2001,823.87,1420.13,17.84,0.5085,88.17,2.859
AUS,2002,874.17,1455.97,18.08,0.493,89.35,2.881
AUS,2003,923.12,1467.91,18.23,0.5019,90.18,2.9
AUS,2004,991.62,1503.26,18.57,0.5123,91.36,2.916
AUS,2005,980.68,1481.23,18.69,0.5141,91.7,2.928
AUS,2006,950.44,1530.53,18.71,0.4983,92.47,2.942
AUS,2007,1025.28,1572.25,18.9,0.5529,92.62,2.966
AUS,2008,1099.17,1644.29,19.0,0.5642,93.57,2.978
AUS,2009,1112.34,1613.23,18.95,0.5446,95.11,2.991
AUS,2010,1153.53,1585.06,19.23,0.545,96.49,3.015
AUS,2011,1135.1,1701.26,19.18,0.5331,96.64,3.039
AUS,2012,1164.74,1700.86,19.03,0.4895,97.36,3.047
AUS,2013,1256.46,1801.42,19.1,0.5001,97.92,3.074
AUS,2014,1307.11,1887.86,19.16,0.5193,98.73,3.09
AUS,2015,1263.46,1997.29,19.13,0.5335,100.58,3.105
AUS,2016,1316.08,2039.34,19.14,0.5475,101.5,3.118
AUS,2017,1325.29,2069.16,19.42,0.5468,103.06,3.136
AUS,2018,1334.37,2166.62,19.62,0.5033,103.52,3.145
AUS,2019,1341.94,2285.27,20.03,0.5004,104.12,3.161
AUT,1970,1248.13,2849.96,15.71,0.578,50.51,2.698
AUT,1971,1301.56,2961.98,15.79,0.5726,50.69,2.709
AUT,1972,1374.17,3012.67,15.74,0.5755,51.02,2.721
AUT,1973,1363.07,3097.75,15.85,0.5599,51.29,2.737
AUT,1974,1323.13,3042.14,15.82,0.5646,51.65,2.76
AUT,1975,1391.86,3093.1,15.89,0.5613,51.81,2.773
AUT,1976,1437.36,3087.04,16.06,0.5572,52.62,2.79
AUT,1977,1503.67,3117.74,16.17,0.5584,53.05,2.802
AUT,1978,1537.24,3228.55,16.49,0.6004,53.73,2.813
AUT,1979,1618.86,3314.15,16.94,0.57,53.95,2.825
AUT,1980,1536.26,3335.52,16.9,0.5723,54.42,2.849
AUT,1981,1622.7,3352.26,16.83,0.5406,54.99,2.873
AUT,1982,1727.97,3379.2,16.63,0.5426,55.81,2.894
AUT,1983,1671.03,3394.03,16.71,0.5373,56.27,2.913
AUT,1984,1646.09,3452.57,16.82,0.5568,56.87,2.922
AUT,1985,1595.66,3653.73,16.96,0.5872,57.11,2.938
AUT,1986,1700.16,3738.52,17.4,0.5725,58.08,2.957
AUT,1987,1778.43,3966.37,17.32,0.5884,58.75,2.964
AUT,1988,1745.88,3827.27,17.36,0.6084,59.43,2.979
AUT,1989,1890.36,3761.44,17.15,0.6,59.89,2.994
AUT,1990,1800.07,3831.99,17.01,0.5938,60.58,3.004
AUT,1991,1809.56,3799.86,17.09,0.5624,61.36,3.022
AUT,1992,1818.33,3796.04,17.15,0.5491,61.53,3.031
AUT,1993,1993.14,3880.66,17.12,0.5485,62.09,3.044
AUT,1994,2084.77,4047.72,17.11,0.5449,62.41,3.048
AUT,1995,2025.19,4294.19,17.48,0.5594,62.83,3.065
AUT,1996,2308.65,4524.43,17.55,0.5259,63.03,3.081
AUT,1997,2303.35,4441.39,17.52,0.5684,63.2,3.1
AUT,1998,2359.03,4726.69,17.63,0.5948,63.43,3.118
AUT,1999,2331.4,4801.8,17.56,0.6013,63.5,3.142
AUT,2000,2275.65,4981.47,17.53,0.5755,63.85,3.153
AUT,2001,2336.28,4971.19,17.67,0.5645,64.35,3.163
AUT,2002,2347.24,5184.89,17.85,0.5636,64.55,3.182
AUT,2003,2270.62,5375.96,17.82,0.5457,65.26,3.188
AUT,2004,2200.02,5497.75,17.95,0.5612,65.48,3.195
AUT,2005,2250.96,5428.67,17.93,0.5421,66.03,3.208
AUT,2006,2390.99,5455.91,18.17,0.5565,66.18,3.23
AUT,2007,2250.59,5449.82,18.36,0.5634,66.64,3.242
AUT,2008,2315.98,5541.76,18.67,0.5676,67.27,3.255
AUT,2009,2336.48,5592.0,18.84,0.5696,67.66,3.28
AUT,2010,2471.63,5659.44,19.16,0.5244,68.07,3.29
AUT,2011,2377.04,5723.64,19.26,0.5401,69.19,3.304
AUT,2012,2511.62,5496.55,19.41,0.5149,70.02,3.325
AUT,2013,2609.26,5549.04,19.63,0.5305,71.39,3.341
AUT,2014,2636.87,5534.68,19.89,0.5393,71.65,3.354
AUT,2015,2753.62,5705.24,20.2,0.5385,72.04,3.364
AUT,2016,2785.03,5888.21,20.45,0.5608,72.29,3.386
AUT,2017,2902.56,6336.05,20.4,0.5235,72.42,3.408
AUT,2018,3050.95,6460.92,20.56,0.5818,72.59,3.424
AUT,2019,3147.16,6733.11,20.76,0.5579,73.25,3.441
BEL,1970,858.68,1974.02,11.51,0.694,47.81,2.661
BEL,1971,879.85,2059.31,11.72,0.6588,48.0,2.674
BEL,1972,883.53,2118.15,11.78,0.6803,48.06,2.688
BEL,1973,932.98,2112.52,11.72,0.6633,48.58,2.703
BEL,1974,961.49,2185.06,11.7,0.6518,49.0,2.721
BEL,1975,988.43,2259.94,12.06,0.6871,49.12,2.723
BEL,1976,971.95,2278.84,11.98,0.6898,49.57,2.736
BEL,1977,998.72,2372.97,12.14,0.6787,49.64,2.751
BEL,1978,1041.33,2413.25,12.19,0.6641,50.04,2.762
BEL,1979,1076.44,2483.05,12.31,0.6609,50.18,2.776
BEL,1980,1131.15,2517.51,12.4,0.6987,50.65,2.786
BEL,1981,1149.76,2552.6,12.26,0.6673,51.51,2.797
BEL,1982,1222.46,2550.08,12.41,0.6951,51.55,2.801
BEL,1983,1212.41,2604.13,12.6,0.683,51.96,2.823
BEL,1984,1314.34,2718.82,12.58,0.6554,52.27,2.839
BEL,1985,1307.64,2832.37,12.9,0.6525,52.88,2.856
BEL,1986,1400.93,3005.8,12.84,0.6566,53.44,2.875
BEL,1987,1459.52,2969.35,12.86,0.634,53.92,2.893
BEL,1988,1456.29,3018.35,13.1,0.6584,54.11,2.899
BEL,1989,1577.4,3095.82,13.17,0.6761,54.6,2.907
BEL,1990,1629.73,3154.91,13.02,0.6693,55.31,2.923
BEL,1991,1691.17,3234.1,13.34,0.6404,55.74,2.936
BEL,1992,1768.03,3367.99,13.27,0.6161,56.45,2.957
BEL,1993,1773.84,3459.36,13.47,0.6507,56.94,2.975
BEL,1994,1888.53,3637.41,13.48,0.628,57.58,2.99
BEL,1995,1989.71,3760.63,13.61,0.6653,57.98,3.004
BEL,1996,2036.38,3941.59,13.49,0.6479,58.59,3.026
BEL,1997,2094.19,4075.19,13.61,0.6436,58.49,3.046
BEL,1998,2209.97,4224.68,13.5,0.6679,59.13,3.061
BEL,1999,2351.46,4303.38,13.49,0.689,58.87,3.078
BEL,2000,2342.57,4298.69,13.44,0.6794,59.58,3.089
BEL,2001,2370.21,4349.61,13.25,0.6572,59.7,3.107
BEL,2002,2444.83,4419.2,13.63,0.6865,59.98,3.13
BEL,2003,2443.01,4563.93,13.63,0.6947,60.28,3.142
BEL,2004,2501.92,4692.71,13.64,0.7053,60.41,3.162
BEL,2005,2612.04,4806.86,13.62,0.7439,60.68,3.182
BEL,2006,2655.07,4972.48,13.64,0.7347,61.35,3.202
BEL,2007,2698.63,5138.2,13.47,0.7351,61.45,3.213
BEL,2008,2743.96,5298.55,13.63,0.648,61.62,3.223
BEL,2009,2923.35,5498.92,13.88,0.6239,61.76,3.24
BEL,2010,3047.39,5702.97,14.08,0.6479,62.39,3.259
BEL,2011,3196.23,5974.23,14.29,0.6436,63.37,3.276
BEL,2012,3287.05,6068.94,14.27,0.662,64.04,3.293
BEL,2013,3392.15,6259.66,14.46,0.667,64.08,3.309
BEL,2014,3579.97,6299.44,14.75,0.6753,64.66,3.322
BEL,2015,3760.37,6502.67,15.0,0.6793,64.71,3.339
BEL,2016,3886.02,6657.45,15.02,0.6424,65.29,3.359
BEL,2017,3989.83,6882.22,15.15,0.6501,65.64,3.364
BEL,2018,4211.52,7238.8,14.97,0.6336,66.03,3.378
BEL,2019,4437.85,7601.04,15.22,0.6421,67.0,3.387
CAN,1970,211.61,440.33,11.8,0.5448,42.53,2.623
CAN,1971,219.41,454.12,11.93,0.5467,43.15,2.641
CAN,1972,223.19,479.31,11.91,0.5432,43.89,2.649
CAN,1973,228.51,481.48,12.07,0.5327,44.1,2.655
CAN,1974,230.06,464.39,11.94,0.55,44.63,2.672
CAN,1975,228.2,473.43,12.0,0.5765,44.72,2.691
CAN,1976,231.37,483.49,12.09,0.56,44.63,2.703
CAN,1977,229.33,490.23,12.37,0.5419,45.13,2.721
CAN,1978,243.82,511.24,12.44,0.5547,45.34,2.738
CAN,1979,255.48,529.56,12.63,0.576,45.59,2.754
CAN,1980,277.1,531.86,12.92,0.5516,46.0,2.766
CAN,1981,280.32,548.22,13.05,0.547,46.23,2.792
CAN,1982,301.06,565.24,13.12,0.5565,46.63,2.802
CAN,1983,305.19,554.86,13.24,0.5413,47.16,2.825
CAN,1984,300.8,547.28,13.33,0.574,47.79,2.838
CAN,1985,317.13,558.06,13.38,0.5762,48.39,2.845
CAN,1986,338.29,588.19,13.36,0.5746,48.87,2.861
CAN,1987,340.19,590.98,13.42,0.5745,49.55,2.874
CAN,1988,355.6,564.39,13.65,0.5563,49.52,2.883
CAN,1989,350.02,591.83,13.65,0.5498,50.0,2.901
CAN,1990,358.63,586.22,13.86,0.5151,50.28,2.914
CAN,1991,383.08,610.28,13.88,0.5155,50.6,2.939
CAN,1992,396.11,629.14,14.09,0.5171,51.06,2.953
CAN,1993,404.26,641.55,14.27,0.538,51.49,2.968
CAN,1994,414.45,624.95,14.47,0.5579,51.99,2.968
CAN,1995,450.59,635.76,14.7,0.5642,52.14,2.978
CAN,1996,452.7,678.48,14.75,0.5737,52.61,2.995
CAN,1997,465.26,698.38,15.18,0.567,53.02,3.016
CAN,1998,491.73,732.79,15.36,0.591,53.14,3.025
CAN,1999,507.76,734.84,15.43,0.5815,53.66,3.042
CAN,2000,544.81,757.96,15.46,0.5922,54.35,3.051
CAN,2001,567.56,786.34,15.5,0.5729,55.16,3.067
CAN,2002,578.22,802.84,15.4,0.5943,55.21,3.077
CAN,2003,575.26,779.24,15.38,0.6102,55.28,3.097
CAN,2004,577.47,838.2,15.61,0.5386,55.64,3.124
CAN,2005,568.03,823.26,15.85,0.5661,56.77,3.142
CAN,2006,592.11,857.12,16.05,0.5597,57.31,3.156
CAN,2007,593.48,869.08,15.86,0.5334,57.74,3.166
CAN,2008,611.35,916.26,16.09,0.515,57.75,3.186
CAN,2009,608.86,930.25,16.26,0.524,57.93,3.194
CAN,2010,613.24,956.53,16.08,0.5278,58.53,3.212
CAN,2011,632.77,1007.81,16.18,0.5333,58.87,3.229
CAN,2012,649.69,1029.55,16.15,0.5066,59.15,3.253
CAN,2013,642.46,1033.92,16.11,0.5101,59.89,3.274
CAN,2014,646.06,1062.12,16.06,0.4947,61.02,3.291
CAN,2015,675.01,1094.52,16.11,0.5086,61.47,3.305
CAN,2016,712.17,1176.18,16.1,0.5156,61.54,3.333
CAN,2017,713.72,1247.2,16.46,0.5337,61.86,3.356
CAN,2018,724.29,1266.87,16.44,0.522,62.05,3.365
CAN,2019,744.01,1269.97,16.56,0.5334,62.06,3.384
CHE,1970,1259.5,4264.8,9.85,0.5865,55.59,2.309
CHE,1971,1306.21,4227.05,9.85,0.5785,55.65,2.328
CHE,1972,1321.68,4356.46,9.82,0.5608,56.16,2.345
CHE,1973,1349.0,4443.79,9.77,0.5449,56.36,2.359
CHE,1974,1365.62,4541.98,9.73,0.591,56.36,2.368
CHE,1975,1403.48,4592.37,9.81,0.5725,56.81,2.385
CHE,1976,1406.25,4728.37,9.91,0.557,57.44,2.399
CHE,1977,1388.25,4751.54,9.86,0.5574,58.28,2.415
CHE,1978,1397.28,4817.05,10.15,0.5436,58.66,2.433
CHE,1979,1343.31,4873.04,10.17,0.5571,58.84,2.448
CHE,1980,1310.39,4873.98,9.93,0.5621,59.4,2.459
CHE,1981,1339.72,4825.59,9.88,0.5461,60.0,2.474
CHE,1982,1339.97,4844.75,9.89,0.5548,60.27,2.486
CHE,1983,1355.99,4839.32,9.79,0.5648,61.03,2.512
CHE,1984,1343.61,4874.24,9.83,0.5517,61.83,2.521
CHE,1985,1392.8,4900.97,9.97,0.552,62.56,2.535
CHE,1986,1398.52,4951.67,10.1,0.555,62.81,2.545
