country,year,exchange_rate,price_domestic,price_foreign,log_S,log_P_ratio
GBR,1985,0.64,71.61,102.94,-0.446225,-0.362864
GBR,1986,0.6483,73.95,105.43,-0.43343,-0.354702
GBR,1987,0.6094,75.92,108.66,-0.495294,-0.358497
GBR,1988,0.597,77.56,112.78,-0.515867,-0.374319
GBR,1989,0.6289,80.95,115.41,-0.463818,-0.35476
GBR,1990,0.6374,81.66,118.11,-0.450364,-0.369044
GBR,1991,0.6164,83.76,122.64,-0.483824,-0.381298
GBR,1992,0.6581,86.95,126.52,-0.418425,-0.375098
GBR,1993,0.6495,90.6,129.24,-0.431615,-0.355167
GBR,1994,0.6633,93.02,133.09,-0.410476,-0.358218
GBR,1995,0.6665,96.98,135.95,-0.405703,-0.337804
GBR,1996,0.643,99.71,138.88,-0.441588,-0.331306
GBR,1997,0.6685,101.28,142.67,-0.402721,-0.342596
GBR,1998,0.6961,106.08,144.06,-0.362279,-0.306015
GBR,1999,0.7347,110.64,145.68,-0.30826,-0.275173
GBR,2000,0.7512,113.13,148.7,-0.286091,-0.273416
GBR,2001,0.7752,118.74,151.23,-0.25466,-0.241857
GBR,2002,0.7037,124.68,155.45,-0.351342,-0.220595
GBR,2003,0.7337,129.75,158.23,-0.309709,-0.198468
GBR,2004,0.7561,133.22,160.41,-0.279596,-0.185758
GBR,2005,0.7342,134.04,166.42,-0.309039,-0.216334
GBR,2006,0.8029,138.72,170.32,-0.219536,-0.205243
GBR,2007,0.7738,142.06,174.73,-0.256466,-0.207002
GBR,2008,0.82,145.5,177.12,-0.198467,-0.196625
GBR,2009,0.8113,150.53,180.81,-0.209106,-0.183325
GBR,2010,0.8258,156.07,185.56,-0.191344,-0.173053
GBR,2011,0.8225,162.7,188.51,-0.195354,-0.147222
GBR,2012,0.811,167.0,193.86,-0.209453,-0.149159
GBR,2013,0.8216,169.09,197.82,-0.196542,-0.156916
GBR,2014,0.8343,174.79,202.35,-0.181134,-0.14645
GBR,2015,0.7909,179.6,206.48,-0.234557,-0.139451
GBR,2016,0.7759,184.14,214.87,-0.25375,-0.154317
GBR,2017,0.7758,187.93,220.28,-0.253809,-0.158837
GBR,2018,0.8709,194.6,223.96,-0.1382,-0.140526
GBR,2019,0.8814,200.94,231.14,-0.126217,-0.140012
DEU,1985,0.818,100.74,102.94,-0.200927,-0.021626
DEU,1986,0.8497,106.92,105.43,-0.162847,0.014039
DEU,1987,0.8597,110.58,108.66,-0.151205,0.017476
DEU,1988,0.8865,112.36,112.78,-0.120429,-0.003732
DEU,1989,0.9337,116.83,115.41,-0.068553,0.012164
DEU,1990,0.9845,119.08,118.11,-0.015574,0.008125
DEU,1991,0.9834,120.66,122.64,-0.016717,-0.016331
DEU,1992,0.9717,127.64,126.52,-0.028749,0.008815
DEU,1993,0.9792,130.64,129.24,-0.021027,0.010775
DEU,1994,0.9204,133.81,133.09,-0.082933,0.005393
DEU,1995,0.8971,138.0,135.95,-0.108548,0.014923
DEU,1996,0.8851,143.01,138.88,-0.122029,0.029332
DEU,1997,0.8855,150.13,142.67,-0.121643,0.050996
DEU,1998,0.9367,154.11,144.06,-0.065371,0.067437
DEU,1999,0.9554,156.47,145.68,-0.045661,0.071466
DEU,2000,0.9282,163.79,148.7,-0.074547,0.09665
DEU,2001,0.9605,169.15,151.23,-0.040267,0.111968
DEU,2002,0.9355,175.94,155.45,-0.066667,0.123836
DEU,2003,0.9604,178.45,158.23,-0.040407,0.120255
DEU,2004,0.9975,184.54,160.41,-0.002502,0.140117
DEU,2005,0.9773,190.95,166.42,-0.02294,0.137549
DEU,2006,1.0063,197.32,170.32,0.006286,0.147143
DEU,2007,1.0831,201.59,174.73,0.079812,0.14303
DEU,2008,1.0624,208.92,177.12,0.060556,0.165114
DEU,2009,1.0479,216.98,180.81,0.046808,0.182348
DEU,2010,1.1176,225.71,185.56,0.111161,0.195906
DEU,2011,1.1691,230.31,188.51,0.156254,0.200265
