state,year,unemployment_rate,log_unemployment
AL,1976,0.0618,-2.7845
AL,1977,0.0563,-2.8777
AL,1978,0.0584,-2.8402
AL,1979,0.0602,-2.8105
AL,1980,0.0654,-2.7267
AL,1981,0.0623,-2.7765
AL,1982,0.0597,-2.8193
AL,1983,0.057,-2.8639
AL,1984,0.0529,-2.9391
AL,1985,0.0407,-3.2013
AL,1986,0.0474,-3.0486
AL,1987,0.0529,-2.9401
AL,1988,0.0461,-3.0768
AL,1989,0.0454,-3.0913
AL,1990,0.0433,-3.1405
AL,1991,0.0415,-3.1826
AL,1992,0.0327,-3.4213
AL,1993,0.0322,-3.4355
AL,1994,0.0379,-3.2721
AL,1995,0.0529,-2.9387
AL,1996,0.0558,-2.8866
AL,1997,0.057,-2.8651
AL,1998,0.0549,-2.9023
AL,1999,0.0526,-2.9455
AL,2000,0.0582,-2.8438
AL,2001,0.06,-2.8127
AL,2002,0.0571,-2.8633
AL,2003,0.0525,-2.9477
AL,2004,0.0526,-2.946
AL,2005,0.0508,-2.9803
AL,2006,0.0518,-2.9603
AL,2007,0.0516,-2.964
AL,2008,0.0802,-2.5237
AL,2009,0.1334,-2.0146
AL,2010,0.17,-1.7719
AL,2011,0.1647,-1.8035
AL,2012,0.1504,-1.8942
AL,2013,0.1346,-2.0055
AL,2014,0.132,-2.0253
AL,2015,0.123,-2.0956
AL,2016,0.1108,-2.2001
AL,2017,0.102,-2.2825
AL,2018,0.0928,-2.3772
AL,2019,0.0907,-2.3997
AL,2020,0.1443,-1.936
AL,2021,0.18,-1.7148
AL,2022,0.1684,-1.7816
AZ,1976,0.0473,-3.0512
AZ,1977,0.0519,-2.9588
AZ,1978,0.0483,-3.0294
AZ,1979,0.0469,-3.0592
AZ,1980,0.0412,-3.1903
AZ,1981,0.036,-3.3243
AZ,1982,0.0418,-3.1743
AZ,1983,0.0493,-3.0098
AZ,1984,0.0483,-3.0308
AZ,1985,0.0528,-2.941
AZ,1986,0.0533,-2.9316
AZ,1987,0.0487,-3.0223
AZ,1988,0.0499,-2.9969
AZ,1989,0.0568,-2.8674
AZ,1990,0.0546,-2.9073
AZ,1991,0.0608,-2.8001
AZ,1992,0.0449,-3.1024
AZ,1993,0.0492,-3.0123
AZ,1994,0.049,-3.0166
AZ,1995,0.0469,-3.0604
AZ,1996,0.0471,-3.0554
AZ,1997,0.0369,-3.2996
AZ,1998,0.0374,-3.2861
AZ,1999,0.0407,-3.2018
AZ,2000,0.049,-3.0162
AZ,2001,0.0458,-3.0838
AZ,2002,0.0417,-3.1768
AZ,2003,0.0399,-3.2207
AZ,2004,0.0455,-3.089
AZ,2005,0.0472,-3.0531
AZ,2006,0.0443,-3.1173
AZ,2007,0.0471,-3.0556
AZ,2008,0.0826,-2.4932
AZ,2009,0.0972,-2.3307
AZ,2010,0.1066,-2.239
AZ,2011,0.0969,-2.3338
AZ,2012,0.0889,-2.4206
AZ,2013,0.081,-2.5133
AZ,2014,0.0734,-2.6122
AZ,2015,0.0612,-2.7931
AZ,2016,0.0563,-2.8774
AZ,2017,0.0526,-2.9445
AZ,2018,0.0473,-3.0504
