pair_id,year,log_exports,log_gdp_i,log_gdp_j,log_distance,tariff,border,language
PAIR_0001,2005,9.1821,11.0939,11.9262,8.1218,0.0324,0,0
PAIR_0001,2006,9.5881,11.5056,12.1493,8.1218,0.0822,0,0
PAIR_0001,2007,9.5202,11.6899,11.5938,8.1218,0.0979,0,0
PAIR_0001,2008,9.1913,12.1399,11.4995,8.1218,0.0448,0,0
PAIR_0001,2009,9.3865,10.9421,12.3774,8.1218,0.0423,0,0
PAIR_0001,2010,11.1473,13.7391,12.1942,8.1218,0.0046,0,0
PAIR_0001,2011,9.8741,13.0433,10.2709,8.1218,0.0462,0,0
PAIR_0001,2012,11.5749,12.0443,14.0099,8.1218,0.031,0,0
PAIR_0001,2013,8.9558,11.0295,11.2397,8.1218,0.0581,0,0
PAIR_0001,2014,7.0459,9.3491,10.5206,8.1218,0.0383,0,0
PAIR_0001,2015,7.7285,9.8653,10.8696,8.1218,0.0462,0,0
PAIR_0001,2016,9.8768,12.3116,11.4811,8.1218,0.0,0,0
PAIR_0001,2017,12.3677,13.2589,13.1146,8.1218,0.0002,0,0
PAIR_0001,2018,9.4894,10.6108,11.9856,8.1218,0.0,0,0
PAIR_0001,2019,11.6231,13.0544,12.0608,8.1218,0.0093,0,0
PAIR_0002,2005,11.5173,12.8373,11.7951,8.0517,0.0635,0,0
PAIR_0002,2006,12.6809,11.8913,14.6978,8.0517,0.1162,0,0
PAIR_0002,2007,13.1019,13.4292,13.3414,8.0517,0.0788,0,0
PAIR_0002,2008,11.685,12.5551,12.4168,8.0517,0.0224,0,0
PAIR_0002,2009,9.6527,9.7848,12.4447,8.0517,0.0549,0,0
PAIR_0002,2010,11.0582,10.4378,13.0467,8.0517,0.0541,0,0
PAIR_0002,2011,10.8487,12.8291,10.7233,8.0517,0.0,0,0
PAIR_0002,2012,8.279,10.0962,10.5382,8.0517,0.007,0,0
PAIR_0002,2013,10.7637,13.8443,10.209,8.0517,0.0213,0,0
PAIR_0002,2014,7.771,9.1204,11.2609,8.0517,0.0382,0,0
PAIR_0002,2015,6.9872,9.4208,8.893,8.0517,0.0344,0,0
PAIR_0002,2016,8.0146,9.5776,10.7484,8.0517,0.0605,0,0
PAIR_0002,2017,10.6438,11.5894,12.3105,8.0517,0.0127,0,0
PAIR_0002,2018,9.3645,12.221,9.6881,8.0517,0.0,0,0
PAIR_0002,2019,12.9923,12.8481,13.5237,8.0517,0.0078,0,0
PAIR_0003,2005,12.6189,12.7133,11.8341,6.0361,0.0342,0,0
PAIR_0003,2006,12.6973,12.8129,11.2165,6.0361,0.0247,0,0
PAIR_0003,2007,10.998,11.9566,9.7079,6.0361,0.0588,0,0
PAIR_0003,2008,9.6279,10.4907,10.3679,6.0361,0.0545,0,0
PAIR_0003,2009,12.3942,10.6173,12.548,6.0361,0.0388,0,0
PAIR_0003,2010,11.6779,11.8039,10.609,6.0361,0.0328,0,0
PAIR_0003,2011,11.3921,10.4051,12.5323,6.0361,0.0926,0,0
PAIR_0003,2012,12.0818,12.577,10.4758,6.0361,0.0154,0,0
PAIR_0003,2013,12.1502,10.7651,12.6228,6.0361,0.0355,0,0
PAIR_0003,2014,13.4503,12.2128,12.3024,6.0361,0.0314,0,0
PAIR_0003,2015,14.2611,11.8464,14.8691,6.0361,0.0026,0,0
PAIR_0003,2016,13.3155,12.007,13.0876,6.0361,0.0178,0,0
PAIR_0003,2017,11.9081,11.7478,11.3622,6.0361,0.0203,0,0
PAIR_0003,2018,12.6813,10.9838,13.196,6.0361,0.0622,0,0
PAIR_0003,2019,10.4068,10.1452,10.2725,6.0361,0.0,0,0
PAIR_0004,2005,7.1109,7.4032,14.345,9.5893,0.0536,0,0
PAIR_0004,2006,9.3244,9.5848,14.8218,9.5893,0.0677,0,0
PAIR_0004,2007,10.3929,13.3693,12.1231,9.5893,0.0309,0,0
PAIR_0004,2008,6.7097,10.6744,10.036,9.5893,0.0773,0,0
PAIR_0004,2009,9.395,13.6098,10.337,9.5893,0.024,0,0
PAIR_0004,2010,7.4081,10.2514,10.7204,9.5893,0.0565,0,0
PAIR_0004,2011,7.7802,12.0686,9.834,9.5893,0.02,0,0
PAIR_0004,2012,11.633,14.1908,13.1183,9.5893,0.0724,0,0
PAIR_0004,2013,8.0661,9.7498,12.5201,9.5893,0.0202,0,0
PAIR_0004,2014,8.4929,12.2987,11.0873,9.5893,0.0621,0,0
PAIR_0004,2015,9.7271,11.8641,12.7177,9.5893,0.0811,0,0
PAIR_0004,2016,11.6963,13.6061,13.5076,9.5893,0.0981,0,0
PAIR_0004,2017,12.3868,14.8181,12.9551,9.5893,0.0,0,0
PAIR_0004,2018,9.1481,10.3852,14.0554,9.5893,0.0291,0,0
PAIR_0004,2019,11.4182,13.1042,13.7623,9.5893,0.0099,0,0
PAIR_0005,2005,12.6043,11.6434,14.1112,6.5954,0.074,1,0
PAIR_0005,2006,8.5477,7.7233,12.0151,6.5954,0.0653,1,0
PAIR_0005,2007,10.045,11.7092,9.9866,6.5954,0.0959,1,0
PAIR_0005,2008,10.7544,10.781,12.301,6.5954,0.0289,1,0
PAIR_0005,2009,10.2527,10.8495,11.9435,6.5954,0.0813,1,0
PAIR_0005,2010,12.7944,12.236,12.8614,6.5954,0.0522,1,0
PAIR_0005,2011,14.2668,13.7403,13.0334,6.5954,0.0261,1,0
PAIR_0005,2012,12.3422,11.8835,12.8162,6.5954,0.0,1,0
PAIR_0005,2013,12.3001,12.565,11.4696,6.5954,0.05,1,0
PAIR_0005,2014,12.2635,11.2705,13.0073,6.5954,0.0012,1,0
PAIR_0005,2015,10.1607,9.2513,11.9954,6.5954,0.0349,1,0
PAIR_0005,2016,8.4269,10.9915,8.7264,6.5954,0.0437,1,0
PAIR_0005,2017,10.2225,11.8309,10.7499,6.5954,0.0198,1,0
PAIR_0005,2018,9.4987,9.1649,12.3329,6.5954,0.0196,1,0
