id,year,career,educ,exper,age,female,income,urban
1,1,1,16.2,2.8,27.0,1,9360.0,1
1,2,2,16.2,3.8,28.0,1,9118.1,1
1,3,1,16.2,4.8,29.0,1,8741.25,1
1,4,1,16.2,5.8,30.0,1,7910.26,1
1,5,2,16.7,6.8,31.0,1,11100.73,1
2,1,1,13.6,24.4,44.0,0,9125.75,1
2,2,1,13.6,25.4,45.0,0,11491.27,1
2,3,2,13.6,26.4,46.0,0,7065.66,1
2,4,2,13.6,27.4,47.0,0,13398.16,1
2,5,2,13.6,28.4,48.0,0,10255.95,1
3,1,2,16.5,5.5,25.0,1,11494.5,1
3,2,2,16.5,6.5,26.0,1,6529.16,1
3,3,1,16.5,7.5,27.0,1,6294.05,1
3,4,1,16.5,8.5,28.0,1,9141.48,1
3,5,2,17.0,9.5,29.0,1,5672.03,1
4,1,1,8.0,34.0,49.0,0,12398.39,1
4,2,1,8.0,35.0,50.0,0,7345.94,1
4,3,2,8.0,36.0,51.0,0,14037.12,1
4,4,2,8.0,37.0,52.0,0,10117.47,1
4,5,2,8.0,38.0,53.0,0,8433.14,1
5,1,1,10.6,22.4,36.0,0,12218.3,0
5,2,1,10.6,23.4,37.0,0,8774.03,0
5,3,2,10.6,24.4,38.0,0,7703.89,0
5,4,2,10.6,25.4,39.0,0,10797.62,0
5,5,1,10.6,26.4,40.0,0,9795.34,0
6,1,1,12.8,10.2,27.0,0,6913.54,1
6,2,0,12.8,11.2,28.0,0,7942.02,1
6,3,2,12.8,12.2,29.0,0,8502.25,1
6,4,2,12.8,13.2,30.0,0,8630.71,1
6,5,1,12.8,14.2,31.0,0,9849.34,1
7,1,1,11.2,15.8,32.0,1,6985.57,0
7,2,1,11.2,16.8,33.0,1,9439.39,0
7,3,1,11.2,17.8,34.0,1,7812.11,0
7,4,1,11.2,18.8,35.0,1,10692.83,0
7,5,2,11.2,19.8,36.0,1,11443.16,0
8,1,2,15.8,8.2,30.0,0,9739.71,1
8,2,2,15.8,9.2,31.0,0,6221.94,1
8,3,2,15.8,10.2,32.0,0,9076.24,1
8,4,0,15.8,11.2,33.0,0,10716.11,1
8,5,2,15.8,12.2,34.0,0,8785.89,1
9,1,1,18.1,12.9,36.0,1,10436.79,1
9,2,2,18.1,13.9,37.0,1,8222.47,1
9,3,1,18.1,14.9,38.0,1,12277.96,1
9,4,2,18.1,15.9,39.0,1,10658.8,1
9,5,1,18.1,16.9,40.0,1,8682.17,1
10,1,2,12.1,10.9,30.0,0,7835.34,1
10,2,1,12.1,11.9,31.0,0,6177.23,1
10,3,2,12.1,12.9,32.0,0,7027.41,1
10,4,0,12.1,13.9,33.0,0,12824.42,1
10,5,1,12.1,14.9,34.0,0,6536.01,1
11,1,0,10.3,32.7,46.0,0,7983.14,1
11,2,2,10.3,33.7,47.0,0,9411.34,1
11,3,2,10.3,34.7,48.0,0,15780.33,1
11,4,2,10.3,35.7,49.0,0,11325.82,1
11,5,1,10.3,36.7,50.0,0,11671.86,1
