id,year,employed,age,educ,kids,married,exper,husbinc
1,2000,1,38.0,14.4,0,1,20.6,11.94
1,2001,1,39.0,14.4,0,1,21.4,10.73
1,2002,1,40.0,14.4,0,1,22.2,13.21
1,2003,1,41.0,14.4,1,1,23.0,12.43
1,2004,0,42.0,14.4,0,1,23.8,13.21
1,2005,1,43.0,14.4,1,1,24.6,15.53
1,2006,0,44.0,14.4,3,1,25.4,12.36
1,2007,1,45.0,14.4,1,1,26.2,13.7
1,2008,1,46.0,14.4,1,0,27.0,0.0
1,2009,1,47.0,14.4,0,1,27.8,14.16
2,2000,0,41.0,11.6,0,0,21.4,0.0
2,2001,0,42.0,11.6,0,1,22.2,0.0
2,2002,0,43.0,11.6,1,0,23.0,0.0
2,2003,0,44.0,11.6,0,0,23.8,0.0
2,2004,1,45.0,11.6,0,0,24.6,0.0
2,2005,1,46.0,11.6,0,0,25.4,0.0
2,2006,1,47.0,11.6,1,0,26.2,0.0
2,2007,0,48.0,11.6,0,0,27.0,0.0
2,2008,0,49.0,11.6,1,1,27.8,0.85
2,2009,1,50.0,11.6,0,0,28.6,0.0
3,2000,1,28.0,10.7,1,1,14.3,9.67
3,2001,0,29.0,10.7,1,1,15.1,8.71
3,2002,1,30.0,10.7,0,0,15.9,0.0
3,2003,0,31.0,10.7,1,1,16.7,12.08
3,2004,0,32.0,10.7,2,1,17.5,11.03
3,2005,1,33.0,10.7,0,1,18.3,12.03
3,2006,1,34.0,10.7,1,1,19.1,10.17
3,2007,1,35.0,10.7,2,1,19.9,9.18
3,2008,1,36.0,10.7,1,1,20.7,11.61
3,2009,1,37.0,10.7,3,1,21.5,12.69
4,2000,0,25.0,10.8,2,1,10.2,14.5
4,2001,1,26.0,10.8,2,0,11.0,0.0
4,2002,1,27.0,10.8,0,1,11.8,11.64
4,2003,1,28.0,10.8,1,1,12.6,13.62
4,2004,1,29.0,10.8,2,0,13.4,0.0
4,2005,0,30.0,10.8,0,1,14.2,15.98
4,2006,1,31.0,10.8,0,1,15.0,13.7
4,2007,1,32.0,10.8,1,1,15.8,14.67
4,2008,1,33.0,10.8,3,1,16.6,14.14
4,2009,0,34.0,10.8,1,1,17.4,16.8
5,2000,1,22.0,11.2,0,1,6.8,19.73
5,2001,0,23.0,11.2,3,1,7.6,17.04
5,2002,0,24.0,11.2,0,1,8.4,20.31
5,2003,0,25.0,11.2,2,1,9.2,21.0
5,2004,1,26.0,11.2,0,1,10.0,20.06
5,2005,1,27.0,11.2,1,1,10.8,20.23
5,2006,0,28.0,11.2,0,1,11.6,21.91
5,2007,0,29.0,11.2,0,1,12.4,19.63
5,2008,0,30.0,11.2,2,1,13.2,20.63
5,2009,1,31.0,11.2,6,1,14.0,21.49
6,2000,1,41.0,13.8,1,1,24.2,6.72
6,2001,0,42.0,13.8,0,1,25.0,8.34
6,2002,1,43.0,13.8,0,0,25.8,0.0
6,2003,0,44.0,13.8,1,1,26.6,5.45
6,2004,1,45.0,13.8,0,1,27.4,9.19
6,2005,1,46.0,13.8,0,1,28.2,9.1
6,2006,0,47.0,13.8,1,1,29.0,4.96
6,2007,0,48.0,13.8,0,1,29.8,8.91
6,2008,0,49.0,13.8,1,1,30.6,7.97
6,2009,0,50.0,13.8,1,1,31.4,7.53
7,2000,1,39.0,10.9,0,0,20.1,0.0
7,2001,1,40.0,10.9,0,1,20.9,4.23
7,2002,1,41.0,10.9,0,1,21.7,10.17
7,2003,1,42.0,10.9,1,1,22.5,10.43
7,2004,1,43.0,10.9,0,1,23.3,8.18
7,2005,1,44.0,10.9,0,1,24.1,5.13
7,2006,1,45.0,10.9,1,1,24.9,8.55
7,2007,1,46.0,10.9,1,1,25.7,7.51
7,2008,1,47.0,10.9,2,1,26.5,6.47
7,2009,1,48.0,10.9,3,1,27.3,6.19
8,2000,1,25.0,13.9,1,0,8.1,0.0
8,2001,1,26.0,13.9,0,0,8.9,0.0
8,2002,1,27.0,13.9,1,0,9.7,0.0
8,2003,1,28.0,13.9,1,0,10.5,0.0
8,2004,1,29.0,13.9,0,0,11.3,0.0
8,2005,1,30.0,13.9,2,1,12.1,0.0
8,2006,1,31.0,13.9,1,0,12.9,0.0
8,2007,1,32.0,13.9,3,0,13.7,0.0
8,2008,1,33.0,13.9,1,0,14.5,0.0
8,2009,1,34.0,13.9,2,0,15.3,0.0
9,2000,0,30.0,9.1,1,1,14.9,33.47
9,2001,0,31.0,9.1,0,1,15.7,34.86
9,2002,0,32.0,9.1,0,1,16.5,36.76
9,2003,0,33.0,9.1,0,1,17.3,39.95
9,2004,0,34.0,9.1,1,1,18.1,37.07
9,2005,0,35.0,9.1,1,1,18.9,39.98
9,2006,0,36.0,9.1,2,1,19.7,39.57
9,2007,0,37.0,9.1,0,1,20.5,40.46
9,2008,0,38.0,9.1,1,0,21.3,0.0
9,2009,0,39.0,9.1,1,1,22.1,40.13
10,2000,0,26.0,13.8,1,1,4.2,2.14
10,2001,0,27.0,13.8,0,1,5.0,4.68
10,2002,0,28.0,13.8,0,0,5.8,0.0
10,2003,0,29.0,13.8,1,1,6.6,6.25
10,2004,1,30.0,13.8,2,1,7.4,8.73
10,2005,1,31.0,13.8,0,1,8.2,7.01
10,2006,0,32.0,13.8,1,0,9.0,0.0
10,2007,0,33.0,13.8,4,1,9.8,5.92
10,2008,1,34.0,13.8,0,1,10.6,6.18
10,2009,0,35.0,13.8,2,1,11.4,4.35
11,2000,0,32.0,11.0,2,1,13.0,39.79
11,2001,0,33.0,11.0,1,0,13.8,0.0
11,2002,0,34.0,11.0,0,1,14.6,40.46
11,2003,1,35.0,11.0,1,1,15.4,40.95
11,2004,1,36.0,11.0,2,1,16.2,41.2
11,2005,0,37.0,11.0,1,0,17.0,0.0
11,2006,0,38.0,11.0,0,1,17.8,41.83
11,2007,0,39.0,11.0,1,1,18.6,43.03
11,2008,0,40.0,11.0,1,1,19.4,42.07
11,2009,0,41.0,11.0,1,1,20.2,47.43
12,2000,0,34.0,16.8,1,1,13.2,23.9
12,2001,1,35.0,16.8,0,1,14.0,26.58
12,2002,0,36.0,16.8,0,1,14.8,23.21
12,2003,0,37.0,16.8,0,1,15.6,26.18
12,2004,0,38.0,16.8,1,1,16.4,28.8
12,2005,1,39.0,16.8,0,1,17.2,26.87
12,2006,0,40.0,16.8,2,1,18.0,25.22
12,2007,0,41.0,16.8,0,1,18.8,26.55
12,2008,0,42.0,16.8,2,1,19.6,27.1
12,2009,1,43.0,16.8,1,1,20.4,30.1
13,2000,0,39.0,14.7,1,0,16.3,0.0
13,2001,1,40.0,14.7,0,1,17.1,19.24
13,2002,1,41.0,14.7,1,1,17.9,19.62
13,2003,1,42.0,14.7,0,1,18.7,20.45
13,2004,0,43.0,14.7,2,1,19.5,20.3
13,2005,1,44.0,14.7,0,1,20.3,20.81
13,2006,1,45.0,14.7,0,1,21.1,21.12
13,2007,0,46.0,14.7,0,1,21.9,19.8
13,2008,0,47.0,14.7,2,1,22.7,21.53
13,2009,1,48.0,14.7,1,1,23.5,20.01
14,2000,0,22.0,14.1,1,0,2.9,0.0
14,2001,0,23.0,14.1,0,0,3.7,0.0
14,2002,0,24.0,14.1,1,0,4.5,0.0
14,2003,0,25.0,14.1,1,0,5.3,0.0
14,2004,0,26.0,14.1,1,0,6.1,0.0
14,2005,0,27.0,14.1,1,0,6.9,0.0
14,2006,0,28.0,14.1,1,0,7.7,0.0
14,2007,0,29.0,14.1,1,0,8.5,0.0
14,2008,0,30.0,14.1,3,0,9.3,0.0
14,2009,0,31.0,14.1,0,0,10.1,0.0
15,2000,0,41.0,12.8,0,1,20.2,41.9
15,2001,0,42.0,12.8,1,1,21.0,43.49
15,2002,0,43.0,12.8,0,1,21.8,42.73
15,2003,0,44.0,12.8,0,1,22.6,46.66
15,2004,0,45.0,12.8,0,1,23.4,45.79
15,2005,0,46.0,12.8,0,1,24.2,44.83
15,2006,0,47.0,12.8,0,1,25.0,47.24
15,2007,0,48.0,12.8,0,1,25.8,45.54
15,2008,0,49.0,12.8,1,1,26.6,47.97
15,2009,0,50.0,12.8,2,1,27.4,47.9
16,2000,0,35.0,8.5,2,1,22.5,21.81
16,2001,0,36.0,8.5,1,1,23.3,17.48
16,2002,0,37.0,8.5,1,1,24.1,17.96
16,2003,0,38.0,8.5,1,1,24.9,19.52
16,2004,1,39.0,8.5,0,1,25.7,18.61
16,2005,0,40.0,8.5,1,0,26.5,0.0
16,2006,1,41.0,8.5,2,1,27.3,21.18
16,2007,0,42.0,8.5,3,1,28.1,20.61
16,2008,0,43.0,8.5,2,1,28.9,23.22
16,2009,0,44.0,8.5,1,1,29.7,19.69
17,2000,0,34.0,12.0,0,1,15.0,0.0
17,2001,0,35.0,12.0,0,0,15.8,0.0
17,2002,0,36.0,12.0,0,0,16.6,0.0
17,2003,1,37.0,12.0,0,0,17.4,0.0
17,2004,0,38.0,12.0,0,0,18.2,0.0
17,2005,0,39.0,12.0,3,0,19.0,0.0
17,2006,0,40.0,12.0,1,0,19.8,0.0
17,2007,0,41.0,12.0,0,0,20.6,0.0
17,2008,1,42.0,12.0,1,0,21.4,0.0
17,2009,1,43.0,12.0,0,0,22.2,0.0
18,2000,0,31.0,11.2,0,1,14.8,19.03
18,2001,0,32.0,11.2,0,1,15.6,22.1
18,2002,0,33.0,11.2,0,1,16.4,22.92
18,2003,0,34.0,11.2,2,1,17.2,23.72
18,2004,1,35.0,11.2,0,1,18.0,24.28
18,2005,0,36.0,11.2,0,0,18.8,0.0
18,2006,0,37.0,11.2,0,1,19.6,22.0
18,2007,1,38.0,11.2,0,1,20.4,25.79
18,2008,1,39.0,11.2,2,1,21.2,25.68
18,2009,0,40.0,11.2,0,1,22.0,26.99
19,2000,0,31.0,11.0,0,1,13.0,20.02
19,2001,0,32.0,11.0,0,1,13.8,19.46
19,2002,0,33.0,11.0,0,1,14.6,20.69
19,2003,0,34.0,11.0,0,0,15.4,0.0
19,2004,0,35.0,11.0,0,1,16.2,20.1
19,2005,0,36.0,11.0,0,1,17.0,21.08
19,2006,0,37.0,11.0,0,1,17.8,21.02
19,2007,0,38.0,11.0,0,1,18.6,19.83
19,2008,0,39.0,11.0,1,1,19.4,23.59
19,2009,0,40.0,11.0,2,1,20.2,17.18
20,2000,1,22.0,11.7,0,0,7.3,0.0
20,2001,0,23.0,11.7,1,0,8.1,0.0
20,2002,0,24.0,11.7,0,0,8.9,0.0
20,2003,0,25.0,11.7,2,0,9.7,0.0
20,2004,0,26.0,11.7,2,0,10.5,0.0
20,2005,0,27.0,11.7,0,0,11.3,0.0
20,2006,0,28.0,11.7,0,0,12.1,0.0
20,2007,0,29.0,11.7,2,0,12.9,0.0
20,2008,0,30.0,11.7,1,0,13.7,0.0
20,2009,0,31.0,11.7,1,0,14.5,0.0
21,2000,1,41.0,12.9,0,0,25.1,0.0
21,2001,1,42.0,12.9,1,1,25.9,0.64
21,2002,1,43.0,12.9,1,0,26.7,0.0
21,2003,1,44.0,12.9,0,0,27.5,0.0
21,2004,1,45.0,12.9,1,0,28.3,0.0
21,2005,1,46.0,12.9,0,0,29.1,0.0
21,2006,1,47.0,12.9,1,0,29.9,0.0
21,2007,1,48.0,12.9,0,1,30.7,0.0
21,2008,1,49.0,12.9,1,0,31.5,0.0
21,2009,1,50.0,12.9,1,0,32.3,0.0
22,2000,0,30.0,8.0,1,0,14.0,0.0
22,2001,0,31.0,8.0,1,1,14.8,0.0
22,2002,1,32.0,8.0,0,0,15.6,0.0
22,2003,0,33.0,8.0,0,1,16.4,1.05
22,2004,1,34.0,8.0,0,0,17.2,0.0
22,2005,1,35.0,8.0,0,0,18.0,0.0
22,2006,0,36.0,8.0,2,0,18.8,0.0
22,2007,0,37.0,8.0,1,1,19.6,0.45
22,2008,0,38.0,8.0,2,0,20.4,0.0
22,2009,0,39.0,8.0,1,1,21.2,0.0
23,2000,0,39.0,11.9,0,1,21.1,22.78
23,2001,0,40.0,11.9,1,1,21.9,26.87
23,2002,0,41.0,11.9,0,1,22.7,27.46
23,2003,1,42.0,11.9,0,1,23.5,25.6
23,2004,0,43.0,11.9,3,1,24.3,28.49
23,2005,0,44.0,11.9,2,1,25.1,28.07
23,2006,1,45.0,11.9,0,1,25.9,28.69
23,2007,0,46.0,11.9,0,1,26.7,27.29
23,2008,0,47.0,11.9,0,1,27.5,30.46
23,2009,0,48.0,11.9,0,1,28.3,31.73
24,2000,1,40.0,14.5,0,1,19.5,0.82
24,2001,0,41.0,14.5,0,0,20.3,0.0
24,2002,0,42.0,14.5,0,0,21.1,0.0
24,2003,0,43.0,14.5,2,0,21.9,0.0
24,2004,0,44.0,14.5,0,0,22.7,0.0
24,2005,0,45.0,14.5,0,0,23.5,0.0
24,2006,0,46.0,14.5,0,0,24.3,0.0
