id,year,lfp,age,educ,kids,married,exper
1,1,0,36,10,0,1,20
1,2,1,37,10,0,0,21
1,3,0,38,10,0,0,22
1,4,0,39,10,2,1,23
1,5,1,40,10,2,1,24
2,1,1,34,15,0,0,13
2,2,1,35,15,0,1,14
2,3,0,36,15,0,1,15
2,4,1,37,15,1,1,16
2,5,1,38,15,0,0,17
3,1,1,33,12,0,1,15
3,2,1,34,12,0,1,16
3,3,1,35,12,1,0,17
3,4,1,36,12,2,0,18
3,5,1,37,12,1,0,19
4,1,0,26,17,0,0,4
4,2,1,27,17,0,1,5
4,3,1,28,17,1,0,6
4,4,0,29,17,1,0,7
4,5,0,30,17,0,1,8
5,1,1,29,14,0,1,11
5,2,0,30,14,0,0,12
5,3,1,31,14,1,0,13
5,4,1,32,14,0,0,14
5,5,1,33,14,2,1,15
6,1,0,34,12,0,1,15
6,2,1,35,12,0,1,16
6,3,1,36,12,1,1,17
6,4,0,37,12,1,1,18
6,5,0,38,12,2,1,19
7,1,1,44,11,0,1,26
7,2,1,45,11,0,0,27
7,3,1,46,11,0,1,28
7,4,1,47,11,1,1,29
7,5,0,48,11,1,1,30
8,1,1,31,16,0,1,9
8,2,1,32,16,0,1,10
8,3,0,33,16,1,0,11
8,4,1,34,16,0,0,12
8,5,0,35,16,1,0,13
9,1,0,35,11,0,1,17
9,2,0,36,11,1,1,18
9,3,0,37,11,2,0,19
9,4,0,38,11,1,1,20
9,5,0,39,11,1,0,21
10,1,1,37,16,0,1,13
10,2,0,38,16,1,1,14
10,3,1,39,16,1,0,15
10,4,1,40,16,0,0,16
10,5,1,41,16,2,1,17
11,1,1,25,10,0,1,7
11,2,0,26,10,0,1,8
11,3,0,27,10,1,0,9
11,4,0,28,10,3,1,10
11,5,1,29,10,0,1,11
12,1,0,30,15,0,0,8
12,2,1,31,15,1,0,9
12,3,0,32,15,2,1,10
12,4,1,33,15,0,1,11
12,5,1,34,15,3,0,12
13,1,0,42,11,0,0,23
13,2,0,43,11,0,1,24
13,3,0,44,11,1,1,25
13,4,1,45,11,0,0,26
13,5,1,46,11,0,0,27
14,1,0,37,11,0,1,20
14,2,0,38,11,0,0,21
14,3,0,39,11,1,1,22
14,4,0,40,11,2,1,23
14,5,0,41,11,4,1,24
15,1,1,41,12,0,0,24
15,2,0,42,12,0,1,25
15,3,0,43,12,1,1,26
15,4,1,44,12,1,0,27
15,5,0,45,12,1,1,28
16,1,0,41,12,0,0,24
16,2,0,42,12,0,0,25
16,3,0,43,12,0,0,26
16,4,1,44,12,0,1,27
16,5,0,45,12,1,0,28
17,1,0,36,12,0,1,20
17,2,1,37,12,0,1,21
17,3,1,38,12,0,1,22
17,4,0,39,12,0,0,23
17,5,0,40,12,1,1,24
18,1,1,39,10,0,1,22
18,2,0,40,10,1,0,23
18,3,1,41,10,1,1,24
18,4,1,42,10,4,0,25
18,5,0,43,10,1,0,26
19,1,1,26,14,0,1,7
19,2,0,27,14,0,1,8
19,3,0,28,14,1,1,9
19,4,0,29,14,1,0,10
19,5,1,30,14,2,0,11
20,1,0,42,14,0,0,22
20,2,1,43,14,0,1,23
20,3,1,44,14,1,1,24
20,4,0,45,14,0,0,25
20,5,0,46,14,2,1,26
21,1,0,25,15,0,1,6
21,2,1,26,15,1,1,7
21,3,1,27,15,0,1,8
21,4,0,28,15,1,0,9
21,5,1,29,15,1,0,10
22,1,1,35,15,0,0,13
22,2,1,36,15,0,0,14
22,3,1,37,15,0,0,15
22,4,1,38,15,2,1,16
22,5,1,39,15,1,0,17
23,1,1,28,13,0,1,7
23,2,0,29,13,0,0,8
23,3,0,30,13,2,0,9
23,4,1,31,13,1,1,10
23,5,1,32,13,1,1,11
24,1,1,30,16,0,0,10
24,2,1,31,16,0,1,11
24,3,0,32,16,0,0,12
24,4,0,33,16,2,1,13
24,5,1,34,16,1,1,14
25,1,0,44,17,0,0,22
25,2,1,45,17,0,0,23
25,3,1,46,17,1,1,24
25,4,0,47,17,2,1,25
25,5,0,48,17,0,0,26
26,1,1,26,17,0,1,3
26,2,1,27,17,1,0,4
26,3,1,28,17,1,1,5
26,4,1,29,17,2,1,6
26,5,0,30,17,1,1,7
27,1,1,44,16,0,0,22
27,2,0,45,16,0,1,23
27,3,1,46,16,1,1,24
27,4,0,47,16,1,0,25
27,5,0,48,16,1,1,26
28,1,1,38,10,0,0,20
28,2,1,39,10,1,1,21
28,3,0,40,10,0,1,22
28,4,1,41,10,1,1,23
28,5,1,42,10,0,0,24
29,1,1,32,12,0,1,15
29,2,0,33,12,0,0,16
29,3,0,34,12,0,1,17
29,4,1,35,12,1,0,18
29,5,0,36,12,2,0,19
30,1,1,38,16,0,1,17
30,2,0,39,16,1,0,18
30,3,1,40,16,0,0,19
30,4,1,41,16,2,1,20
30,5,1,42,16,3,1,21
31,1,1,36,16,0,0,12
31,2,1,37,16,0,1,13
31,3,0,38,16,2,1,14
31,4,0,39,16,0,1,15
31,5,0,40,16,1,1,16
32,1,1,44,13,0,0,24
32,2,1,45,13,1,0,25
32,3,1,46,13,0,1,26
32,4,1,47,13,2,1,27
32,5,1,48,13,2,1,28
33,1,1,34,15,0,1,14
33,2,1,35,15,0,0,15
33,3,0,36,15,1,1,16
33,4,1,37,15,0,1,17
33,5,1,38,15,1,1,18
34,1,0,43,15,0,0,24
34,2,1,44,15,0,0,25
34,3,0,45,15,0,1,26
34,4,1,46,15,0,1,27
34,5,0,47,15,3,1,28
35,1,0,44,17,0,0,21
