id,year,mode,choice,cost,time,reliability,comfort,income,distance
1,1,car,0,41.4,94.0,3.1,4.6,66211.77,30.1
1,1,bus,0,4.28,90.3,2.1,1.4,66211.77,30.1
1,1,metro,0,6.19,80.6,2.4,3.0,66211.77,30.1
1,1,bike,1,0.71,102.8,4.1,1.4,66211.77,30.1
1,2,car,1,38.81,94.1,3.4,4.4,66211.77,30.1
1,2,bus,0,4.46,140.3,2.4,1.6,66211.77,30.1
1,2,metro,0,5.73,50.8,4.0,4.0,66211.77,30.1
1,2,bike,0,0.72,128.4,3.0,4.2,66211.77,30.1
1,3,car,1,50.3,58.6,2.7,4.6,66211.77,30.1
1,3,bus,0,4.77,107.1,2.9,3.0,66211.77,30.1
1,3,metro,0,6.39,53.3,4.3,3.2,66211.77,30.1
1,3,bike,0,0.76,110.3,4.0,1.5,66211.77,30.1
1,4,car,0,28.19,75.5,2.9,4.7,66211.77,30.1
1,4,bus,0,3.8,97.3,2.5,3.1,66211.77,30.1
1,4,metro,1,6.71,68.4,4.0,3.3,66211.77,30.1
1,4,bike,0,2.2,146.8,1.9,1.6,66211.77,30.1
1,5,car,1,29.47,58.8,4.4,4.0,66211.77,30.1
1,5,bus,0,4.86,138.6,2.6,2.3,66211.77,30.1
1,5,metro,0,6.47,77.0,2.4,3.6,66211.77,30.1
1,5,bike,0,2.05,103.0,3.5,1.9,66211.77,30.1
2,1,car,1,15.78,28.7,4.3,4.9,48603.68,14.1
2,1,bus,0,4.45,50.8,3.4,1.5,48603.68,14.1
2,1,metro,0,5.29,28.6,4.5,3.7,48603.68,14.1
2,1,bike,0,0.71,49.2,2.4,3.8,48603.68,14.1
2,2,car,1,20.12,38.8,3.3,4.9,48603.68,14.1
2,2,bus,0,4.84,45.7,3.5,1.4,48603.68,14.1
2,2,metro,0,5.51,46.8,3.3,3.4,48603.68,14.1
2,2,bike,0,0.5,43.9,3.4,2.2,48603.68,14.1
2,3,car,0,26.65,30.3,2.7,4.8,48603.68,14.1
2,3,bus,0,4.71,49.8,3.3,1.9,48603.68,14.1
2,3,metro,1,6.12,27.3,3.4,3.9,48603.68,14.1
2,3,bike,0,0.5,58.3,3.9,2.3,48603.68,14.1
2,4,car,1,20.69,40.0,3.8,4.2,48603.68,14.1
2,4,bus,0,4.28,62.4,2.6,1.9,48603.68,14.1
2,4,metro,0,6.11,27.5,4.4,2.4,48603.68,14.1
2,4,bike,0,0.71,39.9,3.6,1.6,48603.68,14.1
2,5,car,0,23.66,32.3,3.9,4.5,48603.68,14.1
2,5,bus,0,4.52,66.5,3.2,3.3,48603.68,14.1
2,5,metro,0,5.1,34.9,4.3,3.9,48603.68,14.1
2,5,bike,1,1.12,54.8,5.0,2.5,48603.68,14.1
3,1,car,0,29.03,35.1,5.0,4.2,36730.65,20.2
3,1,bus,0,4.74,71.2,4.3,2.8,36730.65,20.2
