farm_id,log_milk,log_cows,log_feed,log_land,log_labor,organic,breed,cooperative
1,3.4041,4.463,8.1643,1.4887,5.9847,0,jersey,0
2,2.5949,2.7754,7.3595,1.4242,6.9781,0,mixed,0
3,3.2198,2.6462,7.4291,3.2145,7.2435,1,mixed,0
4,3.505,3.9597,7.7639,1.5733,6.411,0,jersey,0
5,4.004,4.4886,7.2656,2.1567,7.0227,0,jersey,1
6,4.1777,3.5403,8.1851,2.4711,5.72,1,mixed,0
7,4.0978,2.2136,8.2384,2.4714,8.1279,0,holstein,1
8,3.1738,2.1397,7.9114,4.587,6.4547,0,mixed,0
9,4.1953,2.0729,7.5695,3.7943,8.6251,0,holstein,1
10,3.7402,1.7324,8.7965,3.0194,6.974,0,holstein,0
11,3.7544,3.6095,7.7642,2.4468,7.8224,0,holstein,1
12,4.0043,4.625,7.3933,2.8801,6.9574,1,mixed,1
13,4.2013,3.4866,8.1047,3.3933,6.9754,0,holstein,0
14,3.0938,1.2396,9.3966,4.101,6.5328,1,holstein,1
15,3.3926,3.3092,6.6596,1.9109,7.0953,0,holstein,0
16,4.2129,3.3372,8.7699,3.0438,7.2544,0,holstein,0
17,2.8315,5.596,6.1068,0.5621,6.3726,0,holstein,1
18,3.4611,2.0429,8.2173,3.2541,6.9,0,jersey,1
19,4.3058,3.1093,9.2751,4.3146,6.5119,1,holstein,0
20,4.6257,5.2059,8.4887,2.6639,8.8397,0,mixed,0
21,4.2316,3.95,8.1706,5.1798,6.9282,0,mixed,1
22,4.2957,4.0633,7.4396,1.9425,8.2362,0,holstein,1
23,4.4203,3.6146,7.731,3.6609,6.8435,1,holstein,1
24,4.2955,3.8299,7.4479,3.357,7.2074,1,jersey,0
25,4.1162,4.2776,7.214,2.8796,5.9429,0,holstein,1
26,3.9223,2.6905,7.7101,2.8628,6.6423,0,holstein,0
27,4.4781,4.3781,8.1984,3.1285,7.1684,0,mixed,1
28,3.4536,2.127,7.2328,4.0176,8.2688,0,mixed,0
29,3.7591,3.8284,7.1937,4.6533,7.1776,0,mixed,1
30,3.9627,3.6787,6.6398,2.9973,8.107,0,holstein,0
31,3.7426,2.8837,8.3907,3.9784,7.5126,0,jersey,1
32,4.1877,3.4773,8.2453,2.5579,8.3019,1,jersey,1
33,3.9825,2.8775,8.2317,3.9191,6.9528,0,holstein,0
34,4.2073,2.4283,8.9652,2.0856,8.9122,0,jersey,1
35,4.0792,3.1464,8.0879,4.3088,6.6117,0,holstein,0
36,4.0262,2.396,8.392,5.6528,6.3868,0,holstein,1
37,3.7445,3.8228,8.3038,2.8535,6.032,0,jersey,0
38,3.8051,2.3499,7.9085,0.3689,8.8648,0,holstein,0
39,4.224,4.212,7.4692,2.3423,7.6556,0,holstein,0
40,4.0635,2.3185,10.2142,4.4783,6.7327,0,mixed,0
41,3.7043,2.9337,7.548,3.6637,7.9992,0,mixed,0
42,3.7643,2.8754,7.0341,3.6987,7.5502,1,jersey,1
43,5.0142,4.8251,8.434,4.2104,8.5729,0,mixed,1
44,3.0982,3.8303,8.2519,3.5813,5.7617,0,mixed,1
45,3.427,3.2883,6.2952,4.8613,6.7877,1,holstein,0
46,5.0301,3.9987,8.8227,4.5033,6.63,1,holstein,0
47,3.0677,1.3928,7.9058,4.826,5.4211,0,holstein,0
48,3.8783,3.4569,6.8891,3.4306,7.8483,0,holstein,1
49,5.3281,5.4975,9.1888,4.0863,6.7837,0,mixed,1
50,3.7604,3.6323,8.6257,2.6314,7.5917,0,holstein,0
51,3.8741,3.5679,6.7355,2.2782,8.8878,0,holstein,1
52,4.6099,4.0481,9.7772,5.0481,6.7174,0,holstein,0
53,4.1615,4.3956,8.6588,3.2594,6.6631,0,holstein,0
54,2.9094,1.5025,7.9898,3.9659,7.0949,0,mixed,0
55,3.8371,1.8177,9.5902,3.1485,7.7898,0,holstein,0
56,3.8981,3.7103,8.1593,2.2962,6.5466,0,holstein,1
57,3.3518,2.7851,7.9719,3.0132,6.4952,0,holstein,1
58,4.3982,4.812,7.3397,4.7232,7.8458,0,holstein,0
59,4.18,3.1848,8.5819,3.6663,7.3029,0,jersey,0
60,2.8908,1.5655,8.4766,0.9462,5.3642,0,holstein,1
61,3.1492,2.232,8.0147,2.7417,6.0197,0,holstein,1
62,3.1206,0.7503,7.21,5.1388,8.201,0,holstein,1
63,3.7887,3.2659,8.1299,2.7434,7.3215,0,mixed,0
64,3.055,3.3116,7.9302,0.8394,6.3902,0,jersey,1
65,3.6856,3.0755,6.6665,5.2717,6.8637,0,jersey,0
66,4.3327,4.5789,6.5282,3.8189,7.0106,0,jersey,1
67,4.7706,4.6985,8.5652,2.916,7.5886,0,mixed,0
68,2.6126,3.3296,5.3981,2.5543,5.9134,0,holstein,1
69,2.979,1.3653,8.2054,4.2988,6.3272,0,holstein,0
70,3.8168,4.1173,7.5219,2.3496,7.2184,0,jersey,0
71,5.0918,4.0554,9.3082,4.3779,6.9201,0,holstein,1
72,4.1145,3.8094,7.5065,3.6506,7.4575,0,mixed,1
73,4.5036,4.4815,8.3595,3.6936,6.0164,1,holstein,0
74,3.3542,2.3352,7.6031,3.1746,7.2857,0,mixed,1
75,4.9218,5.5088,8.1137,2.79,7.8733,0,mixed,1
76,3.6637,2.5406,8.7368,4.2548,7.3895,0,jersey,0
77,3.3309,4.2492,7.5374,1.9616,7.1113,0,mixed,0
78,3.145,1.8127,8.9966,1.0537,6.9233,0,jersey,0
79,3.6107,2.5697,7.0063,3.7373,6.3321,0,mixed,1
80,4.6301,5.0164,8.2946,3.7575,6.9424,0,holstein,0
81,4.4265,3.2391,8.9226,3.5763,8.0078,0,holstein,0
82,4.5579,4.3399,8.66,3.4893,6.9048,0,jersey,1
83,4.4219,3.737,9.6164,3.0154,6.2882,1,holstein,1
84,3.9139,3.395,7.2366,3.945,6.6062,0,holstein,1
85,3.9284,4.8639,6.6209,2.9453,7.1607,0,mixed,1
86,3.3654,3.2633,7.0057,2.4155,6.7012,0,jersey,1
87,3.8304,1.7193,8.6604,2.6257,7.3882,0,holstein,1
88,4.5446,2.6968,8.4979,5.4248,7.4183,0,holstein,1
89,3.8897,4.0512,8.1023,0.918,7.7112,0,holstein,0
90,4.1812,3.8955,6.877,3.5997,8.1388,0,holstein,0
91,2.9515,1.9329,8.7669,0.9851,7.7967,0,mixed,0
92,3.1423,2.7757,6.7753,2.8701,6.2526,0,holstein,1
93,3.8711,2.9183,9.1589,2.4796,6.2772,0,holstein,0
94,3.8205,3.1345,10.8574,0.498,6.9394,0,jersey,0
95,3.5779,2.1241,8.3665,3.4668,6.6391,0,holstein,1
96,3.4904,2.8716,8.5831,2.544,6.0893,0,holstein,0
97,2.809,2.7714,7.5071,0.481,6.6466,0,jersey,0
98,3.609,4.2715,6.1898,4.0075,6.6204,0,jersey,1
99,4.0978,4.3091,7.3973,4.722,6.4625,0,mixed,1
100,3.7315,3.3542,6.6071,5.1881,6.7474,1,jersey,0
101,3.8375,3.108,6.253,3.8307,7.9428,1,holstein,0
