generator_id,year,log_output,log_labor,log_capital,log_fuel,fuel_type
1,2008,6.1879,3.7914,5.8467,4.533,hydro
2,2008,12.7879,3.6397,8.784,15.833,gas
3,2008,8.1818,4.8516,8.7236,8.1308,nuclear
4,2008,6.8108,4.861,5.4577,4.6251,hydro
5,2008,8.982,4.6611,5.1259,10.9102,coal
6,2008,9.1387,4.8478,6.1904,10.0887,nuclear
7,2008,8.9918,4.4479,9.1826,6.3858,hydro
8,2008,7.3962,5.5451,6.5477,4.2554,hydro
9,2008,8.3416,3.6226,5.311,10.5421,coal
10,2008,8.6968,4.3437,5.4996,10.2072,gas
11,2008,9.3537,4.2284,6.128,10.4825,gas
12,2008,8.2658,4.8615,8.7561,7.0644,nuclear
13,2008,7.4274,4.5544,4.593,7.3,hydro
14,2008,7.5758,5.4312,6.6407,6.439,hydro
15,2008,9.3039,4.5302,4.9155,11.9485,gas
16,2008,10.0183,4.4352,7.903,11.6187,coal
17,2008,7.8844,3.1759,5.7889,7.5674,gas
18,2008,7.364,4.9563,4.8621,7.901,coal
19,2008,7.7274,4.0017,6.5323,6.6088,hydro
20,2008,6.6573,4.534,6.5814,3.9368,hydro
21,2008,8.3552,3.2344,8.2134,6.8466,hydro
22,2008,8.8094,5.345,6.333,10.4557,gas
23,2008,9.2982,4.4022,5.805,10.7938,nuclear
24,2008,8.8255,4.4844,8.3629,8.6254,nuclear
25,2008,7.6464,5.1809,6.0262,6.8568,hydro
26,2008,7.5198,6.4008,5.7567,6.0445,coal
27,2008,8.1325,4.4633,7.7593,6.6315,gas
28,2008,8.969,3.8618,6.6546,11.0445,coal
29,2008,7.5921,2.6013,5.9972,8.989,coal
30,2008,8.3159,4.5375,7.0183,6.5301,hydro
31,2008,8.2736,4.6047,7.143,6.5212,hydro
32,2008,7.2025,5.1436,2.977,7.3803,nuclear
33,2008,8.8571,4.0123,7.2157,9.5035,gas
34,2008,9.9947,5.4826,5.7637,12.6011,gas
35,2008,7.0612,4.0263,3.7823,8.2262,gas
36,2008,8.4106,5.8476,3.8783,10.7469,coal
37,2008,7.8393,4.3755,3.2209,11.8304,coal
38,2008,8.1166,3.7044,5.1189,10.936,gas
39,2008,8.9136,4.8218,8.0348,9.3575,coal
40,2008,7.4004,4.3151,7.8056,5.8689,hydro
41,2008,9.4509,6.1523,6.0886,10.308,gas
42,2008,7.0118,4.7247,5.8916,5.1666,hydro
43,2008,7.2262,3.5927,5.2896,7.9372,hydro
44,2008,9.1985,4.7927,5.4136,9.4507,gas
45,2008,7.7786,4.2392,7.6134,6.0063,hydro
46,2008,8.5401,5.5815,6.0288,5.9432,hydro
47,2008,8.7473,4.8497,4.7317,11.3384,gas
48,2008,8.7518,4.2847,6.7038,9.4009,coal
49,2008,6.7328,4.3826,3.2655,7.3639,hydro
50,2008,6.6762,3.4106,1.7409,9.0632,coal
51,2008,8.4008,4.0011,6.6123,6.8098,coal
52,2008,8.9694,4.4139,7.1575,10.6663,coal
53,2008,8.4181,5.1304,8.2971,5.1123,hydro
54,2008,8.0269,5.5876,5.2771,6.1315,hydro
55,2008,6.9395,4.2295,4.6199,6.4523,hydro
56,2008,6.9813,4.1413,7.8423,5.2134,hydro
57,2008,8.2662,4.6544,5.6583,9.4349,gas
58,2008,9.6546,3.6539,6.9949,11.273,gas
59,2008,9.4697,4.6083,8.8379,9.654,coal
60,2008,7.1851,3.6644,4.117,8.2094,coal
1,2009,7.0721,4.5338,4.8398,6.7394,hydro
2,2009,8.4334,4.9559,6.3105,7.1266,gas
3,2009,7.007,3.8586,6.4154,7.1948,nuclear
4,2009,7.369,4.3111,6.5671,4.8437,hydro
5,2009,8.8738,5.0469,8.9549,7.6139,coal
6,2009,8.538,5.8553,4.2771,10.5866,nuclear
7,2009,7.861,3.5009,5.4075,6.8126,hydro
8,2009,7.353,5.0045,5.2873,5.3724,hydro
9,2009,7.2725,5.1213,6.6905,6.6435,coal
10,2009,8.3065,4.6148,3.742,10.7947,gas
11,2009,8.6743,4.989,6.2257,8.6626,gas
12,2009,8.686,4.6247,6.5685,8.8927,nuclear
