farm_id,log_output,log_land,log_labor,log_capital,size_category,irrigation
1,4.2529,3.298,2.6252,3.0026,medium,1
2,4.1242,2.917,2.6732,3.1639,medium,0
3,4.7287,3.3886,2.16,3.9484,medium,1
4,4.581,3.9138,2.6161,3.8662,large,0
5,4.3766,2.8595,2.6465,3.4875,medium,0
6,4.2806,2.8595,2.1428,3.5704,medium,0
7,4.9426,3.9475,3.4329,4.2666,large,0
8,4.5091,3.4605,2.7369,3.1451,medium,0
9,4.2173,2.7183,1.9043,3.8283,medium,0
10,4.3249,3.3255,2.8283,3.3787,medium,0
11,4.1052,2.7219,2.0127,3.3694,medium,0
12,4.5254,2.7206,2.8935,4.1593,medium,0
13,4.563,3.1452,3.0793,3.9952,medium,0
14,3.9044,1.852,2.0897,3.9881,small,0
15,4.2152,1.965,2.9817,4.2833,small,0
16,4.0966,2.6626,2.7064,3.5126,medium,1
17,4.1573,2.3923,2.911,3.9092,small,0
18,4.4264,3.1885,3.4484,3.3138,medium,1
19,3.942,2.4552,2.3773,3.6945,small,1
20,3.6308,2.1526,2.1231,3.4219,small,0
21,4.658,3.8794,2.0552,3.5582,large,1
22,4.4413,2.8645,2.0921,3.8571,medium,1
23,4.2656,3.0405,2.4614,3.0091,medium,0
24,4.2605,2.1452,2.6706,4.7554,small,0
25,4.1118,2.6734,2.6383,2.8964,medium,1
26,4.113,3.0666,2.9136,2.7715,medium,1
27,4.1455,2.3094,2.5065,4.1949,small,0
28,4.5814,3.2254,3.2268,3.975,medium,0
29,4.2348,2.6396,2.3677,3.8745,medium,0
30,4.4042,2.825,3.8601,3.877,medium,0
31,4.3153,2.639,2.8128,3.4927,medium,1
32,4.5239,4.1114,2.0714,2.9616,large,0
33,4.1303,2.9919,1.9646,3.5455,medium,0
34,3.891,2.3654,2.7412,3.0937,small,1
35,4.5383,3.4935,2.3883,4.0851,medium,0
36,3.9621,2.2675,2.857,3.4118,small,0
37,4.0477,3.1253,2.7366,3.0047,medium,1
38,3.9712,1.8242,2.4636,3.3072,small,1
39,3.9996,2.2031,2.0766,3.7478,small,0
40,4.1028,3.1181,1.7426,3.1618,medium,0
41,3.9212,3.4431,2.2767,3.0067,medium,0
42,4.4147,3.1028,2.9282,3.6462,medium,0
43,4.5047,2.9306,2.607,3.647,medium,0
44,3.9447,2.8193,1.8771,3.1958,medium,0
45,3.9638,2.1129,2.5866,3.2174,small,0
46,4.0605,2.5681,2.6927,3.6392,medium,0
47,3.8382,2.7236,2.0581,2.6311,medium,0
48,4.0952,3.6343,2.5769,2.6555,large,0
49,4.1132,3.2062,2.5291,3.0689,medium,0
50,3.7259,1.9422,1.9285,3.3719,small,0
51,4.6655,3.1945,2.6789,3.6865,medium,0
52,4.6846,2.769,2.7804,4.3852,medium,1
53,4.5816,2.5938,3.0415,4.0146,medium,0
54,4.3608,3.367,3.0269,3.404,medium,1
55,4.2772,3.6186,1.8112,3.4886,large,1
56,4.2412,3.5588,2.0311,2.8985,large,0
57,4.2279,2.4965,2.7575,3.4889,small,0
58,4.3326,2.8145,2.7569,3.3268,medium,0
59,4.3419,3.1988,2.7575,3.6936,medium,0
60,4.965,3.5853,4.4264,3.0037,large,1
61,4.3374,2.7125,2.7854,3.8116,medium,0
62,4.5871,2.8886,3.0678,4.4196,medium,0
63,3.9869,2.3362,2.977,3.4347,small,0
64,3.8485,2.2823,2.8257,3.741,small,0
65,4.6835,3.4875,2.3424,3.9141,medium,1
66,4.6493,3.8137,2.8795,3.2593,large,0
67,4.134,2.9568,2.1136,3.6345,medium,0
68,4.2141,3.6021,2.3816,3.5076,large,1
69,4.3811,3.217,2.2573,3.5586,medium,1
70,4.2542,2.6129,2.5409,3.0362,medium,0
71,4.6754,3.2168,3.6573,3.5147,medium,0
72,4.1902,3.9228,1.5664,3.7988,large,0
73,4.4893,2.9785,2.8431,4.3707,medium,0
74,4.4993,3.9388,1.6936,4.0756,large,0
75,3.7441,1.4282,2.264,4.7919,small,0
76,4.4411,3.4931,3.0445,3.0396,medium,0
77,4.5281,3.0522,2.5321,4.0234,medium,0
78,4.3597,2.8206,1.9611,3.61,medium,1
79,4.7548,3.0551,2.1423,4.8139,medium,0
80,3.8797,1.8075,2.8398,3.015,small,0
81,4.0303,2.8682,2.1348,2.9962,medium,0
82,4.2439,3.2143,2.6082,3.1404,medium,1
83,4.5837,3.8867,2.5228,2.2257,large,0
84,4.026,2.689,2.1742,3.1845,medium,0
85,4.354,2.5149,3.572,3.0445,medium,1
86,4.3518,2.6989,2.817,3.5902,medium,1
87,4.2808,3.5492,1.4874,3.7051,large,1
88,4.6366,3.1973,2.5932,4.6257,medium,0
89,4.2337,2.6821,2.1691,4.0703,medium,0
90,4.4361,3.308,2.9262,3.1539,medium,1
91,3.9531,3.0582,2.1037,2.961,medium,1
92,4.5811,3.5812,2.4426,3.7952,large,0
93,3.7607,2.5788,2.7525,2.7079,medium,0
94,4.4796,2.8034,2.9329,4.5989,medium,0
95,4.3445,2.7647,1.8999,4.2077,medium,1
96,3.9178,2.1219,2.3327,3.2185,small,0
97,3.7454,3.1777,2.2625,2.4721,medium,0
98,4.5389,3.1566,2.1733,4.3123,medium,0
99,4.6327,3.0031,3.3827,3.4313,medium,0
100,4.0896,2.8592,2.7025,4.2427,medium,0
101,3.1358,2.1508,1.8696,2.5433,small,0
102,4.251,2.7476,2.9589,3.1404,medium,1
103,4.3099,2.7944,3.5611,3.5031,medium,0
104,3.965,2.5186,3.0162,3.5282,medium,0
105,3.6478,2.9032,1.7403,3.23,medium,0
106,4.6397,3.2424,2.2579,3.8737,medium,0
107,4.8305,4.1317,3.1335,2.8594,large,0
108,4.4047,3.1047,2.1462,3.4146,medium,0
109,4.3585,3.1545,2.7219,3.5722,medium,0
110,4.2457,2.9553,2.8873,3.8087,medium,0
111,3.683,1.8487,2.0365,3.927,small,0
112,4.1593,2.9841,2.4702,2.8252,medium,1
113,3.5553,3.0361,0.8794,2.5795,medium,0
114,5.1915,4.4779,1.9878,4.2666,large,1
115,4.0491,2.8846,2.3737,3.6994,medium,0
116,4.012,3.1809,1.8761,3.0509,medium,1
117,4.8381,2.9792,3.3162,4.4307,medium,1
118,3.9514,2.2988,1.7849,3.5694,small,0
119,4.7543,3.6857,2.28,4.2076,large,0
120,4.6016,3.4512,2.5654,3.5405,medium,0
121,4.7841,3.4746,3.2206,4.7364,medium,0
122,4.3783,2.4544,1.7821,4.5532,small,1
123,4.9335,3.8417,3.0816,3.3506,large,1
124,4.1689,2.1589,2.5051,4.0829,small,1
125,4.4964,3.3521,2.0092,3.8872,medium,0
126,4.6927,4.3143,2.7311,4.3212,large,1
127,4.0646,2.4057,2.5995,2.921,small,1
128,4.1698,2.6602,2.1999,3.9116,medium,0
129,4.4233,3.0598,2.5349,4.1351,medium,0
130,3.9953,2.6979,2.3073,2.4448,medium,1
131,3.6048,2.0696,2.5568,2.79,small,0
132,3.8041,3.0411,2.8311,2.2765,medium,1
133,3.8273,2.3626,3.293,3.3384,small,0
134,4.5131,3.2842,1.8811,3.9305,medium,1
135,4.3879,2.4483,3.5665,4.4014,small,0
136,4.642,3.93,1.524,3.5445,large,0
137,4.112,2.53,2.4241,4.4772,medium,0
138,4.2925,2.8068,2.7942,2.6719,medium,1
139,4.3676,3.4881,2.6405,2.478,medium,1
140,3.7073,2.2615,2.1887,3.4667,small,0
141,4.1288,3.1365,2.3959,3.7304,medium,0
142,4.4258,3.7843,2.2535,3.4804,large,1
143,3.4286,2.0355,2.2053,2.2595,small,0
144,4.6521,3.1108,2.9248,3.4465,medium,1
145,4.2094,3.1559,2.6785,2.7173,medium,0
146,4.5544,3.4691,2.1535,3.9018,medium,0
147,4.0944,2.2578,2.9498,3.72,small,0
148,3.5587,2.2077,2.6536,2.9361,small,0
149,4.5945,3.3132,2.9064,3.1917,medium,1
150,3.9854,3.1782,2.8148,2.8645,medium,0
