hospital_id,year,log_output,log_labor,log_capital,log_supplies,teaching,accreditation,occupancy_rate,avg_stay
1,2010,6.6813,5.5032,2.977,5.0419,1,0,0.6225,4.44
2,2010,5.9834,4.5228,4.1386,6.2041,0,0,0.6184,9.17
3,2010,6.677,5.753,4.0904,5.8234,1,1,0.6316,5.01
4,2010,7.3835,5.8,5.3535,6.0412,0,0,0.718,5.96
5,2010,7.5296,5.3642,6.3403,7.0506,0,0,0.75,4.06
6,2010,7.1175,6.0544,3.0576,6.7982,1,0,0.6165,7.88
7,2010,6.8883,5.4763,4.1878,5.8701,1,1,0.6167,4.56
8,2010,6.9318,5.7083,4.8167,5.7984,1,0,0.9266,1.5
9,2010,6.3336,5.1649,4.3906,5.1998,0,0,0.9573,2.43
10,2010,7.5146,5.9258,6.1254,6.3725,0,0,0.8199,8.96
11,2010,6.6197,4.5882,5.2272,5.8935,0,0,0.758,4.11
12,2010,6.6586,5.4339,3.4358,5.6262,1,0,0.9685,6.96
13,2010,6.4067,4.5235,3.8935,6.2156,0,0,0.6661,3.47
14,2010,7.2502,5.7787,5.9153,4.5099,1,0,0.475,6.11
15,2010,7.1554,6.213,4.0129,6.6009,0,0,0.5602,8.45
16,2010,7.1105,5.3456,4.3354,6.2365,0,0,0.7781,6.04
17,2010,6.7632,4.7442,4.6085,6.5053,0,0,0.735,8.46
18,2010,7.4483,7.2599,4.2387,4.5081,0,0,0.8528,7.18
19,2010,5.9083,4.5125,3.0692,5.4562,1,0,0.7629,8.12
20,2010,6.0564,3.7782,4.6437,5.7803,0,1,0.8129,6.05
21,2010,7.0697,5.6962,4.9867,5.5179,1,1,0.8342,5.78
22,2010,6.3956,5.2778,4.3871,6.5724,0,0,0.8485,4.71
23,2010,7.428,6.1224,4.2608,6.1585,1,0,0.5721,1.5
24,2010,6.4005,5.6782,3.8247,5.6753,1,1,0.9093,5.36
25,2010,7.0903,6.8942,3.2692,6.2903,1,1,0.6434,4.78
26,2010,6.5517,6.2098,3.9308,5.5975,0,1,0.807,5.24
27,2010,7.0381,5.878,5.755,5.8375,0,0,0.8013,5.12
28,2010,7.4414,5.4294,4.8396,7.3957,0,0,0.7102,7.73
29,2010,7.1188,5.8893,4.5689,6.3272,0,0,0.7692,7.65
30,2010,7.0588,5.1477,4.2471,7.3689,0,1,0.5593,1.5
31,2010,7.186,5.5503,4.9838,5.6768,0,0,0.7917,4.69
32,2010,7.5895,6.5371,4.5003,6.3108,1,0,0.7508,10.7
33,2010,7.6045,6.1645,5.5758,6.3721,0,0,0.6565,6.36
34,2010,6.3593,5.3694,2.8117,5.0741,0,0,0.713,7.37
35,2010,7.0762,5.0508,6.6676,6.2919,0,0,0.6637,2.49
36,2010,7.1325,5.5489,4.3995,6.5267,0,1,0.8058,2.38
37,2010,7.3664,6.9201,3.7146,5.4809,0,1,0.8302,4.12
38,2010,7.7377,6.5755,4.5519,6.1033,0,1,0.727,8.31
39,2010,6.3603,4.1758,5.02,5.5602,0,0,0.6371,4.6
40,2010,6.974,5.7496,4.3773,5.8677,0,0,0.6556,2.13
41,2010,7.3001,5.7765,4.9772,6.1799,0,0,0.629,6.91
42,2010,6.2882,4.504,3.6998,5.9502,1,0,0.7132,3.99
43,2010,6.5048,5.3592,3.9026,6.3725,0,0,0.6581,7.3
44,2010,7.1034,5.6789,3.2109,6.959,0,0,0.7418,6.02
45,2010,7.0502,5.3776,3.6195,6.5986,1,0,0.7936,1.5
46,2010,6.395,4.5293,4.7296,7.2813,1,0,0.6495,5.97
