school_id,year,log_output,log_teachers,log_budget,log_facilities,teacher_experience,class_size,ses_index,school_type
1,2012,6.7993,3.9044,9.063,2.9869,12.0,23.7,0.7506,private
2,2012,5.5855,2.6634,8.3664,3.9882,7.8,15.2,0.2683,public
3,2012,6.667,3.0654,9.035,3.8767,10.4,33.0,0.6307,charter
4,2012,5.6343,4.6846,8.5913,3.6124,12.9,16.3,0.7136,private
5,2012,6.3715,3.0915,8.9823,2.9157,4.7,20.3,0.4473,public
6,2012,5.5807,2.653,8.4623,5.0867,6.7,20.8,0.4185,charter
7,2012,6.6841,3.6629,8.0314,4.8363,6.5,39.7,0.95,private
8,2012,6.3761,2.6658,8.3495,3.8748,10.8,31.2,0.7652,private
9,2012,6.713,3.6683,8.9051,3.9981,13.2,20.6,0.4707,public
10,2012,5.5349,3.7163,9.3373,3.6083,8.4,27.5,0.3854,public
11,2012,5.7998,3.8105,7.8022,3.47,18.0,27.1,0.472,public
12,2012,6.4955,3.5138,8.4586,4.6839,13.3,25.4,0.5062,charter
13,2012,5.8039,3.7163,8.3512,4.8767,10.8,26.4,0.7444,private
14,2012,7.0145,4.2907,8.0788,4.2985,16.3,22.4,0.6908,private
15,2012,6.0815,3.2953,8.6756,4.0154,17.9,28.5,0.6616,public
16,2012,6.3263,3.8854,8.4237,4.8669,16.9,15.6,0.5174,public
17,2012,5.2258,3.8858,8.2927,3.6527,4.1,24.5,0.2242,public
18,2012,5.8757,3.8414,8.6248,2.8385,12.2,15.3,0.2993,public
19,2012,6.4327,3.865,7.6747,3.2162,12.4,28.3,0.9424,private
20,2012,6.1965,3.6407,8.8255,4.1179,13.8,31.8,0.6144,private
21,2012,6.1614,2.937,8.6534,3.9855,7.7,23.8,0.6771,private
22,2012,7.0886,4.2866,8.8378,4.4212,8.3,18.4,0.4303,public
23,2012,5.2332,3.1793,7.6986,4.0232,14.8,43.6,0.5192,charter
24,2012,6.057,3.8226,8.1823,4.1435,4.0,15.0,0.3098,charter
25,2012,6.2722,3.5928,8.6838,4.3867,1.0,25.4,0.6292,private
