firm_id,year,log_output,log_labor,log_capital,log_spectrum,technology,market_share
1,2005,8.1484,9.1559,7.4779,5.6891,2G,0.0186
2,2005,8.0988,6.7498,8.291,4.4138,3G,0.0254
3,2005,8.2394,5.7896,8.8369,6.3083,2G,0.01
4,2005,9.0326,8.3907,8.9263,4.7277,3G,0.0218
5,2005,7.292,7.0076,6.6155,3.7884,2G,0.0644
6,2005,8.5198,6.4996,10.2046,4.0362,3G,0.0346
7,2005,8.5306,7.0064,8.3067,5.2777,3G,0.01
8,2005,7.1121,4.9214,8.3892,4.3064,2G,0.0171
9,2005,7.4448,7.9144,6.7732,5.0235,2G,0.01
10,2005,8.7201,7.4613,10.1107,4.8252,2G,0.0519
11,2005,7.7091,7.2557,7.2222,5.1252,2G,0.0223
12,2005,7.5882,6.2168,8.2431,3.8759,3G,0.0553
13,2005,6.7338,6.2769,7.6595,3.2861,2G,0.0345
14,2005,7.2408,6.2246,8.5465,3.6615,2G,0.01
15,2005,9.2571,5.9453,10.9581,7.3521,2G,0.017
16,2005,7.9019,8.6514,7.0882,4.7522,2G,0.0395
17,2005,7.268,6.8994,6.7679,4.8316,2G,0.01
18,2005,8.4302,7.3852,9.6727,5.0668,2G,0.014
19,2005,8.3496,6.3575,9.0432,4.9749,2G,0.0283
20,2005,7.47,6.2324,7.0464,5.9499,2G,0.0747
21,2005,8.2216,7.9108,9.063,4.1006,3G,0.01
22,2005,8.155,6.6465,8.2633,4.7576,3G,0.029
23,2005,8.5802,6.8732,8.9128,5.3101,3G,0.01
24,2005,7.7755,8.7134,6.4828,5.6818,2G,0.0686
25,2005,8.965,6.627,10.1258,5.4404,2G,0.01
26,2005,8.7319,8.7122,9.0179,5.6413,2G,0.026
27,2005,7.9075,8.0375,7.0481,5.6578,2G,0.0235
28,2005,8.5198,8.8535,9.5048,3.7643,2G,0.0207
29,2005,8.6894,8.5484,9.3907,4.4656,3G,0.0196
30,2005,8.5236,6.3676,8.9702,5.9501,2G,0.0582
31,2005,8.3165,7.2648,9.3593,6.4215,2G,0.0383
32,2005,8.7942,5.3818,10.3578,5.2703,3G,0.014
33,2005,8.7096,8.0224,8.7259,5.1568,3G,0.028
34,2005,8.1643,6.7742,8.8763,5.751,2G,0.0112
35,2005,7.7584,6.3118,7.5235,5.1988,2G,0.0788
36,2005,9.2824,7.9584,9.7637,5.511,2G,0.0475
37,2005,8.4497,8.594,7.8879,5.0795,2G,0.01
38,2005,7.7175,5.3231,7.3416,5.3013,3G,0.01
39,2005,7.6616,4.6157,8.447,4.5731,3G,0.01
40,2005,8.454,7.8187,8.8956,5.4631,2G,0.0184
1,2006,8.1016,7.828,8.0738,5.4652,2G,0.0371
2,2006,6.0027,4.8933,6.6986,3.7819,2G,0.0342
3,2006,8.6087,6.7627,8.9097,5.9464,2G,0.0228
4,2006,8.2912,8.4182,8.8008,4.4165,2G,0.01
5,2006,8.7535,6.4464,9.292,6.2896,3G,0.0159
6,2006,7.7585,7.3375,8.1743,3.4871,2G,0.0174
7,2006,7.4359,5.9218,7.7086,5.38,2G,0.01
8,2006,8.0669,8.2722,8.0469,3.8295,2G,0.0115
9,2006,8.4546,7.3619,8.367,5.308,2G,0.0291
10,2006,8.5225,7.0634,9.8112,4.3023,2G,0.0332
