firm,year,ik,q,cashflow,sales,debt
1,2010,0.699469,1.6138,0.0885,4.2502,0.2993
1,2011,0.746276,1.7502,0.0628,4.2977,0.3058
1,2012,0.744899,1.7955,0.0416,4.195,0.2742
1,2013,0.727238,1.9825,0.0424,4.0452,0.2541
1,2014,0.628617,1.5947,0.0504,4.0177,0.2446
1,2015,0.732111,1.6495,0.0342,4.0206,0.1649
1,2016,0.656325,1.7474,0.043,4.0711,0.1703
1,2017,0.734188,1.8273,0.0654,4.0613,0.1842
1,2018,0.743252,1.9358,0.0883,4.1528,0.1966
1,2019,0.656642,1.6685,0.0728,4.1631,0.206
2,2010,0.743894,0.8545,0.0503,5.7232,0.3797
2,2011,0.787557,1.0454,0.0738,5.6095,0.4259
2,2012,0.828952,1.3582,0.087,5.655,0.4151
2,2013,0.803332,1.5353,0.0697,5.6852,0.4235
2,2014,0.870736,1.5736,0.0643,5.6653,0.3902
2,2015,0.743954,1.0408,0.0821,5.67,0.4042
2,2016,0.796537,1.2347,0.0883,5.7525,0.3704
2,2017,0.736931,0.9891,0.1115,5.7679,0.3726
2,2018,0.710294,0.9608,0.0914,5.8648,0.3863
2,2019,0.777154,1.4354,0.0907,5.9378,0.3571
3,2010,0.855806,1.7733,0.0611,5.9179,0.4256
3,2011,0.807097,1.708,0.0467,5.9003,0.3791
3,2012,0.804411,1.3921,0.0555,5.9844,0.4039
3,2013,0.829103,1.2239,0.0788,6.0412,0.4096
3,2014,0.849211,1.2642,0.0916,5.9318,0.3757
3,2015,0.937328,1.622,0.1075,5.8462,0.3773
3,2016,0.932005,1.6834,0.0782,5.8253,0.4037
3,2017,0.844851,1.4702,0.0966,5.8282,0.4326
3,2018,0.873685,1.4596,0.1101,5.9145,0.431
3,2019,0.824931,1.4683,0.1248,5.912,0.4246
4,2010,0.840037,1.9997,0.0522,4.1707,0.2945
4,2011,0.8413,1.4659,0.0476,4.2152,0.2899
4,2012,0.852365,1.8458,0.0761,4.2286,0.2674
4,2013,0.752406,1.4528,0.0807,4.1303,0.2426
4,2014,0.714322,1.5419,0.0705,4.0755,0.2743
4,2015,0.752375,1.6371,0.075,3.9332,0.2652
4,2016,0.762594,1.6485,0.0841,3.9765,0.2713
4,2017,0.804244,1.724,0.0601,3.8597,0.2874
4,2018,0.819791,1.6304,0.045,3.9248,0.2724
4,2019,0.764843,1.5265,0.0771,3.8701,0.2835
5,2010,0.790941,2.1089,0.088,4.1927,0.4116
5,2011,0.855432,2.3187,0.0988,4.2995,0.3577
5,2012,0.907313,2.378,0.1056,4.1797,0.3509
5,2013,0.875277,2.0551,0.0918,4.2586,0.3854
5,2014,0.719741,1.8268,0.0838,4.2588,0.4217
5,2015,0.684301,1.895,0.0985,4.2874,0.4075
5,2016,0.747053,1.9726,0.1257,4.3323,0.403
5,2017,0.778272,2.0234,0.0864,4.2207,0.437
5,2018,0.789386,2.0774,0.109,4.2265,0.422
5,2019,0.824674,1.9699,0.1191,4.2904,0.4247
6,2010,1.0,1.6144,0.1351,8.5682,0.4585
6,2011,1.0,1.5071,0.126,8.6149,0.4192
6,2012,1.0,1.6421,0.1241,8.6567,0.415
6,2013,1.0,1.1661,0.1138,8.6293,0.3766
6,2014,1.0,1.2283,0.117,8.6248,0.404
6,2015,1.0,1.4066,0.129,8.7028,0.412
6,2016,1.0,0.9393,0.1003,8.7127,0.3711
6,2017,1.0,1.087,0.0989,8.5545,0.37
6,2018,1.0,1.4017,0.0954,8.5019,0.4011
6,2019,1.0,1.0768,0.1016,8.4139,0.4368
7,2010,1.0,1.5974,0.0856,8.4323,0.3769
7,2011,1.0,1.4737,0.0622,8.467,0.3798
7,2012,1.0,1.3391,0.1055,8.573,0.3768
7,2013,1.0,1.1845,0.1402,8.4706,0.4136
