contract_id,month,lgd_logit,saldo_real,pib_growth,selic,collateral_ratio
1,1,0.2015,10.1292,2.3588,10.5697,0.5056
1,2,1.5349,10.1262,2.3773,9.7553,0.6011
1,3,2.0552,10.5844,2.806,9.7743,0.5831
1,4,3.2461,10.8543,3.2291,9.2537,0.6527
1,5,2.8171,10.6344,-2.2111,9.5276,0.6702
1,6,1.8624,10.4578,-0.6433,10.5522,0.6039
1,7,1.9162,10.0174,1.9543,9.5223,0.6885
1,8,2.7543,10.1927,2.0668,10.6721,0.535
1,9,2.7226,10.3278,1.7356,9.572,0.6168
1,10,3.7032,10.3456,8.5899,9.2315,0.6399
1,11,3.6639,9.9533,2.7817,9.1563,0.5992
1,12,3.3482,10.409,3.0843,9.7116,0.5822
1,13,3.4393,10.5796,3.0151,9.0273,0.6518
1,14,3.6008,10.5685,2.4917,8.6288,0.5788
1,15,3.1809,10.5078,0.3632,9.2525,0.6707
2,1,0.3108,10.0263,1.9632,10.6235,0.6326
2,2,1.2488,9.9013,2.0285,10.0903,0.5608
2,3,1.4616,9.8753,2.9206,10.5024,0.517
2,4,1.9855,10.0441,3.3451,9.8192,0.5988
2,5,1.9434,9.4275,-1.7326,9.4698,0.6161
2,6,1.758,9.4491,-0.9721,10.9541,0.5392
2,7,2.1488,9.7698,2.1036,9.7445,0.5438
2,8,2.3309,9.2623,1.6053,10.0242,0.5567
2,9,2.1676,10.1393,2.2874,9.3854,0.5664
2,10,2.7992,9.6912,8.6189,9.2942,0.526
2,11,2.6207,10.1565,2.1092,9.8624,0.6019
2,12,2.6626,9.7639,3.2749,9.8033,0.5287
2,13,2.4574,9.8461,3.3433,9.5229,0.675
2,14,2.279,9.9584,2.3578,9.5345,0.5269
2,15,2.2934,9.5169,-0.2677,9.0596,0.5294
3,1,1.2624,12.6412,1.4461,10.5271,0.6766
3,2,2.3089,13.1681,1.9808,9.4791,0.8103
3,3,3.0244,13.1856,2.6878,9.6949,0.7428
3,4,3.4556,12.6792,3.2945,9.3117,0.7354
3,5,3.8508,12.9686,-1.5419,9.3355,0.6659
3,6,4.0725,12.914,-1.1002,11.2956,0.7483
3,7,4.3232,12.8345,2.6483,10.4232,0.7301
3,8,4.5052,13.0079,2.4382,9.9503,0.7769
3,9,4.4032,12.2866,1.6751,8.8216,0.7291
3,10,4.0679,13.265,8.7277,9.686,0.6736
3,11,3.9817,12.7976,2.257,9.7321,0.6392
3,12,3.8242,12.4229,3.472,9.884,0.6956
3,13,4.0134,12.4965,2.8892,9.5217,0.6933
3,14,3.7843,12.6552,2.0649,8.8454,0.6908
3,15,3.8013,12.4549,0.9589,9.2279,0.7076
4,1,-0.1203,9.8958,1.5564,10.2067,0.6784
4,2,1.5853,9.214,2.5316,10.4866,0.6797
4,3,2.2815,9.7619,4.0898,10.2105,0.6857
4,4,2.6903,9.1866,3.1686,9.4051,0.621
4,5,3.3663,9.3441,-1.2492,9.9374,0.6917
4,6,3.0564,9.6918,-1.134,11.2872,0.7191
4,7,3.8909,9.6114,1.7674,9.4818,0.7384
4,8,3.6284,9.249,2.1965,10.0446,0.6678
4,9,3.6409,9.4093,2.0447,9.1841,0.7056
4,10,4.1512,9.5969,8.4332,9.0244,0.7299
4,11,4.1385,9.3753,2.1716,9.9673,0.6087
4,12,3.5528,9.4698,3.4423,9.5451,0.6019
4,13,3.186,9.683,2.9859,8.9639,0.7241
4,14,3.1514,9.6487,1.9395,8.682,0.6945
4,15,2.9757,9.5532,0.6713,9.0442,0.7339
5,1,0.2868,11.9233,1.8887,10.3186,0.2478
5,2,1.5184,12.1883,2.0749,10.3434,0.242
5,3,2.0619,12.0388,3.0198,9.7449,0.249
5,4,2.9323,12.2493,3.7302,9.8933,0.213
5,5,2.6653,12.0399,-2.3668,9.3705,0.1357
5,6,2.9693,12.1679,-0.3727,10.9283,0.2183
5,7,3.3048,11.499,2.1008,10.1279,0.1553
5,8,3.2784,12.2639,1.903,10.4296,0.3428
5,9,2.9502,12.2368,1.8923,9.1784,0.2708
5,10,3.6502,12.1838,8.5622,9.3411,0.2459
5,11,3.5308,12.0093,2.0608,9.4483,0.207
5,12,3.552,12.3894,2.9945,10.0349,0.297
5,13,3.9119,12.7254,2.6759,8.8618,0.1403
