firm_id,year,investment,value,capital,sales,sector
1,2000,3.9817,6.8261,5.3317,4.5163,Manufacturing
1,2001,4.9167,6.2308,4.9664,7.2299,Manufacturing
1,2002,4.1953,4.6224,4.8215,5.7497,Manufacturing
1,2003,4.4337,6.7004,5.2974,8.1692,Manufacturing
1,2004,3.2007,3.4066,4.5415,5.2036,Manufacturing
1,2005,2.6537,3.2026,4.8194,5.3859,Manufacturing
1,2006,4.811,6.2954,5.9567,4.9803,Manufacturing
1,2007,4.5139,5.8695,5.8688,3.9837,Manufacturing
1,2008,4.8348,4.3096,5.2881,7.466,Manufacturing
1,2009,4.0446,3.2968,5.1532,9.9343,Manufacturing
1,2010,4.9012,7.1896,5.3629,5.312,Manufacturing
1,2011,3.841,2.4198,6.2787,4.7751,Manufacturing
1,2012,3.302,4.1024,5.5015,4.6584,Manufacturing
1,2013,3.6562,5.3429,5.7034,4.7765,Manufacturing
1,2014,4.9959,7.7032,5.2585,8.9696,Manufacturing
1,2015,3.9257,5.5747,5.3638,4.7067,Manufacturing
1,2016,3.7917,5.7205,5.5983,4.9465,Manufacturing
1,2017,3.1962,4.1459,5.3899,3.7674,Manufacturing
1,2018,4.7409,5.8527,4.5805,6.5286,Manufacturing
1,2019,4.2006,5.158,5.8517,5.879,Manufacturing
2,2000,2.8017,2.6173,5.314,3.9531,Energy
2,2001,3.7287,6.1894,6.4046,4.3929,Energy
2,2002,4.3168,6.4556,5.8348,8.7593,Energy
2,2003,4.2382,6.205,5.5885,6.0589,Energy
2,2004,3.8601,5.05,5.7358,6.183,Energy
2,2005,3.698,3.5657,5.5167,6.1902,Energy
2,2006,3.6687,1.5362,5.3655,8.5103,Energy
2,2007,3.1788,5.2356,5.6431,4.1186,Energy
2,2008,4.6007,6.6229,5.9141,5.2865,Energy
2,2009,3.5447,6.4933,5.3743,5.6959,Energy
2,2010,4.6091,6.2241,5.3112,2.9019,Energy
2,2011,3.0171,4.8887,5.4179,4.3509,Energy
2,2012,4.9129,6.6312,5.9409,7.884,Energy
2,2013,3.9131,6.3862,6.1411,7.3684,Energy
2,2014,3.7352,4.366,5.7049,7.6867,Energy
2,2015,4.6842,6.0149,5.7926,4.9396,Energy
2,2016,2.8933,4.1961,5.3082,5.1617,Energy
2,2017,4.6519,5.81,5.9108,2.7815,Energy
2,2018,3.428,3.0513,5.7808,7.6775,Energy
2,2019,3.8966,3.1667,5.276,7.974,Energy
