country,quarter,inflation,interest_rate
Country_01,41,2.9405,5.9583
Country_01,42,2.4193,5.0989
Country_01,43,2.9618,5.3802
Country_01,44,2.4255,5.047
Country_02,41,2.6731,6.0865
Country_02,42,2.1323,5.0458
Country_02,43,1.9491,5.2992
Country_02,44,2.3624,5.6983
Country_03,41,3.8665,4.5999
Country_03,42,3.613,4.4217
Country_03,43,3.0501,4.1334
Country_03,44,3.4368,4.1828
Country_04,41,3.4309,5.9086
Country_04,42,3.618,6.1192
Country_04,43,4.3507,5.5677
Country_04,44,3.6196,5.9196
Country_05,41,4.3502,3.7741
Country_05,42,4.6458,2.8572
Country_05,43,3.7794,2.2594
Country_05,44,4.8299,3.4326
Country_06,41,3.8035,6.846
Country_06,42,3.6121,6.5562
Country_06,43,3.0846,6.8918
Country_06,44,3.9221,6.1508
Country_07,41,0.9567,4.3918
Country_07,42,1.0871,4.6505
Country_07,43,1.2941,3.8869
Country_07,44,1.2372,3.8771
Country_08,41,4.0625,5.6606
Country_08,42,3.2645,5.9029
Country_08,43,3.7472,5.5355
Country_08,44,4.0855,5.5729
Country_09,41,2.0985,4.0392
Country_09,42,2.6045,4.056
Country_09,43,2.9488,4.0919
Country_09,44,2.4639,4.4654
Country_10,41,2.017,6.106
Country_10,42,1.9207,6.8214
Country_10,43,2.2255,6.1453
Country_10,44,1.5914,6.4622
Country_11,41,3.7595,5.8496
Country_11,42,4.923,5.7781
Country_11,43,4.4774,5.6294
Country_11,44,4.6684,5.9585
Country_12,41,4.4653,4.5591
Country_12,42,4.418,4.7545
Country_12,43,4.1374,4.852
Country_12,44,3.7944,4.3632
Country_13,41,3.4969,4.3673
Country_13,42,4.4641,4.8423
Country_13,43,3.2333,4.4101
Country_13,44,4.6208,4.9143
Country_14,41,3.9408,2.8464
Country_14,42,3.7861,3.2252
Country_14,43,3.3436,3.5503
Country_14,44,3.9125,3.4852
Country_15,41,1.8276,6.2244
Country_15,42,1.9431,5.0126
Country_15,43,2.371,6.5067
Country_15,44,1.6359,6.3232
Country_16,41,2.756,3.7541
Country_16,42,1.9154,3.2194
Country_16,43,2.5597,3.3449
Country_16,44,1.9587,2.6937
Country_17,41,2.0743,5.9378
Country_17,42,1.773,6.2279
Country_17,43,1.6973,6.3083
Country_17,44,2.1422,5.9032
Country_18,41,4.2,8.1723
Country_18,42,4.6828,8.818
Country_18,43,4.6403,7.3981
Country_18,44,4.8051,8.4537
Country_19,41,2.8565,2.9851
Country_19,42,3.7379,2.6812
Country_19,43,3.0643,3.503
Country_19,44,3.0786,3.2637
Country_20,41,1.56,3.9573
Country_20,42,1.192,3.7179
Country_20,43,1.955,4.4558
Country_20,44,1.8744,4.2831
Country_21,41,0.4988,6.25
Country_21,42,0.6438,6.4228
Country_21,43,0.3244,6.7997
Country_21,44,0.9213,6.4881
Country_22,41,4.445,4.5179
Country_22,42,4.4404,5.4702
Country_22,43,4.4903,4.7452
Country_22,44,4.5612,5.2998
Country_23,41,2.3569,5.091
Country_23,42,1.7576,5.0105
Country_23,43,2.6144,4.4044
Country_23,44,2.2073,4.749
Country_24,41,2.7116,3.2878
Country_24,42,2.4439,2.6329
Country_24,43,2.8755,3.3008
Country_24,44,2.226,2.9905
Country_25,41,4.2106,5.7559
Country_25,42,4.0497,5.1247
Country_25,43,3.9204,5.2714
Country_25,44,3.9857,5.6978
Country_26,41,3.9975,3.0133
Country_26,42,4.1688,3.7758
Country_26,43,4.5461,3.4426
Country_26,44,4.5658,3.7521
Country_27,41,3.6255,4.4449
Country_27,42,3.8704,4.1763
Country_27,43,3.5373,4.8832
Country_27,44,3.9525,4.5739
Country_28,41,1.442,3.5894
Country_28,42,1.861,3.8128
Country_28,43,1.6357,4.5497
Country_28,44,1.7377,3.6111
Country_29,41,4.4971,3.1901
Country_29,42,4.6542,2.4421
Country_29,43,4.6886,2.0335
Country_29,44,4.5086,2.8933
Country_30,41,1.9252,4.0444
Country_30,42,1.9784,4.3524
Country_30,43,2.3738,3.8456
Country_30,44,2.1417,3.7414
