contract_id,month,lgd_logit,saldo_real,pib_growth,selic,collateral_ratio
1,1,-0.0641,7.0961,2.9633,10.1752,0.4729
1,2,0.4162,7.6252,-3.6443,10.2415,0.4784
1,3,1.5271,7.7002,0.96,11.4082,0.3483
2,1,0.0394,5.6288,3.3015,9.7702,0.7736
2,2,0.1837,5.6154,-3.4552,9.8373,0.6762
2,3,1.3336,5.5136,0.0421,11.2137,0.6205
3,1,1.1081,10.0483,3.3718,10.1027,0.4737
3,2,1.5581,9.9041,-3.1065,10.2235,0.4403
3,3,2.4174,9.5234,0.5169,11.2753,0.5891
4,1,-0.2236,8.4349,3.0198,10.7745,0.5779
4,2,0.9236,8.463,-3.8268,10.5011,0.6101
4,3,1.2313,8.2633,1.0837,11.0846,0.588
5,1,0.6181,10.2586,3.2084,10.0151,0.8056
5,2,1.5464,9.9251,-3.0447,10.1401,0.7757
5,3,1.9276,10.3835,0.5423,11.264,0.8019
6,1,-0.4649,12.9122,3.0042,10.4977,0.5694
6,2,0.1574,12.7472,-4.0597,10.6418,0.5174
6,3,1.0446,12.3228,0.3517,10.7173,0.5865
7,1,0.2254,14.2564,3.3311,10.2026,0.8368
7,2,1.5071,14.4321,-4.3575,10.913,0.76
7,3,2.6505,13.6514,0.7928,11.4317,0.8154
8,1,0.6347,11.6149,2.8883,10.3952,0.6844
8,2,1.8412,12.14,-3.9777,10.1729,0.7055
8,3,2.5667,11.893,0.9387,10.9541,0.6918
9,1,0.492,12.6365,2.5668,10.469,0.5694
9,2,1.7493,12.1276,-3.5341,10.0037,0.4761
9,3,2.1389,12.6088,0.6644,11.1704,0.4683
10,1,-1.011,7.927,3.2743,10.2043,0.6633
10,2,0.7689,7.5578,-3.4194,10.3271,0.6075
10,3,0.8689,7.8449,0.6774,11.8222,0.5995
11,1,0.617,11.7879,2.981,10.4131,0.5394
11,2,1.4997,13.1644,-3.56,9.8991,0.6416
11,3,2.2586,12.0082,0.7231,11.013,0.5583
12,1,0.4115,8.4911,2.9262,9.9605,0.6914
12,2,1.3185,9.3445,-4.0509,10.4206,0.69
12,3,1.8739,8.9347,0.2995,10.9702,0.6369
13,1,0.2404,13.4056,3.0541,10.2546,0.8887
13,2,0.825,12.7764,-4.2733,10.8584,0.8088
