id,year,lwage,educ,exper,black,south,married,female,union,hours,age
1,1,4.2353,13.2,19.6,1,0,0,1,0,38.5,39.7
1,2,2.544,13.2,23.5,1,0,0,1,1,40.8,40.7
1,3,4.2175,13.2,20.8,1,0,1,1,0,31.8,41.7
1,4,3.0313,13.2,23.6,1,0,1,1,1,41.8,42.7
1,5,2.046,13.2,26.5,1,0,0,1,0,26.2,43.7
1,6,-0.1506,13.2,25.5,1,0,1,1,0,48.4,44.7
2,1,0.8219,11.7,10.2,0,0,1,1,0,40.4,28.1
2,2,4.7381,11.7,11.1,0,0,0,1,0,35.8,29.1
2,3,0.975,11.7,12.2,0,0,1,1,0,33.3,30.1
2,4,-0.5171,11.7,14.8,0,0,0,1,0,38.1,31.1
2,5,2.1037,11.7,12.2,0,0,0,1,0,45.5,32.1
2,6,2.3532,11.7,16.9,0,0,1,1,0,44.4,33.1
3,1,1.0253,13.6,16.3,1,0,1,0,0,34.4,37.3
3,2,1.0673,13.6,18.4,1,0,0,0,0,33.2,38.3
3,3,1.6998,13.6,19.3,1,0,0,0,0,45.3,39.3
3,4,-2.4603,13.6,21.3,1,0,0,0,0,34.2,40.3
3,5,2.9787,13.6,20.1,1,0,0,0,0,40.5,41.3
3,6,1.2667,13.6,23.1,1,0,1,0,0,41.0,42.3
4,1,4.086,15.8,19.3,0,0,0,1,1,42.5,39.1
4,2,3.6583,15.8,17.0,0,0,1,1,1,46.9,40.1
4,3,2.7845,15.8,19.5,0,0,1,1,0,29.9,41.1
4,4,1.5697,15.8,19.7,0,0,1,1,0,24.7,42.1
4,5,2.2905,15.8,21.7,0,0,1,1,0,35.5,43.1
4,6,2.1445,15.8,22.3,0,0,0,1,1,54.4,44.1
5,1,1.172,11.4,17.9,0,1,1,1,0,56.2,36.0
5,2,3.0659,11.4,20.1,0,1,1,1,0,54.6,37.0
5,3,1.6589,11.4,22.4,0,1,1,1,0,38.5,38.0
5,4,2.9203,11.4,21.4,0,1,0,1,0,25.7,39.0
5,5,-0.2048,11.4,23.3,0,1,0,1,0,21.3,40.0
5,6,0.1837,11.4,22.3,0,1,1,1,0,35.1,41.0
6,1,5.0855,11.4,9.0,0,0,1,0,0,38.4,27.4
6,2,1.603,11.4,11.5,0,0,1,0,0,50.4,28.4
6,3,1.3821,11.4,13.5,0,0,0,0,0,46.9,29.4
6,4,1.4133,11.4,13.4,0,0,0,0,0,41.8,30.4
6,5,0.3846,11.4,13.7,0,0,1,0,0,32.9,31.4
6,6,2.2074,11.4,15.0,0,0,0,0,1,32.3,32.4
7,1,-0.5869,15.9,9.2,0,1,1,0,0,42.0,32.4
7,2,2.3931,15.9,12.1,0,1,0,0,0,45.6,33.4
7,3,2.4593,15.9,13.4,0,1,1,0,0,43.1,34.4
7,4,5.0451,15.9,13.0,0,1,1,0,1,31.7,35.4
7,5,2.4399,15.9,14.0,0,1,1,0,1,45.2,36.4
7,6,0.2812,15.9,15.7,0,1,1,0,0,43.4,37.4
8,1,1.9838,13.9,9.5,1,1,0,0,0,31.4,29.9
