firm_id,month,returns,size,book_to_market,momentum,volatility,sector
1,1,1.0503,7.8239,0.9374,0.2662,1.1802,Energy
1,2,-1.0823,7.9078,1.0501,-0.2377,0.6771,Energy
1,3,2.4617,7.9294,1.0263,0.5819,1.3243,Energy
1,4,-1.8871,7.8287,1.0245,-0.1829,0.9976,Energy
1,5,0.6547,7.7651,0.9697,-0.0909,0.3274,Energy
1,6,1.1207,7.9361,1.0268,0.0984,0.6061,Energy
1,7,0.9883,8.0906,1.0078,0.1836,0.5179,Energy
1,8,1.0339,7.9497,0.9978,0.5316,0.5173,Energy
1,9,-1.4583,7.9182,1.0241,-0.0898,1.0686,Energy
1,10,-0.0907,7.9175,1.0426,0.2141,0.0586,Energy
1,11,0.6025,7.8834,1.1153,-0.0882,0.4862,Energy
1,12,-0.2593,8.0275,1.0561,0.5823,0.5172,Energy
1,13,-1.1945,7.8587,1.0707,0.2282,0.6176,Energy
1,14,-1.2046,7.7735,1.083,0.4868,0.6436,Energy
1,15,-0.421,7.751,0.9896,-0.2458,0.2507,Energy
1,16,0.8767,7.9171,1.0118,-0.0683,0.4518,Energy
1,17,-0.2372,8.0153,0.9826,0.1746,0.4793,Energy
1,18,1.281,7.9329,0.9937,0.4915,0.9241,Energy
1,19,0.304,7.8775,1.0064,0.3977,0.2239,Energy
1,20,0.241,7.955,0.9925,0.5501,0.3406,Energy
1,21,-0.6471,7.9278,1.039,0.5024,0.4304,Energy
1,22,0.3571,7.9918,1.0495,0.3336,0.349,Energy
1,23,1.0033,8.0418,0.9625,0.146,0.6769,Energy
1,24,1.1417,7.8138,1.0122,-0.2345,0.7948,Energy
1,25,2.7347,7.6752,1.0128,-0.5434,1.7115,Energy
1,26,4.0043,7.874,0.9542,0.1373,2.2356,Energy
1,27,0.3897,7.8073,0.9895,0.3408,0.3788,Energy
1,28,-0.9193,7.9924,1.0715,-0.7173,0.6056,Energy
1,29,0.3517,7.8368,1.0708,-0.2522,0.211,Energy
1,30,1.3658,7.7216,0.9464,-0.205,0.7328,Energy
1,31,-0.9915,7.8518,1.0514,0.0437,0.5075,Energy
1,32,0.8479,7.76,0.9543,0.131,0.4687,Energy
1,33,0.762,8.0682,1.0077,0.4244,0.4988,Energy
1,34,0.2168,7.9564,1.0229,-0.2948,0.5693,Energy
1,35,0.448,7.974,1.0655,0.2033,0.2443,Energy
1,36,-0.5548,7.9628,1.0191,-0.3161,0.3651,Energy
1,37,0.8138,7.9932,0.9771,0.3507,0.6154,Energy
1,38,0.618,8.0225,0.9686,-0.0445,0.5458,Energy
1,39,-0.7422,7.8552,1.0362,-0.2636,0.4029,Energy
1,40,0.2794,7.7672,0.9961,-0.1017,0.1691,Energy
1,41,-0.1532,7.8245,1.0074,-0.2346,0.2181,Energy
1,42,0.4996,7.9047,1.0763,0.1276,0.6179,Energy
1,43,-1.4993,7.6528,1.0496,0.2872,0.9944,Energy
1,44,0.6191,8.0235,1.1072,0.4094,0.3823,Energy
1,45,-0.3241,7.7195,0.9769,-0.0557,0.3231,Energy
1,46,-0.865,7.9691,0.9924,0.5164,0.4766,Energy
1,47,-0.1184,7.8924,1.037,0.0927,0.1549,Energy
1,48,0.8789,7.9377,1.1188,0.4795,0.5544,Energy
1,49,0.3718,7.862,0.9881,0.0528,0.3382,Energy
1,50,1.0763,7.9309,1.0297,0.0307,0.6149,Energy
1,51,-0.3708,7.862,1.0939,0.2735,0.1903,Energy
1,52,1.5297,7.8536,1.0303,0.1924,1.1596,Energy
1,53,0.4366,7.8195,1.0788,-0.0662,0.6876,Energy
1,54,0.5283,8.0618,1.1257,0.4466,0.4384,Energy
1,55,0.7833,7.9459,1.0426,-0.187,0.4381,Energy
1,56,-0.1939,7.9301,1.0507,0.2735,0.2324,Energy
1,57,-1.7318,7.8216,1.065,0.2603,0.9144,Energy
1,58,-0.6451,7.8857,0.9826,0.4194,0.5026,Energy
1,59,0.8528,7.8105,0.9537,0.4253,0.4934,Energy
1,60,1.842,7.8601,1.0357,0.0454,1.0433,Energy
2,1,0.8335,8.313,0.0687,0.1098,0.4258,Consumer
2,2,0.0445,8.5928,0.1526,0.0897,0.8578,Consumer
2,3,-0.3792,8.3582,0.1157,0.6237,0.3524,Consumer
2,4,0.6796,8.3464,0.1518,0.2953,0.7619,Consumer
2,5,-0.4972,8.3013,0.0399,0.4131,0.4533,Consumer
2,6,0.8921,8.3568,0.1501,0.0247,0.5699,Consumer
2,7,-2.3681,8.3844,-0.0149,-0.238,1.3841,Consumer
2,8,-1.1116,8.4289,0.044,-0.1806,0.6508,Consumer
2,9,-4.3908,8.3693,0.1316,0.4037,2.6756,Consumer
2,10,-0.5552,8.2738,0.0749,-0.1195,0.5009,Consumer
2,11,1.5414,8.2824,0.0797,1.0585,0.7901,Consumer
2,12,-1.4073,8.5018,0.1054,-0.0217,1.155,Consumer
2,13,0.1065,8.4216,0.1711,0.2054,0.1819,Consumer
2,14,-3.2624,8.4988,0.0039,0.2048,1.721,Consumer
2,15,2.2829,8.5119,0.1624,0.1538,1.3771,Consumer
2,16,0.622,8.449,0.1654,-0.266,0.35,Consumer
2,17,-0.7318,8.3107,0.0748,0.1743,0.8421,Consumer
2,18,-0.935,8.4528,0.0653,0.1717,0.4948,Consumer
2,19,-0.0555,8.5738,0.0941,0.0102,0.0803,Consumer
2,20,0.3803,8.3891,0.0642,0.6554,0.5199,Consumer
2,21,0.0769,8.4679,0.1172,-0.3986,0.179,Consumer
2,22,-0.1883,8.4325,0.1238,-0.3534,0.3833,Consumer
2,23,-0.1971,8.5711,0.0223,0.3261,0.1319,Consumer
2,24,1.1594,8.3661,0.054,0.0739,0.824,Consumer
2,25,1.2686,8.5492,0.0407,-0.164,0.6638,Consumer
2,26,-0.8364,8.3964,0.1107,0.1585,0.6221,Consumer
2,27,0.3599,8.3645,0.1436,0.3878,0.2052,Consumer
2,28,-0.5003,8.4449,0.0463,-0.3893,0.3132,Consumer
2,29,0.7558,8.4681,0.1433,0.3169,0.4749,Consumer
2,30,2.5054,8.625,0.0538,0.1992,1.6294,Consumer
2,31,1.8605,8.4658,0.1359,0.0312,1.1276,Consumer
2,32,0.1537,8.4532,0.0858,0.1737,0.1265,Consumer
2,33,0.4074,8.5935,0.0779,0.1787,0.2924,Consumer
2,34,2.0026,8.494,0.1571,0.265,1.0659,Consumer
2,35,2.5151,8.3694,0.1894,-0.1955,1.6792,Consumer
2,36,0.0724,8.5695,0.0029,0.4262,0.065,Consumer
2,37,0.3767,8.3599,0.13,0.3977,0.5594,Consumer
2,38,0.4958,8.3689,0.1089,0.4065,0.5118,Consumer
2,39,-0.1537,8.349,0.1329,-0.4176,0.0975,Consumer
2,40,-0.5037,8.3402,0.0281,0.4433,0.2997,Consumer
2,41,0.433,8.4672,0.0458,-0.0106,0.4024,Consumer
2,42,0.5384,8.4081,0.0664,0.2592,0.4535,Consumer
2,43,1.527,8.0861,0.1107,-0.4945,0.8034,Consumer
2,44,0.3272,8.407,0.0634,-0.105,0.3142,Consumer
2,45,-0.0391,8.3821,0.0838,0.3521,0.194,Consumer
2,46,1.733,8.5232,0.1415,0.2578,0.8777,Consumer
2,47,-0.9839,8.3775,0.2024,-0.224,0.5639,Consumer
2,48,0.1863,8.6878,0.138,0.3041,0.4482,Consumer
2,49,0.3162,8.5736,0.143,-0.1448,0.5043,Consumer
2,50,-1.1852,8.3949,0.0909,0.0202,0.7553,Consumer
2,51,1.6229,8.5488,0.0555,-0.251,0.9701,Consumer
2,52,-0.4238,8.4864,0.0837,0.203,0.502,Consumer
2,53,2.2846,8.4572,0.0971,0.4262,1.2051,Consumer
2,54,0.4537,8.5141,0.042,0.3655,0.2345,Consumer
2,55,0.8537,8.4393,0.1408,-0.1723,0.7079,Consumer
2,56,1.0049,8.4579,0.176,0.0861,0.5586,Consumer
