firm_id,year,log_output,log_capital,log_labor,log_materials,profit,size,capital,labor,sector,exporter
1,2010,5.9333,7.4853,5.6949,8.4582,-0.099,4.4057,0.2278,0.5603,Energy,0
1,2011,6.3891,7.5997,5.3288,8.3424,0.1454,5.9379,0.3045,0.2758,Energy,0
1,2012,6.6858,7.534,5.6069,8.4508,0.2034,5.6606,0.2605,0.4919,Energy,0
1,2013,6.4731,7.762,5.6678,8.3931,0.1442,5.4555,0.4133,0.5392,Energy,0
1,2014,6.9387,7.5142,5.674,8.1508,0.195,6.014,0.2472,0.544,Energy,0
1,2015,5.98,7.4033,5.3732,8.467,0.079,4.778,0.1729,0.3102,Energy,0
1,2016,5.9238,7.5137,5.4416,8.165,0.1168,4.9793,0.2469,0.3634,Energy,0
1,2017,6.2737,7.5979,5.6894,8.4638,0.0908,4.5388,0.3033,0.556,Energy,0
1,2018,6.2008,7.499,5.4259,8.7055,-0.1113,5.7644,0.237,0.3512,Energy,0
1,2019,6.5104,7.4973,5.4952,8.3745,0.0619,4.9921,0.2359,0.4051,Energy,0
1,2020,6.2354,7.3488,5.7766,8.1964,0.1413,5.4152,0.1364,0.6238,Energy,0
1,2021,5.8669,7.3566,5.533,8.4053,0.2522,5.8395,0.1416,0.4345,Energy,0
2,2010,6.1403,4.8428,4.7658,8.5189,0.0408,4.5366,-1.543,-0.1619,Finance,1
2,2011,5.5974,5.4732,4.7431,8.8042,0.0353,4.145,-1.1205,-0.1795,Finance,1
2,2012,5.6508,4.8746,4.9247,8.6557,-0.0459,4.1068,-1.5217,-0.0384,Finance,1
2,2013,5.5239,4.9847,4.6748,9.0272,-0.1361,3.4429,-1.4479,-0.2326,Finance,1
2,2014,6.101,4.9796,4.8377,8.9179,-0.1411,4.7828,-1.4513,-0.106,Finance,1
2,2015,6.1561,5.3023,4.9248,8.6547,-0.1625,4.0455,-1.235,-0.0383,Finance,1
2,2016,6.698,5.0643,5.0696,8.8284,-0.1518,4.0932,-1.3945,0.0743,Finance,1
2,2017,6.4012,5.3729,4.9749,8.6066,-0.1017,3.9755,-1.1878,0.0007,Finance,1
2,2018,6.3931,4.9886,4.7677,8.6921,-0.051,4.5242,-1.4453,-0.1604,Finance,1
2,2019,6.1839,5.1791,5.0515,8.613,-0.0934,4.2048,-1.3176,0.0602,Finance,1
2,2020,5.7162,4.9563,4.8298,8.8386,-0.0728,4.3076,-1.4669,-0.1121,Finance,1
2,2021,6.2107,5.5524,4.6894,8.9719,-0.0921,4.36,-1.0675,-0.2212,Finance,1
3,2010,5.5388,8.1485,7.1048,6.4094,-0.0374,6.0955,0.6723,1.6561,Technology,0
3,2011,5.7528,8.448,7.3463,6.4341,0.0478,6.8926,0.873,1.8438,Technology,0
3,2012,5.3526,8.5128,7.1554,6.4343,0.1486,6.5757,0.9164,1.6954,Technology,0
3,2013,5.6011,8.4688,7.1325,6.36,0.1255,5.8937,0.8869,1.6776,Technology,0
3,2014,5.1394,8.349,7.3762,6.0219,0.2649,5.8927,0.8066,1.867,Technology,0
3,2015,5.0906,8.3601,6.9159,6.5899,-0.0147,6.3292,0.8141,1.5093,Technology,0
3,2016,5.0921,8.3948,6.9377,6.6106,0.0127,6.7325,0.8373,1.5263,Technology,0
3,2017,5.3035,8.3566,6.8882,6.2029,0.0101,7.0645,0.8118,1.4878,Technology,0
3,2018,5.107,8.5788,7.1865,6.1756,0.1061,5.5567,0.9607,1.7196,Technology,0
3,2019,5.446,8.8281,7.1556,6.3722,0.1183,6.5736,1.1277,1.6955,Technology,0
3,2020,5.7474,8.2745,7.362,6.3599,0.0058,6.5907,0.7567,1.856,Technology,0
3,2021,5.0132,8.1121,7.1671,6.2093,0.0097,6.354,0.6479,1.7045,Technology,0
4,2010,4.6656,6.705,3.1643,7.8149,0.016,4.8065,-0.2951,-1.4065,Finance,1
4,2011,5.0976,7.2386,3.2252,8.126,-0.0036,4.9146,0.0625,-1.3592,Finance,1
4,2012,4.9655,6.5619,3.2426,8.1752,0.1649,3.761,-0.3909,-1.3457,Finance,1
4,2013,4.803,7.0505,2.9742,8.2101,-0.0045,3.9101,-0.0635,-1.5543,Finance,1
4,2014,5.4024,7.0582,3.6315,8.1348,-0.0989,4.7748,-0.0584,-1.0434,Finance,1
4,2015,5.0636,6.6119,3.3029,8.0107,-0.0687,4.7921,-0.3574,-1.2988,Finance,1
4,2016,5.3427,6.8364,3.2565,8.2637,-0.0925,4.4669,-0.207,-1.3349,Finance,1
4,2017,5.0147,7.0483,3.3172,8.0781,-0.0721,3.7304,-0.065,-1.2877,Finance,1
4,2018,4.7433,6.6468,3.3314,7.9719,-0.0812,3.7992,-0.334,-1.2767,Finance,1
4,2019,4.6725,6.6819,3.2039,8.0288,-0.0314,4.6479,-0.3105,-1.3758,Finance,1
4,2020,4.8427,6.6063,3.1303,7.7157,0.049,4.0679,-0.3612,-1.433,Finance,1
4,2021,4.7542,6.5197,3.3149,8.0285,-0.0868,4.3133,-0.4192,-1.2895,Finance,1
5,2010,4.977,6.0861,5.2254,6.7465,-0.0865,5.1434,-0.7098,0.1954,Finance,0
5,2011,4.8986,5.9711,5.0461,6.6767,-0.0138,3.8983,-0.7868,0.056,Finance,0
5,2012,5.0795,6.2227,5.3804,6.9129,0.0176,4.5184,-0.6182,0.3159,Finance,0
5,2013,5.1478,6.0619,5.2116,6.5562,-0.0821,4.333,-0.726,0.1846,Finance,0
5,2014,4.785,6.2627,5.2771,6.7062,-0.0556,4.8922,-0.5915,0.2355,Finance,0
5,2015,5.2423,5.9047,5.3764,6.7673,-0.0229,4.9517,-0.8313,0.3127,Finance,0
5,2016,5.4732,6.2821,5.1709,7.0774,-0.1125,3.9522,-0.5785,0.153,Finance,0
