region_id,year,yield,fertilizer,rainfall,irrigation,entity_id,time,latitude,longitude
1,2020,82.5,45.2,850,0.75,1,2020,42.3,-71.5
1,2021,84.1,46.8,820,0.78,1,2021,42.3,-71.5
1,2022,83.8,45.5,865,0.76,1,2022,42.3,-71.5
2,2020,78.3,42.1,830,0.68,2,2020,42.4,-71.4
2,2021,79.8,43.5,845,0.70,2,2021,42.4,-71.4
2,2022,80.2,44.0,810,0.72,2,2022,42.4,-71.4
3,2020,85.7,48.3,880,0.82,3,2020,42.2,-71.6
3,2021,86.9,49.1,890,0.84,3,2021,42.2,-71.6
3,2022,87.2,49.5,875,0.85,3,2022,42.2,-71.6
4,2020,72.4,38.5,790,0.55,4,2020,42.5,-71.3
4,2021,73.1,39.2,805,0.58,4,2021,42.5,-71.3
4,2022,73.8,40.0,795,0.60,4,2022,42.5,-71.3
5,2020,88.2,50.8,920,0.88,5,2020,42.1,-71.7
5,2021,89.5,51.5,935,0.90,5,2021,42.1,-71.7
5,2022,90.1,52.0,925,0.91,5,2022,42.1,-71.7
6,2020,75.6,40.5,815,0.62,6,2020,42.6,-71.2
6,2021,76.8,41.8,825,0.65,6,2021,42.6,-71.2
6,2022,77.5,42.5,820,0.67,6,2022,42.6,-71.2
7,2020,81.3,44.8,855,0.73,7,2020,42.3,-71.4
7,2021,82.7,45.6,870,0.75,7,2021,42.3,-71.4
7,2022,83.2,46.2,860,0.77,7,2022,42.3,-71.4
8,2020,79.5,43.2,835,0.69,8,2020,42.4,-71.5
8,2021,80.9,44.0,850,0.71,8,2021,42.4,-71.5
8,2022,81.4,44.6,845,0.73,8,2022,42.4,-71.5
9,2020,84.6,47.5,875,0.80,9,2020,42.2,-71.5
9,2021,85.8,48.2,890,0.82,9,2021,42.2,-71.5
9,2022,86.3,48.8,885,0.83,9,2022,42.2,-71.5
10,2020,74.2,39.8,800,0.60,10,2020,42.5,-71.4
10,2021,75.5,40.5,815,0.62,10,2021,42.5,-71.4
10,2022,76.1,41.2,810,0.64,10,2022,42.5,-71.4
11,2020,86.8,49.2,895,0.85,11,2020,42.2,-71.7
11,2021,88.1,50.0,910,0.87,11,2021,42.2,-71.7
11,2022,88.7,50.5,905,0.88,11,2022,42.2,-71.7
12,2020,77.9,41.5,825,0.66,12,2020,42.5,-71.5
12,2021,79.2,42.3,840,0.68,12,2021,42.5,-71.5
12,2022,79.8,43.0,835,0.70,12,2022,42.5,-71.5
13,2020,83.4,46.5,865,0.77,13,2020,42.3,-71.6
13,2021,84.7,47.2,880,0.79,13,2021,42.3,-71.6
13,2022,85.3,47.8,875,0.81,13,2022,42.3,-71.6
14,2020,71.8,37.8,785,0.53,14,2020,42.6,-71.3
14,2021,72.6,38.5,800,0.56,14,2021,42.6,-71.3
14,2022,73.3,39.2,795,0.58,14,2022,42.6,-71.3
15,2020,87.5,49.8,905,0.86,15,2020,42.1,-71.6
15,2021,88.8,50.6,920,0.88,15,2021,42.1,-71.6
15,2022,89.4,51.2,915,0.89,15,2022,42.1,-71.6
16,2020,76.4,40.8,820,0.63,16,2020,42.6,-71.4
16,2021,77.7,41.6,835,0.66,16,2021,42.6,-71.4
16,2022,78.3,42.3,830,0.68,16,2022,42.6,-71.4
17,2020,82.1,45.5,860,0.75,17,2020,42.4,-71.6
17,2021,83.5,46.3,875,0.77,17,2021,42.4,-71.6
17,2022,84.1,46.9,870,0.79,17,2022,42.4,-71.6
18,2020,80.2,43.8,840,0.71,18,2020,42.5,-71.6
18,2021,81.6,44.6,855,0.73,18,2021,42.5,-71.6
18,2022,82.2,45.2,850,0.75,18,2022,42.5,-71.6
19,2020,85.3,48.0,885,0.81,19,2020,42.2,-71.4
19,2021,86.6,48.8,900,0.83,19,2021,42.2,-71.4
19,2022,87.1,49.4,895,0.84,19,2022,42.2,-71.4
20,2020,73.6,39.2,795,0.58,20,2020,42.6,-71.5
20,2021,74.9,40.0,810,0.61,20,2021,42.6,-71.5
20,2022,75.5,40.7,805,0.63,20,2022,42.6,-71.5
