county_id,year,yield_per_acre,rainfall,fertilizer,temperature,latitude,longitude
1,2010,103.81,97.1,95.38,12.51,35.0497,-95.0138
1,2011,102.94,92.1,118.43,8.39,35.0497,-95.0138
1,2012,101.2,106.49,64.59,13.49,35.0497,-95.0138
1,2013,126.56,107.86,152.55,13.0,35.0497,-95.0138
1,2014,127.88,104.96,165.83,14.43,35.0497,-95.0138
1,2015,128.3,98.39,170.68,7.3,35.0497,-95.0138
1,2016,113.03,103.69,96.57,17.0,35.0497,-95.0138
1,2017,120.66,101.75,132.14,12.45,35.0497,-95.0138
1,2018,105.66,99.94,89.54,6.29,35.0497,-95.0138
1,2019,113.23,99.72,116.03,9.19,35.0497,-95.0138
2,2010,105.96,95.2,72.25,14.34,35.0648,-94.3477
2,2011,104.89,92.96,95.84,12.25,35.0648,-94.3477
2,2012,114.61,96.63,88.56,13.47,35.0648,-94.3477
2,2013,104.18,96.45,71.63,14.56,35.0648,-94.3477
2,2014,140.36,92.55,183.97,16.93,35.0648,-94.3477
2,2015,126.96,104.39,94.58,9.86,35.0648,-94.3477
2,2016,104.2,99.49,39.71,9.96,35.0648,-94.3477
2,2017,103.68,99.2,54.58,12.68,35.0648,-94.3477
2,2018,130.01,108.57,92.99,15.47,35.0648,-94.3477
2,2019,126.93,112.0,75.57,15.87,35.0648,-94.3477
3,2010,138.77,93.04,202.52,15.77,34.9766,-94.0234
3,2011,104.19,100.59,83.4,11.9,34.9766,-94.0234
3,2012,86.74,97.52,60.76,11.21,34.9766,-94.0234
3,2013,107.39,103.38,89.71,14.16,34.9766,-94.0234
3,2014,110.83,103.73,57.15,14.49,34.9766,-94.0234
3,2015,100.8,108.05,64.14,15.79,34.9766,-94.0234
3,2016,99.36,90.93,95.43,8.11,34.9766,-94.0234
3,2017,112.92,103.94,105.39,9.57,34.9766,-94.0234
3,2018,102.82,100.19,77.69,10.41,34.9766,-94.0234
3,2019,110.0,103.75,130.8,16.31,34.9766,-94.0234
4,2010,114.32,103.2,110.3,12.68,35.1579,-93.4233
4,2011,110.0,102.76,88.25,18.03,35.1579,-93.4233
4,2012,113.05,97.88,111.43,11.99,35.1579,-93.4233
4,2013,106.33,89.28,82.14,14.37,35.1579,-93.4233
4,2014,86.51,90.13,33.59,10.26,35.1579,-93.4233
4,2015,107.85,92.41,83.38,13.34,35.1579,-93.4233
4,2016,101.4,101.49,42.92,15.6,35.1579,-93.4233
4,2017,126.1,102.86,141.59,17.03,35.1579,-93.4233
4,2018,117.97,98.02,134.0,10.74,35.1579,-93.4233
4,2019,114.1,107.86,79.11,14.49,35.1579,-93.4233
5,2010,121.21,95.01,110.6,12.19,34.9531,-92.9457
5,2011,126.34,104.77,144.04,17.68,34.9531,-92.9457
5,2012,136.46,93.68,174.04,8.19,34.9531,-92.9457
5,2013,121.28,113.12,95.38,12.92,34.9531,-92.9457
5,2014,119.17,103.53,103.34,14.97,34.9531,-92.9457
5,2015,138.66,94.21,200.89,9.5,34.9531,-92.9457
5,2016,126.81,99.28,149.04,13.69,34.9531,-92.9457
5,2017,100.46,99.24,70.35,16.74,34.9531,-92.9457
5,2018,116.07,91.63,96.54,16.0,34.9531,-92.9457
5,2019,107.77,95.81,82.52,9.02,34.9531,-92.9457
6,2010,107.49,86.42,83.71,13.56,34.9537,-92.5466
6,2011,100.8,94.82,62.89,15.28,34.9537,-92.5466
6,2012,120.07,112.77,93.94,13.9,34.9537,-92.5466
6,2013,155.96,99.33,254.22,14.19,34.9537,-92.5466
6,2014,95.3,98.63,19.26,18.24,34.9537,-92.5466
6,2015,113.19,94.02,106.42,14.34,34.9537,-92.5466
6,2016,107.25,92.87,53.1,11.39,34.9537,-92.5466
6,2017,114.29,102.33,89.53,11.41,34.9537,-92.5466
6,2018,112.27,103.52,72.46,10.34,34.9537,-92.5466
6,2019,120.1,98.15,133.1,13.04,34.9537,-92.5466
7,2010,117.47,105.85,122.55,10.66,35.0242,-92.1913
7,2011,101.57,108.87,62.32,10.18,35.0242,-92.1913
7,2012,136.48,103.08,191.53,10.06,35.0242,-92.1913
7,2013,109.34,97.32,92.0,16.82,35.0242,-92.1913
7,2014,93.23,99.76,37.23,14.83,35.0242,-92.1913
7,2015,115.54,97.96,97.76,10.04,35.0242,-92.1913
7,2016,91.69,95.16,37.41,15.13,35.0242,-92.1913
7,2017,130.33,102.68,178.96,18.77,35.0242,-92.1913
7,2018,109.28,93.65,94.47,12.03,35.0242,-92.1913
7,2019,118.47,101.04,120.75,9.6,35.0242,-92.1913
8,2010,107.91,94.78,58.03,17.38,34.8275,-91.5562
8,2011,109.58,100.13,122.12,14.76,34.8275,-91.5562
8,2012,129.05,112.46,152.31,13.93,34.8275,-91.5562
8,2013,143.02,100.55,207.31,13.22,34.8275,-91.5562
8,2014,124.4,103.19,123.41,12.53,34.8275,-91.5562
8,2015,88.33,90.84,47.15,17.65,34.8275,-91.5562
8,2016,122.3,101.56,119.67,16.05,34.8275,-91.5562
8,2017,110.25,97.39,90.85,16.12,34.8275,-91.5562
8,2018,105.61,100.32,84.42,15.56,34.8275,-91.5562
8,2019,103.46,103.06,94.62,14.31,34.8275,-91.5562
9,2010,112.04,94.59,82.5,18.35,34.8987,-90.9686
9,2011,129.68,107.03,145.39,15.11,34.8987,-90.9686
9,2012,124.8,93.05,127.67,16.27,34.8987,-90.9686
9,2013,155.65,97.21,232.06,18.74,34.8987,-90.9686
9,2014,108.95,91.39,60.48,9.24,34.8987,-90.9686
9,2015,100.24,93.08,56.32,11.76,34.8987,-90.9686
9,2016,105.58,90.13,54.3,10.89,34.8987,-90.9686
9,2017,123.32,104.72,91.21,13.87,34.8987,-90.9686
9,2018,104.49,105.63,40.61,19.38,34.8987,-90.9686
9,2019,115.24,96.68,68.41,12.85,34.8987,-90.9686
10,2010,123.41,93.95,146.36,17.07,34.9092,-90.6412
10,2011,95.53,102.98,41.97,15.29,34.9092,-90.6412
10,2012,124.0,100.64,120.9,13.59,34.9092,-90.6412
10,2013,140.35,101.49,209.91,16.66,34.9092,-90.6412
10,2014,96.81,93.53,57.99,17.33,34.9092,-90.6412
10,2015,138.67,100.94,154.67,14.63,34.9092,-90.6412
10,2016,104.4,101.53,52.48,18.65,34.9092,-90.6412
10,2017,131.42,98.02,149.9,16.45,34.9092,-90.6412
10,2018,134.72,103.39,135.5,16.19,34.9092,-90.6412
10,2019,113.9,103.06,99.82,14.18,34.9092,-90.6412
11,2010,116.45,102.38,83.92,16.19,35.1466,-90.0226
11,2011,108.45,101.25,46.05,15.13,35.1466,-90.0226
11,2012,123.65,107.77,105.33,15.63,35.1466,-90.0226
11,2013,127.62,99.82,122.14,15.83,35.1466,-90.0226
11,2014,114.27,101.17,85.51,16.21,35.1466,-90.0226
11,2015,130.11,100.96,155.07,12.89,35.1466,-90.0226
11,2016,107.84,102.13,87.79,13.41,35.1466,-90.0226
11,2017,90.05,97.52,43.71,20.63,35.1466,-90.0226
11,2018,143.24,103.54,150.68,17.95,35.1466,-90.0226
11,2019,146.19,103.54,198.01,14.69,35.1466,-90.0226
12,2010,105.96,98.98,67.31,13.05,35.0068,-89.6425
12,2011,142.25,107.23,150.41,14.93,35.0068,-89.6425
12,2012,132.78,98.86,128.16,17.3,35.0068,-89.6425
12,2013,128.4,106.66,127.44,15.77,35.0068,-89.6425
12,2014,110.85,99.76,64.29,16.3,35.0068,-89.6425
12,2015,105.36,92.86,66.89,15.56,35.0068,-89.6425
12,2016,120.18,104.99,92.24,14.35,35.0068,-89.6425
12,2017,127.93,87.89,130.19,10.43,35.0068,-89.6425
12,2018,114.54,102.41,70.77,15.11,35.0068,-89.6425
12,2019,124.92,94.22,136.6,19.69,35.0068,-89.6425
13,2010,109.07,98.55,85.81,15.25,34.9456,-88.9889
13,2011,115.81,108.88,70.77,17.43,34.9456,-88.9889
13,2012,149.23,101.27,195.55,13.11,34.9456,-88.9889
13,2013,130.72,104.37,146.42,17.41,34.9456,-88.9889
13,2014,119.43,100.46,85.04,18.36,34.9456,-88.9889
13,2015,109.79,108.57,67.92,16.1,34.9456,-88.9889
13,2016,127.81,94.73,122.7,13.92,34.9456,-88.9889
13,2017,120.76,108.53,94.98,16.81,34.9456,-88.9889
13,2018,130.33,97.38,148.85,16.14,34.9456,-88.9889
13,2019,93.07,97.48,49.76,20.23,34.9456,-88.9889
